ID,Name_lang,ResourceName_lang,Verb_lang,CursorName,EnumID,TrackingIcon
153,Herboristerie,Plantes,Collecter,GatherHerbs,47,17635
155,Minage,Gisements de minerai,Mine,Mine,48,17636
157,Congrégation : Faë nocturnes,Objets déverrouillés,Ouvrir,,49,0
158,Congrégation : Venthyrs,Objets déverrouillés,Ouvrir,,50,0
159,Congrégation : Kyrians,Objets déverrouillés,Ouvrir,,51,0
160,Congrégation : Nécro-seigneurs,Objets déverrouillés,Ouvrir,,52,0
161,Métier : Ingénierie,,Désactiver,,53,0
162,Herboristerie des îles aux Dragons,Herbes,Collecter,GatherHerbs,54,17635
163,Minage,Gisements de minerai,Miner,Mine,55,17636
166,Herboristerie,Herbes,Collecter,GatherHerbs,56,17635
167,Minage,Gisements de minerai,Miner,Mine,57,17636
169,Enchantement,Objets enchantés,Désenchanter,,58,0
170,Trésors des îles aux Dragons,Trésors,Ouvrir,Open,59,0
172,Alchimie des îles aux Dragons 25,Objets déverrouillés,Ouvrir,,60,0
173,Forge des îles aux Dragons 25,Objets déverrouillés,Ouvrir,,61,0
174,Enchantement des îles aux Dragons 25,Objets déverrouillés,Ouvrir,,62,0
175,Ingénierie des îles aux Dragons 25,Objets déverrouillés,Ouvrir,,63,0
176,Herboristerie des îles aux Dragons 25,Objets déverrouillés,Ouvrir,,64,17635
177,Calligraphie des îles aux Dragons 25,Objets déverrouillés,Ouvrir,,65,0
178,Joaillerie des îles aux Dragons 25,Objets déverrouillés,Ouvrir,,66,0
179,Travail du cuir des îles aux Dragons 25,Objets déverrouillés,Ouvrir,,67,0
180,Minage des îles aux Dragons 25,Objets déverrouillés,Ouvrir,,68,17636
181,Dépeçage des îles aux Dragons 25,Objets déverrouillés,Ouvrir,,69,0
182,Couture des îles aux Dragons 25,Objets déverrouillés,Ouvrir,,70,0
186,Ouverture (à genoux) – Plante,Objets déverrouillés,Ramassage,,71,0
188,Minage des îles aux Dragons,Gisements de minerai,Miner,Mine,72,17636
193,Minage de Khaz Algar,Gisements de minerai,Extraire,Mine,73,17636
194,Herboristerie de Khaz Algar,Herbes,Collecter,GatherHerbs,74,17635
195,Alchimie de Khaz Algar 25,Objets déverrouillés,Ouvrir,,75,0
196,Forge de Khaz Algar 25,Objets déverrouillés,Ouvrir,,76,0
197,Enchantement de Khaz Algar 25,Objets déverrouillés,Ouvrir,,77,0
198,Ingénierie de Khaz Algar 25,Objets déverrouillés,Ouvrir,,78,0
199,Herboristerie de Khaz Algar 25,Objets déverrouillés,Ouvrir,,79,17635
200,Calligraphie de Khaz Algar 25,Objets déverrouillés,Ouvrir,,80,0
201,Joaillerie de Khaz Algar 25,Objets déverrouillés,Ouvrir,,81,0
202,Travail du cuir de Khaz Algar 25,Objets déverrouillés,Ouvrir,,82,0
203,Minage de Khaz Algar 25,Objets déverrouillés,Ouvrir,,83,17636
204,Dépeçage de Khaz Algar 25,Objets déverrouillés,Ouvrir,,84,0
205,Couture de Khaz Algar 25,Objets déverrouillés,Ouvrir,,85,0
