ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,InstanceType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
881,Gorge de Vent-Caverneux,Choc,,,3,50,80,6,6,6,1,6,0,32,0,0
882,Œil du cyclone,Choc,,,3,50,80,6,6,6,1,6,0,32,0,0
883,Mines d’Éclargent,Choc,,,3,50,70,6,6,6,1,6,0,32,0,0
884,Temple de Kotmogu,Choc,,,3,50,70,6,6,6,1,6,0,32,0,0
885,Bataille de Gilnéas,Choc,,,3,50,80,6,6,6,1,6,0,32,0,0
886,Goulet des Chanteguerres,Choc,,,3,50,80,6,6,6,1,6,0,32,0,0
887,Cuisson : impossible,,,,3,50,80,10,5,10,1,5,0,32,875925,0
890,Grève Bouillonnante,Domination,,,3,0,0,10,8,15,1,5,0,1,875925,0
893,8.0 BG Temp,Domination,,,3,0,0,10,8,15,1,5,0,1,875925,0
894,Rivage Bouillonnant,Course aux ressources,,,3,40,80,10,5,10,1,5,0,24,1864730,0
897,Pointe du Crochet,,,,4,10,80,5,0,5,1,5,0,8,0,0
901,Champ de bataille épique aléatoire,,,,3,20,80,0,5,40,1,5,0,0,0,0
903,Mugambala,,,,4,10,80,5,0,5,1,5,0,8,0,0
904,Choc - Toutes les arènes,,,,4,50,80,3,3,3,1,3,0,32,525915,0
1014,Goulet des Chanteguerres,Capturer le drapeau,,,3,10,80,10,5,10,1,5,1942,24,136365,0
1017,Bataille de Joug-d’Hiver,Champ de bataille épique,,,3,20,80,25,10,40,1,5,0,152,136324,0
1018,Bassin Arathi,Domination,,,3,10,80,10,8,15,1,5,1943,24,136322,0
1019,Bassin Arathi contre l’IA,,,,3,0,0,15,1,15,1,15,0,0,0,0
1020,A’shran,Champ de bataille épique,,,3,20,80,35,10,35,1,5,0,152,1398842,0
1021,A’shran classique,Champ de bataille épique infini,,,3,20,80,25,10,25,1,5,1941,40,1398842,0
1022,Bassin Arathi,Choc,,,3,50,80,10,8,15,1,5,0,32,136322,0
1025,Le Robodrome,,,,4,20,80,5,0,5,1,5,0,8,0,0
1029,Champ de bataille aléatoire,,,,3,10,60,25,5,40,1,5,0,1,525915,0
1030,Bataille de Joug-d’Hiver,Champ de bataille épique,,,3,50,80,25,10,40,1,5,0,32,136324,0
1031,Programmer Map - Battlefield,,,,3,0,0,0,1,20,0,0,0,0,0,0
1033,Vengeance de Korrak,Évènement exceptionnel,,,3,20,80,25,10,40,1,40,1941,32,136324,0
1036,Champ de bataille épique - Front de guerre arathi (JcJ),,,,3,0,0,40,10,40,1,5,0,1,0,0
1037,Gorge de Vent-Caverneux,Domination,,,3,40,80,10,8,15,1,5,0,24,875925,0
1039,Gorge de Vent-Caverneux,Domination,,,3,50,80,10,8,15,1,5,0,32,875925,0
1041,Domaine Empyréen,,,,4,60,80,5,0,5,1,5,0,8,0,0
1047,Mugambala,,,,4,50,80,5,0,15,1,5,0,32,0,0
1048,Le Robodrome,,,,4,50,80,5,0,15,1,5,0,32,0,0
1049,Pointe du Crochet,,,,4,50,80,5,0,15,1,5,0,32,0,0
1050,Domaine Empyréen,,,,4,50,80,5,0,15,1,5,0,32,0,0
1053,Mugambala,,,,4,10,80,6,6,6,0,3,0,76,0,0
1054,Chute d’Ashamane,,,,4,10,80,6,6,6,0,3,0,76,1389175,0
1055,Arène Tol’viron,,,,4,10,80,6,6,6,0,3,0,76,791652,0
1056,Le Robodrome,,,,4,10,80,6,6,6,0,3,0,76,0,0
1057,Le croc du Tigre,,,,4,10,80,6,6,6,0,3,0,76,875926,0
1058,Ruines de Lordaeron,,,,4,10,80,6,6,6,0,3,0,76,460869,0
1059,Arène de Nagrand,,,,4,10,80,6,6,6,0,3,0,76,460867,0
1060,Pointe du Crochet,,,,4,10,80,6,6,6,0,3,0,76,0,0
1061,Domaine Empyréen,,,,4,10,80,6,6,6,0,3,0,76,0,0
1062,Égouts de Dalaran,,,,4,10,80,6,6,6,0,3,0,76,460862,0
1063,Arène des Tranchantes,,,,4,10,80,6,6,6,0,3,0,76,460861,0
1064,Arène du bastion du Freux,,,,4,10,80,6,6,6,0,3,0,76,1389174,0
1065,Toutes les arènes,,,,4,60,80,6,6,6,0,1,0,76,525915,0
1066,Colisée de Maldraxxus,,,,4,20,80,5,0,5,1,5,0,8,3759934,0
1068,Arène des Énigmes,,,,4,60,60,5,0,5,1,5,0,9,0,0
1070,Ruines de Lordaeron,,,,3,50,80,5,0,15,1,5,0,96,460869,0
1071,Colisée de Maldraxxus,,,,4,10,80,6,6,6,0,3,0,76,3759934,0
1075,Détonation de Vent-Caverneux,Choc,,,3,50,80,10,8,15,1,5,0,32,875925,0
1076,Creuset des Énigmes,,,,4,60,80,5,0,5,1,5,0,8,525915,0
1077,Creuset des Énigmes,,,,4,60,80,0,0,6,0,1,0,76,0,0
1088,Ordalie des Nokhuds,,,,4,61,80,5,0,5,1,5,0,8,0,0
1092,Ordalie des Nokhuds,,,,4,61,80,6,6,6,1,3,0,76,0,0
1094,Toutes les arènes,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1095,Toutes les arènes,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1096,Toutes les arènes,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1101,Champ de bataille Blitz,,,,3,60,80,8,6,8,1,2,0,776,136324,0
1102,Goulet des Chanteguerres,Choc,,,3,60,80,8,6,8,1,2,0,520,136365,0
1103,Pics-Jumeaux,Choc,,,3,60,80,8,6,8,1,2,0,520,525913,0
1104,Bataille de Gilnéas,Choc,,,3,60,80,8,6,8,1,2,0,520,460871,0
1105,Mines d’Éclargent,Choc,,,3,60,80,8,6,8,1,2,0,520,791650,0
1106,Temple de Kotmogu,Choc,,,3,60,80,8,6,8,1,2,0,520,791651,0
1107,Œil du cyclone,Choc,,,3,60,80,8,6,8,1,2,0,520,460625,0
1108,Bassin d’Arathi,Choc,,,3,60,80,8,6,8,1,2,0,520,136322,0
1109,Gorge de Vent-Caverneux,Choc,,,3,60,80,8,6,8,1,2,0,520,875925,0
1110,Ravin d’Abondabîme,Chargement,,,3,19,80,10,5,10,1,5,0,24,6031736,0
1111,Le feu de l’action,Choc,,,3,50,70,6,6,6,1,3,0,96,0,0
1112,Ordalie des Nokhuds,,,,4,61,70,6,6,6,1,3,0,104,0,0
1117,Cage du Carnage,,,,4,61,80,5,0,5,1,5,0,8,0,0
1118,Ravin d’Abondabîme,Choc,,,3,60,80,8,6,8,1,2,0,520,460625,0
1123,Cage du Carnage,,,,4,71,80,6,6,6,0,3,0,12,0,0
1134,Cage du Carnage,,,,4,10,80,5,0,5,1,5,0,8,460867,0
