Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
Torse,NivO,100,9,191,0,10,99,0,1
Poignets,NivO,101,9,192,0,20,99,0,1
Mains,NivO,102,9,193,0,30,99,0,1
Divers,NivO,103,9,201,0,40,99,0,1
Tête,NivO,104,9,48,0,50,99,0,1
Arme à deux mains,NivO,105,9,199,0,60,99,0,1
Bouclier/main gauche,NivO,106,9,200,0,70,99,0,1
Épaule,NivO,107,9,189,0,80,99,0,1
Cape,NivO,108,9,190,0,90,99,0,1
Arme,NivO,109,9,198,0,100,99,0,1
Doigt,NivO,110,9,197,0,110,99,0,1
Pieds,NivO,111,9,196,0,120,99,0,1
Jambes,NivO,112,9,195,0,130,99,0,1
Taille,NivO,113,9,194,0,140,99,0,1
Consommables,Niveau,114,1,0,0,600,0,0,3
Runes de Vantus,Niveau,115,1,184,0,10,114,0,3
Flacons & flasques,Niveau,116,1,131,0,20,114,0,3
Explosifs et appareils,Niveau,117,1,43,0,30,114,0,3
Potions,Niveau,118,1,44,0,40,114,0,3
Élixirs,Niveau,119,1,45,0,50,114,0,3
Nourriture et boissons,Niveau,120,1,133,0,60,114,0,3
Bandages,Niveau,121,1,135,0,70,114,0,3
Autres,Niveau,122,1,136,0,80,114,0,3
Glyphes,,123,17,0,0,700,0,0,0
Druide ou druidesse,,124,17,161,0,10,123,0,0
Démoniste,,125,17,160,0,20,123,0,0
Mage,,126,17,159,0,30,123,0,0
Chaman ou chamane,,127,17,158,0,40,123,0,0
Prêtre ou prêtresse,,128,17,157,0,50,123,0,0
Voleur ou voleuse,,129,17,156,0,60,123,0,0
Chasseur ou chasseresse,,130,17,155,0,70,123,0,0
Paladin ou paladine,,131,17,154,0,80,123,0,0
Chevalier ou chevalière de la mort,,132,17,162,0,90,123,0,0
Moine ou moniale,,133,17,177,0,100,123,0,0
Guerrier ou guerrière,,134,17,153,0,110,123,0,0
Chasseur ou chasseuse de démons,,135,17,183,0,120,123,0,0
Fournitures d’artisanat,,136,8,0,0,800,0,0,0
Tissu,,137,8,137,0,10,136,0,0
Cuir,,138,8,138,0,20,136,0,0
Métal et pierre,,139,8,139,0,30,136,0,0
Cuisine,,140,8,140,0,40,136,0,0
Herbes,,141,8,141,0,50,136,0,0
Enchantement,,142,8,148,0,50,136,0,0
Calligraphie,,143,8,185,0,60,136,0,0
Joaillerie,,144,8,115,0,70,136,0,0
Composants,,145,8,38,0,80,136,0,0
Élémentaire,,146,8,142,0,90,136,0,0
Composants optionnels,,147,8,327,0,100,136,0,0
Autres,,148,8,143,0,120,136,0,0
Recettes,Niveau,149,10,0,0,900,0,0,4
Calligraphie,Niveau,150,10,168,0,10,149,0,4
Couture,Niveau,151,10,42,0,20,149,0,4
Travail du cuir,Niveau,152,10,41,0,30,149,0,4
Joaillerie,Niveau,153,10,106,0,40,149,0,4
Alchimie,Niveau,154,10,102,0,50,149,0,4
Forge,Niveau,155,10,100,0,60,149,0,4
Ingénierie,Niveau,156,10,99,0,70,149,0,4
Enchantement,Niveau,157,10,104,0,80,149,0,4
Cuisine,Niveau,158,10,101,0,90,149,0,4
Secourisme,Niveau,159,10,103,0,100,149,0,4
Pêche,Niveau,160,10,105,0,110,149,0,4
Livre,Niveau,161,10,40,0,120,149,0,4
Mascottes de combat,Niveau,162,18,0,0,1000,0,0,3
Mascottes,Niveau,163,16,145,0,1000,162,0,3
Objets de quête,,164,13,0,0,1100,0,0,0
Divers,,165,16,0,0,1200,0,0,0
Camelote,,166,16,52,0,10,165,0,0
Composant,,167,16,144,0,20,165,0,0
Évènements saisonniers,,168,16,146,0,30,165,0,0
Autres,,169,16,147,0,40,165,0,0
Monture,,170,16,152,0,50,165,0,0
Équipement de monte,,171,16,326,0,60,165,0,0
Équipements de métier,NivO,172,145,0,0,950,0,0,1
Calligraphie,NivO,173,145,341,0,10,172,0,1
Couture,NivO,174,145,335,0,20,172,0,1
Travail du cuir,NivO,175,145,330,0,30,172,0,1
Joaillerie,NivO,176,145,340,0,40,172,0,1
Alchimie,NivO,177,145,331,0,50,172,0,1
Forge,NivO,178,145,329,0,60,172,0,1
Ingénierie,NivO,179,145,336,0,70,172,0,1
Enchantement,NivO,180,145,337,0,80,172,0,1
Cuisine,NivO,181,145,333,0,120,172,0,1
Pêche,NivO,182,145,338,0,130,172,0,1
Outils,NivO,183,145,341,29,10,173,0,1
Accessoires,NivO,184,145,341,30,20,173,0,1
Outils,NivO,185,145,340,29,10,176,0,1
Accessoires,NivO,186,145,340,30,20,176,0,1
Accessoires,NivO,187,145,335,30,20,174,0,1
Outils,NivO,188,145,335,29,10,174,0,1
Outils,NivO,189,145,330,29,10,175,0,1
Accessoires,NivO,190,145,330,30,20,175,0,1
Outils,NivO,191,145,331,29,10,177,0,1
Accessoires,NivO,192,145,331,30,20,177,0,1
Outils,NivO,193,145,329,29,10,178,0,1
Accessoires,NivO,194,145,329,30,20,178,0,1
Outils,NivO,195,145,336,29,10,179,0,1
Accessoires,NivO,196,145,336,30,20,179,0,1
Outils,NivO,197,145,337,29,10,180,0,1
Accessoires,NivO,198,145,337,30,20,180,0,1
Outils,NivO,199,145,333,29,10,181,0,1
Accessoires,NivO,200,145,333,30,20,181,0,1
Outils,NivO,201,145,338,29,10,182,0,1
Accessoires,NivO,202,145,338,30,20,182,0,1
Minage,NivO,203,145,334,0,90,172,0,1
Herboristerie,NivO,204,145,332,0,100,172,0,1
Dépeçage,NivO,205,145,339,0,110,172,0,1
Accessoires,NivO,206,145,334,30,20,203,0,1
Outils,NivO,207,145,334,29,10,203,0,1
Accessoires,NivO,208,145,332,30,20,204,0,1
Outils,NivO,209,145,332,29,10,204,0,1
Accessoires,NivO,210,145,339,30,20,205,0,1
Outils,NivO,211,145,339,29,10,205,0,1
Cou,NivO,212,9,188,0,45,99,0,0
Sac de composants,Emplacements,215,2,344,0,15,76,0,2
Composants de finition,,217,8,343,0,110,136,0,0
Éléments de décoration,,218,147,356,0,0,0,0,0
Mobilier,,219,147,356,0,0,218,0,0
Éléments décoratifs,,220,0,0,0,1,218,0,0
Ornements,,221,0,0,0,0,220,0,0
Structures,,222,0,0,0,0,218,0,0
Éclairage,,223,0,0,0,0,218,0,0
Fonctionnel,,224,0,0,0,0,218,0,0
Plantes,,225,0,0,0,0,218,0,0
Divers,,226,0,0,0,0,218,0,0
Sièges,,227,0,0,0,0,219,0,0
Tables et bureaux,,228,0,0,0,0,219,0,0
Rangements,,229,0,0,0,0,219,0,0
Lits,,230,0,0,0,0,219,0,0
Mobilier divers,,231,0,0,0,0,219,0,0
Nourriture et boissons,,232,0,0,0,0,220,0,0
Décorations diverses,,233,0,0,0,0,220,0,0
Portes,,234,0,0,0,0,222,0,0
Fenêtres,,235,0,0,0,0,222,0,0
Murs et colonnes,,236,0,0,0,0,222,0,0
Grandes structures,,237,0,0,0,0,222,0,0
Structures diverses,,238,0,0,0,0,222,0,0
Grandes lampes,,239,0,0,0,0,223,0,0
Appliques,,240,0,0,0,0,223,0,0
Lustres,,241,0,0,0,0,223,0,0
Petites lampes,,242,0,0,0,0,223,0,0
Lampes diverses,,243,0,0,0,0,223,0,0
Utilitaires,,244,0,0,0,0,224,0,0
Présentoirs à objet,,245,0,0,0,0,224,0,0
Fonctionnels divers,,246,0,0,0,0,224,0,0
Grand feuillage,,247,0,0,0,0,225,0,0
Petit feuillage,Compétence,248,0,0,0,0,225,0,4
Buissons,,249,0,0,0,0,225,0,0
Couvre-sol,,250,0,0,0,0,225,0,0
Plantes diverses,,251,0,0,0,0,225,0,0
