ID,RaceMask,Name_lang,Description_lang,Flags,ClassMask,SpellIconFileID,RaceMasks[0],RaceMasks[1]
229,-1,Vol dynamique,Permet de s’envoler sur une monture de vol dynamique et d’utiliser ces techniques pour fendre l’air.,0,-1,4640486,-1,-1
230,-1,Voie héroïque : Cataclysm,Vous téléporte à l’entrée d’un donjon de Cataclysm pour lequel vous avez obtenu le haut fait $gHéros:Héroïne; mythique. Le temps de recharge de ces sorts se réinitialise lorsque vous terminez un donjon en mode Clé mythique.,0,-1,519384,-1,-1
231,-1,Voie héroïque : raids de Dragonflight,Téléporte à l’entrée d’un raid de Dragonflight. Disponible après obtention du haut fait Mythique : éveil des raids de Dragonflight.,0,-1,519384,-1,-1
232,-1,Voie héroïque : The War Within,Vous téléporte à l’entrée d’un donjon de The War Within pour lequel vous avez obtenu le haut fait Héroïsme mythique. Le temps de recharge de ces sorts se réinitialise lorsque vous terminez un donjon en mode clé mythique.,0,-1,519384,-1,-1
235,-1,Bataillons,Maximisez le potentiel collaboratif de votre Bataillon avec ces techniques.,0,16383,6124644,-1,-1
236,-1,Séquences numériques,Saisissez une séquence numérique dans un appareil à proximité.,0,-1,3610509,-1,-1
237,-1,Arsenal céleste de Perennius,Des capacités octroyées par Perennius afin de combattre des sbires de la Légion. Utilisable uniquement durant un assaut céleste.,0,-1,1029590,-1,-1
238,-1,Aiguiser votre couteau,Différentes techniques pour aiguiser votre couteau.,0,-1,4046656,-1,-1
239,-1,Surcharger les herbes,Différentes techniques pour surcharger les herbes spéciales.,0,-1,4554443,-1,-1
240,-1,Surcharger le minerai,Différentes techniques pour surcharger les veines de minerai spécial.,0,-1,4554442,-1,-1
241,-1,Main verte,Différentes techniques pour utiliser votre main verte.,0,-1,348566,-1,-1
242,-1,Voie héroïque : raids de The War Within,"Vous téléporte à l’entrée d’un raid de The War Within. Disponible après avoir atteint le renom maximum auprès de certaines factions, ou d’autres exploits héroïques.",0,-1,519384,-1,-1
243,-1,Style de vol dynamique,Modifie le style de vol de vos montures.,0,-1,5145511,-1,-1
244,-1,Voie héroïque : Midnight – Saison 1,Vous téléporte à l’entrée d’un donjon saisonnier pour lequel vous avez obtenu le haut fait Héroïsme mythique. Le temps de recharge de ces sorts se réinitialise lorsque vous terminez un donjon de clé mythique.,0,-1,511651,-1,-1
245,-1,Découper la viande,Différentes techniques pour découper la viande pendant le dépeçage.,0,-1,1059120,-1,-1
246,-1,Voie héroïque : Midnight,Vous téléporte à l’entrée d’un donjon de Midnight pour lequel vous avez obtenu le haut fait Héroïsme mythique. Le temps de recharge de ces sorts prend fin lorsque vous terminez un donjon en mode clé mythique.,0,-1,519384,-1,-1
247,0,Pièges,"Vous ralentissez, déviez ou gênez les limiers qui poursuivent les leurres.",0,0,461122,0,0
