Name_lang,ID,Parent,Ui_order
Warlords of Draenor,15233,14807,6
Héritage,15234,-1,15
Draenor,15235,97,7
Donjons de Warlords of Draenor,15243,15079,9
Raids de Warlords of Draenor,15244,15079,10
Collections,15246,-1,11
Coffre à jouets,15247,15246,1
Montures,15248,15246,2
Legion,15252,96,8
Donjons de Legion,15254,168,11
Raids de Legion,15255,168,12
Legion,15257,97,8
Legion,15258,201,7
Apparences,15259,15246,3
Donjons de Legion,15262,15079,11
Raids de Legion,15263,15079,12
Legion,15264,14807,7
Honneur,15266,95,1
Promotions,15268,81,8
Montures,15269,81,1
Joueur contre Joueur,15270,81,5
Raids,15271,81,4
Donjons,15272,81,3
Réputation,15273,81,6
Évènements,15274,81,7
Donjons,15277,15234,4
Raids,15278,15234,5
Joueur contre Joueur,15279,15234,3
Monnaies,15280,15234,7
En extérieur,15283,95,18
Battle for Azeroth,15284,96,9
Donjons de Battle for Azeroth,15285,168,13
Raids de Battle for Azeroth,15286,168,14
Rivage Bouillonnant,15292,95,13
Battle for Azeroth,15298,97,9
Donjons de Battle for Azeroth,15299,15079,13
Raids de Battle for Azeroth,15300,15079,14
Contenu d’extension,15301,-1,12
Scénarios de Mists of Pandaria,15302,15301,3
Fief de Draenor,15303,15301,5
Domaines de classe de Legion,15304,15301,6
Battle for Azeroth,15305,201,8
Exploration des îles,15307,15301,7
Effort de guerre,15308,15301,8
Battle for Azeroth,15409,14807,8
Contenu d’extension,15411,15234,9
A’shran,15414,95,6
Évènements mondiaux,15416,15234,8
Cœur d’Azeroth,15417,15301,9
Ombreterre,15422,96,10
Visions de N’Zoth,15426,15301,10
Donjons de Shadowlands,15428,168,15
Donjons de Shadowlands,15429,15079,15
Ombreterre,15430,14807,9
Ombreterre,15436,97,10
Raids de Shadowlands,15438,168,16
Shadowlands,15439,201,9
Tourment,15440,15301,11
Sanctums des congrégations,15441,15301,12
Raids de Shadowlands,15442,15079,16
Personnage,15446,15234,1
Quêtes,15447,15234,2
Marcheurs du temps,15454,155,11
Dragonflight,15455,96,11
Vol dynamique,15462,15301,13
Îles aux Dragons,15465,97,11
Dragonflight,15466,201,10
Donjons de Dragonflight,15467,168,17
Raids de Dragonflight,15468,168,18
Dragonflight,15469,14807,10
Donjons de Dragonflight,15470,15079,17
Raids de Dragonflight,15471,15079,18
Drake des îles aux Dragons (cosmétique),15478,15246,4
Alchimie,15489,169,1
Forge,15490,169,2
Enchantement,15491,169,3
Ingénierie,15492,169,4
Calligraphie,15493,169,5
Joaillerie,15494,169,6
Travail du cuir,15495,169,7
Couture,15496,169,8
Minage,15497,169,10
Dépeçage,15498,169,11
Herboristerie,15499,169,9
War Within,15506,96,12
The War Within,15520,14807,11
War Within,15521,97,12
Gouffres,15522,-1,4
The War Within,15523,15522,1
Donjons de The War Within,15524,168,19
Ravin d’Abondabîme,15525,95,15
Raids de The War Within,15526,168,20
Donjons de The War Within,15528,15079,19
Raids de The War Within,15529,15079,20
War Within,15530,201,11
Gouffres,15531,81,2
Célébration d’anniversaire,15532,155,12
Gouffres,15533,1,8
The War Within,15534,15533,1
Remix: Pandaria,15536,15234,10
Duos infâmes,15545,155,13
Visions de N’Zoth redécouvertes,15546,15301,14
Évènements mondiaux,15549,1,14
Duos infâmes,15550,15549,1
Chroniques,15552,15301,15
Legion Remix,15554,-1,13
Quêtes,15556,15554,1
Réputation,15557,15554,2
Exploration,15558,15554,3
Donjons,15559,15554,4
Raids,15560,15554,5
Niveau du monde héroïque,15561,15554,6
Legion Remix,15562,15549,2
