ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
249,Glas divin,"Vous lancez instantanément une version renforcée de Horion sacré, de Bouclier du vengeur ou de Jugement qui frappe toutes les cibles proches.",,133706,1,15
250,Amalgamation,"Vous fusionnez avec un autre personnage ennemi ou allié. Vos adversaires ne peuvent plus vous cibler, mais vous ne pouvez ni attaquer ni lancer de sorts.

Si le personnage avec lequel vous fusionnez est de votre niveau ou inférieur, vous en prenez le contrôle jusqu’à la fin de l’effet.",,237147,0,16
251,Serment de sang,Vous prêtez un serment sanglant qui supprime immédiatement la plupart des effets néfastes qui vous affectent et augmente vos dégâts ou vos soins d’un montant égal au nombre de points de vie dépensés par cette technique.,,133523,0,16
252,Forme de Patronus,"Vous vous transformez en esprit du renard, ce qui augmente votre vitesse de déplacement et force les troupes ennemies à vous ignorer.",,797544,0,17
253,Invocation d’un bosquet de Lumière,"Vous créez à l’emplacement ciblé un bosquet de Lumière qui rend des points de vie à un allié blessé et à vous-même toutes les 3 s.

Le temps de recharge de Jugement a une chance de ne pas se déclencher lorsque le sort est lancé contre un adversaire se trouvant dans le bosquet de lumière.",,135931,0,17
254,Porte des ombres,Vous traversez les ombres pour apparaître à l’endroit ciblé.,,134430,0,18
255,Couchant cendré,"La Lumière vous soigne de l’intérieur après que vous avez drainé les points de vie des ennemis proches.

Drainer au moins un ennemi permet à votre prochaine technique d’asséner automatiquement un coup critique.",,461857,0,18
490,Camouflage dans l’ombre,Peut se fondre dans les ténèbres.,Se fond dans les ténèbres,132089,0,4
491,Rapidité,Plus difficile à toucher.,Plus difficile à toucher,132279,1,4
492,Esprit feu follet,Prend une forme de feu follet à la mort et se déplace plus vite.,Se déplace plus vite à la mort,136116,2,4
493,Résistance à la Nature,Résistant aux dégâts de Nature.,Résistant aux dégâts de Nature,136094,3,4
494,Insaisissable,Vitesse de déplacement augmentée sous l’effet de Camouflage.,Vitesse de déplacement améliorée quand camouflé,132280,4,4
495,Toucher d’Elune,Attaques plus rapides la nuit et chances de coup critique augmentées le jour.,Attaques plus rapides la nuit et chances de coup critique augmentées le jour,135900,5,4
496,Maître de l’évasion,Peut échapper aux effets qui influent sur la vitesse de déplacement.,Échappe aux effets affectant la vitesse de déplacement,132309,0,7
497,Pensée expansive,Réserve de ressources améliorée.,Réserve de ressources améliorée,132864,1,7
498,Résistance aux Arcanes,Résistant aux dégâts des Arcanes.,Résistant aux dégâts des Arcanes,136116,2,7
499,Spécialisation (Ingénierie),Compétence en Ingénierie améliorée.,Compétence en Ingénierie améliorée,134063,3,7
500,Doigts agiles,Attaques plus rapides.,Attaque plus vite,135641,4,7
501,Lapidaire,Compétence en Joaillerie améliorée.,Compétence en Joaillerie améliorée,135998,0,11
502,Don des Naaru,Dispose d’un soin sur la durée applicable sur soi ou sur d’autres cibles.,Soin sur la durée applicable sur soi ou sur d’autres cibles,135923,1,11
503,Présence héroïque,"Agilité, Intelligence et Force augmentées.","Agilité, Intelligence et Force augmentées",133123,2,11
504,Résistance à l’Ombre,Résistant aux dégâts d’Ombre.,Résistant aux dégâts d’Ombre,136152,3,11
505,Sombre course,Peut régulièrement se déplacer rapidement.,Se déplace régulièrement plus vite,366937,0,22
506,Acharnement,Chances de coup critique augmentées.,Chances de coup critique augmentées,132203,1,22
507,Aberration,Résistant aux dégâts de Nature et d’Ombre.,Résistant aux dégâts de Nature et d’Ombre,136121,2,22
508,Ecorcheur,Compétence et vitesse en Dépeçage améliorées.,Compétence et vitesse en Dépeçage améliorées,132140,3,22
509,Paume vibratoire,Peut endormir les ennemis d’une pression de la main.,Endort les ennemis d’une pression de la main,572035,0,24
510,Paix intérieure,Paix intérieure multiplie par deux le bonus d’expérience quand le personnage est reposé.,Bonus à l’expérience lorsque vous êtes reposé multiplié par deux,572034,1,24
511,Épicurien,Bonus octroyés par la nourriture augmentés.,Bonus de nourriture augmentés,571692,2,24
512,Gourmand,Compétence en Cuisine améliorée.,Compétence en cuisine améliorée,571693,3,24
513,Rebondi,Subit moins de dégâts en cas de chute.,Dégâts de chute réduits,572033,4,24
514,Fureur sanguinaire,"Peut devenir enragé, ce qui augmente ses dégâts.",Dégâts augmentés sous l’effet de la rage,135726,0,2
515,Solidité,Résistant aux effets d’étourdissement.,Résistant aux effets d’étourdissement,133125,1,2
516,Commandement,Dégâts infligés par les familiers augmentés.,Dégâts infligés par les familiers augmentés,132366,2,2
517,Choc martial,Peut étourdir les ennemis proches en piétinant le sol.,Étourdit les ennemis proches en piétinant le sol,132368,0,6
518,Endurance,Endurance augmentée.,Endurance augmentée,136112,1,6
519,Culture,Compétence et vitesse en Herboristerie améliorées.,Compétence et vitesse en Herboristerie améliorées,133938,2,6
520,Résistance à la Nature,Résistant aux dégâts de Nature.,Résistance aux dégâts de Nature,136094,3,6
521,Muscles,Effets des coups critiques améliorés.,Effets des coups critiques améliorés,134174,4,6
522,Berserker,"Berserk, augmente les vitesses d’attaque et d’incantation.","Berserk, vitesses d’attaque et d’incantation augmentées",135727,0,8
523,Régénération,Régénération augmentée.,Régénération améliorée,136077,1,8
524,Tueur de bêtes,Expérience gagnée en tuant des bêtes augmentée.,Expérience gagnée en tuant des bêtes augmentée,134357,2,8
525,Le déhanché troll,Réduction de la durée des effets affectant les déplacements.,Réduction de la durée des effets affectant les déplacements,134231,3,8
526,Affinité avec les arcanes,Compétence en Enchantement améliorée.,Compétence en Enchantement améliorée,132876,0,10
527,Torrent arcanique,"Peut récupérer des ressources, comme du mana ou de l’énergie.",Restauration des ressources comme le mana ou l’énergie,136222,1,10
528,Torrent arcanique,Peut annuler les effets bénéfiques qui affectent les ennemis proches.,Dissipe les effets sur les ennemis proches,136222,2,10
529,Résistance aux Arcanes,Résistant aux dégâts des Arcanes.,Résistance aux dégâts des Arcanes,136120,3,10
530,Fusées de saut,Peut utiliser ses fusées pour sauter en avant.,Fusées permettant de sauter en avant,370769,0,9
531,Barrage de fusées,Peut lancer des fusées sur ses ennemis.,Lance des fusées sur ses ennemis,133032,1,9
532,Dur en affaires,Bénéficie de réductions auprès des vendeurs.,Réductions auprès des vendeurs,369760,2,9
533,Hobgobelin de bât,Peut régulièrement invoquer une banque personnelle.,Invocation d’une banque personnelle,370211,3,9
534,"Le temps, c’est de l’argent",Hâte augmentée.,Hâte augmentée,369214,4,9
535,La chimie pour une vie meilleure,Compétence en Alchimie et efficacité des potions de soin améliorées.,Compétence en Alchimie et efficacité des potions de soin améliorées,370670,5,9
606,Envol/Planer,Vous utilisez vos ailes pour planer dans les airs et prendre votre envol depuis des hauteurs.,Déploie ses ailes pour planer dans les airs et prendre son envol depuis des hauteurs,4622485,0,52
607,Décollage expéditif,Utilisez le vol dynamique pour amplifier votre envol et prendre de la hauteur plus souvent.,Utilisez le vol dynamique pour amplifier votre envol et prendre de la hauteur plus souvent.,4622483,1,52
608,Frappe des ailes,Repousse les adversaires à l’aide de ses ailes.,Repousse les adversaires à l’aide de ses ailes.,4622486,2,52
609,Éveil,Maîtrise augmentée.,Maîtrise augmentée,4622481,3,52
610,Œil averti,Vous trouvez des composants rares supplémentaires en pratiquant la cueillette.,Trouve des composants rares supplémentaires en pratiquant la cueillette,4630415,4,52
611,Envol/Planer,Vous utilisez vos ailes pour planer dans les airs et prendre votre envol depuis des hauteurs.,Déploie ses ailes pour planer dans les airs et prendre son envol depuis des hauteurs,4622485,0,70
612,Décollage expéditif,Utilisez le vol dynamique pour amplifier votre envol et prendre de la hauteur plus souvent.,Utilisez le vol dynamique pour amplifier votre envol et prendre de la hauteur plus souvent.,4622483,1,70
613,Frappe des ailes,Repousse les adversaires à l’aide de ses ailes.,Repousse les adversaires à l’aide de ses ailes.,4622488,2,70
614,Éveil,Maîtrise augmentée.,Maîtrise augmentée,4622481,3,70
615,Œil averti,Vous trouvez des composants rares supplémentaires en pratiquant la cueillette.,Trouve des composants rares supplémentaires en pratiquant la cueillette,4630415,4,70
616,Afflux d’azérite,Infligez des dégâts de feu aux adversaires et soignez les personnages alliés.,Inflige des dégâts de feu aux adversaires et soigne les personnages alliés.,5788297,0,84
617,Ingurgiter des minerais,Mangez des gemmes pour être Bien nourri indéfiniment,Mangez des gemmes pour être Bien nourri.,5788301,1,84
618,Hyper productivité,"Finesse augmentée, ce qui confère une chance de récolter davantage de composants.",Chance de récolter davantage de composants.,5788298,2,84
619,Structure forgée par les Titans,Augmente l’Armure.,Augmente l’Armure.,5788302,3,84
620,Air émerveillé,Augmente le gain d’expérience d’exploration.,Augmente l’expérience d’exploration.,5788303,4,84
621,Afflux d’azérite,Infligez des dégâts de feu aux adversaires et soignez les personnages alliés.,Infligez des dégâts de feu aux adversaires et soignez les personnages alliés.,5788297,0,85
622,Ingurgiter des minerais,Mangez des gemmes pour être Bien nourri indéfiniment,Mangez des gemmes pour être Bien nourri.,5788301,1,85
623,Hyper productivité,"Finesse augmentée, ce qui confère une chance de récolter davantage de composants.",Chance de récolter davantage de composants.,5788298,2,85
624,Structure forgée par les Titans,Augmente l’Armure.,Augmente l’Armure.,5788302,3,85
625,Air émerveillé,Augmente le gain d’expérience d’exploration.,Augmente l’expérience d’exploration.,5788303,4,85
634,Contemplation paisible,Activez pour récupérer des points de santé et de mana hors combat.,Rend de la santé et du mana hors combat.,1499566,5,84
635,Contemplation paisible,Activez pour récupérer des points de santé et de mana hors combat.,Rend de la santé et du mana hors combat.,1499566,5,85
