ID,Description_lang,OrderIndex,ProfTraitTreeID
81,"Erlernt mächtige Formeln für drakonische, erwachende und Hingabeverzauberungen.",1,240
82,Erlernt die Baupläne für eine Reihe von Bomben mit verschiedenen Effekten.,0,204
83,"Erlernt die Baupläne für neue Tüfteleien, die in Ausrüstung mit Tüfteleiplätzen eingesetzt werden können.",2,206
84,Stellt eine Fackel des urtümlichen Erwachens und eine runenverzierte Khaz'goritrute her.,1,245
85,Schnitzt eine erhellende und kinetische Säule der Inseln.,1,148
86,Sammelt Stoff effizienter und findet seltene Stoffe zum Auftrennen.,2,160
87,Stellt einen Khaz'goritschmiedewerkzeugkasten und Werkzeuge mit höherer Qualität her.,0,103
88,Stellt diverse neue mächtige Ringe und Halsketten her.,1,131
89,"Stellt Dunkelmondkartensetschachteln her, mächtige Dunkelmond-Schmuckstücke.",1,176
90,"Stellt Rüstung mit einzigartigen Boni her, zum Beispiel die Amicia des Blauen.",1,162
91,"Stellt Angelköder her, die bestimmte Fische anlocken.",1,144
92,Stellt flammenberührte Kettenrüstungen her.,0,124
93,Stellt azurgewobene und Chronostoffrüstungen mit jeweils eigenen Setboni her.,0,162
94,Stellt lebensgebundene Lederrüstungen her.,0,126
95,Stellt Bergbau- und Schmiedekunstwerkzeuge her.,1,102
96,Stellt urzeitliche geschmolzene Waffen her.,0,102
97,Stellt den prächtigen Federkiel des Schreibers her.,0,148
98,"Stellt eine gestufte Medaillonfassung her, mit der Halsketten mit Sockeln versehen werden können.",0,131
99,Stellt schillernden Wildstoff her.,0,164
100,Stellt spaßige Illusionsgüter für jedermann her.,2,245
101,"Stellt sicherere Bomben her, die jeder benutzen kann.",3,204
102,"Stellt den schockdrosselnden Seeleninhalierer her, ein wichtiges Gerät zum Sammeln entscheidender Reagenzien.",3,207
103,"Findet mystische Gegenstände, die Ihr zu Reagenzien und tobenden Elementen entzaubern könnt.",0,244
104,Findet beim Auftrennen von Stoff tobende Elemente.,0,161
105,Sammelt während des Reitens Kräuter.,0,235
106,Sammelt mehr tobende Elemente von Elementarvorkommen.,1,213
107,Sammelt mehr tobende Elemente von elementargeladenen Kräutern.,1,234
108,Sammelt während des Reitens Erze.,0,211
109,"Zerschmettert erwachte Elemente, wodurch Ihr kurzzeitig Kampf- und Handwerksboni erhaltet.",3,244
110,"Zerschmettert Verzauberkunstreagenzien, um Versionen niedrigerer Seltenheit zu erhalten.",2,244
111,"Schreibt drakonische Abhandlungen, die dem Leser Berufswissen vermitteln können.",3,176
112,Meistert die Herstellung von Steinverbesserungen wie urzeitlichen Schleifsteinen und Gewichtssteinen.,2,103
113,"Meistert die Herstellung von Ausrüstung, die Setboni gewährt.",1,134
114,"Meister die Herstellung von Tinten, den wichtigsten von Inschriftenkundigen eingesetzten Reagenzien.",2,147
115,Meistert die Herstellung von magieverstärkter Stoffrüstung.,2,162
116,Meistert die Herstellung von Berufszubehör und Trommeln.,2,135
117,"Meistert die Herstellung grundlegender, optionaler und Fertigungsreagenzien.",1,59
118,Verbessert Eure Handwerksfertigkeit und Effizienz beim Mahlen von Kräutern zu Pigmenten.,1,147
119,Verbessert Eure Handwerksfertigkeit bei der Herstellung von Aufwertungssets und Reagenzien.,1,135
120,"Verringert die Abklingzeit von 'Elementarerzvorkommen überladen', wenn Ihr abbaut.",0,213
121,"Verringert die Abklingzeit von 'Elementarkraut überladen', wenn Ihr sammelt.",0,234
122,"Verbessert Eure Handhabung von Bomben, was die Gefahr von Fehlzündungen reduziert.",2,204
123,Reduziert die negativen Nebeneffekte durch den Abbau von Elementarvorkommen.,2,213
124,Verringert die negativen Nebeneffekte durch das Sammeln von elementargeladenen Kräutern.,2,234
125,Bereitet Kräuter geringer Qualität zu höherer Qualität auf.,1,236
126,Bereitet Erz geringer Qualität zu höherer Qualität auf.,1,212
127,Bereitet Reagenzien geringer Qualität zu höherer Qualität auf.,1,143
128,"Verbessert die Zuverlässigkeit von Geräten, was die Chance von Fehlschlägen verringert.",3,206
129,Findet beim Abbauen manchmal seltene Edelsteine oder Endlosdiamanten.,1,211
130,"Verbessert Eure Mehrfachherstellung und Effektivität, während Ihr Phiolen herstellt.",2,84
131,Verbessert Euch bei der Erschaffung von Tränken in großen Mengen.,2,58
132,Meistert die Produktion von Zielfernrohren und Munition für Distanzwaffen.,2,205
145,"Erhöht Eure Gewandtheit, Finesse und Wahrnehmung beim Sammeln von Kräutern.",2,257
146,"Erlernt, Samen bei Beledars Schatz in Heilsturz anzupflanzen und zu kultivieren.",1,257
147,Sammelt während des Reitens Kräuter.,0,257
148,Erhöht Eure Finesse und Wahrnehmung beim Sammeln von ermächtigten Kräutern.,2,258
149,Verringert die negativen Nebenwirkungen beim Sammeln ermächtigter Kräuter und gewährt zusätzliche Vorteile.,1,258
150,"Verringert die Abklingzeit von 'Ermächtigte Kräuter überladen', wenn Ihr sammelt.",0,258
151,Sammelt den seltenen und kaum auffindbaren Nulllotus aus zusätzlichen Quellen.,3,259
152,"Erlernt, Kräuter zu höherer Qualität aufzubereiten.",2,259
153,Erhöht die Wirkung von Finesse beim Sammeln von Kräutern.,1,259
154,Verbessert Eure Fertigkeit beim Sammeln von Kräutern.,0,259
192,"Erhöht Eure Gewandtheit, Finesse und Wahrnehmung beim Kürschnern.",3,271
193,"Stellt Köder her, die bestimmte Fische anlocken.",2,271
194,Sammelt zusätzliche seltene Reagenzien von gehäuteten Kreaturen.,1,271
195,Sammelt Fleisch zum Kochen von gehäuteten Kreaturen.,0,271
196,"Erhöht Eure Gewandtheit, Finesse und Wahrnehmung beim Kürschnern.",2,272
197,"Erfüllt Köder mit ermächtigter Energie, die in ganz Khaz Algar gefunden werden kann. Dadurch könnt Ihr zusätzliche Reagenzien sammeln.",1,272
198,"Stellt Köder her, um Kreaturen anzulocken, die beim Häuten seltene Materialien gewähren.",0,272
199,Bereitet Reagenzien geringer Qualität zu höherer Qualität auf.,2,273
200,Verbessert Eure Fertigkeit beim Kürschnern.,1,273
201,"Lernt, Euer Messer zu schärfen und sammelt garantiert Felle beim Kürschnern.",0,273
243,Erhaltet zusätzliche Fertigkeit und Einfallsreichtum bei der Herstellung von Rüstungssets und anderen verbrauchbaren Gegenständen.,2,287
244,"Lernt, Verzierungen mit verschiedenen Effekten herzustellen.",1,287
245,Verbessert Eure Fähigkeit in der Herstellung von Berufsausrüstung.,0,287
249,Verbessert Eure Fähigkeit in der Herstellung mehrerer verbrauchbarer Gegenstände und Reagenzien gleichzeitig.,2,289
250,"Verbessert Eure Fähigkeiten zum Einsparen von Reagenzien, wenn Euer Einfallsreichtum aktiviert ist.",1,289
251,Erhöht die Wirksamkeit von Konzentration und Genialität für alle Muster.,0,289
252,"Erhöht Eure Genialität, Euren Einfallsreichtum und Eure Fertigkeit beim Herstellen von Lederrüstungen.",2,290
253,Passt die von Euch hergestellten Lederrüstungen mit optionalen und Fertigungsreagenzien an.,1,290
254,"Erlernt, wie eine epische Runengezeichnete Lederrüstung hergestellt wird.",0,290
255,"Erhöht Eure Genialität, Euren Einfallsreichtum und Eure Fertigkeit beim Herstellen von Kettenrüstungen.",2,291
256,Passt die von Euch hergestellten Kettenrüstungen mit optionalen und Fertigungsreagenzien an.,1,291
257,"Erlernt, wie eine epische Glyphengravierte Kettenrüstung hergestellt wird.",0,291
279,"Erhaltet Fertigkeit, Einfallsreichtum und eine Verringerung der Konzentrationskosten beim Herstellen von Schmuck.",3,298
280,Verbessert Eure Fähigkeiten in der Herstellung von Berufszubehör.,2,298
281,Passt Schmuck mit optionalen Reagenzien an.,1,298
282,Erlernt die Herstellung mächtiger Halsketten- und Ringvorlagen.,0,298
295,"Stellt Prismen her, die ungeschliffene Edelsteine enthalten.",3,302
296,"Erhaltet erhöhte Fertigkeit, wenn Ihr Edelsteine schleift.",2,302
297,"Behaltet Splitter von Fertigungsreagenzien zurück, wenn Ihr Edelsteine schleift, um Eure Fertigkeit für zukünftige Schleifarbeiten zu erhöhen.",1,302
298,"Erlernt, wie Ihr Fertigungsreagenzien herstellen könnt, um Euren Edelsteinschliff zu verbessern.",0,302
299,"Erhaltet zusätzliche Fertigkeit und Einfallsreichtum, wenn Ihr Reagenzien herstellt.",2,303
300,"Verbessert Eure Fähigkeit, beim Sondieren Edelsteine und Reagenzien zu finden.",1,303
301,"Erlernt, mehrere optionale Reagenzien wie die Elementarfokuslinse herzustellen.",0,303
334,Erhaltet Überschuss bei der Herstellung von Fläschchen und Phiolen.,3,312
335,"Erhöht Eure Mehrfachherstellung, Euren Einfallsreichtum und Eure Fertigkeit bei der Herstellung von Fläschchen und Phiolen.",2,312
337,"Erlernt, Fläschchenkessel herzustellen.",1,312
338,Stellt zusätzliche seelengebundene Fläschchen pro Tag her.,0,312
339,"Erhöht Eure Fertigkeit sowie Genialität und verringert Eure Konzentrationskosten, wenn Ihr Rezepte mit bestimmten Kräutern herstellt.",3,313
340,Stellt Reagenzien aus Kombinationen von Kräutern her.,2,313
341,"Verbessert Eure Chance, neue alchemistische Formeln zu finden.",1,313
342,Verringert das Risiko und erhöht die Vorteile von Experimenten mit den Kräutern von Khaz Algar.,0,313
343,"Erhöht Eure Mehrfachherstellung, Euren Einfallsreichtum und Eure Fertigkeit bei der Herstellung von Tränken.",2,314
344,"Erlernt, Trankkessel herzustellen.",1,314
346,Stellt zusätzliche seelengebundene beschworene Tränke pro Tag her.,0,314
347,"Erhöht Euren Einfallsreichtum, Eure Fertigkeit und die zusätzliche Ausbeute aus Eurer Thaumaturgie und Euren Transmutationen.",2,315
348,Stellt Kernwegkatalysatoren her.,1,315
349,Erhaltet zusätzliche Transmutagene aus Eurer Thaumaturgie und Euren Transmutation.,0,315
350,Erhaltet zusätzliche Fertigkeit bei der Herstellung von Rüstung und Schilden.,3,316
351,"Verbessert Eure Fähigkeit, Ausrüstung mit dem Meisterhammer zu reparieren.",2,316
352,"Fügt optionale und Fertigungsreagenzien bei der Herstellung von Rüstung und Schilden hinzu, um ihr Potenzial zu erhöhen.",1,316
353,Erlernt Rezepte zur Herstellung von epischen Plattenrüstungen und -schilden.,0,316
354,Erhaltet zusätzliche Aufladungen ewig brennender Zündung und verringert deren Abklingzeitrate.,2,317
355,"Verstärkt die ewig brennende Zündung, um noch mehr Genialität, Mehrfachherstellung und Einfallsreichtum zu gewähren.",1,317
356,"Erlernt, eine ewig brennende Zündung herzustellen, um Eure Handwerksfertigkeiten zu entfachen.",0,317
361,Erhaltet zusätzliche Fertigkeit bei der Herstellung von Waffen.,3,320
362,"Verbessert Eure Fähigkeit, Ausrüstung mit dem Meisterhammer zu reparieren.",2,320
363,"Fügt optionale und Fertigungsreagenzien bei der Herstellung von Waffen hinzu, um ihr Potenzial zu erhöhen.",1,320
364,"Erlernt Rezepte, um epische Waffen herzustellen.",0,320
367,"Verbessert Eure Fähigkeit, Verbrauchsgegenstände wie Waffensteine und Rahmen herzustellen.",1,322
368,"Fügt optionale und Fertigungsreagenzien bei der Herstellung von Berufsausrüstung hinzu, um ihr Potenzial zu erhöhen.",0,322
369,"Erhaltet bei der Gewinnung von Dunkelmond-Karten ""Begünstigtes Glück"".",2,323
370,"Erhaltet beim Herstellen von Vantusrunen, Verträgen und Schriftstücken stapelbare Herstellungsgeschwindigkeit.",1,323
371,"Schaltet die Fähigkeit frei, verschiedene Dunkelmond-Karten zu gewinnen und herzustellen.",0,323
372,Verbraucht beim Herstellen von Waffen und Berufsausrüstung weniger Konzentration.,2,324
373,Erhaltet mehr Einfallsreichtum und verbessert dessen Effizienz beim Herstellen von Waffen und Berufsausrüstung.,1,324
374,Learn to craft (NYI)T2 Inscription Quill.,0,324
375,"Erhaltet beträchtliche Mengen Genialität, Mehrfachherstellung und Einfallsreichtum.",1,325
376,"Erlernt, wie Abhandlungen hergestellt werden, und erhaltet die Fähigkeit, pro Woche eine zusätzliche Abhandlung zu verwenden.",0,325
377,Erhaltet beim Mahlen und Herstellen von Reagenzien eine zusätzliche Fertigkeit.,1,326
378,"Erhöht die Geschwindigkeit, mit der Ihr große Mengen Reagenzien mahlt und herstellt.",0,326
379,"Schaltet die Fähigkeit frei, manchmal magische Essenzen zu gewinnen, wenn Ihr epische Gegenstände entzaubert.",2,327
380,"Erhöht die Menge an Sturmstaub und glänzenden Scherben, die Ihr beim Entzaubern erhalten könnt.",1,327
381,"Erhöht die Menge an Verzauberkunstreagenzien, die beim Entzaubern erzeugt werden.",0,327
382,"Meistert Formeln für Verbrauchsgegenstände, die ihre Wirksamkeit erhöhen.",2,328
383,"Erlernt, wie mächtige Zauberstäbe und Verzauberungsruten hergestellt werden.",1,328
384,"Verbessert die Qualität Eurer Illusionen, um ihre Dauer zu erhöhen.",0,328
385,"Verringert die Menge an Konzentration, die erforderlich ist, um sich auf eine permanente Verzauberung zu konzentrieren, wenn Ihr darin vollständig spezialisiert seid.",2,329
386,"Erlernt eine Vielzahl neuer Formeln, um Eure Ausrüstung zu verbessern.",1,329
387,Verbessert die Qualität Eurer permanenten Verzauberungen.,0,329
388,Erhöht den Ertrag durch Mehrfachherstellung von verbrauchbaren Erzeugnissen.,2,330
389,Erhöht die Effizienz Eurer Konzentration und Genialität.,1,330
390,"Erlernt, wie Ihr magische Essenzen zerschmettert, um vorübergehende Boni zu erhalten, die mit fortschreitender Spezialisierung besser werden.",0,330
391,"Verbessert die Geschwindigkeit, mit der Ihr Erz abbaut, um noch mehr abbauen zu können!",3,331
392,"Verbessert die Fähigkeit, flüchtige Nullsteine zu sammeln.",2,331
393,"Erlernt Verfeinerungsrezepte, die es Euch ermöglichen, die Qualität kleiner Mengen Erz zu verbessern.",1,331
394,"Erhaltet Fertigkeitsverbesserungen, um beim Abbau von Erzen, auf die Ihr Euch spezialisiert habt, Erz von höherer Qualität zu gewinnen.",0,331
395,"Erzbrocken, die beim Abbauen gelöst wurden, können für zusätzlichen Erzgewinn abgebaut werden.",2,332
396,"Verbessert beim Abbauen in Khaz Algar Eure Finesse, Gewandtheit und Wahrnehmung.",1,332
397,"Erlernt, wie Ihr während des Reitens Erzablagerungen abbaut.",0,332
398,"Erhaltet eine zusätzliche Aufladung von ""Überladen"".",2,333
399,"Erlernt, wie Ihr Euch selbst schützt und mehr Ertrag aus ungewöhnlichen Vorkommen in Khaz Algar erzielt.",1,333
400,"Erhaltet beim Abbauen eine beträchtliche Verringerung der Abklingzeit von ""Überladen"".",0,333
401,Durchdringt mächtige Ausrüstung mit Set-Boni mit Morgengewebten und Dämmergewirkten Fäden.,3,334
402,Stellt pro Tag mehr Dämmergewirkte und Morgengewebte Bolzen her.,2,334
403,"Stellt einzigartige optionale Reagenzien her, die sämtliche Abenteurer nutzen.",1,334
404,Erlernt Rezepte zur magischen Konsistenz des Lichts der Morgendämmerung und des Schattens der Abenddämmerung.,0,334
405,Durchdringt mächtige Ausrüstung mit Set-Boni mit Morgengewebten und Dämmergewirkten Fäden.,3,335
406,Stellt pro Tag mehr Dämmergewirkte und Morgengewebte Bolzen her.,2,335
407,"Stellt einzigartige optionale Reagenzien her, die sämtliche Abenteurer nutzen.",1,335
408,Erlernt Rezepte zur magischen Konsistenz des Lichts der Morgendämmerung und des Schattens der Abenddämmerung.,0,335
409,"Fügt optionale Reagenzien und Fertigungsreagenzien hinzu, um geweihte Ausrüstung noch mehr zu verstärken.",3,336
410,Erhaltet beim Herstellen geweihter Ausrüstung zusätzliche Fertigkeit.,2,336
411,Erhöht die Gegenstandsstufe Eurer geweihten Ausrüstung. ,1,336
412,"Weiht Weberstoff, um mächtige geweihte Ausrüstung zu erhalten.",0,336
413,"Fügt optionale Reagenzien und Fertigungsreagenzien hinzu, um geweihte Ausrüstung noch mehr zu verstärken.",3,337
414,Erhaltet beim Herstellen geweihter Ausrüstung zusätzliche Fertigkeit.,2,337
415,Erhöht die Gegenstandsstufe Eurer geweihten Ausrüstung. ,1,337
416,"Weiht Weberstoff, um mächtige geweihte Ausrüstung zu erhalten.",0,337
417,"Fügt optionale Reagenzien und Fertigungsreagenzien hinzu, um geweihte Ausrüstung noch mehr zu verstärken.",3,338
418,Erhaltet beim Herstellen geweihter Ausrüstung zusätzliche Fertigkeit.,2,338
419,Erhöht die Gegenstandsstufe Eurer geweihten Ausrüstung. ,1,338
420,"Weiht Weberstoff, um mächtige geweihte Ausrüstung zu erhalten.",0,338
427,"Lernt, wie Ihr Eure Ausrüstungswaren mit Verzierungen, Schriftstücken und Zahnrädern verbessert.",2,341
428,Schaltet neue Kampf- und Berufsausrüstungsbaupläne frei.,1,341
429,Erhaltet bei der Herstellung jeglicher Ausrüstung beträchtliche Fertigkeitsboni.,0,341
430,"Meistert eine geheime Technik, um Sprengstoff trotz seiner offensichtlichen Detonation zu erhalten.",2,342
431,"Verbessert die Fähigkeit, Tüfteleien, Sprengstoff und andere Geräte effizient herzustellen.",1,342
432,"Werdet immer sicherer im Umgang mit Euren eigenen Geräten, um die Wahrscheinlichkeit katastrophaler Resultate zu verringern.",0,342
433,"Werdet kreativ im Umgang mit Eurem Schrott, um effizientere Gewinne zu erhalten.",2,343
434,"Verbessert Eure Fähigkeit, neue Vorrichtungen zu erfinden und aus Euren Fehlern zu lernen.",1,343
435,Erhaltet beträchtliche Fertigkeitsverbesserungen für alle Handwerkswaren der Ingenieurskunst.,0,343
440,"Verbessert die Qualität der Materialien, die Ihr nutzt, und perfektioniert Euer Schneiderei-Imperium.",3,345
441,"Werdet eine Koryphäe im Besticken hochwertiger Fertigungsreagenzien, die in zahlreichen Herstellungsprozessen zum Einsatz kommen.",2,345
442,"Perfektioniert Eure Fähigkeit, Stoff von höchster Qualität zu zerfasern und zu weben.",1,345
443,"Stellt mächtige Zauberfäden her, die von sämtlichen Abenteurern verwendet werden.",0,345
444,Erhöht die Wirksamkeit von Mehrfachherstellung für alle Rezepte.,3,346
445,Erhöht die Wirksamkeit von Einfallsreichtum für alle Rezepte.,2,346
446,Erhöht die Wirksamkeit von Genialität für alle Rezepte.,1,346
447,"Erhöht die Menge an Stoff, die Ihr in Khaz Algar findet.",0,346
448,"Fügt optionale Reagenzien und Fertigungsreagenzien hinzu, um geweihte Ausrüstung noch mehr zu verstärken.",3,347
449,Erhaltet beim Herstellen geweihter Ausrüstung zusätzliche Fertigkeit.,2,347
450,Erhöht die Gegenstandsstufe Eurer geweihten Ausrüstung. ,1,347
451,"Weiht Weberstoff, um mächtige geweihte Ausrüstung zu erhalten.",0,347
452,Verziert Eure Ausrüstung mit mächtigen Dunkelmondsiegeln.,2,348
453,"Verbessert Eure Fähigkeit, Verträge, Schriftstücke und Vantusrunen herzustellen.",1,348
454,"Erlernt, wie man Dunkelmond-Karten in Khaz Algar findet und umschreibt.",0,348
455,"Verfeinert die Ausrüstungsproduktion, um Ressourcen zu sparen.",2,349
456,Stellt hochwertige Stäbe und Schildhände für den Kampf her.,1,349
457,Meistert Eure Feder und perfektioniert andere Berufswerkzeuge.,0,349
458,"Wertet Eure Herstellungswerte, darunter Genialität, Einfallsreichtum und Mehrfachherstellung, beträchtlich auf.",2,350
459,Erlangt pro Woche mehr Wissen aus Abhandlungen.,1,350
460,"Werdet eine Koryphäe für Algarische Abhandlungen, die in allen Berufen Anwendung finden.",0,350
461,Erhaltet zusätzliche Fertigkeit bei der Herstellung aller Inschriftenkundereagenzien.,1,351
462,"Erlernt, wie Ihr schnell Inschriftenkundereagenzien erzeugt, wenn Ihr große Mengen herstellt.",0,351
463,Verziert Eure Ausrüstung mit mächtigen Dunkelmondsiegeln.,2,352
464,"Verbessert Eure Fähigkeit, Verträge, Schriftstücke und Vantusrunen herzustellen.",1,352
465,"Erlernt, wie man Dunkelmond-Karten in Khaz Algar findet und umschreibt.",0,352
466,"Fügt optionale Reagenzien und Fertigungsreagenzien hinzu, um geweihte Ausrüstung noch mehr zu verstärken.",3,353
467,Erhaltet beim Herstellen geweihter Ausrüstung zusätzliche Fertigkeit.,2,353
468,Erhöht die Gegenstandsstufe Eurer geweihten Ausrüstung. ,1,353
469,"Weiht Weberstoff, um mächtige geweihte Ausrüstung zu erhalten.",0,353
470,Verziert Eure Ausrüstung mit mächtigen Dunkelmondsiegeln.,2,354
471,"Verbessert Eure Fähigkeit, Verträge, Schriftstücke und Vantusrunen herzustellen.",1,354
472,"Erlernt, wie man Dunkelmond-Karten in Khaz Algar findet und umschreibt.",0,354
