Name_lang,InitialRotation[0],InitialRotation[1],InitialRotation[2],ID,Field_12_0_0_63534_003,GameObjectID,Flags,Type,ModelType,ModelFileDataID,ThumbnailFileDataID,WeightCost,ItemID,InitialScale,Field_12_0_0_63534_013,OrderIndex,Field_12_0_0_63534_015,Field_12_0_0_63534_016,UiModelSceneID
[DNT] 12PH_Opulent_INE01_Partition_W_S.wmo - DO NOT USE - unfinished,0,0,0,671,0,0,131,1,2,6694416,0,100,253421,1,0,877,0,0,0
[DNT] 12PH_Opulent_INE01_Partition_W_L_Arch.wmo - DO NOT USE - unfinished,0,0,0,672,0,0,131,1,2,6694414,0,100,253423,1,0,878,0,0,0
Mondgesegnete Vorratstruhe,0,0,0,673,0,0,3,1,1,1096755,7416061,1,238857,1,10,70,2,0,0
Uralter hoher Elfenlehnstuhl,0,0,0,674,0,554701,3,1,1,1096835,7416065,1,245449,1,10,71,2,0,0
Cenarische Sichtblende,0,0,0,675,0,0,3,1,1,1108747,7416069,3,238859,1,10,72,3,0,0
Luxusbett aus Val'sharah,0,0,0,676,0,0,3,1,1,1108751,7416073,3,238860,1,10,73,2,0,0
Rechteckiger cenarischer Teppich,0,0,0,677,0,0,3,4,1,1108813,7416077,5,238861,1,10,74,2,0,0
[DNT] Cenarion Round Rug - do not use - new asset,0,0,0,678,0,0,192,4,1,1115314,7416081,3,238862,2,0,75,2,0,0
Schreibtisch der Kaldorei,0,0,0,679,0,0,3,1,1,1240416,7416085,3,238863,1,10,76,2,0,0
Holzstuhl aus Silbermond,0,0,0,714,0,554684,3,1,1,4235683,7416089,1,245284,1,10,77,2,0,0
Kleines Bücherregal aus Silbermond,0,0,0,715,0,0,131,1,1,4239013,7416093,1,245279,1,10,78,0,0,0
Vorratstruhe der Archäologischen Akademie,0,0,0,716,0,0,3,1,1,4239016,7416097,1,245285,1,10,79,2,0,0
Langer Teppich der Sin'dorei,0,0,0,717,0,0,3,4,1,4239027,7416101,5,245287,1,10,80,2,0,0
Runder Teppich der Sin'dorei,0,0,0,718,0,0,3,4,1,4239028,7416107,3,245288,1,10,81,2,0,0
Teleskop der Archäologischen Akademie,0,0,0,720,0,0,3,1,1,4496829,7416109,1,238975,1,10,82,3,0,0
Deckenspinnennetz,0,0,0,721,0,0,3,1,1,6709919,7416113,1,245400,1,0,83,1,0,0
Gewölbtes Spinnennetz,0,0,0,722,0,0,3,1,1,6709920,7416119,1,245401,1,0,84,1,0,0
Kleines baumelndes Spinnennetz,0,0,0,723,0,0,3,3,1,6709924,7416121,1,245402,1,0,85,1,0,0
Großes baumelndes Spinnennetz,0,0,0,724,0,0,3,3,1,6709925,7416125,1,245403,1,0,86,1,0,0
Säulenspinnennetz,0,0,0,725,0,0,3,1,1,6709926,7416131,1,245404,1,0,87,1,0,0
Schmiedeeiserner Kronleuchter,0,0,0,726,0,527893,2,3,1,6712076,7416133,3,239075,1,0,88,1,2,0
[DNT] Chair - do not use,0,0,0,744,0,0,192,1,1,6372825,7413231,3,245351,1,0,89,0,0,0
Teller des hungrigen Menschen,0,0,0,749,0,0,3,1,1,960868,7416137,1,245428,1,10,90,2,0,0
Büchersturm der Tirisgarde,0,0,0,750,0,0,3,1,1,964976,7416141,3,245429,1,10,91,3,0,0
Holzkrug,0,0,0,751,0,0,3,1,1,1002891,7416147,1,239162,1,10,92,2,0,0
"Gemälde ""Nacht über dem Juwelenverzierten Anwesen""",0,0,0,752,0,0,2,2,1,1399648,7416149,1,245448,1,10,93,3,0,0
"Gemälde ""Die letzte Studie""",0,0,0,753,0,0,130,2,1,1465437,7416155,1,245447,1,10,94,0,0,0
"Gemälde ""Der gefallene Erzmagier""",0,0,0,754,0,0,130,2,1,1472527,7416157,1,245446,1,10,95,0,0,0
Hummerteller nach Boralus-Art,0,0,0,755,0,0,3,1,1,1852909,7416163,1,245484,1,10,96,2,0,0
Venthyrfoliant der unverziehenen Sünden,0,0,0,756,0,0,3,1,1,3533100,7416167,1,245501,1,10,97,2,0,0
"Gemälde ""Aspekte in den Wolken""",0,0,0,757,0,0,130,2,1,4504445,7416169,1,245277,1,10,98,0,0,0
"Gemälde ""Wasserfallheim""",0,0,0,758,0,0,130,2,1,4629274,7416175,1,245278,1,10,99,0,0,0
Dornische Stein- und Käseplatte,0,0,0,759,0,0,3,1,1,5203802,7416177,1,239170,1,10,100,3,0,0
Literatur von Dornogal,0,0,0,760,0,0,3,1,1,5346791,7416181,1,245295,1,10,101,2,0,0
Literatur von Taelloch,0,0,0,761,0,0,3,1,1,5346792,7416185,1,245296,1,10,102,2,0,0
Literatur von Gundargaz,0,0,0,762,0,0,3,1,1,5346796,7416189,1,245297,1,10,103,2,0,0
Gesammelte Schriften der Arathi,0,0,0,763,0,0,3,1,1,5533958,7416193,1,245293,1,10,104,2,0,0
Juwelenbesetzter Kelch des Ratsvorstehers,0,0,0,764,0,0,3,1,1,5647269,7416197,1,245294,1,10,105,2,0,0
Sammelsurium des Kahetiräubers,0,0,0,765,0,0,3,1,1,5650143,7416201,1,245326,1,10,106,2,0,0
Offener Foliant des Zwielichtnihilismus,0,0,0,766,0,0,3,1,1,6717970,7416205,1,239177,1,10,107,2,0,0
Foliant der Silbermondintrigen,0,0,0,767,0,0,3,1,1,6717972,7416209,1,245332,1,10,108,3,0,0
Foliant des Zwielichtnihilismus,0,0,0,768,0,0,3,1,1,6717974,7416215,1,239179,1,10,109,2,0,0
"Gemälde ""Rand von Val'sharah""",0,0,0,769,0,0,130,2,1,6718228,7416217,1,245331,1,10,110,0,0,0
Obst- und Gemüsestand aus Sturmwind,0,0,0,770,0,0,3,1,1,6324621,7416221,5,245367,1,0,111,1,0,0
Kleine Ansammlung Mohnblumen,0,0,0,771,0,0,3,1,1,6242990,7416225,1,245329,1,0,112,1,0,0
Kriechender Eckenefeu,0,0,0,772,0,0,3,1,1,6717275,7416229,1,245327,1,0,113,1,0,0
Kleiner Buchsbaumbusch,0,0,0,773,0,0,3,1,1,6254055,7416233,1,245328,1,0,114,1,0,0
Gemütliches Vierrohrbett,0,0,0,825,0,0,3,1,1,5793099,7416237,5,245306,1,10,115,2,0,0
[DNT] Relaxing Goblin Beach Chair with Cup Gripper - DO NOT USE - new asset,0,0,0,826,0,554706,192,1,1,5793100,7416241,3,245304,1,0,116,0,0,0
Raketenunangetriebene Rakete,0,0,0,827,0,0,3,1,1,5900860,7416245,3,245303,1,10,117,2,0,0
Gut beleuchtetes Sofa des Inkontinental,0,0,0,828,0,0,3,1,1,5929345,7467860,3,239213,1,10,118,2,0,0
Gut beleuchtete Couch des Inkontinental,0,0,0,829,0,0,3,1,1,5929346,7427579,3,239214,1,10,119,2,0,0
Gebänderte Kiste aus Lordaeron,0,0,0,837,0,0,3,1,1,2341251,7416257,1,245467,1,10,120,2,0,0
Gebändertes Fass aus Lordaeron,0,0,0,838,0,0,3,1,1,2341255,7416261,1,245463,1,10,121,2,0,0
Inaktiver Seuchenkanister,0,0,0,839,0,0,3,1,1,2351845,7416265,1,245464,1,10,122,2,0,0
Banner der Bansheekönigin,0,0,0,840,0,0,2,2,1,2530077,7416269,5,245462,1,10,123,2,0,0
[DNT] 12PH_Opulent_IBE01_Partition_W_L.wmo - DO NOT USE - duplicate,0,0,0,848,0,0,131,1,2,6694335,0,100,253425,1,0,843,0,0,0
Sarg aus Brill,0,0,0,854,0,0,3,1,1,189415,7416273,3,245502,1,10,124,2,0,0
Gilnearischer Kessel,0,0,0,855,0,566043,35,1,1,304249,7416277,1,245517,1,10,125,2,0,0
[DNT] Gilnean Problem Solver - Do Not Use - Updated Asset Available,0,0,0,856,0,0,192,1,1,304637,7416283,1,245519,1,0,126,0,0,0
Gilnearisches Partyfass,0,0,0,857,0,0,3,1,1,304638,7416285,1,245520,1,10,127,3,0,0
Hühnerstall der Worgen,0,0,0,858,0,0,3,1,1,305584,7416289,3,245518,1,10,128,2,0,0
Gilnearische Bank,0,0,0,859,0,618818,3,1,1,7508748,7416293,3,245516,1,10,129,2,0,0
Gilnearisches Holzbett,0,0,0,860,0,0,3,1,1,322817,7416297,3,245515,1,10,130,2,0,0
Offene gebänderte Kiste aus Lordaeron,0,0,0,861,0,0,131,1,1,2341253,7416301,1,245468,1,10,131,0,0,0
Beschlagener Tisch der Verlassenen,0,0,0,862,0,0,3,1,1,2341256,7416307,5,245473,1,10,132,2,0,0
Holzstuhl aus Tirisfal,0,0,0,863,0,554703,3,1,1,2341259,7416309,1,245465,1,10,133,2,0,0
Stachelstuhl der Verlassenen,0,0,0,864,0,554704,3,1,1,2341260,7416315,3,245466,1,10,134,2,0,0
Runder Teppich der Verlassenen,0,0,0,865,0,0,3,4,1,2620663,7416317,3,239606,1,10,135,2,0,0
Studiertisch der Sin'dorei,0,0,0,866,0,0,131,1,1,6727994,7416321,3,245397,1,10,136,0,0,0
[DNT] 12PH_Opulent_IBE01_Partition_W_S.wmo - DO NOT USE - duplicate,0,0,0,916,0,0,131,1,2,6694336,0,100,253427,1,0,818,0,0,0
Sargdeckel aus Brill,0,0,0,922,0,0,3,1,1,189416,7416325,3,245503,1,10,137,2,0,0
Zaun aus Lordaeron,0,0,0,923,0,0,3,1,1,397900,7416329,1,245504,1,10,138,2,0,0
Zaunpfahl aus Lordaeron,0,0,0,924,0,0,3,1,1,397901,7416333,1,245505,1,10,139,2,0,0
Fass aus Elodor,0,0,0,925,0,0,3,1,1,875378,7416337,1,241043,1,10,140,2,0,0
Kiste von Argus,0,0,0,926,0,0,3,1,1,877007,7416343,1,241044,1,10,141,2,0,0
Kugelförmiger Formschnitt der Draenei,0,0,0,927,0,0,3,1,1,904942,7416345,3,245423,1,10,142,2,0,0
Hängende Draenethystlampe,0,0,0,928,0,0,2,3,1,917996,7416349,1,245425,1,10,143,2,0,0
Bett aus Karabor,0,0,0,929,0,0,3,1,1,979920,7416353,5,245421,1,10,144,2,0,0
Bücherregal der Draenei,0,0,0,930,0,0,3,1,1,979926,7416359,3,245422,1,10,145,2,0,0
Draenische Aufbewahrungstruhe,0,0,0,931,0,563600,3,1,1,1062118,7416361,3,245424,1,10,146,2,0,0
Kriegsplanungstisch der Verlassenen,0,0,0,932,0,0,2,1,1,2341258,7416365,5,245474,1,10,147,3,0,0
Stachelwaffenständer aus Lordaeron,0,0,0,933,0,0,3,1,1,2351848,7416369,3,245483,1,10,148,2,0,0
Laterne aus Lordaeron,0,0,0,934,0,0,2,1,1,2353882,7416373,1,245469,1,10,149,2,0,0
Langer Tisch der Verlassenen,0,0,0,935,0,0,3,1,1,2445708,7416377,5,245475,1,10,150,2,0,0
Hängelaterne aus Lordaeron,0,0,0,936,0,0,2,2,1,2470997,7416381,1,245470,1,10,151,2,0,0
Großes Kriegszelt der Verlassenen,0,0,0,937,0,0,3,1,1,2481224,7416385,5,245476,1,10,152,3,0,0
Kleines Kriegszelt der Verlassenen,0,0,0,938,0,0,3,1,1,2481225,7416389,5,245477,1,10,153,3,0,0
Seuchenfeuerlaterne,0,0,0,939,0,0,2,1,1,2493893,7416393,1,245471,1,10,154,2,0,0
Hängende Seuchenfeuerlaterne,0,0,0,940,0,0,2,2,1,2493894,7416397,1,245472,1,10,155,2,0,0
Wandleuchte aus Lordaeron,0,0,0,941,0,0,2,2,1,2503603,7416401,1,245478,1,10,156,2,0,0
Seuchenfeuerwandleuchte,0,0,0,942,0,0,2,2,1,2510482,7416405,1,245479,1,10,157,2,0,0
Stacheltruhe aus Unterstadt,0,0,0,943,0,0,3,1,1,2579334,7416409,3,245482,1,10,158,2,0,0
Rechteckiger Teppich aus Lordaeron,0,0,0,944,0,0,3,4,1,2620664,7416415,3,241062,1,10,159,2,0,0
Fackel aus Lordaeron,0,0,0,945,0,0,2,1,1,2622608,7416419,3,245480,1,10,160,2,0,0
Seuchenfeuerfackel,0,0,0,946,0,0,2,1,1,2622609,7416421,3,245481,1,10,161,2,0,0
Dunkelschiffslaterne,0,0,0,947,0,0,2,1,1,6431407,7416425,1,245411,1,10,162,3,0,0
Stachelkohlenpfanne der Verlassenen,0,0,0,948,0,0,2,1,1,6431408,7416429,3,241066,1,10,163,2,0,0
Große Stachelkohlenpfanne der Verlassenen,0,0,0,949,0,0,2,1,1,6431409,7416433,3,241067,1,10,164,2,0,0
Eleganter gepolsterter Stuhl,0,0,0,984,0,570990,3,1,1,6435017,7416437,1,241617,1,0,828,1,0,0
Eleganter gepolsterter Schemel,0,0,0,985,0,567418,3,1,1,6435018,7416441,1,241618,1,0,844,1,0,0
Elegante bedeckte Bank,0,0,0,986,0,614755,3,1,1,6435019,7467868,3,253437,1,0,829,1,0,0
Elegante Holzkommode,0,0,0,987,0,0,3,1,1,6435025,7416445,3,241620,1,0,940,1,0,0
Kleiner eleganter Beistelltisch,0,0,0,988,0,0,3,1,1,6435026,7416449,3,241621,1,0,845,1,0,0
Verzierter Waffenständer,0,0,0,989,0,0,3,1,1,6435030,7416453,3,241622,1,0,830,1,0,0
Elegantes Elfenfass,0,0,0,990,0,0,3,1,1,6435037,7416457,1,241623,1,0,941,1,0,0
Elegante geschnitzte Bank,0,0,0,991,0,614756,3,1,1,6711382,7467869,3,253439,1,0,831,1,0,0
Offene elfische Holztruhe,0,0,0,992,0,0,131,1,1,6712072,7416461,1,241625,1,0,846,1,0,0
[DNT] Open Elegant Elven Barrel - DO NOT USE - duplicate,0,0,0,993,0,0,192,1,1,6712073,7149577,0,241626,1,0,847,0,0,0
Prachtvolles elfisches Bücherregal,0,0,0,994,0,0,3,1,1,6783465,7447729,5,253441,1,0,934,1,0,0
Flurteppich aus Sturmwind,0,0,0,1044,0,0,3,4,1,6390440,7416469,3,242255,1,0,165,1,0,0
Nachbildung: Hoffnung des Himmels,0,0,0,1080,0,0,3,1,1,6796713,7416473,1,253443,1,10,935,2,0,0
[DNT] [AUTOGEN] 11WE_WildElves_Decor_HangingBanner03.m2,0,0,0,1081,0,0,131,1,1,6841592,7416485,0,253445,1,0,931,0,0,0
Geheimnisvolle Bücherregalwand,0,0,0,1083,0,535963,3,1,1,6840500,7416481,5,245370,1,0,166,1,0,0
Expeditionszelt der Dunkeleisenzwerge,0,0,0,1118,0,0,3,1,1,1019061,7416477,5,245427,1,10,167,2,0,0
Bärenhautteppich aus Loch Modan,0,0,0,1119,0,0,3,4,1,4871092,7416487,5,242948,1,10,168,2,0,0
Nachbildung: Maulwurfmaschine der Dunkeleisenzwerge,0,0,0,1120,0,0,3,1,1,4993909,7416493,5,245291,1,10,169,3,0,0
G.L.Ü.C.K.-Automat des Garbagio,0,0,0,1121,0,0,3,1,1,5933736,7416497,5,245302,1,10,170,3,0,0
Stabile Holzbank,0,0,0,1122,0,554708,3,1,1,6390429,7416501,3,242951,1,0,171,1,0,0
Weidenkorb,0,0,0,1123,0,0,3,1,1,6390444,7416507,1,245334,1,0,172,1,0,0
[DNT] [AUTOGEN] 12BE_BloodElf_Crafting_Forge01.m2,0,0,0,1135,0,0,131,1,1,6033615,7416511,0,253447,1,0,942,0,0,0
[DNT] [AUTOGEN] 12BE_BloodElf_Decor_DraperySet03_Small.m2,0,0,0,1136,0,0,131,1,1,6212401,7416513,0,253449,1,0,816,0,0,0
Schleierwurzelbrunnen,0,0,0,1137,0,0,3,1,1,6839738,7416519,3,253451,1,10,815,2,0,0
[DNT] [AUTOGEN] 12BE_BloodElf_Navigation_FenceCapper01.m2,0,0,0,1138,0,0,131,1,1,6005286,0,0,253454,1,0,859,0,0,0
[DNT] [AUTOGEN] 12BE_BloodElf_Furniture_Bench01.m2,0,0,0,1139,0,547920,131,1,1,6005272,0,0,243072,1,0,860,0,0,0
[DNT] [AUTOGEN] 12TR_Amani_Ritual_Sarcophagus03.m2,0,0,0,1140,0,0,131,1,1,6195752,7416529,0,253455,1,0,861,0,0,0
Ledergebundenes Wandregal der Haranir,0,0,0,1142,0,0,3,2,1,6856605,7416533,3,253457,1,10,914,2,0,0
[DNT] [AUTOGEN] 11WE_WildElves_Decor_Jug01.m2,0,0,0,1143,0,0,131,1,1,6796709,7416537,0,253459,1,0,862,0,0,0
[DNT] [AUTOGEN] 12RU_Rutaani_Decor_Fountain01_LightBloom.m2,0,0,0,1144,0,0,131,1,1,6859299,7416541,0,253461,1,0,863,0,0,0
[DNT] [AUTOGEN] 12RU_Rutaani_Storage_SporePod01_LightBloom.m2,0,0,0,1145,0,0,131,1,1,6859298,7416545,0,253463,1,0,864,0,0,0
[DNT] [AUTOGEN] 12BE_BloodElf_Graveyard_Gravestone01.m2,0,0,0,1146,0,0,131,1,1,6036072,7416549,0,253465,1,0,891,0,0,0
[DNT] [AUTOGEN] 12RU_Rutaani_Storage_SporePod01.m2,0,0,0,1147,0,0,131,1,1,6055100,7416559,0,253467,1,0,865,0,0,0
Ritualverfluchter Sarkophag,0,0,0,1148,0,0,3,1,1,6195750,7416555,2,253469,1,10,892,2,0,0
[DNT] [AUTOGEN] 11WE_WildElves_Decor_WallShelf01.m2,0,0,0,1149,0,0,131,1,1,6856604,7416561,0,253471,1,0,893,0,0,0
[DNT] [AUTOGEN] 12TR_Amani_Ritual_Sarcophagus02.m2,0,0,0,1150,0,0,131,1,1,6195751,7416565,0,253473,1,0,894,0,0,0
[DNT] [AUTOGEN] 12RU_Rutaani_Storage_SporeContainer01_Lightbloom.m2,0,0,0,1151,0,0,131,1,1,6859297,7416569,0,253475,1,0,809,0,0,0
[DNT] [AUTOGEN] 12RU_Rutaani_Storage_SporeContainer01.m2,0,0,0,1152,0,0,131,1,1,6055099,7416573,0,253477,1,0,810,0,0,0
Kleiner eleganter gepolsterter Stuhl,0,0,0,1153,0,612070,3,1,1,6435016,7416579,1,253479,1,0,832,1,2,0
[DNT] [AUTOGEN] 12BE_BloodElf_Graveyard_Gravestone04.m2,0,0,0,1154,0,0,131,1,1,6036347,7416581,0,253481,1,0,833,0,0,0
Stehender verzierter Waffenständer,0,0,0,1155,0,0,3,1,1,6435831,7416585,3,243088,1,0,933,1,0,0
[DNT] [AUTOGEN] 12BE_BloodElf_Graveyard_Gravestone05.m2,0,0,0,1156,0,0,131,1,1,6036348,7416589,0,253483,1,0,915,0,0,0
Robuster Haranirstuhl,0,0,0,1157,0,616711,3,1,1,6854359,7416593,1,243090,1,10,906,2,0,0
[DNT] [AUTOGEN] 11WE_WildElves_Furniture_Chair01_SitMedium.m2,0,0,0,1158,0,0,131,1,1,6854358,7416597,0,243091,1,0,932,0,0,0
Ehrenstein der Sin'dorei,0,0,0,1159,0,0,3,1,1,6036095,7416601,1,253485,1,10,907,2,0,0
Diamantehrenstein,0,0,0,1160,0,0,3,1,1,6036096,7416605,1,253488,1,10,916,2,0,0
"Kleine Maske von Bwonsamdi, Loa der Gräber",0,0,0,1161,0,0,2,1,1,1929218,7416609,1,245496,1,10,173,2,0,0
