Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
Wildheit,Wildheit,"Von fanatischer Beharrlichkeit zur Verfolgung ihrer Beute getrieben, lassen sich diese fleischfressenden Bestien durch nichts von ihrem Sieg abbringen. Für diese Raubtiere ist selbst der Tod nur von kurzer Dauer.",535,0,0,0,2,32,236159,0,0,0,0
Gerissenheit,Gerissenheit,"Listige Kreaturen, die besonders gut darin sind, todbringende Schläge abzuschwächen, die auf sich selbst und ihre Verbündeten zielen.",536,0,2,2,2,32,132150,0,0,0,0
Hartnäckigkeit,Hartnäckigkeit,"Erfahrene Verteidiger, die ihre dicken Felle und ihre beschützenden Körper ohne Zögern zum Wohl ihrer Verbündeten der Gefahr in den Weg stellen.",537,0,1,1,0,32,132121,0,0,0,0
Verwüstung,Verwüstung,"Ein dunkler Meister im Umgang mit Kriegsgleven und der zerstörerischen Kraft der Teufelsmagie.
Bevorzugte Waffen: Kriegsgleven, Schwerter, Äxte, Faustwaffen",577,12,0,0,2,68,1247264,3,364,185164,0
Rachsucht,Rachsucht,"Macht sich den inneren Dämon zu eigen, um seine Gegner zu verbrennen und seine Verbündeten zu beschützen.
Bevorzugte Waffen: Kriegsgleven, Schwerter, Äxte, Faustwaffen",581,12,1,0,0,4,1247265,3,364,203747,0
Standard,Standard,,1444,7,4,0,2,3,136048,0,369,0,0
Standard,Standard,,1446,1,4,0,2,68,132355,5,0,0,0
Standard,Standard,,1447,11,4,0,2,331,136096,0,363,0,0
Standard,Standard,,1448,3,4,0,2,66,461112,2,0,0,0
Standard,Standard,,1449,8,4,0,2,67,135846,0,362,0,0
Standard,Standard,,1450,10,4,0,2,68,608953,2,618,0,0
Standard,Standard,,1451,2,4,0,2,68,135873,5,0,0,0
Standard,Standard,,1452,5,4,0,1,67,135940,0,353,0,0
Standard,Standard,,1453,4,4,0,2,68,236270,3,0,0,0
Standard,Standard,,1454,9,4,0,2,67,136145,0,357,0,0
Standard,Standard,,1455,6,4,0,2,68,135775,5,0,0,0
Standard,Standard,,1456,12,4,0,2,68,1247264,3,364,0,0
Initiand,Initiandin,,1465,13,4,0,2,3,4574311,0,0,0,0
Verheerung,Verheerung,"Entfesselt innewohnende Kräfte in Form von chaotischen roten Flammen oder konzentrierter blauer Magie, um das Schlachtfeld zu verheeren.

Bevorzugte Waffen: Stab, Schwert, Dolch, Streitkolben",1467,13,0,0,2,67,4511811,0,0,362980,0
Bewahrung,Bewahrung,"Beschwört den Smaragdgrünen Traum und die bronzenen Sande der Zeit herauf, um neues Leben einzuhauchen und vor Schaden zu bewahren.

Bevorzugte Waffen: Stab, Schwert, Dolch, Streitkolben",1468,13,1,0,1,3,4511812,0,0,363510,0
Verstärkung,Verstärkung,"Erfüllt Verbündete mit der Macht der schwarzen Drachen und beugt mithilfe von Bronzemagie Zeit und Schicksal zu ihren Gunsten.

Bevorzugte Waffe: Stab, Schwert, Dolch, Streitkolben",1473,13,2,0,2,3,5198700,0,0,406380,0
Abenteurer,Abenteurerin,,1478,14,4,0,2,2,2055034,4,0,0,0
