ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
124,Fügt allen Gegnern innerhalb von $A@effectindex Metern Schattenschaden zu.,,31,0,1,7,32,50,50
125,Fügt allen Gegnern innerhalb von $A@effectindex Metern Arkanschaden zu.,,31,0,1,7,64,50,50
126,Fügt allen Gegnern innerhalb von $A@effectindex Metern Chaosschaden zu.,,31,0,1,7,127,50,50
127,Verringert die Bewegungsgeschwindigkeit aller Gegner innerhalb von $A@effectindex Metern $d lang um $s@effectindex%.,Bewegungsgeschwindigkeit um $s@effectindex% verringert.,6,33,1,7,0,10,0
128,Fügt allen Gegnern vor dem Zaubernden körperlichen Schaden zu.,,31,0,1,9,1,50,50
129,Fügt allen Gegnern vor dem Zaubernden Feuerschaden zu.,,31,0,1,9,4,50,50
130,Lässt den Zaubernden $s@effectindex% mehr Schaden verursachen.,Verursachter Schaden um $s@effectindex% erhöht.,6,79,1,1,127,30,30
131,Verringert die Rüstung eines Gegners $d lang um $s@effectindex%.,Rüstung um $s@effectindex% verringert.,6,101,2,3,1,0,0
132,Fügt allen Gegnern innerhalb von $A@effectindex Metern körperlichen Schaden zu.,,165,0,1,7,1,50,50
136,Fügt allen Gegnern vor dem Zaubernden $s@effectindex Schattenschaden zu.,,2,0,1,9,32,50,50
137,Fügt allen Gegnern vor dem Zaubernden $s@effectindex körperlichen Schaden zu.,,2,0,1,9,1,50,50
138,Fügt allen Gegnern vor dem Zaubernden $s@effectindex Feuerschaden zu.,,2,0,1,9,4,50,50
139,Fügt allen Gegnern vor dem Zaubernden $s@effectindex Heiligschaden zu.,,2,0,1,9,2,50,50
140,Fügt allen Gegnern vor dem Zaubernden $s@effectindex Naturschaden zu.,,2,0,1,9,8,50,50
141,Fügt allen Gegnern vor dem Zaubernden $s@effectindex Frostschaden zu.,,2,0,1,9,16,50,50
142,Fügt allen Gegnern vor dem Zaubernden $s@effectindex Arkanschaden zu.,,2,0,1,9,64,50,50
143,Fügt allen Gegnern vor dem Zaubernden $s@effectindex Chaosschaden zu.,,2,0,1,9,127,50,50
144,Lässt einen Gegner $d lang $s@effectindex% mehr körperlichen Schaden erleiden.,Erlittener körperlicher Schaden um $s@effectindex% erhöht.,6,87,1,3,1,0,0
145,Lässt einen Gegner $d lang $s@effectindex% mehr Heiligschaden erleiden.,Erlittener Heiligschaden um $s@effectindex% erhöht.,6,87,1,3,2,0,0
146,Lässt einen Gegner $d lang $s@effectindex% mehr Feuerschaden erleiden.,Erlittener Feuerschaden um $s@effectindex% erhöht.,6,87,1,3,4,0,0
147,Lässt einen Gegner $d lang $s@effectindex% mehr Naturschaden erleiden.,Erlittener Naturschaden um $s@effectindex% erhöht.,6,87,1,3,8,0,0
148,Lässt einen Gegner $d lang $s@effectindex% mehr Frostschaden erleiden.,Erlittener Frostschaden um $s@effectindex% erhöht.,6,87,1,3,16,0,0
149,Lässt einen Gegner $d lang $s@effectindex% mehr Schattenschaden erleiden.,Erlittener Schattenschaden um $s@effectindex% erhöht.,6,87,1,3,32,0,0
150,Lässt einen Gegner $d lang $s@effectindex% mehr Arkanschaden erleiden.,Erlittener Arkanschaden um $s@effectindex% erhöht.,6,87,1,3,64,0,0
151,Lässt einen Gegner $d lang $s@effectindex% mehr Schaden erleiden.,Erlittener Schaden um $s@effectindex% erhöht.,6,87,1,3,127,0,0
152,Lässt alle Gegner innerhalb von $A@effectindex Metern $d lang $s@effectindex% mehr körperlichen Schaden erleiden.,Erlittener körperlicher Schaden um $s@effectindex% erhöht.,6,87,1,7,1,0,0
153,Lässt alle Gegner innerhalb von $A@effectindex Metern $d lang $s@effectindex% mehr Heiligschaden erleiden.,Erlittener Heiligschaden um $s@effectindex% erhöht.,6,87,1,7,2,0,0
154,Lässt alle Gegner innerhalb von $A@effectindex Metern $d lang $s@effectindex% mehr Feuerschaden erleiden.,Erlittener Feuerschaden um $s@effectindex% erhöht.,6,87,1,7,4,0,0
155,Lässt alle Gegner innerhalb von $A@effectindex Metern $d lang $s@effectindex% mehr Naturschaden erleiden.,Erlittener Naturschaden um $s@effectindex% erhöht.,6,87,1,7,8,0,0
156,Lässt alle Gegner innerhalb von $A@effectindex Metern $d lang $s@effectindex% mehr Frostschaden erleiden.,Erlittener Frostschaden um $s@effectindex% erhöht.,6,87,1,7,16,0,0
157,Lässt alle Gegner innerhalb von $A@effectindex Metern $d lang $s@effectindex% mehr Schattenschaden erleiden.,Erlittener Schattenschaden um $s@effectindex% erhöht.,6,87,1,7,32,0,0
158,Lässt alle Gegner innerhalb von $A@effectindex Metern $d lang $s@effectindex% mehr Arkanschaden erleiden.,Erlittener Arkanschaden um $s@effectindex% erhöht.,6,87,1,7,64,0,0
159,Lässt alle Gegner innerhalb von $A@effectindex Metern $d lang $s@effectindex% mehr Schaden erleiden.,Erlittener Schaden um $s@effectindex% erhöht.,6,87,1,7,127,0,0
160,Stürmt auf einen Gegner zu.,,96,0,0,3,0,1,0
161,Stürmt auf einen Gegner zu.,,149,0,0,3,0,1,0
162,Stürmt auf einen Gegner zu.,,149,0,0,0,0,1,0
163,Fügt allen Gegnern vor dem Zaubernden Chaosschaden zu.,,31,0,1,9,127,50,50
164,Fügt allen Gegnern vor dem Zaubernden Arkanschaden zu.,,31,0,1,9,64,50,50
165,Fügt allen Gegnern vor dem Zaubernden Frostschaden zu.,,31,0,1,9,16,50,50
166,Fügt allen Gegnern vor dem Zaubernden Naturschaden zu.,,31,0,1,9,8,50,50
167,Fügt allen Gegnern vor dem Zaubernden Heiligschaden zu.,,31,0,1,9,2,50,50
170,Fügt allen Gegnern vor dem Zaubernden Schattenschaden zu.,,31,0,1,9,32,50,50
171,Stößt alle Gegner vor dem Zaubernden zurück.,,98,0,1,9,0,0,0
172,Lässt alle Verbündeten innerhalb von $A@effectindex Metern $s@effectindex% mehr Schaden verursachen.,Verursachter Schaden um $s@effectindex% erhöht.,6,79,1,6,127,30,30
173,Verringert die Bewegungsgeschwindigkeit aller Gegner innerhalb von $A@effectindex Metern $d lang um $s@effectindex%.,Bewegungsgeschwindigkeit um $s@effectindex% verringert.,6,33,2,7,0,0,0
174,Verringert die Bewegungsgeschwindigkeit des Ziels $d lang um $s@effectindex%.,Bewegungsgeschwindigkeit um $s@effectindex% verringert.,6,33,1,3,0,0,0
175,Lässt einen Gegner $d lang $s@effectindex% weniger Schaden verursachen.,Verursachter Schaden um $s@effectindex% verringert.,6,79,2,3,127,20,20
176,Entzieht dem Ziel alle $t@effectindex Sek. Gesundheit und überträgt sie auf den Zaubernden.,Entzieht alle $t@effectindex Sek. Gesundheit.,6,53,1,3,0,0,0
177,Verringert die erhaltene Heilung aller Gegner in einem kegelförmigen Bereich vor dem Zaubernden $d lang um $s@effectindex%.,Erhaltene Heilung um $s@effectindex% verringert.,6,118,2,9,127,0,0
178,Fügt allen Gegnern in einem kegelförmigen Bereich vor dem Zaubernden Schattenschaden zu.,,165,0,1,9,32,50,50
179,Fügt allen Gegnern innerhalb von $A@effectindex Metern Naturschaden zu.,,165,0,1,7,8,50,50
180,"Bringt alle Gegner innerhalb von $A@effectindex Metern zum Schweigen, sodass sie $d lang keine Zauber wirken können.",Kann keine Zauber wirken.,6,27,0,7,0,0,0
181,Lässt den Zaubernden $d lang $s@effectindex% weniger Schaden erleiden.,Erlittener Schaden um $s@effectindex% verringert.,6,87,2,1,127,0,0
182,Teleportiert an einen Zielort.,,252,0,0,1,0,0,0
183,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex% der maximalen Gesundheit als körperlichen Schaden zu.,Verursacht alle $t@effectindex Sek. körperlichen Schaden in Höhe von $s@effectindex% der maximalen Gesundheit.,6,89,1,1,1,20,20
184,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex% der maximalen Gesundheit als Heiligschaden zu.,Verursacht alle $t@effectindex Sek. Heiligschaden in Höhe von $s@effectindex% der maximalen Gesundheit.,6,89,1,1,2,20,20
185,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex% der maximalen Gesundheit als Feuerschaden zu.,Verursacht alle $t@effectindex Sek. Feuerschaden in Höhe von $s@effectindex% der maximalen Gesundheit.,6,89,1,1,4,20,20
186,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex% der maximalen Gesundheit als Naturschaden zu.,Verursacht alle $t@effectindex Sek. körperlichen Naturschaden in Höhe von $s@effectindex% der maximalen Gesundheit.,6,89,1,1,8,20,20
187,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex% der maximalen Gesundheit als Frostschaden zu.,Verursacht alle $t@effectindex Sek. Frostschaden in Höhe von $s@effectindex% der maximalen Gesundheit.,6,89,1,1,16,20,20
188,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex% der maximalen Gesundheit als Schattenschaden zu.,Verursacht alle $t@effectindex Sek. Schattenschaden in Höhe von $s@effectindex% der maximalen Gesundheit.,6,89,1,1,32,20,20
189,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex% der maximalen Gesundheit als Arkanschaden zu.,Verursacht alle $t@effectindex Sek. Arkanschaden in Höhe von $s@effectindex% der maximalen Gesundheit.,6,89,1,1,64,20,20
190,Fügt einem Gegner $d lang alle $t@effectindex Sek. $s@effectindex% der maximalen Gesundheit als Chaosschaden zu.,Verursacht alle $t@effectindex Sek. Chaosschaden in Höhe von $s@effectindex% der maximalen Gesundheit.,6,89,1,1,127,20,20
291,Lässt alle Gegner innerhalb von $A@effectindex Metern um den Einschlagsort $d lang $s@effectindex% mehr Schaden erleiden.,Erlittener Schaden um $s@effectindex% erhöht.,6,87,1,5,127,10,10
292,Lässt alle Gegner innerhalb von $A@effectindex Metern um den Einschlagsort $d lang $s@effectindex% mehr Arkanschaden erleiden.,Erlittener Arkanschaden um $s@effectindex% erhöht.,6,87,1,5,64,10,10
293,Lässt alle Gegner innerhalb von $A@effectindex Metern um den Einschlagsort $d lang $s@effectindex% mehr Schattenschaden erleiden.,Erlittener Schattenschaden um $s@effectindex% erhöht.,6,87,1,5,32,10,10
294,Lässt alle Gegner innerhalb von $A@effectindex Metern um den Einschlagsort $d lang $s@effectindex% mehr Frostschaden erleiden.,Erlittener Frostschaden um $s@effectindex% erhöht.,6,87,1,5,16,10,10
295,Lässt alle Gegner innerhalb von $A@effectindex Metern um den Einschlagsort $d lang $s@effectindex% mehr Naturschaden erleiden.,Erlittener Naturschaden um $s@effectindex% erhöht.,6,87,1,5,8,10,10
296,Lässt alle Gegner innerhalb von $A@effectindex Metern um den Einschlagsort $d lang $s@effectindex% mehr Feuerschaden erleiden.,Erlittener Feuerschaden um $s@effectindex% erhöht.,6,87,1,5,4,10,10
297,Lässt alle Gegner innerhalb von $A@effectindex Metern um den Einschlagsort $d lang $s@effectindex% mehr Heiligschaden erleiden.,Erlittener Heiligschaden um $s@effectindex% erhöht.,6,87,1,5,2,10,10
298,Lässt alle Gegner innerhalb von $A@effectindex Metern um den Einschlagsort $d lang $s@effectindex% mehr körperlichen Schaden erleiden.,Erlittener körperlicher Schaden um $s@effectindex% erhöht.,6,87,1,5,1,10,10
299,Lässt alle Gegner innerhalb von $A@effectindex Metern $d lang $s@effectindex% mehr Schaden verursachen.,Verursachter Schaden um $s@effectindex% erhöht.,6,79,1,7,127,30,30
300,Lässt einen Gegner $d lang $s@effectindex% mehr Schaden verursachen.,Verursachter Schaden um $s@effectindex% erhöht.,6,79,1,3,127,30,30
301,Fügt einem Gegner Zauberschlagschaden zu.,,31,0,1,3,65,50,50
302,Fügt Gegnern innerhalb von $A@effectindex Metern um den Einschlagsort Feuerschaden zu.,,165,0,1,5,4,50,50
303,Lässt alle Gegner innerhalb von $A@effectindex Metern um den Einschlagsort $d lang alle $t@effectindex Sek. Feuerschaden erleiden.,Verursacht alle $t@effectindex Sek. Feuerschaden.,6,70,1,5,4,50,50
304,Verringert die Bewegungsgeschwindigkeit des Ziels $d lang um $s@effectindex%.,Bewegungsgeschwindigkeit um $s@effectindex% verringert.,6,33,2,3,0,0,0
305,Heilt den Zaubernden und alle Verbündeten innerhalb von $A@effectindex Metern $d lang alle $t@effectindex Sek. um $s@effectindex% der maximalen Gesundheit.,Heilt alle $t@effectindex Sek. $s@effectindex% der maximalen Gesundheit.,6,20,1,4,0,0,0
306,Heilt den Zaubernden und alle Verbündeten innerhalb von $A@effectindex Metern $d lang alle $t@effectindex Sek. um $s@effectindex% der maximalen Gesundheit.,Heilt alle $t@effectindex Sek. $s@effectindex% der maximalen Gesundheit.,6,20,1,6,0,0,0
308,Fügt allen Gegnern innerhalb von $A@effectindex Metern Naturschaden zu.,,2,0,1,4,8,50,50
309,Fügt allen Gegnern innerhalb von $A@effectindex Metern $d lang alle $t@effectindex Sek. Schattenschaden zu.,Verursacht alle $t@effectindex Sek. Schattenschaden.,6,70,1,7,32,50,50
310,Fügt allen Gegnern innerhalb von $A@effectindex Metern $d lang alle $t@effectindex Sek. Naturschaden zu.,Verursacht alle $t@effectindex Sek. Naturschaden.,6,70,1,7,8,50,50
