ID,Name_lang,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,CreatureDisplayID[0],CreatureDisplayID[1],CreatureDisplayID[2],CreatureDisplayID[3],PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
19,Berserkerhaltung,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Schlangenstil,-1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Zombie,6,5150,0,0,0,0,0,26942,0,0,0,57596,51230,56560,43949,56528,0,0,0
22,Metamorphose,7,2252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Ochsenstil,-1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Tigerstil,-1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Untotes Wesen,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Raserei,1,216,0,0,0,0,0,17170,0,0,0,0,0,0,0,0,0,0,0
27,Epische Fluggestalt,1,32776,0,0,0,0,246,21243,0,0,0,0,0,0,0,0,0,0,0
28,Schattengestalt,-1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Fluggestalt,1,32776,0,0,0,0,245,20857,0,0,0,0,0,0,0,0,0,0,0
30,Verstohlenheit,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Mondkingestalt,-1,2241,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Geist der Erlösung,-1,82704,0,0,0,0,0,16031,0,0,0,0,0,0,0,0,0,0,0
33,Gladiatorhaltung,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Metamorphose,3,472,1035040,0,0,0.4,0,64560,0,0,0,0,0,0,0,0,0,0,0
35,Mondkingestalt,-1,2241,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Treantgestalt,7,2257,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0
37,Geistereulengestalt,1,32776,0,0,0,0,295,38633,0,0,0,0,0,0,0,0,0,0,0
38,Geistereulengestalt,0,32776,0,0,0,0,204,38633,0,0,0,0,0,0,0,0,0,0,0
39,Irrwischgestalt,6,32776,0,0,0,0,295,10045,0,0,0,0,0,0,0,0,0,0,0
40,Irrwischgestalt,6,32776,0,0,0,0,204,10045,0,0,0,0,0,0,0,0,0,0,0
41,Seelengestalt,1,216,0,0,0,0,0,93949,0,0,0,0,0,0,0,0,0,0,0
42,Schmiedegeborene Träumereien,-1,65792,0,0,0,0,0,66094,0,0,0,0,0,0,0,0,0,0,0
43,Menschengestalt,7,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Drache der Dracheninseln,-1,217,0,4,0,0,0,0,0,0,0,372608,372610,361584,0,0,0,0,0
48,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
