Name_lang,Description_lang,ID,FiledataID
Verschlüsselt,"Im Dungeon verteilte Gegner verfügen über Relikte der Ersten. Zerstört die Relikte, um die Automas der Ersten heraufzubeschwören und Euch, in Abhängigkeit der Reihenfolge ihrer Zerstörung, mächtige Boni zu verdienen.",130,4038106
Verhüllt,"Infiltratoren der Nathrezim haben sich im Dungeon heimlich unter die Feinde gemischt. Kartell Ta wird Euch fürstlich dafür entlohnen, bei ihrer Ergreifung zu helfen.",131,136177
Donnernd,"Gegner haben 5% mehr Gesundheit. Im Kampf werden Spielercharaktere in regelmäßigen Abständen mit der Urgewalt durch Raszageths unendlichen Sturm überladen. Diese Macht birgt große Risiken, und wenn sie nicht umgehend entladen wird, kann dies erstaunliche Auswirkungen zur Folge haben.",132,1385910
Fokussiert,"Gegner mit Mana, die keine Bosse sind, erhalten um 30% erhöhtes Tempo, aber erleiden 10% mehr Frost- und Feuerschaden.",133,458224
Umschlingend,Im Kampf erscheinen regelmäßig umschlingende Ranken und fesseln Spielercharaktere.,134,134412
Befallen,"Im Kampf erscheinen regelmäßig befallene Seelen, die Spielercharaktere um Hilfe bitten.",135,0
Unkörperlich,"Im Kampf erscheinen regelmäßig unkörperliche Wesen und versuchen, Spielercharaktere zu schwächen.",136,298642
Abschirmend,"Gegner, die sich im Kampf befinden, beschwören regelmäßig Schildkugeln, die Gegnern in der Nähe einen Schild gewähren, wenn sie nicht zerstört werden.",137,535593
Dornenbedeckt,"Gegner ohne Mana, die keine Bosse sind, fügen Angreifern körperlichen Schaden zu, wenn sie angegriffen werden, aber erleiden 10% mehr Heilig- und Schattenschaden.",144,1418495
Tollkühn,"Gegner ohne Mana, die keine Bosse sind, ignorieren bei ihren Angriffen 20% Rüstung, aber ihre eigene Rüstung ist um 30% verringert und sie erleiden 10% mehr Arkanschaden.",145,132363
Abgestimmt,"Gegner mit Mana, die keine Bosse sind, verursachen 20% mehr Magieschaden, aber erleiden 10% mehr Naturschaden und 30% mehr Schaden durch Blutungseffekte.",146,1391778
Xal'ataths List,"Xal'atath betrügt Spielercharaktere und erklärt ihre Geschäfte für ungültig, während Todesfälle 15 Sekunden von der verbleibenden Zeit abziehen.",147,1723989
Xal'ataths Handel: Aszendenz,"Während des Kampfes lässt Xal'atath Kugeln kosmischer Energie niederregnen, die Gegner oder Spielercharaktere ermächtigt.",148,5976939
Tücke des Herausforderers,"Die Zeit wird um 90 Sekunden erhöht, doch beim Tod werden 15 Sekunden von der verbleibenden Zeit abgezogen.",152,1052642
Xal'ataths Handel: Raserei,"Gegner, die keine Bosse sind, verfallen bei 30% verbleibender Gesundheit in Raserei, wodurch sich ihr Tempo um 40%, aber dafür auch der von ihnen erlittene Schaden um 20% erhöht.",153,136224
Xal'ataths Handel: Leerengebunden,"Xal'atath beschwört während des Kampfes eine Leerenabgesandte, die Gegner in der Nähe ermächtigt.",158,4913234
Xal'ataths Handel: Vergessen,"Xal'atath manifestiert im Kampf Kristalle aus der Leere, die von Gegnern oder Spielercharakteren absorbiert werden können.",159,1386548
Xal'ataths Handel: Verschlingen,"Xal'atath öffnet während des Kampfes Risse, die die Essenz von Spielercharakteren verschlingen.",160,5927657
Xal'ataths Handel: Pulsare,"Xal'atath beschwört während des Kampfes Pulsare, die um die Spielercharaktere kreisen",162,4914669
,,165,0
Eternus' Prüfung: Sande der Zeit,"Im Kampf manifestiert Eternus Bronzekugeln, die eingefangen werden können.",166,348545
Eternus' Prüfung: Ewigkeitsdämmerung,"Im Kampf ruft Eternus Horden des ewigen Drachenschwarms herbei, die Spielercharaktere überfallen.",167,298656
Eternus' Prüfung: Manifestierte Zeitwege,"Im Kampf beschwört Eternus einen Elementar, der sich mehrere Male aufteilt.",168,796636
Eternus' Prüfung: Zwielichtreflexionen,Im Kampf ruft Eternus alternative bösartige Versionen von Euch herbei.,169,458243
Tyrannisch verstärkt,Bosse haben 25% mehr Gesundheit. Bosse und ihre Diener verursachen bis zu 15% mehr Schaden. Normale Gegner haben 20% mehr Gesundheit und verursachen bis zu 20% mehr Schaden.,170,970584
