TaskName_lang,Description_lang,ID,CriteriaTreeID,QuestID,ProgressContributionAmount,RepetitionContributionDampeningCurve,Supersedes,Field_12_0_0_63534_008
[DNT] Defeat Glumtooth Kobolds,[DNT] Defeat 20 Glumtooth Kobolds,30,210905,91023,50,87592,0,1
[DNT] Defeat Flickerflame Kobolds,[DNT] Defeat 20 Flickerflame Kobolds,31,210916,91023,50,87592,0,1
[DNT] Defeat Brightrock Kobolds,[DNT] Defeat 20 Brightrock Kobolds,32,210927,91023,50,87592,0,1
[DNT] Defeat Kobolds in The Ringing Deeps,[DNT] Defeat 100 Kobolds in The Ringing Deeps,33,210933,91023,50,87592,0,1
Derrote Rastejantes no Fosso Ressonante,Derrote 20 Rastejantes no Fosso Ressonante,34,210978,91024,10,87592,0,0
Derrote Azorragues,Derrote 20 Azorragues no Fosso Ressonante,35,210980,91024,10,87592,0,0
Derrote Sanguívoros Engolidores,Derrote 20 Sanguívoros Engolidores,36,210988,91024,10,87592,0,0
Conclua uma masmorra no Fosso Ressonante,"Conclua uma masmorra no Fosso Ressonante. Masmorras válidas: Brasão da Chama Negra, Operação: Comporta e Abóboda de Pedra.",37,210990,91022,25,87592,0,0
Colete 20 minérios no Fosso Ressonante,Colete 20 minérios no Fosso Ressonante,38,211019,91022,25,87592,0,0
Colete 20 plantas no Fosso Ressonante,Colete 20 plantas no Fosso Ressonante,39,211029,91022,25,87592,0,0
Colete 20 peles ou pelegos no Fosso Ressonante,Colete 20 peles ou pelegos no Fosso Ressonante,40,211045,91022,25,87592,0,0
Mate Hozens,Mate Hozens no Monte Kun-Lai.,41,216310,91022,25,87592,0,0
Conclua missões: Monte Kun-Lai,Conclua missões no Monte Kun-Lai.,42,216312,91023,50,87592,0,0
Casa: Saqueie sorte-sins,Saqueie sorte-sins no Monte Kun-Lai ou na vizinhança.,43,216314,91022,25,87592,0,0
Pesque 20 Peixes no Fosso Ressonante,Pesque 20 Peixes no Fosso Ressonante,47,211126,91022,25,87592,0,0
Colete 20 de lenha no Fosso Ressonante,Colete 20 de lenha no Fosso Ressonante,48,211139,91022,25,87592,0,0
Conclua uma imersão no Fosso Ressonante,Conclua uma imersão no Fosso Ressonante.,49,211141,91023,50,87592,0,0
Conclua 5 missões mundiais no Fosso Ressonante,Conclua 5 missões mundiais no Fosso Ressonante,50,211148,92099,75,87592,0,0
Reacenda 10 lanternas na vizinhança,Reacenda 10 lanternas na vizinhança,51,211150,91024,10,87592,0,0
[DNT] Collect 10 Globs of Dropped Wax,[DNT] Collect 10 Globs of Dropped Wax in the Neighborhood,52,211152,91024,10,87592,0,0
[DNT] Collect 20 Draenei Archaeology Fragments in Zangarmarsh,[DNT] Collect 20 Draenei Archaeology Fragments in Zangarmarsh,53,211154,91024,10,87592,0,1
[DNT] Defeat 20 Gyreworms in Deepholm,[DNT] Defeat 20 Gyreworms in Deepholm,54,211156,91023,50,87592,0,1
[DNT] Defeat 20 Rockslice and Jaspertip Clawscythes in Deepholm,[DNT] Defeat 20 Rockslice and Jaspertip Clawscythes in Deepholm,55,211161,91023,50,87592,0,1
[DNT] Defeat 20 Twilight Ogres in Deepholm,[DNT] Defeat 20 Twilight Ogres in Deepholm,56,211169,91023,50,87592,0,1
[DNT] Defeat 20 Twilight Cultists in Deepholm,[DNT] Defeat 20 Twilight Cultists in Deepholm,57,211174,91023,50,87592,0,1
[DNT] Defeat 20 Stone or Needlerock Troggs in Deepholm,[DNT] Defeat 20 Stone or Needlerock Troggs in Deepholm,58,211187,91023,50,87592,0,1
[DNT] Defeat 20 Fungal Terrors or Behemoths in Deepholm,[DNT] Defeat 20 Fungal Terrors or Behemoths in Deepholm,59,211202,91023,50,87592,0,1
[DNT] Defeat 20 Stone Drakes in Deepholm,[DNT] Defeat 20 Stone Drakes in Deepholm,60,211205,91023,50,87592,0,1
[DNT] Collect 20 Albino Cavefish in Deepholm,[DNT] Collect 20 Albino Cavefish in Deepholm,61,211209,91023,50,87592,0,1
[DNT] Collect 20 Lumber in Deepholm,[DNT] Collect 20 Lumber in Deepholm,62,211211,91024,10,87592,0,1
Concluir Masmorras Míticas+,,63,212060,91023,50,87592,0,1
Mate chefes de raide,,64,212062,91023,50,87592,0,1
Ganhe Honra,,65,212064,91023,50,87592,0,1
Concluir missões mundiais,,66,214555,91023,50,87592,0,1
Conclua a campanha de Midnight,Conclua a campanha de Midnight.,67,212076,91022,25,0,0,0
Recepção de Saltheril,Participe da Recepção de Saltheril e conclua uma missão de Fortificação de pedras rúnicas na Floresta do Canto Eterno.,68,212082,91022,25,0,0,0
Diletante da Recepção de Saltheril,Participe da Recepção de Saltheril na Floresta do Canto Eterno e conclua favores semanais para os seus convidados.,69,212089,91022,25,0,0,0
Corte de Luaprata - Centro das atenções,Participe da Corte de Luaprata e conclua objetivos públicos.,70,212091,91022,25,0,0,0
Masmorras de Midnight,Conclua masmorras em Midnight.,71,212208,92099,75,87592,0,0
Colete recursos: Midnight,"Colete plantas, minérios, peles ou peixes em áreas de Midnight.",73,212222,91022,25,87592,0,0
Mergulhador profundo,Conclua o evento Pescador do Abismo em Zul'Aman.,74,212255,92099,75,0,0,0
Abundantemente Eficaz,Adquira Abundância em eventos nas áreas de Midnight.,75,212257,91023,50,0,0,0
Abundância aos montes,Adquira Abundância em eventos nas áreas de Midnight.,76,222818,91022,25,0,75,0
Lendas dos Haranir,"Conclua um evento de ""Lendas dos Haranir"" em Harandar.",77,212261,91023,50,0,0,0
Mate criaturas de Floraluz,Mate criaturas de Floraluz ameaçando Azeroth onde quer que estejam.,78,214538,91022,25,0,0,0
Mate criaturas de Floraluz 2,Mate criaturas de Floraluz ameaçando Azeroth onde quer que estejam.,79,214541,91023,50,0,78,0
Mate criaturas de Floraluz 3,Mate criaturas de Floraluz ameaçando Azeroth onde quer que estejam.,80,214544,92099,75,0,79,0
Missões Mundiais: Floresta do Canto Eterno,Conclua missões mundiais na Floresta do Canto Eterno.,81,212066,91023,50,87592,0,0
Mate criaturas raras: Floresta do Canto Eterno,Mate criaturas raras ou elites raras na Floresta do Canto Eterno.,82,214557,91023,50,87592,0,0
Colete Núcleos de Tempestrião,Colete Núcleos de Tempestrião na Tempestade do Caos.,83,214559,91023,50,0,0,0
Âncora da Singularidade,Defenda a Âncora da Singularidade na Tempestade do Caos.,84,214561,91023,50,87592,0,0
Arcanismo Latente,Colete Arcanismos Latentes na Floresta do Canto Eterno.,85,214680,91022,25,87592,0,0
Favoreça um enviado de facção,Favoreça um enviado de facção no Recôndito Proibido.,86,214735,91024,10,0,0,0
Missões diárias: Recôndito Proibido,Conclua todas as missões diárias no Recôndito Proibido.,87,214884,91023,50,0,0,0
Portas da Câmara de Zskera,Abra Portas das Câmaras de Zskera no Recôndito Proibido.,88,214992,91022,25,87592,0,0
Mate criaturas raras: Recôndito Proibido,Mate criaturas raras no Recôndito Proibido.,89,215007,91023,50,87592,0,0
Conclua Tempestade Primeva da Cripta de Gelo Pétreo,Conclua Tempestade Primeva da Cripta de Gelo Pétreo no Recôndito Proibido.,90,215020,91023,50,87592,0,0
Colete recursos: Recôndito Proibido,"Colete plantas, minérios, peles ou peixes no Recôndito Proibido.",91,215423,91022,25,87592,0,0
Missão Mundial de Batalha de Mascotes: Recôndito Proibido,Conclua uma Missão Mundial de Batalha de Mascotes no Recôndito Proibido.,92,215469,91022,25,87592,0,0
Corridas de Pilotagem Aérea: Recôndito Proibido,Conclua corridas de pilotagem aérea no Recôndito Proibido.,93,215575,91024,10,87592,0,0
Subjugue o Abrigo da Guerra,"Conclua a missão mundial ""Abrigo da guerra"" no Recôndito Proibido.",94,215577,91023,50,87592,0,0
Mate uma criatura de profissão rara: Recôndito Proibido,Mate uma criatura Rara ou Elite Rara evocada por um item de profissão em Recôndito Proibido.,95,215666,91739,150,0,0,0
Encontre tesouros dos Pergaminhos Selados,Saqueie os tesouros revelados ao usar os Pergaminhos Selados no Recôndito Proibido.,96,215668,91022,25,87592,0,0
Mate criaturas: Recôndito Proibido,Mate criaturas no Recôndito Proibido.,97,215670,91022,25,87592,0,0
Saqueie uma Provisão Proibida,Saqueie Provisões Proibidas no Recôndito Proibido.,98,215672,91022,25,87592,0,0
Colete recursos: Monte Kun-Lai,"Colete plantas, minérios, peles ou peixes no Monte Kun-Lai.",100,216319,91023,50,87592,0,0
Colete lenha: Monte Kun-Lai,Colete Lenha no Monte Kun-Lai.,101,216323,91023,50,87592,0,0
Derrote chefes: Monte Kun-Lai,Conclua confrontos de chefes nas masmorras e raides do Monte Kun-Lai.,102,216327,91022,25,87592,0,0
Casa: Coma Frutinhas de Kafa'kota,Coma Frutinhas de Kafa'kota no Monte Kota ou na sua vizinhança.,103,216329,91022,25,87592,0,0
Abates honrosos: Monte Kun-Lai,Ganhe abates honrosos no Monte Kun-Lai.,104,216334,91023,50,87592,0,0
Colete lenha: Recôndito Proibido,Colete Lenha no Recôndito Proibido.,105,216352,91023,50,87592,0,0
Concluir imersões,,106,216354,91023,50,87592,0,1
Casa: Desperte residentes sonolentos,Desperte residentes sonolentos na vizinhança.,107,216664,91022,25,87592,0,0
Casa: Negocie Frutinhas,Negocie Frutinhas de Kafa'kota com o vendedor de kafa na vizinhança.,108,216671,91022,25,87592,0,0
Derrote o Sha da Raiva,Derrotar o Sha da Raiva no Monte Kun-Lai.,109,216306,91022,25,87592,0,0
Casa: Conclua missões de vizinhança semanais,Conclua missões semanais na vizinhança para os dracthyr visitantes.,110,216872,91023,50,87592,0,0
Casa: Hora de decorar,Decore sua casa ou seu terreno para impressionar os visitantes de Luaprata.,111,216890,91023,50,0,0,0
Casa: Hora de decorar 2,Decore sua casa ou seu terreno para impressionar os visitantes de Luaprata.,112,216892,91023,50,0,111,0
Casa: Hora de decorar 3,Decore sua casa ou seu terreno para impressionar os visitantes de Luaprata.,113,216894,91023,50,0,112,0
Casa: Adquira decorações,Obtenha decoração nova para sua casa ou terreno para impressionar os visitantes de Luaprata.,114,216898,91023,50,0,0,0
Casa: Transporte sorte-sins,Transporte Sorte-sins para a base-acampamento de treinamento de escalada da vizinhança.,115,216957,91022,25,87592,0,0
Casa: Colete frutinhas,Colete Frutinhas de Kafa'kota na escalada de treinamento da vizinhança.,116,216959,91024,10,87592,0,0
Casa: Monte em uma criatura com excesso de kafa que habite o pico,Monte em uma criatura voadora com excesso de kafa ao redor da vizinhança para cansá-la.,117,216961,91024,10,87592,0,0
Casa: Artistas Feridos,"Cure Artistas Feridos que estão visitando a vizinhança usando magia, ataduras ou alquimia.",118,217031,91022,25,87592,0,0
Mate criaturas raras: Gnomecan,Mate criaturas raras em Gnomecan.,120,217061,91023,50,87592,0,0
Missões diárias: Gnomecan,Conclua missões diárias em Gnomecan.,121,217063,91023,50,87592,0,0
Rei Gnomecan,Derrote o Rei Gnomecan em Operação: Gnomecan.,122,217068,91023,50,0,0,0
Unidade de Opressão Aérea HK-8,Derrote a Unidade de Opressão Aérea HK-8 em Operação: Gnomecan.,123,217070,91023,50,0,0,0
Construtor consumado,Conclua projetos de construção em Gnomecan.,124,217072,91022,25,87592,0,0
Mexendo no RE1,Crie Invenções Sucatrônicas com o Pascal-R31 em Gnomecan.,125,217074,91023,50,87592,0,0
Colete lenha: Gnomecan,Colete Lenha em Gnomecan.,126,217076,91023,50,87592,0,0
Colete recursos: Gnomecan,"Colete plantas, minérios, peles ou peixes em Gnomecan.",127,217078,91022,25,87592,0,0
Regicídio Enferrujado,Derrote o Príncipe Ferrugem na Linha do Tempo Alternativa em Gnomecan.,128,217082,91023,50,0,0,0
Saúde!,Brinde à Resistência de Ferrúgia em Gnomecan.,129,217084,91024,10,0,0,0
Mate criaturas: Gnomecan,Mate criaturas em Gnomecan.,130,217086,91022,25,87592,0,0
Missão Mundial de Batalha de Mascotes: Gnomecan,Conclua uma Missão Mundial de Batalha de Mascotes em Gnomecan.,131,217484,91022,25,87592,0,0
Os vermelhos são mais velozes,Pinte sua Xirofômpila TCM ou seu Mecafelino de outra cor em Gnomecan.,132,217486,91023,50,0,0,0
Projeto de reivindicação,Ajude na reconstrução e defesa do Maquinário de Reivindicação em Gnomecan.,133,217489,92099,75,87592,0,0
Lar: por uma boa vizinhança,Faça boas ações em sua vizinhança.,134,214565,91023,50,87592,0,0
Lar: devolução de galinhas mecânicas perdidas,Encontre e devolva Galinhas Descalibradas em sua vizinhança.,135,217689,92099,75,87592,0,0
Lar: transporte gnomecânico,Teste jatos aéreos gnomecânicos em sua vizinhança.,136,217691,91023,50,87592,0,0
Lar: praia sucateada,Ajude recicladores a coletar sucata nas praias de sua vizinhança.,137,218132,92099,75,0,0,0
Colete recursos: Terralém,"Colete plantas, minérios, peles ou peixes em Terralém.",138,218431,91022,25,87592,0,0
"Derrote Pathaleon, o Calculista","Derrote Pathaleon, o Calculista, na masmorra Mecanar.",139,218435,91023,50,0,0,0
Derrote o Estilhaço Dimensional,Derrote o Estilhaço Dimensional na masmorra Jardim Botânico.,140,218437,91023,50,0,0,0
Derrote o Precursor Skiriss,Derrote o Precursor Skiriss na masmorra Arcatraz.,141,218439,91023,50,0,0,0
Extermínio de Etéreum,Derrote os membros do Etéreum e seus aliados nas áreas a céu aberto de Terralém.,142,218548,91023,50,87592,0,0
Colete lenha: Midnight,Colete Lenha nas áreas de Midnight.,143,219644,91023,50,87592,0,0
Sangue dos Solfúria,Derrote membros dos Solfúria em Eternévoa.,144,220010,91023,50,87592,0,0
"Quem procura, acha",Conclua missões de Procura-se para o Consórcio em Shattrath.,145,220012,91023,50,87592,0,0
Derrote o Príncipe Nexus Shaffar,Derrote o Príncipe do Nexus Shaffar na masmorra Tumbas de Mana.,146,220024,91023,50,0,0,0
Derrotar Yor,Derrote Yor na masmorra Tumbas de Mana.,147,220026,91739,150,0,0,0
A repetição é a mãe da aprendizagem,Conclua missões de entrega de reputação para o Consórcio em Terralém.,148,220115,91022,25,87592,0,0
Lâmina da Guarda Aérea,Defenda o ataque da Guarda Aérea no Patamar de Bash'ir nas Montanhas da Lâmina Afiada. O ataque começa de hora em hora no Posto Avançado da Guarda Aérea nas Montanhas da Lâmina Afiada.,149,220183,91739,150,87592,0,0
Briga com Bash'ir,"Derrote Bash'ir ou um de seus tenentes no Patamar de Bash'ir, nas Montanhas da Lâmina Afiada.",150,220206,91022,25,87592,0,0
Colete recursos: Caverna Zaralek,"Coletar plantas, minérios, peles ou peixes na Caverna Zaralek.",151,221088,91022,25,87592,0,0
Missões Mundiais: Caverna Zaralek,Concluir Missões Mundiais na Caverna Zaralek.,152,221096,91023,50,87592,0,0
Pesquisadores sob fogo,Concluir o evento Pesquisadores Sob Fogo na Caverna Zaralek.,153,221098,91023,50,87592,0,0
Derrote Sarkareth,"Derrote Sarkareth em Aberrus, o Crisol Sombrio.",155,221104,91023,50,0,0,0
Batalhas de Mascotes Subterrâneas,Conclua uma Missão Mundial de Batalha de Mascotes na Caverna Zaralek com pelo menos 1 mascote elemental.,156,221164,91024,10,87592,0,0
Reputação é tudo,Obtenha Reputação com Farins de Argília na Caverna Zaralek.,157,221174,91023,50,87592,0,0
Busca farejante,Saqueie baús enquanto explora cavernas com Myrrit na Caverna Zaralek.,158,221179,91023,50,87592,0,0
Como tirar sangue de pedra,"Faça uma troca com Ponzo por um Mapa de Escavação Trocado e, depois, use-o na Caverna Zaralek.",159,221186,91023,50,0,0,0
Devagar se vai ao longe,"Conclua Missões Diárias para Briggul em Lumerogg, na Caverna Zaralek.",160,221188,91022,25,87592,0,0
Mate criaturas raras: Caverna Zaralek,Mate criaturas raras ou elites raras na Caverna Zaralek.,161,221190,91023,50,87592,0,0
Pilotagem Aérea: Subterrâneo,Conclua corridas de pilotagem aérea na Caverna Zaralek.,162,221192,91024,10,87592,0,0
"Moedas fedidas, grandes prêmios",Adquira Moedas Fragrantes Desenterradas na Caverna Zaralek.,163,221268,91023,50,87592,0,0
Casa: Coloque incenso,Colocar incensos espalhados pela vizinhança para atrair abelhas.,164,221576,91024,10,87592,0,0
Casa: Faça incenso,Leve matérias-primas da vizinhança para os tanques móveis de farim para fazer incenso.,165,221584,91024,10,87592,0,0
Casa: Ajude buscadores farejantes,Cure buscadores farejantes farins de cegueira nasal na vizinhança.,166,221684,91024,10,87592,0,0
Casa: Correio Caracol,Ajude o Rei da Pista a entregar correspondências pela vizinhança. Fale com Briggul para começar.,167,221800,91023,50,87592,0,0
Casa: Polinize flores,Guie abelhas para polinizar as flores em volta do centro da cidade da vizinhança.,168,221878,91024,10,87592,0,0
Casa: Acrobacia Arcana,"Na sua vizinhança, entre no espaço desprendido e chegue ao fim da pista do Último Arquiteto Assistente. Essa tarefa pode ser concluída uma vez por dia.",169,221930,92099,75,87592,0,0
"Casa: Não está perdido-fásico, eu só não consigo achar-fásico","Na sua vizinhança, entre no espaço desprendido e ajude os vizinhos a encontrar e devolver os itens perdidos dos locais.",170,221932,91022,25,87592,0,0
Casa: Escreva umas linhas,"Em sua vizinhança, ative uma Amarra Desprendida ou use um Atalho de Perda Fásica.",171,222537,91022,25,0,0,0
Casa: Conjunto triplo de jato aéreo,"Em sua vizinhança, teste os jatos aéreos gnomecânicos três vezes seguidas sem tocar o chão.",172,222540,92099,75,0,0,0
Colete lenha: Terralém,Colete Lenha nas áreas de Terralém.,173,222672,91023,50,87592,0,0
Mergulhador profundo,Conclua o evento Pescador do Abismo em Zul'Aman.,174,212255,91024,10,0,0,0
Cumpra missões,Cumpra missões na Chapada Ohn'ahrana.,175,223339,91023,90,87592,0,0
Derrote chefes,Vença confrontos com chefes na masmorra Ofensiva Nokhid.,176,223341,91023,50,87592,0,0
Colete recursos,"Colete plantas, minérios, peles ou peixes na Chapada Ohn'ahrana.",177,223343,91023,90,87592,0,0
Colete lenha,Colete lenha na Chapada Ohn'ahrana.,178,223347,91024,10,87592,0,0
Abates honrosos,Realize abates honrosos na Chapada Ohn'ahrana.,179,223349,91023,90,87592,0,0
Mate unidades Nokhid de elite,"Mate inimigos de elite no Castelo Nokhidon, na Chapada Ohn'ahrana.",180,223351,91022,45,87592,0,0
Derrote Strunraan,Derrote Strunraan na Chapada Ohn'ahrana.,181,223353,91022,45,87592,0,0
Sacrifique bakares Nokhid,Mate Cachorros e Cães de Guerra Nokhid na Chapada Ohn'ahrana ou na Ofensiva Nokhid.,182,223355,91022,45,87592,0,0
Faça carinho em bakares importantes,Faça carinho nos bakares importantes da Chapada Ohn'ahrana.,183,223357,91022,45,87592,0,0
Cace com uma mascote bakar,Derrote inimigos acompanhado de uma mascote bakar em uma Grande Caçada.,184,223378,91022,45,87592,0,0
Casa: cãezinhos dóceis alimentados,Dê petiscos para bakares dóceis e filhotes na Chapada Ohn'ahrana ou na sua vizinhança.,185,223427,91024,10,87592,0,0
Casa: resgate um cãozinho de rua,Faça amizade com um cãozinho de rua e leve para o centro da cidade.,186,223669,91023,50,87592,0,0
Casa: conclua a pista de agilidade,"Oriente um cãozinho na pista de agilidade, no centro da cidade.",187,223680,91024,10,87592,0,0
Casa: passeio limpo,Passeie com um cãozinho e recolha as necessidades dele.,188,223685,91022,25,87592,0,0
Casa: banho para bakar,Dê banho em bakares sujos na área de banho da vizinhança.,189,223718,91024,10,87592,0,0
Farim Teste Tigre,Farim Teste Tigre,190,223750,0,10,0,0,0
Casa: busca frenética,"Cumpra a missão diária ""Busca frenética"".",192,224527,91022,25,87592,0,0
Casa: lar permanente,Encontre um lar permanente para um cãozinho para adoção da vizinhança.,193,224541,91022,25,87592,0,0
Casa: trambicagem do Trambik,Negocie Quinquilharias da Vizinhança com Trambik.,194,224629,91022,25,87592,0,0
Casa: frenesi de penas,"Cumpra a missão diária ""Gaivotalho suspeito"".",195,224808,91022,25,87592,0,0
Casa: maestro do mercado de pulgas,"Cumpra a missão diária ""Minhas coisas são melhores que as suas"".",196,224810,91022,25,87592,0,0
Missões mundiais: Ilha Enrolada,Cumpra missões mundiais na Ilha Enrolada.,197,224988,91023,50,87592,0,0
Flagelo do Surto Maldito,Derrote Chefes do Surto Maldito na Ilha Enrolada.,198,224990,91023,50,87592,0,0
Caçador de Tesouro: Ilha Enrolada,Saqueie baús do tesouro pela Ilha Enrolada.,199,224994,91024,10,87592,0,0
Missões diárias de pesca: Ilha Enrolada,Cumpra missões diárias de pesca na Ilha Enrolada.,200,224992,91023,50,87592,0,0
Pavor no covil: mundo,Derrote Nymrissa Clamaondas na Ilha Enrolada no modo Mundial ou superior.,201,224996,91023,50,0,0,0
Derrote Ula'tek,Derrote Ula'tek no Templo de Ula'tek.,202,225001,91739,150,0,0,0
Imersionista: Ilha Enrolada,Conclua imersões na Ilha Enrolada.,203,225003,92099,75,87592,0,1
Pavor no covil: normal,Derrote Nymrissa Clamaondas na Ilha Enrolada no modo Normal ou superior.,204,225005,91023,50,0,0,0
Pavor no covil: heroico,Derrote Nymrissa Clamaondas na Ilha Enrolada no modo Heroico ou superior.,205,225007,92099,75,0,0,0
Pavor no covil: mítico,Derrote Nymrissa Clamaondas na Ilha Enrolada no modo Mítico.,206,225009,92099,75,0,0,0
Derrotar Zul'jan,Derrote Zul'jan no Altar das Presas.,207,225011,91023,50,0,0,0
Mestre da peçonha,Derrote criaturas loucas de peçonha na Ilha Enrolada.,208,225013,91022,25,87592,0,0
Cobra criada,Derrote a Prole de Ula'tek na Ilha Enrolada.,209,225034,91022,25,87592,0,0
Colecionador corrosivo,Colete Moedas Corrosivas na Ilha Enrolada.,210,225036,91022,25,87592,0,0
Câmaras de Atal'Utek: custódio percussivo,"Conclua eventos nas Câmaras de Atal'Utek, na Ilha Enrolada.",211,225794,91023,50,87592,0,0
Casa: passeio com um cãozinho,Passeie com um cãozinho para bater a meta de passos do dia.,212,225480,91024,10,87592,0,0
Casa: colete cera caseira,"Na sua vizinhança, encontre e colete depósitos de cera para mostrar aos kobolds.",213,225497,92099,75,87592,0,0
Casa: contribuição em cera,"Na sua vizinhança, contribua com Cera Caseira para os projetos.",214,224927,92099,75,87592,0,0
Casa: doação de cera,"Na sua vizinhança, doe Cera Caseira para o baú da comunidade.",215,225499,92099,75,87592,0,0
Casa: oficina de velas,"Na sua vizinhança, participe de uma oficina de velas ministrada por Velhaco, o Melhor Fabricante de Velas. O caldeirão tem que estar cheio de Cera Caseira para iniciar a oficina.",216,225501,91739,150,87592,0,0
Casa: mecenas,"Na sua vizinhança, encomende uma escultura de cera de um artista kobold. Você concluir essa tarefa uma vez por dia.",217,225503,91022,25,87592,0,0
Colete recursos: Ilha Enrolada,"Colete plantas, minérios, peles ou peixes na Ilha Enrolada.",218,225801,91022,25,87592,0,0
Ouça o conselho de Sitch Montaigne,Passe um tempo na área de banho de Gundargaz.,220,227370,92099,75,0,0,0
"Casa: sou guerreiro, sou praieiro","Na sua vizinhança, curta o sol, a água e a areia com os visitantes tortollanos.",221,229218,92099,75,87592,0,0
Casa: souvenir secreto,"Na sua vizinhança, encontre Souvenires Secretos escondidos pelas crianças tortollanas.",222,229259,91023,50,108894,0,0
Casa: como poderei viver longe da água fria?,"Na sua vizinhança, ajude o guia de viagem tortollano a distribuir os panfletos para divulgar a taberna subaquática. Você pode cumprir essa missão uma vez por dia.",223,229262,91023,50,0,0,1
Missões mundiais: tortollanos,Cumpra missões mundiais que aumentem sua reputação entre os tortollanos em Zandalar ou Kul Tiraz.,224,229615,91023,50,87592,0,0
Reputação é tudo,Ganhe reputação com os Peregrinos Tortollanos.,225,229617,91023,50,87592,0,0
Descobridor dos sete bares,Visite todos os bares tortollanos subaquáticos de Azeroth.,226,229620,91739,150,87592,0,0
Cruzeiro com a família,"Participe das atividades do Arvillo Perdido, na Costa Desperta, que fica nas Ilhas do Dragão.",227,229805,92099,75,87592,0,0
Festival litorâneo,"Compareça ao Festival do Andarilho na Selva de Krasarang, em Pandária, às 21h ou 23h de domingo.",228,229815,91739,150,0,0,0
Explorando as opções,Resgate Exploradores Tortollanos no Templo de Ula'tek.,229,229880,91023,50,0,0,0
