Name_lang,ID,Flags,PlayerConditionID,ReagentType,ReagentSource,Field_11_2_0_61476_006,Field_12_0_0_63534_007
Potion of Frozen Focus (DNT),108,0,0,1,0,0,0
Aumentar Nível,110,0,92156,0,0,0,0
Imbuir em Poder,111,2,0,0,1,0,0
Adicionar Ornamento,112,0,0,0,1,0,0
Serevite Ore (DNT),114,0,0,1,0,0,0
Potencializar com Matriz de Treinamento,116,0,0,0,1,0,0
Khaz'gorite Ore (DNT),117,0,0,1,0,0,0
Adicionar Ornamento,123,0,0,0,1,0,0
Fluido de Têmpera,124,2,0,2,2,0,0
Personalizar Atributos Secundários,125,2,0,0,0,0,0
Imbuir em Poder,126,0,0,0,1,0,0
Queen's Ruby (DNT),128,0,0,1,0,0,0
Mystic Sapphire (DNT),129,0,0,1,0,0,0
Vibrant Emerald (DNT),130,0,0,1,0,0,0
Sundered Onyx (DNT),131,0,0,1,0,0,0
Eternity Amber (DNT),132,0,0,1,0,0,0
Alexstraszite (DNT),133,0,0,1,0,0,0
Malygite (DNT),134,0,0,1,0,0,0
Ysemerald (DNT),135,0,0,1,0,0,0
Neltharite (DNT),136,0,0,1,0,0,0
Nozdorite (DNT),137,0,0,1,0,0,0
Illimited Diamond (DNT),138,0,0,1,0,0,0
Frameless Lens (DNT),140,0,0,1,0,0,0
Glossy Stone (DNT),142,0,0,1,0,0,0
Shimmering Clasp (DNT),143,0,0,1,0,0,0
Projection Prism (DNT),145,0,0,1,0,0,0
Resilient Leather (DNT),146,0,0,1,0,0,0
Adamant Scales (DNT),147,0,0,1,0,0,0
Dense Hide (DNT),148,0,0,1,0,0,0
Lustrous Scaled Hide (DNT),149,0,0,1,0,0,0
Stonecrust Hide (DNT),150,0,0,1,0,0,0
Mireslush Hide (DNT),151,0,0,1,0,0,0
Infurious Hide (DNT),153,0,0,1,0,0,0
Earthshine Scales (DNT),155,0,0,1,0,0,0
Frostbite Scales (DNT),156,0,0,1,0,0,0
Infurious Scales (DNT),157,0,0,1,0,0,0
Silken Gemdust (DNT),158,0,0,1,0,0,0
Elemental Harmony (DNT),159,0,0,1,0,0,0
Vibrant Spellthread (DNT),169,0,0,1,0,0,0
Frozen Spellthread (DNT),170,0,0,1,0,0,0
Temporal Spellthread (DNT),171,0,0,1,0,0,0
Wildercloth Bolt (DNT),172,0,0,1,0,0,0
Azureweave Bolt (DNT),173,0,0,1,0,0,0
Chronocloth Bolt (DNT),174,0,0,1,0,0,0
Vibrant Wildercloth Bolt (DNT),175,0,0,1,0,0,0
Infurious Wildercloth Bolt (DNT),176,0,0,1,0,0,0
Spool of Wilderthread (DNT),177,0,0,1,0,0,0
Adicionar Ornamento,178,0,0,0,1,0,0
Adicionar Ornamento,179,0,0,0,1,0,0
Adicionar Ornamento,180,0,0,0,1,0,0
Linha de Bordado,181,2,0,2,2,0,0
Flanela de Polimento,182,2,0,2,2,0,0
Adicionar Ornamento,183,0,0,0,1,0,0
Óleo Encadeado,184,2,0,2,2,0,0
Agente de Cura,185,2,0,2,2,0,0
Fiery Spirit (DNT),186,0,0,1,0,0,0
Potencializar com Matriz de Treinamento,189,0,0,0,1,0,0
,190,0,0,2,2,0,0
Últimos toques,192,0,0,2,2,0,0
Ingrediente secreto,193,0,0,2,2,0,0
Handful of Serevite Bolts (DNT),194,0,0,1,0,0,0
Shock-Spring Coil (DNT),195,0,0,1,0,0,0
Everburning Blasting Powder (DNT),196,0,0,1,0,0,0
Greased-Up Gears (DNT),197,0,0,1,0,0,0
Arclight Capacitor (DNT),198,0,0,1,0,0,0
Reinforced Machine Chassis (DNT),199,0,0,1,0,0,0
Assorted Safety Fuses (DNT),200,0,0,1,0,0,0
Primal Deconstruction Charge (DNT),201,0,0,1,0,0,0
Signo de Negraluna,202,2,0,0,0,0,0
Refreshing Healing Potion (DNT),203,0,0,1,0,0,0
Aerated Mana Potion (DNT),204,0,0,1,0,0,0
Potion of Gusts (DNT),205,0,0,1,0,0,0
Creature Combustion Canister (DNT),206,0,0,1,0,0,0
Draconium Gun Shoes (DNT),207,0,0,1,0,0,0
Gravitational Displacer (DNT),208,0,0,1,0,0,0
Blazing Ink (DNT),209,0,0,1,0,0,0
Cosmic Ink (DNT),210,0,0,1,0,0,0
Flourishing Ink (DNT),211,0,0,1,0,0,0
Burnished Ink (DNT),212,0,0,1,0,0,0
Serene Ink (DNT),213,0,0,1,0,0,0
Serene Pigment (DNT),214,0,0,1,0,0,0
Flourishing Pigment (DNT),215,0,0,1,0,0,0
Blazing Pigment (DNT),216,0,0,1,0,0,0
Shimmering Pigment (DNT),217,0,0,1,0,0,0
Chilled Rune (DNT),218,0,0,1,0,0,0
Runed Writhebark (DNT),219,0,0,1,0,0,0
Potion of the Hushed Zephyr (DNT),220,0,0,1,0,0,0
Areia Bisotante,221,2,0,2,2,0,0
Personalizar Atributo de Criação,222,0,0,0,0,0,0
Componentes de Segurança,223,2,0,0,0,0,0
Amplificar Atributos Secundários,224,2,0,0,0,0,0
Amplificar Atributos Secundários,225,0,0,0,0,0,0
Adicionar Ornamento,226,2,0,0,1,0,0
Personalizar Atributos Secundários,227,0,0,0,0,0,0
Peças Sobressalentes,230,2,0,2,2,0,0
Personalizar Atributo de Coleta,231,0,0,0,0,0,0
Personalizar Atributo de Criação,232,0,0,0,0,0,0
Adicionar Ornamento,233,2,0,0,1,0,0
Flanela de Polimento,234,0,0,2,2,0,0
Percepção Ilustre Inferior,235,0,0,2,2,0,0
Essência Forjada em Aço,236,0,0,0,0,0,0
Essência de Vero-aço,237,0,0,0,0,0,0
Raspagraxa Travarroda,238,0,0,0,0,0,0
Gatilho de Ferro Verdadeiro,239,0,0,0,0,0,0
Essência Polida,240,0,0,0,0,0,0
Essência de Tramandinga,241,0,0,0,0,0,0
Cristal de Arma,242,0,0,0,0,0,0
Personalizar Atributos Secundários,243,2,0,0,0,0,0
Conceder Níveis de Item de JxJ,244,0,0,0,1,0,0
Conceder Níveis de Item de JxJ,245,0,0,0,1,0,0
Conceder Níveis de Item de JxJ,246,0,0,0,1,0,0
Centelha,247,4,0,0,1,0,0
Shadowed Alloy (DNT),248,0,0,1,0,0,0
Areia Bisotante,249,0,0,2,2,0,0
Wildercloth Bandage (DNT),250,0,0,1,0,0,0
Engaste,251,0,0,3,3,0,0
Engaste,252,0,0,3,3,0,0
Potion of Withering Vitality (DNT),253,0,0,1,0,0,0
Heráldica do Competidor,255,4,0,0,1,0,0
Centelha,256,4,0,0,1,0,0
Micoflorescência,257,0,0,1,0,0,0
Gotisca,258,0,0,1,0,0,0
Orbinídea,259,0,0,1,0,0,0
Flor da Bênção,260,0,0,1,0,0,0
Lança de Arathor,261,0,0,1,0,0,0
Bismuto,262,0,0,1,0,0,0
Aqirita,263,0,0,1,0,0,0
Minério de Garraférrea,264,0,0,1,0,0,0
Ampola Dourada,267,0,0,1,0,0,0
Horticultura Harmoniosa,268,0,0,1,0,0,0
Couro Carregado pela Tempestade,269,0,0,1,0,0,0
Quitina Lúgubre,270,0,0,1,0,0,0
Pelego Trovejante,271,0,0,1,0,0,0
Carapaça Sem Sol,272,0,0,1,0,0,0
Gemas Esmagadas,275,0,0,1,0,0,0
Lapidador de Gemas Entalhado,276,0,0,1,0,0,0
Lente Decorativa,277,0,0,1,0,0,0
Pedra Marmorizada,278,0,0,1,0,0,0
Prisma Invertido,279,0,0,1,0,0,0
Pó de Gema e Flanela de Polimento,280,2,0,2,0,0,0
Adicionar Ornamento,281,0,0,0,1,0,0
Amplificar Atributos Secundários,282,2,0,0,0,0,0
Personalizar Atributos Secundários,283,2,0,0,0,0,0
Imbuir em Poder,284,2,0,0,1,0,0
Armadura de Couro,286,2,0,2,2,0,0
Armadura de Malha,287,2,0,2,2,0,0
Cifra Mortal,288,0,0,1,0,0,0
Cifra Veloz,289,0,0,1,0,0,0
Cifra Primorosa,290,0,0,1,0,0,0
Cifra Versátil,291,0,0,1,0,0,0
Pelego Reforçado com Carapaça,293,0,0,1,0,0,0
Pelego Cristalfuso,294,0,0,1,0,0,0
Pelego Estrebuchante,295,0,0,1,0,0,0
Pelego Coberto de Esporos,296,0,0,1,0,0,0
Pelego Infuso de Meridiano,297,0,0,1,0,0,0
Pelego Fundafúria,298,0,0,1,0,0,0
Invólucro de Arma Tocado pela Tempestade,299,0,0,1,0,0,0
Elo de Armadura Quitinosa,300,0,0,1,0,0,0
Pó da Tempestade,301,0,0,1,0,0,0
Estilhaço Rebrilhante,302,0,0,1,0,0,0
Cristal Refulgente,303,0,0,1,0,0,0
Punhado de Parafusos de Bismuto,304,0,0,1,0,0,0
Fiação Extravagante,305,0,0,1,0,0,0
Engrenagem Girante,306,0,0,1,0,0,0
Chave de Segurança,307,0,0,1,0,0,0
Circuito do Caos,308,0,0,1,0,0,0
Amplificador de Entropia,309,0,0,1,0,0,0
Selecionar Componente de Segurança,311,2,0,0,0,0,0
Adicionar Ornamento,312,2,0,0,1,0,0
Liga de Núcleo,313,0,0,1,0,0,0
Liga Carregada,314,0,0,1,0,0,0
Liga Santificada,315,0,0,1,0,0,0
Liga de Garraférrea,316,0,0,1,0,0,0
Acessórios de Forja,317,2,0,2,2,0,0
Ingrediente Secreto,318,0,0,2,2,0,0
Lenhaverde Codificada,319,0,0,1,0,0,0
Cifra Irrestrita,320,0,0,1,0,0,0
Tinta de Zibelina,321,0,0,1,0,0,0
Corante de Gotisca,322,0,0,1,0,0,0
Tinta Banhada de Sol,323,0,0,1,0,0,0
Corante Banhado de Sol,324,0,0,1,0,0,0
Carretel de Fio Crepuscular,327,0,0,1,0,0,0
Carretel de Fio Alvorecente,328,0,0,1,0,0,0
Carretel de Fio da Tecelã,329,0,0,1,0,0,0
Rolo de Trama do Ocaso,330,0,0,1,0,0,0
Rolo de Trama da Aurora,331,0,0,1,0,0,0
Rolo de Trama da Tecelã,332,0,0,1,0,0,0
Linha de Bordado,333,2,0,2,2,0,0
Adicionar Ornamento,334,2,0,0,1,0,0
Adicionar Ornamento,340,2,0,0,1,0,0
Adicionar Ornamento,341,0,0,0,1,0,0
Potencializar,342,0,0,0,1,0,0
Personalizar Atributo de Coleta,344,0,0,0,0,0,0
Personalizar Atributo de Criação,345,0,0,0,0,0,0
Autenticidade do Artífice,346,2,0,2,0,0,0
Peças Sobressalentes,347,2,0,2,0,0,0
Poção do Guepardo Renascido,348,0,0,1,0,0,0
Poção de Cura Algari,349,0,0,1,0,0,0
Alegria do Explorador de Cavernas,350,0,0,1,0,0,0
Poção Temperada,351,0,0,1,0,0,0
Personalizar Atributo de Criação,352,2,0,0,0,0,0
Personalizar Atributo de Coleta,353,2,0,0,0,0,0
Autenticidade do Artífice,354,0,0,2,0,0,0
Corante de Orbinídea,355,0,0,1,0,0,0
Corante de Flor,356,0,0,1,0,0,0
Rolo de Trama da Tecelã Requintada,357,0,0,1,0,0,0
Reagentes Criados,358,2,0,2,2,0,0
Suprimentos de Desenho,359,2,0,2,2,0,0
Reagentes Radiantes,360,0,0,2,0,0,0
Mistura Misteriosa,362,0,0,2,0,0,0
Engaste,363,0,0,3,3,0,0
Engaste,364,0,0,3,3,0,0
Personalizar Atributos Secundários,365,0,0,0,0,0,0
Imbuir em Poder,366,0,0,0,1,0,0
Reagentes Radiantes,367,2,0,2,0,0,0
Potencializar,368,0,0,0,1,0,0
Acessórios de Forja,369,2,0,2,2,0,0
Linha de Bordado,370,2,0,2,2,0,0
Suprimentos de Desenho,371,2,0,2,2,0,0
Reagentes Radiantes,372,0,0,2,0,0,0
Reagentes Radiantes,374,0,0,2,0,0,0
Linha de Bordado,375,2,0,2,2,0,0
Peças Sobressalentes,376,2,0,2,0,0,0
Linha de Bordado,377,2,0,2,2,0,0
Encantamentos e Equipamentos,378,0,0,2,2,0,0
Consumíveis e Reagentes,379,0,0,2,2,0,0
Engaste,380,0,0,3,3,0,0
Engaste,381,0,0,3,3,0,0
Acessórios de Forja,382,0,0,2,2,0,0
Resíduo de Sangue Negro,383,0,0,1,0,0,0
Aprimorar Além,384,0,0,0,1,145038,0
Linho Brilhante,385,0,0,1,0,0,0
Lingote de Cobre Refulgente,386,0,0,1,0,0,0
Autenticidade do Artífice,387,0,0,2,0,0,0
Autenticidade do Artífice,388,2,0,2,0,0,0
Adicionar Ornamento,389,2,0,0,1,0,0
Adicionar Ornamento,390,2,0,0,1,0,0
Adicionar Ornamento,391,2,0,0,0,0,0
Imbuir em Poder,392,2,0,0,1,0,0
Personalizar Atributos Secundários,393,2,0,0,0,0,0
Personalizar Atributo de Coleta,394,2,0,0,0,0,0
Personalizar Atributo de Criação,395,2,0,0,0,0,0
Autenticidade do Artífice,396,2,0,2,0,0,0
Engrenagem da Canção,397,0,0,1,0,0,0
Rebimboca de Alma,398,0,0,1,0,0,0
Aeterlúmen,399,0,0,1,0,0,0
Lumifluxo,400,0,0,1,0,0,0
Centelha,401,4,0,0,1,0,0
Cristal da Aurora,402,0,0,1,0,0,0
Estilhaço Radiante,403,0,0,1,0,0,0
Pó de Eternelegia,404,0,0,1,0,0,0
Ampola de Vitrissol,405,0,0,1,0,0,0
Lápis Amani,406,0,0,1,0,0,0
Lápis Amani Impecável,407,0,0,1,0,0,0
Peridoto de Harandar,408,0,0,1,0,0,0
Granada Sanguínea,409,0,0,1,0,0,0
Ametista Tenebrosa,410,0,0,1,0,0,0
Peridoto de Harandar Impecável,411,0,0,1,0,0,0
Granada Sanguínea Impecável,412,0,0,1,0,0,0
Ametista Tenebrosa Impecável,413,0,0,1,0,0,0
Pó de Gema Luzente,414,0,0,1,0,0,0
Vidro Cristalino,415,0,0,1,0,0,0
Lente Sin'dorei,416,0,0,1,0,0,0
Pedra Crepusculada,417,0,0,1,0,0,0
Prisma Caleidoscópico,418,0,0,1,0,0,0
Pelego Revenido pelo Caos,419,0,0,1,0,0,0
Blindagem Revenida pelo Caos,420,0,0,1,0,0,0
Couro Revenido pelo Caos,421,0,0,1,0,0,0
Escamas Revenidas pelo Caos,422,0,0,1,0,0,0
Pelego Tecido em Escamas,423,0,0,1,0,0,0
Pelego Tecido em Escamas Imbuído,424,0,0,1,0,0,0
Invólucro de Arma de Luaprata,425,0,0,1,0,0,0
Elo de Armadura Sin'dorei,426,0,0,1,0,0,0
Engaste,427,0,0,3,3,0,0
Engaste,428,0,0,3,3,0,0
Diamante do Canto Eterno,429,0,0,1,0,0,0
Raizeroth,430,0,0,1,0,0,0
Sanguispinho,431,0,0,1,0,0,0
Botão-da-paz,432,0,0,1,0,0,0
Folhargêntea,433,0,0,1,0,0,0
Lírio de Mana,434,0,0,1,0,0,0
Minério de Cobre Refulgente,435,0,0,1,0,0,0
Minério de Estanho Umbrático,436,0,0,1,0,0,0
Minério de Prata Brilhante,437,0,0,1,0,0,0
Grogue da Impulsividade Desenfreada,438,0,0,1,0,0,0
Tônico da Iluminação,439,0,0,1,0,0,0
Potencial da Luz,440,0,0,1,0,0,0
Preservação da Luz,441,0,0,1,0,0,0
Poção de Cura da Meia-noite,442,0,0,1,0,0,0
Poção de Mana da Meia-noite,443,0,0,1,0,0,0
Poção dos Sonhos Devorados,444,0,0,1,0,0,0
Poção da Imprudência,445,0,0,1,0,0,0
Poção do Fanatismo,446,0,0,1,0,0,0
Soro Revigorante,447,0,0,1,0,0,0
Tintura Envolta em Caos,448,0,0,1,0,0,0
Frasco de Crítico da Meia-noite,449,0,0,1,0,0,0
Frasco de Aceleração da Meia-noite,450,0,0,1,0,0,0
Frasco de Maestria da Meia-noite,451,0,0,1,0,0,0
Frasco de Versatilidade da Meia-noite,452,0,0,1,0,0,0
Arcanotrama,453,0,0,1,0,0,0
Peça de Arcanotrama,454,0,0,1,0,0,0
Peça de Linho Brilhante,455,0,0,1,0,0,0
Peça de Linho Brilhante Imbuída,456,0,0,1,0,0,0
Seda de Fogo Solar,457,0,0,1,0,0,0
Peça de Seda de Fogo Solar,458,0,0,1,0,0,0
Amplificar Atributos Secundários,459,2,0,0,0,0,0
Reagente Opcional,460,0,0,0,0,0,0
Reagente Combinado de Alquimia,461,0,0,1,0,0,0
Raizeroth Codificada,462,0,0,1,0,0,0
Tinta de Munsell,463,0,0,1,0,0,0
Tinta de Sienna,464,0,0,1,0,0,0
Código de Alma,465,0,0,1,0,0,0
Liga Crepuscular,466,0,0,1,0,0,0
Liga Excelente,467,0,0,1,0,0,0
Gume Encantado do Contrabandista,468,0,0,1,0,0,0
Potencializar,469,0,0,0,1,0,0
Potencializar,470,0,0,0,1,0,0
Heráldica do Competidor,471,4,0,0,1,0,0
Corante em Pó,472,0,0,1,0,0,0
Corante de Sanguispinho,473,0,0,1,0,0,0
Corante de Folhargêntea,474,0,0,1,0,0,0
Corante de Lírio de Mana,475,0,0,1,0,0,0
Sinergista Maravilhoso,476,0,0,1,0,0,0
Óleo da Graça de Beledar,477,0,0,1,0,0,0
Tecido Crepuscular,478,0,0,1,0,0,0
Trama da Tecelã,479,0,0,1,0,0,7
Ingrediente Secreto,480,0,0,2,2,0,0
Soro da Alma Adormecida,481,0,0,1,0,0,0
Plantas de Pigmentação Vermelha,482,0,0,1,0,0,0
Plantas de Pigmentação Laranja,483,0,0,1,0,0,0
Plantas de Pigmentação Amarela,484,0,0,1,0,0,0
Plantas de Pigmentação Verde,485,0,0,1,0,0,0
Plantas de Pigmentação Azul,486,0,0,1,0,0,0
Plantas de Pigmentação Verde-água,487,0,0,1,0,0,0
Plantas de Pigmentação Roxa,488,0,0,1,0,0,0
Plantas de Pigmentação Branca,489,0,0,1,0,0,0
Plantas de Pigmentação Preta,490,0,0,1,0,0,0
Plantas de Pigmentação Marrom,491,0,0,1,0,0,0
Moeda Básica,492,1,0,0,0,0,0
Requer Moeda Básica,493,5,0,0,0,0,0
Autenticidade do Artífice,495,0,0,2,0,0,0
Autenticidade do Artífice,496,0,0,2,0,0,0
Autenticidade do Artífice,497,0,0,2,0,0,0
Autenticidade do Artífice,498,0,0,2,0,0,0
Adicionar Ornamento,499,2,0,0,1,0,0
Centelha,500,4,0,0,1,0,0
Adicionar Ornamento,501,2,0,0,1,0,0
Adicionar Ornamento,502,2,0,0,1,0,0
