ID,Name_lang,CreatureDisplayID,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
44,"Xuen, o Tigre Branco",114683,1,14552,0,1,1,0.4,0,426730,439411,426833,0,0,0,0,0
45,"Yu'lon, a Serpente de Jade",114682,2,14552,0,1,2000,0.4,0,426902,426900,426926,0,0,0,0,0
46,"Chi-Ji, a Garça Vermelha",114684,1,14808,0,1,2000,0.4,0,436852,436897,0,437092,429633,426268,0,0
47,Draco das Ilhas do Dragão,0,0,217,0,4,0,0,0,372608,372610,361584,403092,0,0,0,0
48,Lobo Fantasma,55287,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Niuzao, o Boi Negro",114685,1,14552,0,1,2000,0.4,0,0,0,0,0,0,0,0,0
50,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Forma de Anciente,124522,7,2201,0,0,0,0,0,0,0,0,0,0,0,0,0
64,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
