ID,Name_lang,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,PetFoodMask,PetTalentType,CategoryEnumID,IconFileID,SkillLine[0],SkillLine[1]
42,Verme,0.7,1,1,50,28,1,62,236197,784,270
43,Fenoceronte,0.35,1,0.56,50,60,0,61,1044794,786,270
44,Vespa,0.4,1,0.6,50,60,0,60,236196,785,270
45,Cão-magma,0.3,1,0.5,50,1,0,59,236191,787,270
46,Fera Espiritual,0.7,1,1.1,50,3,1,58,236165,788,270
49,Elemental da Água,0.8,1,0.81,60,0,-1,0,0,805,0
50,Raposa,0.6,1,0.9,50,35,2,27,458223,808,270
51,Macaco,0.3,1,0.5,50,48,2,28,877482,815,270
52,Canaz,0.6,1,0.8,50,63,2,29,877481,811,270
53,Besouro,0.5,1,0.7,50,48,1,30,133570,818,270
55,Fera Xistosa,1,1,1.45,50,195,2,57,877478,817,270
56,Zumbi,0.8,1,1,80,0,-1,56,298667,236,0
57,Beetle <zzOLD>,1,1,1.25,60,48,-1,36,134936,818,270
68,Hidra,0.5,0,0.63,50,195,1,55,463493,824,270
100,Diabrete Vil,0,0,0.6,1,0,-1,41,0,188,0
101,Senhor do Caos,0,0,0.9,1,0,-1,41,0,204,0
102,Shivarra,0,0,0.65,1,0,-1,41,0,205,0
103,Observador,0,0,0.225,1,0,-1,41,0,189,0
104,Guardião Colérico,0,0,0.85,1,0,-1,41,0,761,0
108,Infernal,0,0,0.3,1,0,-1,41,0,206,0
116,Elemental do Fogo,1,1,1.01,60,0,-1,48,135790,962,0
117,Elemental da Terra,1,1,1.01,60,0,-1,48,136024,963,0
125,Ave d'Água,0.2,1,0.7,50,138,1,49,877479,984,270
126,Caminhante das Águas,0.3,1,0.5,50,48,2,50,643423,985,270
127,Roedor,0.6,1,1,50,16,2,51,644001,983,270
128,Canaz Pétreo,0.7,1,1.1,50,195,1,5,625905,986,270
129,Rabujo,0.5,1,0.8,50,255,2,52,877477,987,270
130,Basilisco,0.4,1,0.6,50,3,2,53,877476,988,270
138,Escornante,0.4,1,0.6,50,48,1,54,877480,1305,270
145,Elemental Tempestade,1,1,1.01,60,0,-1,48,236154,1748,0
147,Deimoguarda,0.64,1,1,60,0,-1,41,0,1981,0
148,Abissal,0,0,1,1,0,-1,41,0,1982,0
150,Fera-do-rio,0.6,1,0.8,50,56,1,33,1044490,1819,270
151,Cervo,0.5,1,0.8,50,60,1,34,1044501,1993,270
154,Mecânico,0.7,1,1,60,256,2,37,132247,2189,270
155,Abominação,0.6,1,0.8,80,0,-1,35,136118,2216,0
156,Courescama,0.5,1,0.8,50,60,0,38,646378,2280,270
157,Boi,0.5,1,0.8,50,60,1,39,616693,2279,270
160,Aquifélix,0.5,1,0.8,50,255,1,54,929300,2361,270
288,Lagarto,0.5,1,1,50,243,1,0,2027936,2703,270
290,Pterrordax,0.2,1,0.3,50,227,2,0,1624590,2705,270
291,Pulante,0.3,1,0.6,50,243,1,0,804969,2706,270
292,Carapídeo,0.5,1,0.75,50,65,1,0,2011146,2707,270
296,Fera Sangrenta,0.45,1,0.65,50,195,1,14,1687702,2719,270
298,Camelo,0.5,1,0.8,50,56,2,52,454771,2807,270
299,Ginete,0.5,1,0.8,50,48,0,38,2143073,2806,270
300,Mamute,0.5,1,0.8,50,60,1,6,132254,2805,270
302,Íncubo,0,0,1,1,0,-1,41,0,205,0
303,Draconiano inferior,0.5,1,0.8,50,195,0,6,797547,2850,270
