ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
174,Vasta Lazúli,Subir de nível para a área 3,5466,0,102804,0,0,0,47,0,0,104511,0
189,Thaldraszus,Subir de nível para a área 4,5470,0,102815,102815,0,0,51,0,0,104511,0
190,A Sonhadora,Área dos Dragões Verdes de Nível Máximo 2,5469,0,21439,21439,0,0,48,0,0,0,34450
191,Ignorar Integração de Profissões,,0,0,5703,5703,0,0,0,0,0,0,0
192,Acordo de Valdrakken,Área 4 de nível máximo no Baluarte de Tyr,5470,0,104933,34450,0,0,51,0,0,0,34450
193,Valdrakken,,5470,0,21439,21439,0,0,51,0,0,0,0
194,Morsanos de Iskaara,Área 1 de nível máximo do Renome dos Morsanos de Iskaara,5471,0,104934,34450,0,0,49,0,0,0,34450
197,Expedição Escama de Dragão,Campanha de Renome da Expedição Escama de Dragão,5468,0,104935,34450,0,0,50,0,0,0,34450
198,Atualizando!,,0,0,5703,5703,0,0,0,0,0,0,0
199,A Pedra do Juramento da Mãe,10.0 - Raid Opening Quests,5470,0,21439,103947,0,0,51,0,0,0,0
200,Cidadela Obsidiana,,0,0,5703,5703,0,0,0,0,0,0,0
201,Dragonflight,Campanha de Mestre,5468,0,104392,104392,104950,0,50,0,0,0,107758
203,Brasas de Neltharion,10.0.7/10.1 Narrative Campaign,5522,0,107761,107761,0,0,53,0,0,0,0
206,Atualizando!,,0,0,5703,5703,0,0,0,0,0,0,0
208,Tirando o atraso!,,0,0,5703,5703,0,0,0,0,0,0,0
210,Câmaras de Zskera,,0,0,108197,0,0,0,50,0,0,34450,0
227,Pedras Volantes,,5468,0,0,34450,0,0,50,0,0,0,34450
228,Centelha de Chama Sombria,,5522,0,0,34450,0,0,53,0,0,0,34450
229,Tirando o atraso!,,0,0,5703,5703,0,0,0,0,0,0,0
