ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount
在巨龙群岛对小动物们/bounce（/弹跳或/蹦跶）,在巨龙群岛对以下小动物使用表情/bounce（/弹跳或/蹦跶）[也可以顺便展示一下/love（/爱）],142,142248,50
在光彩照人时喝汤,在光彩照人时，于巨龙群岛的伊斯卡拉享受社区之汤。,143,142261,50
对商栈展示爱意,用表情对商栈的商人和货物展示/love（/爱）。,144,142268,50
击败25个团队副本首领,,145,142290,250
和5名朋友一起用鱼叉捕捉一个大家伙。,在巨龙群岛和其他5名玩家一起使用鱼叉捕捉一个大家伙。,146,142297,50
完成公开制造订单,在瓦德拉肯的匠人集市与制造订单办事员交谈，获取制造订单。,147,142299,100
完成个人制造订单,在瓦德拉肯的匠人集市与制造订单办事员交谈，获取制造订单。,148,142303,100
复活节：穿戴春季头饰完成一个“巨龙时代”地下城,在4月10日至4月17日期间，穿戴任意一种春季头饰完成一个“巨龙时代”地下城。,149,142324,50
在暴风之怒事件中击败首领。,暴风之怒事件可在巨龙群岛的拜荒者的未来找到。,150,142527,100
完成公开制造订单,在瓦德拉肯的匠人集市与制造订单办事员交谈，获取制造订单。,152,142299,100
