ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,InstanceType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
1095,Todas las arenas,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1096,Todas las arenas,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1101,Campo de batalla relámpago,,,,3,60,80,8,6,8,1,2,0,776,136324,0
1102,Garganta Grito de Guerra,Camorra,,,3,60,80,8,6,8,1,2,0,520,136365,0
1103,Cumbres Gemelas,Camorra,,,3,60,80,8,6,8,1,2,0,520,525913,0
1104,Batalla por Gilneas,Camorra,,,3,60,80,8,6,8,1,2,0,520,460871,0
1105,Minas Lonjaplata,Camorra,,,3,60,80,8,6,8,1,2,0,520,791650,0
1106,Templo de Kotmogu,Camorra,,,3,60,80,8,6,8,1,2,0,520,791651,0
1107,Ojo de la tormenta,Camorra,,,3,60,80,8,6,8,1,2,0,520,460625,0
1108,Cuenca de Arathi,Camorra,,,3,60,80,8,6,8,1,2,0,520,136322,0
1109,Cañón del Céfiro,Camorra,,,3,60,80,8,6,8,1,2,0,520,875925,0
1110,Barranco de Cargahonda,Carga,,,3,19,80,10,5,10,1,5,0,24,6031736,0
1111,Fragor de la batalla,Camorra,,,3,50,70,6,6,6,1,3,0,96,0,0
1112,Terreno de pruebas Nokhudon,,,,4,61,70,6,6,6,1,3,0,104,0,0
1117,Jaula de la Matanza,,,,4,61,80,5,0,5,1,5,0,8,0,0
1118,Barranco de Cargahonda,Camorra,,,3,60,80,8,6,8,1,2,0,520,460625,0
1123,Jaula de la Matanza,,,,4,71,80,6,6,6,0,3,0,12,0,0
1134,Jaula de la Matanza,,,,4,10,80,5,0,5,1,5,0,8,460867,0
1142,Arena Tol'viron,,,,4,50,80,5,0,15,1,5,0,96,791652,0
