Name_lang,ID,MapID,Flags,ExpansionLevel,Field_9_1_5_39977_005,CriteriaCount[0],CriteriaCount[1],CriteriaCount[2],Field_5_5_0_61000_007[0],Field_5_5_0_61000_007[1],Field_5_5_0_61000_007[2],Field_5_5_0_61000_007[3],Field_5_5_0_61000_007[4],Field_5_5_0_61000_007[5],Field_5_5_0_61000_008[0],Field_5_5_0_61000_008[1],Field_5_5_0_61000_008[2],Field_5_5_0_61000_008[3],Field_5_5_0_61000_008[4],Field_5_5_0_61000_008[5]
Cámaras del Valor,200,1477,6,0,21797,2280,1824,1368,0,0,0,0,0,0,0,0,0,0,0,0
Guarida de Neltharion,206,1458,6,6,21799,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Cámara de las Celadoras,207,1493,6,0,21800,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Fauce de Almas,208,1492,6,0,21798,1440,1152,864,0,0,0,0,0,0,0,0,0,0,0,0
La Arquería,209,1516,6,0,21792,2700,2160,1620,0,0,0,0,0,0,0,0,0,0,0,0
Corte de las Estrellas,210,1571,6,0,21794,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Regreso a Karazhan: inferior,227,1651,6,0,21801,2520,2016,1512,0,0,0,0,0,0,0,0,0,0,0,0
Catedral de la Noche Eterna,233,1677,6,0,21803,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Regreso a Karazhan: superior,234,1651,2,0,21802,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Trono del Triunvirato,239,1753,6,0,21804,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Atal'Dazar,244,1763,4,7,21805,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Fuerte Libre,245,1754,4,7,21806,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Tol Dagor,246,1771,0,7,21812,2160,1728,1296,0,0,0,0,0,0,0,0,0,0,0,0
VETA MADRE,247,1594,0,7,21814,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Mansión Crestavía,248,1862,0,7,21809,2220,1776,1332,0,0,0,0,0,0,0,0,0,0,0,0
Reposo de los Reyes,249,1762,0,7,21813,2520,2016,1512,0,0,0,0,0,0,0,0,0,0,0,0
Templo de Sethraliss,250,1877,0,7,21808,2160,1728,1296,0,0,0,0,0,0,0,0,0,0,0,0
Catacumbas Putrefactas,251,1841,0,7,21807,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Altar de la Tormenta,252,1864,0,7,21810,2520,2016,1512,0,0,0,0,0,0,0,0,0,0,0,0
Asedio de Boralus,353,1822,0,7,21811,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Operación: Mecandria - Desguace,369,2097,4,7,21815,2280,1824,1368,0,0,0,0,0,0,0,0,0,0,0,0
Operación: Mecandria - Taller,370,2097,0,7,21816,1920,1536,1118,0,0,0,0,0,0,0,0,0,0,0,0
Nieblas de Tirna Scithe,375,2290,0,8,21820,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Estela Necrótica,376,2286,0,8,21818,1860,1488,1116,0,0,0,0,0,0,0,0,0,0,0,0
El Otro Lado,377,2291,0,8,21824,2580,2064,1548,0,0,0,0,0,0,0,0,0,0,0,0
Salas de la Expiación,378,2287,0,8,21821,1920,1536,1152,0,0,0,0,0,0,0,0,0,0,0,0
Bajapeste,379,2289,0,8,21819,2280,1824,1368,0,0,0,0,0,0,0,0,0,0,0,0
Cavernas Sanguinas,380,2284,0,8,21825,2460,1968,1476,0,0,0,0,0,0,0,0,0,0,0,0
Agujas de Ascensión,381,2285,0,8,21822,2340,1872,1404,0,0,0,0,0,0,0,0,0,0,0,0
Teatro del Dolor,382,2293,0,8,21823,2040,1632,1224,0,0,0,0,0,0,0,0,0,0,0,0
Tazavesh: Calles de las Maravillas,391,2441,0,8,21826,1920,1536,1152,0,0,0,0,0,0,0,0,0,0,0,0
Tazavesh: Gambito de So'leah,392,2441,0,8,21827,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Estanques de Vida Rubí,399,2521,0,9,22268,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
La Ofensiva Nokhud,400,2516,0,9,22270,2400,1920,1440,0,0,0,0,0,0,0,0,0,0,0,0
La Cámara Azur,401,2515,0,9,22271,2250,1800,1350,0,0,0,0,0,0,0,0,0,0,0,0
Academia Algeth'ar,402,2526,0,9,22274,1920,1536,1152,0,0,0,0,0,0,0,0,0,0,0,0
Uldaman: Legado de Tyr,403,2451,0,9,22267,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Neltharus,404,2519,0,9,22269,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Hondonada Frondacuero,405,2520,0,9,22272,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Salas de Infusión,406,2527,0,9,22273,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
La Cumbre del Vórtice,438,657,0,9,23327,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Trono de las Mareas,456,643,0,9,24627,2040,1632,1224,0,0,0,0,0,0,0,0,0,0,0,0
El Amanecer del Infinito: la Caída de Galakrond,463,2579,0,8,24972,2040,1632,1224,0,0,0,0,0,0,0,0,0,0,0,0
El Amanecer del Infinito: el Ascenso de Murozond,464,2579,0,9,24973,2160,1728,1296,0,0,0,0,0,0,0,0,0,0,0,0
Priorato de la Llama Sagrada,499,2649,0,10,25990,1950,1560,1170,0,0,0,0,0,0,0,0,0,0,0,0
El Grajero,500,2648,0,10,25992,1740,1392,1044,0,0,0,0,0,0,0,0,0,0,0,0
La Petrocámara,501,2652,0,10,25996,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Ciudad Tejida,502,2669,0,10,25997,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
"Ara-Kara, Ciudad de los Ecos",503,2660,0,10,25993,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Grieta de Flama Oscura,504,2651,0,10,25991,1860,1488,1116,0,0,0,0,0,0,0,0,0,0,0,0
El Rompealbas,505,2662,0,10,25994,1860,1488,1116,0,0,0,0,0,0,0,0,0,0,0,0
Lagar de Tragoceniza,506,2661,0,10,25995,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Grim Batol,507,670,2,3,26055,2040,1632,1224,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Operación: Compuerta,525,2773,2,10,27048,1980,1584,1188,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
El Núcleo Pétreo,541,725,0,3,28387,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Ecodomo Al'dani,542,2830,0,10,28353,1860,1488,1116,0,0,0,0,0,0,0,0,0,0,0,0
