Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
HKD,%s HK$,%s HK$,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:10|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:20|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",35,344,16,840
AED,%s AED,%s AED,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",38,784,16,836
BGN,%s лв,%s лв,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",39,975,16,836
CHF,%s Fr.,%s Fr.,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",40,756,16,836
CZK,CZK %s,CZK %s,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",41,203,16,836
DKK,%s kr.,%s kr.,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",42,208,16,836
ILS,%s ILS,%s ILS,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",43,376,16,836
NOK,%s kr,%s kr,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",44,578,16,836
PLN,%s zł,%s zł,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",45,985,16,836
QAR,%s QAR,%s QAR,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",46,634,16,836
RSD,%s din,%s din,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",47,941,16,836
SAR,%s SAR,%s SAR,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",48,682,16,836
SEK,%s kr,%s kr,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",49,752,16,836
CRC,CRC %s,CRC %s,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",50,188,16,833
IDR,%s Rp,%s Rp,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",51,360,16,833
INR,INR %s,INR %s,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",52,356,16,833
MYR,%s RM,%s RM,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",53,458,16,833
THB,THB %s,THB %s,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",54,764,16,833
UYU,$U%s,$U%s ,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",55,858,16,833
