ID,Name_lang,CreatureDisplayID,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
28,Forma de las Sombras,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Forma de vuelo,115606,1,32776,0,0,0,0,245,0,0,0,0,0,0,0,0
30,Sigilo,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Forma de lechúcico lunar,115607,0,2249,0,4,0,0,0,0,0,0,0,0,0,0,0
32,Espíritu redentor,16031,0,82704,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Actitud de gladiador,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
34,Metamorfosis,64560,3,472,1035040,0,0,0.4,0,0,0,0,0,0,0,0,0
35,Forma de lechúcico lunar,115607,0,2249,0,4,0,0,0,0,0,0,0,0,0,0,0
36,Forma de antárbol,864,7,2265,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Forma de búho espiritual,38633,1,32776,0,0,0,0,295,0,0,0,0,0,0,0,0
38,Forma de búho espiritual,38633,0,32776,0,0,0,0,204,0,0,0,0,0,0,0,0
39,Forma de fuego fatuo,10045,6,32776,0,0,0,0,295,0,0,0,0,0,0,0,0
40,Forma de fuego fatuo,10045,6,32776,0,0,0,0,204,0,0,0,0,0,0,0,0
41,Forma de alma,93949,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Ensueños de forjanato,66094,0,65792,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Forma humana,0,7,459,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Xuen, el Tigre Blanco",114683,1,14552,0,1,1,0.4,0,426730,439411,426833,0,0,0,0,0
45,"Yu'lon, el Dragón de Jade",114682,2,14552,0,1,2000,0.4,0,426902,426900,426926,0,0,0,0,0
46,"Chi-Ji, la Grulla Roja",114684,1,14808,0,1,2000,0.4,0,436852,436897,0,437092,429633,426268,0,0
47,Draco de las Islas Dragón,0,0,217,0,4,0,0,0,372608,372610,361584,403092,0,0,0,0
48,Lobo fantasmal,55287,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Niuzao, el Buey Negro",114685,1,14552,0,1,2000,0.4,0,0,0,0,0,0,0,0,0
50,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Forma ancestral,124522,7,2201,0,0,0,0,0,0,0,0,0,0,0,0,0
64,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
