Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
Astucia,Astucia,Criaturas astutas capaces de mitigar hábilmente golpes letales infligidos a ellas mismas y a sus aliados.,79,0,2,2,2,0,132150,0,0,0,0
Tenacidad,Tenacidad,Defensores leales y veteranos que interponen sin dudar su grueso pellejo y sus protecciones externas para escudar del daño a sus aliados.,81,0,1,1,0,0,132121,0,0,0,0
Equilibrio,Equilibrio,"Toma la forma de un lechúcico lunar y equilibra magia Arcana y de Naturaleza para acabar con el enemigo.

Armas preferidas: Bastón, daga, maza.",102,11,0,0,2,331,136096,0,363,393014,0
Feral,Feral,"Toma la forma de un gran felino para infligir daño mediante sangrados y mordeduras.

Armas preferidas: Bastón, arma de asta.",103,11,1,0,2,260,132115,3,363,77493,0
Guardián,Guardiana,"Toma la forma de un imponente oso para absorber el daño y proteger a los aliados.

Armas preferidas: Bastón, arma de asta.",104,11,2,0,0,4,132276,3,363,155783,0
Restauración,Restauración,"Canaliza poderosa magia de Naturaleza para regenerar y revitalizar a los aliados.

Armas preferidas: Bastón, daga, maza.",105,11,3,0,1,3,136041,0,363,77495,0
Sangre,Sangre,"Un guardián oscuro que manipula y corrompe la energía vital para resistir las arremetidas del enemigo.

Armas preferidas: hacha de dos manos, maza y espada.",250,6,0,0,0,4,135770,5,0,77513,0
Escarcha,Escarcha,"$gUn presagista helado:Una presagista helada; de la fatalidad que canaliza el poder rúnico e inflige golpes con su arma.

Armas preferidas: Mazas, espadas, hachas dobles.",251,6,1,0,2,4,135773,5,0,77514,0
Profano,Profana,"Un maestro de la muerte y la descomposición que extiende infecciones y controla esbirros no-muertos para que hagan su voluntad.

Armas preferidas: hacha de dos manos, maza y espada.",252,6,2,0,2,68,135775,5,0,77515,0
Bestias,Bestias,"Un maestro de lo salvaje que puede domesticar una gran variedad de bestias para que le ayuden en combate.

Armas preferidas: arco, ballesta y pistola",253,3,0,0,2,66,461112,2,0,76657,0
Puntería,Puntería,"$gUn tirador certero:Una tiradora certera; que destaca a la hora de abatir a los enemigos desde lejos.

Armas preferidas: Arco, ballesta, pistola.",254,3,1,0,2,2,236179,2,0,193468,0
Supervivencia,Supervivencia,"$gUn rastreador curtido experto:Una rastreadora curtida experta; en venenos y explosivos, y que lanza ataques letales con su mascota.

Armas preferidas: Arma de asta, bastón.",255,3,2,0,2,260,461113,2,0,263135,0
Disciplina,Disciplina,"Sana las heridas de sus aliados y aniquila a los enemigos para protegerlos.
Armas preferidas: bastones, varitas, dagas y mazas.",256,5,0,0,1,67,135940,0,353,271534,0
Sagrado,Sagrada,"$gUn sanador:Una sanadora; que puede revertir el daño infligido a individuos o grupos, y sanar desde el más allá.

Armas preferidas: Bastón, varita, daga, maza.",257,5,1,0,1,3,237542,0,353,77485,0
Sombra,Sombra,"Usa la siniestra magia de las Sombras y la terrorífica magia del Vacío para acabar con sus enemigos.

Armas preferidas: Bastón, varita, daga, maza.",258,5,2,0,2,11,136207,0,353,343690,0
Asesinato,Asesinato,"$gUn maestro:Una maestra; de venenos letal que despacha a sus víctimas mediante brutales golpes con dagas.

Armas preferidas: Dagas.",259,4,0,0,2,68,236270,3,0,76803,0
Forajido,Forajida,"$gUn despiadado fugitivo:Una despiadada fugitiva; que usa su agilidad y astucia para enfrentarse mano a mano a los enemigos.

Armas preferidas: Hachas, mazas, espadas, armas de puño.",260,4,1,0,2,4,236286,3,0,76806,0
Sutileza,Sutileza,"Un acechador oscuro que surge de las sombras para emboscar a sus desprevenidas presas.

Arma preferida: daga.",261,4,2,0,2,4,132320,3,0,76808,0
Elemental,Elemental,"$gUn taumaturgo:Una taumaturga; que se vale de las fuerzas destructivas de la naturaleza y de los elementos.

Armas preferidas: Maza, daga, y escudo.",262,7,0,0,2,75,136048,0,369,168534,0
Mejora,Mejora,"$gUn guerrero totémico:Una guerrera totémica; que ataca a los enemigos con armas imbuidas de poder elemental.

Armas preferidas: Armas de puño, mazas, hachas dobles.",263,7,1,0,2,260,237581,2,369,77223,0
Restauración,Restauración,"$gUn sanador:Una sanadora; que invoca espíritus ancestrales y el poder del agua para sanar a sus aliados.

Armas preferidas: Maza, daga, y escudo.",264,7,2,0,1,3,136052,0,369,77226,0
Aflicción,Aflicción,"$gUn maestro:Una maestra; en magia de las Sombras que domina los hechizos de drenado y daño en el tiempo.

Armas preferidas: Bastón, varita, daga, espada.",265,9,0,0,2,67,136145,0,357,77215,0
Demonología,Demonología,"Un comandante de demonios que retuerce las almas de su ejército para desatar un poder devastador.

Armas preferidas: bastón, varita, daga y espada.",266,9,1,0,2,3,136172,0,357,77219,0
Destrucción,Destrucción,"$gUn maestro:Una maestra; del caos que invoca fuego para quemar y arrasar a los enemigos.

Armas preferidas: Bastón, varita, daga, espada.",267,9,2,0,2,3,136186,0,357,77220,0
Maestro cervecero,Maestra cervecera,"$gUn:Una; camorrista que esquiva el daño y protege a sus aliados con movimientos impredecibles y brebajes.

Armas preferidas: Bastón, arma de asta.",268,10,0,0,0,4,608951,2,618,117906,0
Viajero del viento,Viajera del viento,"$gUn:Una; especialista en artes marciales sin igual que derriba a sus enemigos a golpe de manos y puños.

Armas preferidas: Hachas, mazas, espadas, armas de puño.",269,10,2,0,2,68,608953,2,618,115636,0
Tejedor de niebla,Tejedora de niebla,"$gUn sanador:Una sanadora; que manipula las energías vitales y se sirve de la sabiduría del Dragón de Jade.

Armas preferidas: Bastón, maza, espada.",270,10,1,0,1,5,608952,0,618,117907,0
Ferocidad,Ferocidad,"Estas bestias carnívoras, enloquecidas por el afán de dar caza a su presa, no se detienen hasta lograr su objetivo. Incluso la muerte es temporal para estos depredadores.",535,0,0,0,2,32,236159,0,0,0,0
Astucia,Astucia,Criaturas astutas capaces de mitigar hábilmente golpes letales infligidos a ellas mismas y a sus aliados.,536,0,2,2,2,32,132150,0,0,0,0
Tenacidad,Tenacidad,Defensores leales y veteranos que interponen sin dudar su grueso pellejo y sus protecciones externas para escudar del daño a sus aliados.,537,0,1,1,0,32,132121,0,0,0,0
Devastación,Devastación,"$gUn siniestro maestro:Una siniestra maestra; de las gujas de guerra y del poder devastador de la magia vil.

Armas preferidas: Gujas, espadas, hachas, armas de puño.",577,12,0,0,2,68,1247264,3,364,185164,0
Venganza,Venganza,"Abraza el demonio interior para incinerar a los enemigos y proteger a los aliados.

Armas preferidas: Gujas, espadas, hachas, armas de puño.",581,12,1,0,0,4,1247265,3,364,203747,0
Inicial,Inicial,,1444,7,4,0,2,3,136048,0,369,0,0
Inicial,Inicial,,1446,1,4,0,2,68,132355,5,0,0,0
Inicial,Inicial,,1447,11,4,0,2,331,136096,0,363,0,0
Inicial,Inicial,,1448,3,4,0,2,66,461112,2,0,0,0
Inicial,Inicial,,1449,8,4,0,2,67,135846,0,362,0,0
Inicial,Inicial,,1450,10,4,0,2,68,608953,2,618,0,0
Inicial,Inicial,,1451,2,4,0,2,68,135873,5,0,0,0
Inicial,Inicial,,1452,5,4,0,1,67,135940,0,353,0,0
Inicial,Inicial,,1453,4,4,0,2,68,236270,3,0,0,0
Inicial,Inicial,,1454,9,4,0,2,67,136145,0,357,0,0
Inicial,Inicial,,1455,6,4,0,2,68,135775,5,0,0,0
Inicial,Inicial,,1456,12,4,0,2,68,1247264,3,364,0,0
Inicial,Inicial,,1465,13,4,0,2,3,4574311,0,0,0,0
Devastación,Devastación,"Libera un poder innato en forma de caóticas llamas rojas o magia concentrada azul que baña el campo de batalla de destrucción.

Armas preferidas: bastón, espada, daga, maza.",1467,13,0,0,2,67,4511811,0,0,362980,0
Preservación,Preservación,"Invoca al Sueño Esmeralda para rejuvenecer la vida y a las arenas de bronce del tiempo para prevenir daño.

Armas preferidas: bastón, espada, daga, maza.",1468,13,1,0,1,3,4511812,0,0,363510,0
Aumento,Aumento,"Imbuye a tus aliados del poder del Vuelo Negro y retuerce el tiempo y el destino a su favor con la magia del Vuelo Bronce.

Armas preferidas: bastón, espada, daga y maza.",1473,13,2,0,2,3,5198700,0,0,406380,0
Aventurero,Aventurera,,1478,14,4,0,2,2,2055034,4,0,0,0
