Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
NOK,%s kr,%s kr,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",44,578,16,836
PLN,%s zł,%s zł,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",45,985,16,836
QAR,%s Qar,%s Qar,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",46,634,16,836
RSD,%s din,%s din,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",47,941,16,836
SAR,%s SAR,%s SAR,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",48,682,16,836
SEK,%s kr,%s kr,"Cliccando sul pulsante Paga ora, accetti le |HurlIndex:16|h|cff71d5ffCondizioni di Vendita|r|h e la consegna immediata del tuo ordine. Una volta avviata la procedura di consegna, perderai il diritto di recesso.",49,752,16,836
CRC,%s CRC,%s CRC,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",50,188,16,833
IDR,%s Rp,%s Rp,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",51,360,16,833
INR,%s INR,%s INR,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",52,356,16,833
MYR,%s RM,%s RM,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",53,458,16,833
THB,%s THB,%s THB,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",54,764,16,833
UYU,%s $U,%s $U ,"Informativa all'utente: cliccando sul pulsante Acquista ora, confermi di aver letto e accettato le |HurlIndex:14|h|cff71d5ffCondizioni di Vendita|r|h e la |HurlIndex:15|h|cff71d5ffPolitica sulla privacy|r|h, e di voler procedere col pagamento.",55,858,16,833
