ID,Value_lang,ReqID,ParentWidgetID
1712,Le truppe stanno combattendo all'entrata di Gnomeregan.,2,607
1713,Aiuta le truppe di Gnomeregan all'entrata di Gnomeregan.,3,607
1714,,4,607
1715,Gli Gnomi controllano la superficie di Gnomeregan.,2,608
1716,"L'entrata di Gnomeregan, il posto di comando e l'aerodromo sono sotto controllo.",3,608
1717,,4,608
1718,Le truppe stanno combattendo nei tunnel di Gnomeregan.,2,609
1719,Aiuta le truppe d'attacco nei tunnel di Gnomeregan.,3,609
1720,,4,609
1721,I tunnel di Gnomeregan sono al sicuro.,2,610
1722,I tunnel di Gnomeregan sono al sicuro.,3,610
1723,,4,610
1724,%5037w min all'Operazione Gnomeregan!,2,611
1725,Tempo mancante all'inizio dell'Operazione Gnomeregan.,3,611
1726,,4,611
1727,Consistenza di Halion: %5050w%,2,612
1728,Consistenza di Halion in questa dimensione.,3,612
1729,,4,612
1730,Consistenza di Halion: %5049w%,2,613
1731,Consistenza di Halion in questa dimensione.,3,613
1732,,4,613
1733,I Lanciascura sono pronti a riprendersi le Isole dell'Eco.,2,614
1734,I Lanciascura sono pronti a riprendersi le Isole dell'Eco.,3,614
1735,,4,614
1736,%5071w min alla riconquista delle Isole dell'Eco!,2,615
1737,Tempo mancante alla riconquista delle Isole dell'Eco.,3,615
1738,,4,615
1739,Richiedi l'aiuto di Bwonsamdi,2,616
1740,Aiuta i Troll a convincere Bwonsamdi a concedere il suo appoggio.,3,616
1741,,4,616
1742,I Troll hanno Bwonsamdi al loro fianco!,2,617
1743,I Troll hanno Bwonsamdi al loro fianco!,3,617
1744,,4,617
1745,Aiuta i Troll a riconquistare il villaggio bruciato.,2,618
1746,Aiuta i Troll a riconquistare il villaggio bruciato.,3,618
1747,,4,618
1748,Il villaggio bruciato è stato riconquistato!,2,619
1749,I Troll hanno sconfitto le truppe che occupavano il villaggio bruciato.,3,619
1750,,4,619
1751,Vol'jin e le sue truppe stanno combattendo contro Zalazane.,2,620
1752,Vol'jin e le sue truppe stanno combattendo contro Zalazane e i suoi maledetti seguaci Troll.,3,620
1753,,4,620
1754,Zalazane è fuggito su un'altra isola!,2,621
1755,Le truppe dei Troll hanno costretto Zalazane a fuggire su un'altra isola.,3,621
1756,,4,621
1757,Le truppe si stanno battendo contro Zalazane.,2,622
1758,Le truppe si stanno battendo contro Zalazane.,3,622
1759,,4,622
1760,Zalazane è stato sconfitto!,2,623
1761,Zalazane è stato sconfitto!,3,623
1762,,4,623
1763,%5146k alla battaglia per liberare Hyjal da Ragnaros!,2,624
1764,,3,624
1765,,4,624
1766,La battaglia per liberare Hyjal da Ragnaros è iniziata!,2,625
1767,,3,625
1768,,4,625
1769,%5147k alla battaglia per liberare Hyjal da Ragnaros!,2,626
1770,,3,626
1771,,4,626
1772,La battaglia per liberare Hyjal da Ragnaros è iniziata!,2,627
1773,,3,627
1774,,4,627
1775,%1581w/%1601w,2,628
1776,Bandiere conquistate dall'Alleanza,3,628
1777,La bandiera dell'Orda è stata presa,4,628
1778,%1582w/%1601w,2,629
1779,Bandiere conquistate dall'Orda,3,629
1780,La bandiera dell'Alleanza è stata presa,4,629
1781,Tempo restante: %4248k,2,630
1782,Tempo Restante,3,630
1783,,4,630
1784,Basi: %2752w  Punti Vittoria: %2749w/1600,2,632
1785,,3,632
1786,,4,632
1787,Basi: %2753w  Punti Vittoria: %2750w/1600,2,633
1788,,3,633
1789,,4,633
1790,Difendi il ponte! %5207w min restanti,2,634
1791,Resisti il tempo necessario affinché Dama Sira'kess completi il rituale di evocazione.,3,634
1792,,4,634
1793,Difendi il ponte! %5208w min restanti,2,635
1794,Resisti il tempo necessario affinché Dama Sira'kess completi il rituale di evocazione.,3,635
1795,,4,635
1796,Distretto Commerciale: %4440w fenditure restanti,2,636
1797,Sigilla tutte le fenditure elementali per rendere sicuro il Distretto Commerciale.,3,636
1798,,4,636
1799,Distretto Commerciale: %5216w cittadini intrappolati,2,637
1800,Libera i cittadini intrappolati per rendere sicuro il Distretto Commerciale.,3,637
1801,,4,637
1802,Distretti non controllati: %5215w,2,638
1803,,3,638
1804,,4,638
1805,Piazza della Cattedrale: %5212w fenditure restanti,2,639
1806,Sigilla tutte le fenditure elementali per rendere sicura la Piazza della Cattedrale.,3,639
1807,,4,639
1808,Piazza della Cattedrale: %5213w cittadini intrappolati,2,640
1809,Libera i cittadini intrappolati per rendere sicura la Piazza della Cattedrale.,3,640
1810,,4,640
1811,Città Vecchia: %4439w fenditure restanti,2,641
1812,Sigilla tutte le fenditure elementali per rendere sicura la Città Vecchia.,3,641
1813,,4,641
1814,Città Vecchia: %4458w cittadini intrappolati,2,642
1815,Libera i cittadini intrappolati per rendere sicura la Città Vecchia.,3,642
1816,,4,642
1817,Quartiere dei Maghi: %5217w fenditure restanti,2,643
1818,Sigilla tutte le fenditure elementali per rendere sicuro il Quartiere dei Maghi.,3,643
1819,,4,643
1820,Quartiere dei Maghi: %4441w cittadini intrappolati,2,644
1821,Libera i cittadini intrappolati per rendere sicuro il Quartiere dei Maghi.,3,644
1822,,4,644
1823,Distretto dei Nani: %5223w fenditure restanti,2,645
1824,Sigilla tutte le fenditure elementali per rendere sicuro il Distretto dei Nani.,3,645
1825,,4,645
1826,Distretto dei Nani: %5222w cittadini intrappolati,2,646
1827,Libera i cittadini intrappolati per rendere sicuro il Distretto dei Nani.,3,646
1828,,4,646
1829,Parco: %5221w fenditure restanti,2,647
1830,Sigilla tutte le fenditure elementali per rendere sicuro il Parco.,3,647
1831,,4,647
1832,Parco: %5220w cittadini intrappolati,2,648
1833,Libera i cittadini intrappolati per rendere sicuro il Parco.,3,648
1834,,4,648
1835,Porto di Roccavento: %5219w fenditure restanti,2,649
1836,Sigilla tutte le fenditure elementali per rendere sicuro il Porto di Roccavento.,3,649
1837,,4,649
1838,Porto di Roccavento: %5218w cittadini intrappolati,2,650
1839,Libera i cittadini intrappolati per rendere sicuro il Porto di Roccavento.,3,650
1840,,4,650
1841,Distretti non controllati: %4857w,2,651
1842,,3,651
1843,,4,651
1844,Valle della Forza: %4584w fenditure restanti,2,652
1845,Sigilla tutte le fenditure elementali per rendere sicura la Valle della Forza.,3,652
1846,,4,652
1847,Valle della Forza: %4582w cittadini intrappolati,2,653
1848,Libera i cittadini intrappolati per rendere sicura la Valle della Forza.,3,653
1849,,4,653
1850,Valle degli Spiriti: %5229w fenditure restanti,2,654
1851,Sigilla tutte le fenditure elementali per rendere sicura la Valle degli Spiriti.,3,654
1852,,4,654
1853,Valle degli Spiriti: %5230w cittadini intrappolati,2,655
1854,Libera i cittadini intrappolati per rendere sicura la Valle degli Spiriti.,3,655
1855,,4,655
1856,Valle della Saggezza: %5232w fenditure restanti,2,656
1857,Sigilla tutte le fenditure elementali per rendere sicura Valle della Saggezza.,3,656
1858,,4,656
1859,Valle della Saggezza: %5231w cittadini intrappolati,2,657
1860,Libera i cittadini intrappolati per rendere sicura la Valle della Saggezza.,3,657
1861,,4,657
1862,Valle dell'Onore: %5234w fenditure restanti,2,658
1863,Sigilla tutte le fenditure elementali per rendere sicura la Valle dell'Onore.,3,658
1864,,4,658
1865,Valle dell'Onore: %5233w cittadini intrappolati,2,659
1866,Libera i cittadini intrappolati per rendere sicura la Valle dell'Onore.,3,659
1867,,4,659
1868,Varcolargo: %5236w fenditure restanti,2,660
1869,Sigilla tutte le fenditure elementali per rendere sicuro Varcolargo.,3,660
1870,,4,660
1871,Varcolargo: %5235w cittadini intrappolati,2,661
1872,Libera i cittadini intrappolati per rendere sicuro Varcolargo.,3,661
1873,,4,661
1874,Spelonca delle Ombre: %5227w fenditure restanti,2,662
1875,Sigilla tutte le fenditure elementali per rendere sicura la Spelonca delle Ombre.,3,662
1876,,4,662
1877,Spelonca delle Ombre: %5228w cittadini intrappolati,2,663
1878,Libera i cittadini intrappolati per rendere sicura la Spelonca delle Ombre.,3,663
1879,,4,663
1880,Servono ancora %4587w sacchi di sabbia,2,664
1881,Posiziona i sacchi di sabbia nei punti indicati per prevenire l'inondazione.,3,664
1882,,4,664
1883,%5256w barricate rimaste in piedi!,2,665
1884,Erigi delle barricate per aiutare i difensori!,3,665
1885,,4,665
1886,%5266w barricate rimaste in piedi!,2,666
1887,Erigi delle barricate per aiutare i difensori!,3,666
1888,,4,666
1889,Distretti non controllati: %5267w,2,667
1890,,3,667
1891,,4,667
1892,Picco del Tuono: %5268w fenditure restanti,2,668
1893,Sigilla tutte le fenditure elementali per rendere sicuro Picco del Tuono.,3,668
1894,,4,668
1895,Picco del Tuono: %5269w cittadini intrappolati,2,669
1896,Libera i cittadini intrappolati per rendere sicuro Picco del Tuono.,3,669
1897,,4,669
1898,Altura degli Anziani: %5271w fenditure restanti,2,670
1899,Sigilla tutte le fenditure elementali per rendere sicura l'Altura degli Anziani.,3,670
1900,,4,670
1901,Altura degli Anziani: %5270w cittadini intrappolati,2,671
1902,Libera i cittadini intrappolati per rendere sicura l'Altura degli Anziani.,3,671
1903,,4,671
1904,Altura dei Cacciatori: %5273w fenditure restanti,2,672
1905,Sigilla tutte le fenditure elementali per rendere sicura l'Altura dei Cacciatori.,3,672
1906,,4,672
1907,Altura dei Cacciatori: %5272w cittadini intrappolati,2,673
1908,Libera i cittadini intrappolati per rendere sicura l'Altura dei Cacciatori.,3,673
1909,,4,673
1910,Altura degli Spiriti: %5275w fenditure restanti,2,674
1911,Sigilla tutte le fenditure elementali per rendere sicura l'Altura degli Spiriti.,3,674
1912,,4,674
1913,Altura degli Spiriti: %5274w cittadini intrappolati,2,675
1914,Libera i cittadini intrappolati per rendere sicura l'Altura degli Spiriti.,3,675
1915,,4,675
1916,Pozze delle Visioni: %5277w fenditure restanti,2,676
1917,Sigilla tutte le fenditure elementali per rendere sicure le Pozze delle Visioni.,3,676
1918,,4,676
1919,Pozze delle Visioni: %5276w cittadini intrappolati,2,677
1920,Libera i cittadini intrappolati per rendere sicure le Pozze delle Visioni.,3,677
1921,,4,677
1922,%5284w fortificazioni rimaste in piedi!,2,678
1923,Erigi delle fortificazioni per rendere sicura Forgiardente!,3,678
1924,,4,678
1925,Distretti non controllati: %5285w,2,679
1926,,3,679
1927,,4,679
1928,Area del Mercato: %5286w fenditure restanti,2,680
1929,Sigilla tutte le fenditure elementali per rendere sicura l'Area del Mercato.,3,680
1930,,4,680
1931,Area del Mercato: %5287w cittadini intrappolati,2,681
1932,Libera i cittadini intrappolati per rendere sicura l'Area del Mercato.,3,681
1933,,4,681
1934,Tempo restante: %5333k,2,682
1935,Tempo restante prima della vittoria dei difensori.,3,682
1936,,4,682
1937,Torri distrutte: %5347w di 3,2,683
1938,Numero di torri distrutte dai difensori.,3,683
1939,,4,683
1940,Edifici conquistati: %5348w di 3,2,684
1941,Numero di edifici conquistati dagli attaccanti.,3,684
1942,,4,684
1943,Controllato dall'Orda,2,686
1944,L'Orda controlla il complesso carcerario di Tol Barad.,3,686
1945,,4,686
1946,Controllato dall'Alleanza,2,687
1947,L'Alleanza controlla il complesso carcerario di Tol Barad.,3,687
1948,,4,687
1949,Prossima battaglia: %5332k,2,688
1950,Tempo restante prima della prossima battaglia per Tol Barad.,3,688
1951,,4,688
1952,Guardia Mistica: %5290w fenditure restanti,2,689
1953,Sigilla tutte le fenditure elementali per rendere sicura la Guardia Mistica.,3,689
1954,,4,689
1955,Guardia Mistica: %5291w cittadini intrappolati,2,690
1956,Libera i cittadini intrappolati per rendere sicura la Guardia Mistica.,3,690
1957,,4,690
1958,Caverna degli Inganni: %5295w fenditure restanti,2,691
1959,Sigilla tutte le fenditure elementali per rendere sicura la Caverna degli Inganni.,3,691
1960,,4,691
1961,Caverna degli Inganni: %5294w cittadini intrappolati,2,692
1962,Libera i cittadini intrappolati per rendere sicura la Caverna degli Inganni.,3,692
1963,,4,692
1964,Salone degli Esploratori: %5292w fenditure restanti,2,693
1965,Sigilla tutte le fenditure elementali per rendere sicuro il Salone degli Esploratori.,3,693
1966,,4,693
1967,Guardia Militare: %5289w fenditure restanti,2,694
1968,Sigilla tutte le fenditure elementali per rendere sicura la Guardia Militare.,3,694
1969,,4,694
1970,Guardia Militare: %5288w cittadini intrappolati,2,695
1971,Libera i cittadini intrappolati per rendere sicura la Guardia Militare.,3,695
1972,,4,695
1973,Grande Forgia: %5296w fenditure restanti,2,696
1974,Sigilla tutte le fenditure elementali per rendere sicura la Grande Forgia.,3,696
1975,,4,696
1976,Grande Forgia: %5297w cittadini intrappolati,2,697
1977,Libera i cittadini intrappolati per rendere sicura la Grande Forgia.,3,697
1978,,4,697
1979,Salone degli Esploratori: %5293w cittadini intrappolati,2,698
1980,Libera i cittadini intrappolati per rendere sicuro il Salone degli Esploratori.,3,698
1981,,4,698
1982,Basi: %1779w  Risorse: %1776w/%1780w,2,699
1983,Stato dell'Alleanza,3,699
1984,,4,699
1985,Basi: %1778w  Risorse: %1777w/%1780w,2,700
1986,Stato dell'Orda,3,700
1987,,4,700
1988,L'Alleanza sta attaccando,2,701
1989,L'Alleanza sta attaccando il complesso carcerario di Tol Barad.,3,701
1990,,4,701
1991,L'Orda sta attaccando,2,702
1992,L'Orda sta attaccando il complesso carcerario di Tol Barad.,3,702
1993,,4,702
1994,Sfere Dorate raccolte: %5649w,2,703
1995,,3,703
1996,,4,703
2003,Demoni presenti: %6017w,2,706
2004,Demoni totali nel cortile,3,706
2005,,4,706
2006,Frammenti raccolti: %6025w / 16,2,707
2007,,3,707
2008,,4,707
2009,Punti Vittoria: %6303w/1500,2,708
2010,,3,708
2011,,4,708
2012,Punti Vittoria: %6304w/1500,2,709
2013,,3,709
2014,,4,709
2015,Progresso della fermentazione: %6403w/100,2,710
2016,,3,710
2017,,4,710
2018,%1581w/%1601w,2,711
2019,Bandiere conquistate dall'Alleanza,3,711
2020,La bandiera dell'Orda è stata presa,4,711
2021,%1582w/%1601w,2,712
2022,Bandiere conquistate dall'Orda,3,712
2023,La bandiera dell'Alleanza è stata presa,4,712
2024,Tempo restante: %4248w min,2,713
2025,Tempo Restante,3,713
2026,,4,713
2027,Risorse: %6437w/1500,2,714
2028,,3,714
2029,,4,714
2030,Risorse: %6438w/1500,2,715
2031,,3,715
2032,,4,715
2033,Guaritori Attivi: %6488w di 12,2,716
2034,Numero di guaritori che stanno curando le ferite di Shen-Zin Su.,3,716
2035,,4,716
2036,Turno attuale: %6608w,2,717
2037,,3,717
2038,,4,717
2039,Punteggio: %6607w,2,718
2040,,3,718
2041,,4,718
2042,Squadra Oro: %3601w giocatori restanti,2,719
2043,,3,719
2044,,4,719
2045,Squadra Viola: %3600w giocatori restanti,2,720
2046,,3,720
2047,,4,720
2048,,2,721
2049,,3,721
2050,,4,721
2051,Quilen raccolti: %6748w/5,2,722
2052,,3,722
2053,,4,722
2054,Tentativi restanti: %7844w,2,730
2055,,3,730
2056,,4,730
2057,Nebbie restanti: %7889w,2,731
2058,,3,731
2059,,4,731
2060,Squadra Viola: %3600w giocatori restanti,2,732
2061,,3,732
2062,,4,732
2063,Squadra Oro: %3601w giocatori restanti,2,733
2064,,3,733
2065,,4,733
2072,Valuta: %8278w,2,736
2073,,3,736
2074,,4,736
2075,Ondata #%8280w,2,737
2076,,3,737
2077,,4,737
2078,Tempo restante: %8529k,2,738
2079,,3,738
2080,,4,738
2081,Perdita di Birra Davvero Puzzolente,19,739
2084,Tempo restante: %8529k,2,740
2085,,3,740
2086,,4,740
2087,Tempo restante: %8529k,2,741
2088,,3,741
2089,,4,741
2090,Tempo restante: %8529k,2,742
2091,,3,742
2092,,4,742
2093,Tempo restante: %8529k,2,743
2094,,3,743
2095,,4,743
2096,Tempo restante: %8529k,2,744
2097,La partita finirà allo scadere del tempo.,3,744
2098,,4,744
2099,Tempo restante: %8529k,2,745
2100,,3,745
2101,,4,745
2102,Sistemi difensivi attivi in %8381w secondi,2,746
2103,"Tempo restante all'attivazione dei sistemi difensivi di classe ""Armageddon"" del GB-11010.",3,746
2104,,4,746
2105,Cannoni restanti: %8373w,2,747
2106,Numero di cannoni ancora da distruggere.,3,747
2107,,4,747
2108,Cannoni restanti: %8373w,2,748
2109,Numero di cannoni ancora da distruggere.,3,748
2110,,4,748
2111,Nemici restanti: %8412w,2,749
2112,Numero di nemici ancora da uccidere in questa ondata.,3,749
2113,,4,749
2114,Clienti allontanatisi prima di essere serviti: %8457w,2,750
2115,,3,750
2116,,4,750
2117,Progresso torre meridionale: %8461w%,2,751
2118,,3,751
2119,,4,751
2120,Progresso torre settentrionale: %8462w%,2,752
2121,,3,752
2122,,4,752
2123,Influenza Fauci di Drago - Torre Settentrionale: %8469w%,2,753
2124,,3,753
