ID,Text_lang,RelationshipFlags,EmotesTextID
184,Un fiume di bava scorre dalla tua bocca.,2,36
185,Un fiume di bava scorre dalla bocca di %s.,4,36
186,Un fiume di bava scorre dalla tua bocca.,6,36
187,%s inizia a mangiare di fronte a %s.,0,37
188,%s inizia a mangiare di fronte a te.,1,37
189,Inizi a mangiare di fronte a %s.,2,37
190,%s inizia a mangiare.,4,37
191,Inizi a mangiare.,6,37
192,%s squadra %s dall'alto al basso.,0,38
193,%s ti squadra dall'alto al basso.,1,38
194,Squadri %s dall'alto al basso.,2,38
195,%s ti squadra dall'alto al basso,4,38
196,Incroci gli occhi.,6,38
197,%s scoreggia rumorosamente. Che odore pestilenziale!,0,39
198,%s scoreggia rumorosamente. Che odore pestilenziale!,1,39
199,Scoreggi rumorosamente. Che odore pestilenziale!,2,39
200,%s scoreggia rumorosamente. Che odore pestilenziale!,4,39
201,Scoreggi rumorosamente. Che odore pestilenziale!,6,39
202,%s si agita impazientemente aspettando %s.,0,40
203,%s si agita impazientemente aspettando te.,1,40
204,Ti agiti impazientemente aspettando %s.,2,40
205,%s si agita impazientemente.,4,40
206,Ti agiti impazientemente.,6,40
207,"%s flette i muscoli guardando %s. Oooooh, che forza!",0,41
208,"%s flette i muscoli guardandoti. Oooooh, che forza!",1,41
209,"Fletti i muscoli guardando %s. Oooooh, che forza!",2,41
210,"%s flette i muscoli. Oooooh, che forza!",4,41
211,"Fletti i muscoli. Oooooh, che forza!",6,41
212,"%s flette i muscoli. Oooooh, che forza!",12,41
213,%s guarda con disapprovazione %s.,0,42
214,%s ti guarda con disapprovazione.,1,42
215,Guardi con disapprovazione %s.,2,42
216,%s si guarda in giro con disapprovazione.,4,42
217,Ti guardi in giro con disapprovazione.,6,42
218,%s resta senza fiato guardando %s.,0,43
219,%s resta senza fiato guardando te.,1,43
220,Resti senza fiato guardando %s.,2,43
221,%s resta senza fiato.,4,43
222,Resti senza fiato.,6,43
223,%s contempla %s con desiderio.,0,44
224,%s ti contempla con desiderio.,1,44
225,Contempli %s con desiderio.,2,44
226,%s contempla l'orizzonte con desiderio.,4,44
227,Contempli l'orizzonte con desiderio.,6,44
228,%s sghignazza guardando %s.,0,45
229,%s sghignazza guardando te.,1,45
230,Sghignazzi guardando %s.,2,45
231,%s sghignazza.,4,45
232,Sghignazzi.,6,45
233,%s guarda in cagnesco %s.,0,46
234,%s ti guarda in cagnesco.,1,46
235,Guardi in cagnesco %s.,2,46
236,%s si guarda in giro in cagnesco.,4,46
237,Ti guardi in giro in cagnesco.,6,46
238,%s gongola per la sfortuna di %s.,0,47
239,%s gongola per la tua sfortuna.,1,47
240,Gongoli per la sfortuna di %s.,2,47
241,%s gongola per la sfortuna degli altri.,4,47
242,Gongoli per la sfortuna degli altri.,6,47
243,%s saluta calorosamente %s.,0,48
244,%s ti saluta calorosamente.,1,48
245,Saluti %s calorosamente.,2,48
246,%s saluta tutti calorosamente.,4,48
247,Saluti tutti calorosamente.,6,48
248,%s sghignazza malevolmente verso %s.,0,49
249,%s sghignazza malevolmente verso di te.,1,49
250,Sghignazzi malevolmente verso %s.,2,49
251,%s sghignazza malevolmente.,4,49
252,Sghignazzi malevolmente.,6,49
253,%s guarda %s e geme di dolore.,0,50
254,%s ti guarda e geme di dolore.,1,50
255,Guardi %s e gemi di dolore.,2,50
256,%s inizia a gemere di dolore.,4,50
257,Inizi a gemere di dolore.,6,50
258,%s striscia di fronte a %s in completa sottomissione.,0,51
259,%s striscia di fronte a te in completa sottomissione.,1,51
260,Strisci di fronte a %s in completa sottomissione.,2,51
261,%s striscia per terra in completa sottomissione.,4,51
262,Strisci per terra in completa sottomissione.,6,51
263,%s osserva %s e scoppia a ridere!,0,52
264,%s ti osserva e scoppia a ridere!,1,52
265,Osservi %s e scoppi a ridere!,2,52
266,%s scoppia a ridere sguaiatamente!,4,52
267,Scoppi a ridere sguaiatamente!,6,52
268,%s saluta a gran voce %s.,0,53
269,%s ti saluta a gran voce.,1,53
270,Saluti a gran voce %s.,2,53
271,%s saluta a gran voce tutti quanti.,4,53
272,Saluti a gran voce tutti quanti.,6,53
273,%s saluta a gran voce tutti quanti.,12,53
274,%s è molto felice con %s!,0,54
275,%s è molto felice con te!,1,54
276,Sei molto felice con %s!,2,54
277,%s è molto felice!,4,54
278,Sei molto felice!,6,54
279,%s saluta %s con un sincero benvenuto!,0,55
280,%s ti saluta con un sincero benvenuto!,1,55
281,Saluti %s con un sincero benvenuto!,2,55
282,%s saluta tutti con un sincero benvenuto!,4,55
283,Saluti tutti con un sincero benvenuto!,6,55
284,%s abbraccia %s.,0,56
285,%s ti abbraccia.,1,56
286,Abbracci %s.,2,56
287,%s ha bisogno di un abbraccio!,4,56
288,Hai bisogno di un abbraccio!,6,56
289,%s ha fame. Forse %s ha del cibo da spartire...,0,57
290,%s ha fame. Forse tu hai del cibo da spartire...,1,57
291,Hai fame. Forse %s ha del cibo da spartire...,2,57
292,%s ha fame!,4,57
293,Hai fame!,6,57
294,%s manda un bacio a %s.,0,58
295,%s ti manda un bacio.,1,58
296,Mandi un bacio a %s.,2,58
297,%s manda un bacio nel vento.,4,58
298,Mandi un bacio nel vento.,6,58
299,%s si inginocchia di fronte a %s.,0,59
300,%s si inginocchia di fronte a te.,1,59
301,Ti inginocchi di fronte a %s.,2,59
302,%s si inginocchia.,4,59
303,Ti inginocchi.,6,59
304,%s ride di fronte a %s.,0,60
305,%s ride di fronte a te.,1,60
306,Ridi di fronte a %s.,2,60
307,%s ride.,4,60
308,Ridi.,6,60
309,%s si sdraia di fronte a %s.,0,61
310,%s si sdraia di fronte a te.,1,61
311,Ti sdrai di fronte a %s.,2,61
312,%s si sdraia.,4,61
313,Ti sdrai.,6,61
314,%s massaggia le spalle di %s.,0,62
315,%s ti massaggia le spalle.,1,62
316,Massaggi le spalle a %s.,2,62
317,%s ha bisogno di un massaggio!,4,62
318,Hai bisogno di un massaggio!,6,62
319,,0,63
320,,1,63
321,,2,63
322,,4,63
323,,6,63
324,%s si cala le braghe e mostra il didietro a tutti quanti.,0,64
325,%s si cala le braghe e mostra il didietro a tutti quanti.,1,64
326,Ti cali le braghe e mostri il didietro a tutti quanti.,2,64
327,%s si cala le braghe e mostra il didietro a tutti quanti.,4,64
328,Ti cali le braghe e mostri il didietro a tutti quanti.,6,64
329,%s si cala le braghe e mostra il didietro a tutti quanti.,8,64
330,%s si cala le braghe e mostra il didietro a tutti quanti.,9,64
331,%s si cala le braghe e mostra il didietro a tutti quanti.,12,64
332,"In silenzioso raccoglimento, %s si rammarica per la morte di %s.",0,65
333,"In silenzioso raccoglimento, %s si rammarica per la tua morte.",1,65
334,"In silenzioso raccoglimento, ti rammarichi per la morte di %s.",2,65
335,"In silenzioso raccoglimento, %s si rammarica per la morte dei caduti.",4,65
336,"In silenzioso raccoglimento, ti rammarichi per la morte dei caduti.",6,65
337,%s urla NO a %s. Non succederà affatto.,0,66
338,%s ti urla NO. Non succederà affatto.,1,66
339,Urli NO a %s. Non succederà affatto.,2,66
340,%s urla NO. Non succederà affatto.,4,66
341,Urli NO. Non succederà affatto.,6,66
342,%s annuisce a %s.,0,67
343,%s annuisce a te.,1,67
344,Annuisci a %s.,2,67
345,%s annuisce.,4,67
346,Annuisci.,6,67
347,%s si scaccola e mostra il risultato a %s.,0,68
348,%s si scaccola e ti mostra il risultato.,1,68
349,Ti scaccoli e mostri il risultato a %s.,2,68
350,%s si scaccola avidamente.,4,68
351,Ti scaccoli avidamente.,6,68
352,%s si scaccola e mostra il risultato a %s.,8,68
353,%s si scaccola e ti mostra il risultato.,9,68
354,%s guarda %s e si fa prendere dal panico.,0,69
355,%s ti guarda e si fa prendere dal panico.,1,69
356,Guardi %s e ti fai prendere dal panico.,2,69
357,%s corre in giro in preda al panico.,4,69
358,Corri in giro in preda al panico.,6,69
359,%s scruta minuziosamente %s.,0,70
360,%s ti scruta minuziosamente.,1,70
361,Scruti minuziosamente %s.,2,70
362,%s scruta in giro minuziosamente.,4,70
363,Scruti in giro minuziosamente.,6,70
364,%s implora %s.,0,71
365,%s ti implora.,1,71
366,Implori %s.,2,71
367,%s cade in ginocchio e implora disperato.,4,71
368,Cadi in ginocchio e implori disperato.,6,71
369,%s cade in ginocchio e implora disperata.,12,71
370,%s indica verso di %s.,0,72
371,%s indica verso di te.,1,72
372,Indichi verso %s.,2,72
373,%s indica in lontananza.,4,72
374,Indichi in lontananza.,6,72
375,%s colpisce %s. Ehi!,0,73
376,%s ti colpisce. Ehi!,1,73
377,Colpisci %s. Ehi!,2,73
378,%s si batte la pancia e sghignazza.,4,73
379,Ti batti la pancia e sghignazzi.,6,73
380,%s si batte la pancia e sghignazza.,12,73
381,%s dedica una preghiera a %s.,0,74
382,%s ti dedica una preghiera.,1,74
383,Dedichi una preghiera a %s.,2,74
384,%s prega gli dei.,4,74
385,Preghi gli dei.,6,74
386,%s ruggisce con bestiale vigore verso %s. Che ferocia!,0,75
387,%s ruggisce con bestiale vigore verso di te. Che ferocia!,1,75
388,Ruggisci con bestiale vigore verso %s. Che ferocia!,2,75
389,%s ruggisce con bestiale vigore. Che ferocia!,4,75
390,Ruggisci con bestiale vigore. Che ferocia!,6,75
391,%s si rotola a terra dal ridere guardando %s.,0,76
392,%s si rotola a terra dal ridere guardando te.,1,76
393,Ti rotoli a terra dal ridere guardando %s.,2,76
394,%s si rotola a terra dal ridere.,4,76
395,Ti rotoli a terra dal ridere.,6,76
396,%s fa un gestaccio a %s.,0,77
397,%s ti fa un gestaccio.,1,77
398,Fai un gestaccio a %s.,2,77
399,%s fa un gestaccio.,4,77
400,Fai un gestaccio.,6,77
401,%s saluta %s con gran rispetto.,0,78
402,%s ti saluta con gran rispetto.,1,78
403,Saluti %s con gran rispetto.,2,78
404,%s si mette sull'attenti e saluta.,4,78
405,Ti metti sull'attenti e saluti.,6,78
406,%s gratta %s. Un vero felino!,0,79
407,%s ti gratta. Un vero felino!,1,79
408,Gratti %s. Un vero felino!,2,79
409,"%s si gratta animosamente. Ah, molto meglio ora!",4,79
410,"Ti gratti animosamente. Ah, molto meglio ora!",6,79
411,"%s si gratta animosamente. Ah, molto meglio ora!",12,79
412,%s pensa che %s sia davvero sexy.,0,80
413,%s pensa che tu sia davvero sexy.,1,80
414,Pensi che %s sia davvero sexy.,2,80
415,%s è davvero troppo sexy...,4,80
416,Sei davvero troppo sexy...,6,80
417,%s davvero è troppo sexy...,12,80
418,,0,81
419,,1,81
420,,2,81
421,,4,81
422,,6,81
423,,8,81
424,,9,81
425,,12,81
426,%s urla verso %s.,0,82
427,%s urla verso di te.,1,82
428,Urli verso %s.,2,82
429,%s urla.,4,82
430,Urli.,6,82
431,%s scrolla le spalle guardando %s. Chi può saperlo?,0,83
432,%s scrolla le spalle guardandoti. Chi può saperlo?,1,83
433,Scrolli le spalle guardando %s. Chi può saperlo?,2,83
434,%s alza le spalle. Chi lo sa?,4,83
435,Scrolli le spalle. Chi può saperlo?,6,83
436,%s sorride timidamente a %s.,0,84
437,%s ti sorride timidamente.,1,84
438,Sorridi timidamente a %s.,2,84
439,%s sorride timidamente.,4,84
440,Sorridi timidamente.,6,84
441,%s sospira pensando a %s.,0,85
442,%s sospira pensando a te.,1,85
443,Sospiri pensando a %s.,2,85
444,%s sospira profondamente.,4,85
445,Sospiri profondamente.,6,85
446,,4,86
447,,6,86
448,%s si addormenta. Zzzzzzz.,4,87
449,Ti addormenti. Zzzzzzz.,6,87
450,%s mostra i denti e ringhia verso %s.,0,88
451,%s mostra i denti e ringhia verso di te.,1,88
452,Mostri i denti e ringhi verso %s.,2,88
453,%s mostra i denti e ringhia.,4,88
454,Mostri i denti e ringhi.,6,88
455,%s mostra i denti e ringhia verso %s.,8,88
456,%s mostra i denti e ringhia verso di te.,9,88
457,%s mostra i denti e ringhia.,12,88
458,,0,89
459,,1,89
460,,2,89
461,%s sputa per terra.,4,89
462,Sputi per terra.,6,89
463,%s fa abbassare gli occhi a %s.,0,90
464,%s ti fa abbassare gli occhi.,1,90
465,Fai abbassare gli occhi a %s.,2,90
466,%s contempla l'orizzonte.,4,90
467,Contempli l'orizzonte.,6,90
468,%s si sorprende delle azioni di %s.,0,91
469,%s si sorprende delle tue azioni.,1,91
470,Sei sorpreso delle azioni di %s.,2,91
471,%s è senza parole!,4,91
472,Sei senza parole!,6,91
473,%s si arrende di fronte a %s. La terribile agonia della sconfitta...,0,92
474,%s si arrende di fronte a te. La terribile agonia della sconfitta...,1,92
475,Ti arrendi di fronte a %s. La terribile agonia della sconfitta...,2,92
476,%s si arrende di fronte agli avversari.,4,92
477,Ti arrendi di fronte agli avversari.,6,92
478,%s si arrende di fronte agli avversari.,12,92
479,%s vuole discutere con %s.,0,93
480,%s vuole discutere con te.,1,93
481,Vuoi discutere con %s.,2,93
482,%s parla da solo visto che nessun altro sembra interessato.,4,93
483,Parli ma nessun altro sembra interessato.,6,93
484,%s parla da sola visto che nessun altro sembra interessato.,12,93
485,%s parla con foga con %s.,0,94
486,%s parla con foga con te.,1,94
487,Parli con foga con %s.,2,94
488,%s parla con foga con tutti.,4,94
489,Parli con foga con tutti.,6,94
490,%s interpella %s.,0,95
491,%s ti interpella.,1,95
492,Interpelli %s.,2,95
493,%s si interpella sul significato della vita.,4,95
494,Ti interpelli sul significato della vita.,6,95
495,%s batte il piede mentre attende %s.,0,96
496,%s batte il piede mentre ti attende.,1,96
497,Batti il piede mentre attendi %s.,2,96
498,%s batte il piede. Diamoci una mossa!,4,96
499,Batti il piede. Diamoci una mossa!,6,96
500,%s batte il piede mentre attende %s.,8,96
501,%s batte il piede mentre ti attende.,9,96
502,%s batte il piede. Diamoci una mossa!,12,96
503,%s ringrazia %s.,0,97
504,%s ti ringrazia.,1,97
505,Ringrazi %s.,2,97
506,%s ringrazia tutti quanti.,4,97
507,Ringrazi tutti quanti.,6,97
508,%s minaccia %s con sguardo iracondo.,0,98
509,%s ti minaccia con sguardo iracondo.,1,98
510,Minacci %s con sguardo iracondo.,2,98
511,%s minaccia tutti quanti con sguardo iracondo.,4,98
512,Minacci tutti quanti con sguardo iracondo.,6,98
513,%s informa %s di quanto sia stanco.,0,99
514,%s ti informa di quanto sia stanco.,1,99
515,Informi %s della tua stanchezza.,2,99
516,%s informa tutti di quanto sia stanco.,4,99
517,Informi tutti della tua stanchezza.,6,99
518,%s informa %s di quanto sia stanca.,8,99
519,%s ti informa di quanto sia stanca.,9,99
520,%s informa tutti di quanto sia stanca.,12,99
521,%s si bea della vittoria con %s.,0,100
522,%s si bea della vittoria con te.,1,100
523,Ti bei della vittoria con %s.,2,100
524,%s si bea della vittoria.,4,100
525,Ti bei della vittoria.,6,100
526,%s saluta %s con la mano.,0,101
527,%s ti saluta con la mano.,1,101
528,Saluti %s con la mano.,2,101
529,%s saluta con la mano.,4,101
530,Saluti con la mano.,6,101
531,%s dà il benvenuto a %s.,0,102
532,%s ti dà il benvenuto.,1,102
533,Dai il benvenuto a %s.,2,102
534,%s dà il benvenuto a tutti.,4,102
535,Dai il benvenuto a tutti.,6,102
536,%s si lamenta in modo patetico con %s.,0,103
537,%s si lamenta in modo patetico con te.,1,103
538,Ti lamenti in modo patetico con %s.,2,103
539,%s si lamenta in modo patetico.,4,103
540,Ti lamenti in modo patetico.,6,103
541,%s emette un forte fischio.,0,104
542,%s emette un forte fischio.,1,104
543,Emetti un forte fischio.,2,104
544,%s emette un forte fischio.,4,104
545,Emetti un forte fischio.,6,104
546,%s si mette a lavorare con %s.,0,105
547,%s si mette a lavorare con te.,1,105
548,Ti metti a lavorare con %s.,2,105
549,%s si mette a lavorare.,4,105
550,Ti metti a lavorare.,6,105
551,%s sbadiglia vistosamente verso %s.,0,106
552,%s sbadiglia vistosamente verso di te.,1,106
553,Sbadigli vistosamente verso %s.,2,106
554,%s sbadiglia vistosamente.,4,106
555,Sbadigli vistosamente.,6,106
556,%s trasale vedendo %s.,0,107
557,%s trasale vedendo te.,1,107
558,Trasali vedendo %s.,2,107
559,%s trasale per la situazione.,4,107
560,Trasali per la situazione.,6,107
561,%s cerca di calmare %s.,0,108
562,%s cerca di calmarti.,1,108
563,Cerchi di calmare %s.,2,108
564,%s mantiene la calma.,4,108
565,Mantieni la calma.,6,108
566,%s mostra la sua freddezza a %s.,0,109
567,%s ti mostra la sua freddezza.,1,109
568,Mostri a %s la tua freddezza.,2,109
569,%s mostra la sua freddezza a tutti.,4,109
570,Mostri la tua freddezza a tutti.,6,109
571,%s mostra la sua freddezza a %s.,8,109
572,%s ti mostra la sua freddezza.,9,109
573,%s mostra la sua freddezza a tutti.,12,109
574,%s conforta %s.,0,110
575,%s ti conforta.,1,110
576,Conforti %s.,2,110
577,%s ha bisogno di conforto.,4,110
578,Hai bisogno di conforto.,6,110
579,%s abbraccia affettuosamente %s.,0,111
580,%s ti abbraccia affettuosamente.,1,111
581,Abbracci affettuosamente %s.,2,111
582,%s ha bisogno di un abbraccio.,4,111
583,Hai bisogno di un abbraccio.,6,111
584,%s si nasconde dietro %s.,0,112
585,%s si nasconde dietro di te.,1,112
586,Ti nascondi dietro %s.,2,112
587,%s si mette al riparo.,4,112
588,Ti metti al riparo.,6,112
589,%s pensa che %s assomigli a un Ogre.,0,113
590,%s pensa che tu assomigli a un Ogre.,1,113
591,Pensi che %s assomigli a un Ogre.,2,113
592,%s pensa che tutti quelli che lo circondano siano dei figli di Ogre.,4,113
593,Pensi che tutti quelli che ti circondano siano dei figli di Ogre.,6,113
594,%s pensa che tutti quelli che la circondano siano dei figli di Ogre.,12,113
595,%s si presenta a %s.,0,114
596,%s si presenta a te.,1,114
597,Ti presenti a %s.,2,114
598,%s si presenta a tutti.,4,114
599,Ti presenti a tutti.,6,114
600,%s si presenta a %s.,8,114
601,%s si presenta a te.,9,114
602,%s si presenta a tutti.,12,114
603,%s spiega a %s che stava solo scherzando!,0,115
604,%s ti spiega che stava solo scherzando!,1,115
605,Spieghi a %s che stavi solo scherzando!,2,115
606,%s stava solo scherzando!,4,115
607,Stavi solo scherzando!,6,115
608,%s spiega a %s che stava solo scherzando!,8,115
609,%s ti spiega che stava solo scherzando!,9,115
610,%s lecca %s.,0,116
611,%s ti lecca.,1,116
612,Lecchi %s.,2,116
613,%s si lecca le labbra.,4,116
614,Ti lecchi le labbra.,6,116
615,%s si lecca le labbra.,12,116
616,%s ascolta %s con attenzione.,0,117
617,%s ti ascolta con attenzione.,1,117
618,Ascolti %s con attenzione.,2,117
619,%s sta ascoltando con attenzione!,4,117
620,Stai ascoltando con attenzione!,6,117
621,%s informa %s che si è totalmente perso.,0,118
622,%s ti informa che si è totalmente perso.,1,118
623,Informi %s che hai perso la rotta.,2,118
624,%s informa che ha perso la rotta.,4,118
625,Hai perso la rotta.,6,118
626,%s informa %s che si è totalmente persa.,8,118
627,%s ti informa che si è totalmente persa.,9,118
628,%s schernisce %s per la sua stupidità.,0,119
629,%s ti schernisce per la tua stupidità.,1,119
630,Schernisci %s per la sua stupidità.,2,119
631,%s schernisce la vita stessa.,4,119
632,Schernisci la vita stessa.,6,119
633,%s pondera le azioni di %s.,0,120
634,%s pondera le tue azioni.,1,120
635,Ponderi le azioni di %s.,2,120
636,%s pondera la situazione.,4,120
637,Ponderi la situazione.,6,120
638,%s si lancia verso %s.,0,121
639,%s si lancia verso di te.,1,121
640,Ti lanci verso %s.,2,121
641,%s si lancia fuori dalle ombre.,4,121
642,Ti lanci fuori dalle ombre.,6,121
643,%s colma di elogi %s.,0,122
644,%s ti colma di elogi.,1,122
645,Colmi di elogi %s.,2,122
646,%s ringrazia la Luce.,4,122
647,Ringrazi la Luce.,6,122
648,%s fa le fusa a %s.,0,123
649,%s ti fa le fusa.,1,123
650,Fai le fusa a %s.,2,123
651,%s fa le fusa come un micio.,4,123
652,Fai le fusa come un micio.,6,123
653,%s si chiede il perché del comportamento di %s.,0,124
654,%s si chiede il perché del tuo comportamento.,1,124
