Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Sentinella,"Le Sentinelle traggono la propria energia dalle forze della natura, infliggendo danni da arcano aggiuntivi con le proprie abilità ed evocando il potere della luna per far piovere distruzione sui nemici.",42,27529,774
Capobranco,I Capobranco hanno creato un legame profondo con gli animali che li accompagnano e con la natura stessa: questo consente al Cacciatore e al proprio branco di braccare la preda sul campo di battaglia con una coordinazione letale e di chiedere aiuto a possenti bestie.,43,27068,774
Guardaboschi Oscuro,"Accogli l'odio dentro di te e colpisci dall'oscurità, assalendo i nemici con abilità necrotiche alimentate dall'ombra. I nemici che periranno per mano delle tue abilità alimenteranno ulteriormente le tue energie oscure.",44,26679,774
Templare,I Templari non si fermano di fronte a nulla pur di far trionfare la giustizia sui malvagi. Sono in grado di evocare dei martelli di Luce e di scatenare devastanti combinazioni di attacchi fisici e sacri per annientare i propri nemici.,48,26681,790
Plasmaluce,"I Plasmaluce hanno raggiunto un'estrema padronanza sulla Luce tanto da riuscire a impiegarla in maniera tangibile, utilizzando costrutti per infondere potere nelle proprie armi e difese e per proteggere i propri alleati.",49,26680,790
Alfiere del Sole,"Gli Alfieri del Sole sviluppano un profondo legame con il sole e l'energia solare, impiegandola per incenerire i nemici e cauterizzare le ferite degli alleati. Possono materializzare potenti raggi solari mentre instaurano una profonda connessione con la Luce.",50,26702,790
Ingannatore,"Quando un Ingannatore entra in scena, colpi sleali e lame accecanti sono all'ordine del giorno. Gli Ingannatori distraggono il nemico con depistaggi o virtuosismi con la spada, per poi trafiggerli con colpi totalmente inaspettati.",51,27018,852
Vincolafato,"I Vincolafato agiscono con fervore impersonando la Mano del Destino, per seminare il caos e mandare all'aria le strategie del nemico. Guidati dall'imprevedibilità del lancio di una Moneta Vincolafato, fanno in modo che i nemici vadano incontro al proprio meritato destino: la morte.",52,27433,852
Inseguitore della Morte,"Gli Inseguitori della Morte, portatori di sventura, colpiscono dalle ombre per dare una fine rapida ai loro bersagli.",53,27432,852
Totemista,"Gli sciamani Totemisti sono specializzati nel liberare il pieno potenziale dei propri totem, rafforzandoli e ottenendo l'accesso a nuove varianti. Hanno affinato le proprie capacità d'infusione per risultare ancora più temibili in combattimento.",54,26703,786
Araldo della Tempesta,"Gli Araldi della Tempesta sfruttano il potere della tempesta, potenziando il proprio controllo sul fulmine e plasmandolo a loro piacimento. Evoca una feroce tempesta per scatenare il caos sui tuoi avversari, risvegliando il tuono e seminando devastazione sul tuo cammino.",55,26683,786
Chiaroveggente,Sfrutta la tua magia spirituale per migliorare le tue capacità nel lancio d'incantesimi ed evocare gli spiriti dei tuoi antenati che affiancheranno te e i tuoi alleati in combattimento.,56,27019,786
Mietitore d'Anime,"In pochi attingono al potere racchiuso nelle anime, ma a molti è nota la brama dei demoni per gli spiriti dei caduti. I Mietitori d'Anime stringono patti coi demoni della Distorsione Fatua, fungendo da ricettacolo per questi spiriti e nutrendoli con le anime dei nemici in cambio di immensi poteri.",57,27530,720
Invocatore Infernale,"Tra le sette di Satiri sparse per Azeroth, gli Invocatori Infernali sono i più temuti: hanno infatti appreso come combinare la magia oscura più spregevole e il vilfuoco entropico, anche se il prezzo da pagare è stato la corruzione della loro anima.",58,27746,720
Demonista,"Molti demoni, dopo la sconfitta della Legione, sono rimasti liberi e privi di vincoli. I Demonisti dominano i demoni più potenti un tempo creduti incontrollabili e sfruttano sul campo di battaglia i poteri abissali provenienti dalla Distorsione Fatua.",59,26935,720
Uccisore,"Un Guerriero feroce che sceglie un bersaglio e lo attacca senza tregua, travolgendo i propri nemici con una carica di acciaio e potenza.",60,26704,850
Thane della Montagna,"I Thane della Montagna sono feroci guerrieri la cui ragione di vita è mettersi alla prova contro degni avversari. Assorbendo forza dalla terra e potere dalla tempesta, vibrano colpi che si abbattono come fulmini sui nemici, travolgendoli.",61,26684,850
Colosso,"Un veterano d'innumerevoli battaglie in grado di sostenere attacchi che per altri guerrieri risulterebbero fatali, sfruttando la propria esperienza per vibrare colpi possenti e schiacciare il nemico.",62,26765,850
Condotto dei Celestiali,I Condotti dei Celestiali si dedicano anima e corpo agli insegnamenti dei quattro Venerabili Celestiali per incarnare la loro saggezza e sfruttare la loro forza. I Condotti Supremi possono canalizzare il potere di tutti Celestiali in una volta.,64,27069,1000
Shandaren,"I Monaci Shandaren hanno appreso l'arte del combattimento dai propri antenati e si ergono fieri contro gli avversari in difesa degli amici e dei propri cari. Prima di attaccare caricano il proprio potere, per poi scatenare una devastante raffica di colpi e travolgere gli avversari.",65,27070,1000
Maestro dell'Armonia,I Maestri dell'Armonia perseguono la perfezione fisica e il potenziamento del corpo per ottenere forza nella sua forma più pura: questo gli permette di attingere al flusso del chi e ai naturali cicli di potere.,66,27745,1000
Araldo della Tempesta,"Gli Araldi della Tempesta sfruttano il potere della tempesta, potenziando il proprio controllo sul fulmine e plasmandolo a loro piacimento. Evoca una feroce tempesta per scatenare il caos sui tuoi avversari, risvegliando il tuono e seminando devastazione sul tuo cammino.",70,26683,1033
Totemista,"Gli sciamani Totemisti sono specializzati nel liberare il pieno potenziale dei propri totem, rafforzandoli e ottenendo l'accesso a nuove varianti. Hanno affinato le proprie capacità d'infusione per risultare ancora più temibili in combattimento.",71,26703,1033
Chiaroveggente,Sfrutta la tua magia spirituale per migliorare le tue capacità nel lancio d'incantesimi ed evocare gli spiriti dei tuoi antenati che affiancheranno te e i tuoi alleati in combattimento.,72,27019,1033
Araldo della Tempesta,"Gli Araldi della Tempesta sfruttano il potere della tempesta, potenziando il proprio controllo sul fulmine e plasmandolo a loro piacimento. Evoca una feroce tempesta per scatenare il caos sui tuoi avversari, risvegliando il tuono e seminando devastazione sul tuo cammino.",73,26683,1034
Totemista,"Gli sciamani Totemisti sono specializzati nel liberare il pieno potenziale dei propri totem, rafforzandoli e ottenendo l'accesso a nuove varianti. Hanno affinato le proprie capacità d'infusione per risultare ancora più temibili in combattimento.",74,26703,1034
Chiaroveggente,Sfrutta la tua magia spirituale per migliorare le tue capacità nel lancio d'incantesimi ed evocare gli spiriti dei tuoi antenati che affiancheranno te e i tuoi alleati in combattimento.,75,27019,1034
PH,Danni!,79,24179,1054
PH,Scudo!,80,24199,1054
Difensore,"Brann fa affidamento sui propri alleati, sull'avanzata tecnologia recuperata e sul suo fidato fucile per lanciarsi alla carica in prima linea.",81,24199,874
Difensore,"Brann fa affidamento sui propri alleati, sull'avanzata tecnologia recuperata e sul suo fidato fucile per lanciarsi alla carica in prima linea.",82,24199,1060
Guaritore,Brann sfrutta le sue scorte mediche e le reliquie raccolte per curare i personaggi feriti.,83,24186,1060
Assaltatore,Brann abbatte i nemici a distanza impugnando Vecchio Arnese.,84,24179,1060
