Name_lang,ID,SpecSetID,InventoryTypeMask,SpellID,ItemBonusListID,PlayerConditionID,Field_9_0_1_34972_007,UnlockItemID,CovenantID,Field_9_1_0_38549_010
Focus Preciso dell'Artiglio dell'Aquila,74,14,1090,336849,7011,85760,155,183258,0,0
Tiri Crescenti,75,14,516,336867,7012,85763,153,183261,0,0
Astuzia dell'Inseguitore di Serpenti,76,14,2056,336870,7013,85762,152,183260,0,0
Segreti della Veglia Impassibile,77,14,1536,336878,7014,85761,154,183259,0,0
Fascio di Fuocobrado,78,20,192,336895,7015,85767,159,183265,0,0
Assalti Frustranti del Predatore di Rylak,79,20,65664,336901,7016,85766,157,183264,0,0
Iniettori di Veleno Latente,80,20,1026,336902,7017,85765,158,183263,0,0
Frammenti d'Ossa del Macellaio,81,20,65568,336907,7018,85764,156,183262,0,0
Fuga dalla Realtà,82,164,36,343250,7184,85784,67,183284,0,92619
Delizia dell'Invocatore,83,164,65546,337298,7082,85783,66,183283,0,0
Guanti Colposicuro,84,164,320,337294,7080,85785,65,183285,0,0
Tocco Fatale,85,164,2560,337296,7081,85133,64,183282,0,0
Passioni Carbonizzate,86,24,65792,338138,7076,85787,68,183287,0,0
Ultimo Barilotto di Triplo Malto,87,24,1096,337288,7077,85789,69,183289,0,0
Infusione Celestiale,88,24,384,337290,7078,85788,70,183288,0,0
Vigore di Shaohao,89,24,1050656,337570,7079,85786,71,183286,0,0
Antichi Insegnamenti del Monastero,90,25,1536,337172,7075,85790,75,183290,0,0
Sussurro di Yu'lon,91,25,2056,337225,7073,85791,74,183291,0,0
Focus Torbido,92,25,516,337343,7074,85792,73,183292,0,0
Lacrima del Mattino,93,25,66,337473,7072,85793,72,183293,0,0
Tesoro di Xuen,94,26,1114144,337481,7070,85797,76,183297,0,0
Altocielo di Keefer,95,26,1030,337334,7068,85795,77,183295,0,0
Accensione di Giada,96,26,65664,337483,7071,85794,78,183294,0,0
Condensatore dell'Ultimo Imperatore,97,26,192,337292,7069,85796,79,183296,0,0
Devozione di Uther,98,30,36,337600,7053,85800,81,183301,0,0
Del Tramonto e dell'Alba,100,30,14,337746,7055,85798,82,183299,0,0
Giudizio del Magistrato,101,30,2560,337681,7056,85799,83,183300,0,0
Ultimo Respiro di Maraad,102,27,2080,340458,7128,85802,86,183303,0,0
Barriera Folgorante,103,27,384,337825,7059,85804,87,183305,0,0
"Spezzaombre, Alba del Sole",104,27,1096,337812,7057,85803,85,183304,0,0
Inflorescenza del Pozzo Solare,105,27,65792,337777,7058,85801,84,183302,0,0
Sigillo Inciso del Vendicatore Sacro,106,28,66,337831,7060,85806,89,183307,0,0
Santuario del Protettore Ardente,107,28,516,337838,7061,85808,91,183309,0,0
Baluardo della Giusta Furia,108,28,2056,337847,7062,85805,88,183306,0,0
Regno dei Re Eterni,109,28,548,337850,7063,85807,90,183308,0,0
Tempesta dell'Araldo della Luce,110,29,192,337257,7067,85812,95,183313,0,0
Inquisitore Implacabile,111,30,65664,337297,7066,85811,94,183312,0,0
Impeto dell'Avanguardia,112,29,1282,337638,7065,85809,92,183310,0,0
Verdetto Finale,113,29,65568,337247,7064,85810,93,183311,0,0
Polvere d'Ombra Rinvigorente,114,165,36,340080,7114,85828,115,183331,0,0
Essenza di Zannacremisi,115,165,2058,340079,7113,85136,114,183330,0,0
Piccola Lama Tossica,116,165,320,340078,7112,85830,113,183333,0,92622
Marchio del Maestro Assassino,117,165,2560,340076,7111,85829,112,183332,0,0
Farabutto Ardito,118,34,65792,340081,7115,85831,116,183334,0,0
Lama Spietata,119,34,66568,340082,7116,85832,117,183335,0,0
Fregio di Zoldyck,120,34,384,340083,7117,85834,118,183337,0,0
Pezza del Calcavespro,121,34,2080,340084,7118,85833,119,183336,0,0
Schioppo Nascosto,122,35,1536,340088,7122,85836,123,183339,0,0
Fluidità,123,35,2056,340087,7121,85835,122,183338,0,0
Talismano dell'Astuzia,124,35,516,340086,7120,85838,121,183341,0,0
Vimini di Pelleverde,125,35,66,340085,7119,85837,120,183340,0,0
Atto Finale,126,36,65568,340089,7123,85841,124,183344,0,0
Frammento d'Anima di Akaari,127,36,1030,340090,7124,85839,125,183342,0,0
Il Marcio,128,36,65664,340091,7125,85842,126,183345,0,0
Ombre Letali,129,165,192,340092,7126,85840,127,183343,0,0
Promemoria Ancestrale,130,13,2560,336741,6985,85137,160,183346,0,0
Pietra del Tremore Profondo,131,13,2368,336739,6986,85845,162,183349,0,0
Elementi Profondamente Radicati,132,13,522,336738,6987,85844,163,183348,0,92623
Catene della Devastazione,133,13,1048612,336735,6988,85843,161,183347,0,0
Disfatta Ardente della Spaccacieli,134,11,1050656,336734,6989,85848,166,183352,0,0
Equilibrio Elementale,135,11,384,336730,6990,85847,167,183351,0,0
Echi della Grande Separazione,136,11,1032,336215,6991,85846,164,183350,0,0
Rinascita di Lava dell'Oratore del Vento,137,11,65792,336063,6992,85849,165,183353,0,0
Venti del Fato,138,12,65602,335902,6993,85850,168,183354,0,0
Retaggio della Megera del Gelo,139,12,516,335899,6994,85851,171,183355,0,0
Ossa di Lupo del Taumaturgo,140,12,2056,335897,6995,85853,170,183357,0,0
Attuatori della Lava Primordiale,141,12,1536,335895,6996,85852,169,183356,0,0
Focus Naturale di Jonat,142,4,192,335893,6997,85855,174,183359,0,0
Totem della Marea dello Spiritista,143,4,65664,335891,6998,85857,175,183361,0,0
Nucleo della Marea Primordiale,144,4,1026,335889,6999,85856,173,183360,0,0
Armonia Terrestre,145,4,1114144,335886,7000,85854,172,183358,0,0
Contemplazione Moderata,146,166,1048612,341804,7161,85813,99,183315,0,92621
Gemelli della Sacerdotessa del Sole,147,166,14,336897,7002,85814,98,183316,0,0
Ombre Cauterizzanti,148,166,320,336370,6975,85135,96,183314,0,0
Volta dei Cieli,149,166,2560,336470,6972,85815,97,183317,0,0
Il Penitente,150,31,65792,336011,6976,85819,102,183321,0,0
Riflesso Cristallino,151,31,1032,336507,6978,85817,103,183319,0,0
Bacio della Morte,152,31,384,336133,6979,85818,101,183320,0,0
Lucidità Mentale,153,31,1050656,336067,6980,85816,100,183318,0,0
"X'anshi, Ritorno dell'Arcivescovo Benedictus",154,32,65664,337477,6984,85823,107,183325,0,0
Apparato Armonioso,155,32,2056,336314,6977,85822,106,183324,0,0
Concentrazione Rapida,156,32,516,336266,6974,85821,104,183323,0,0
Immagine Divina,157,32,65602,336400,6973,85820,105,183322,0,0
Salmo Alleviante,158,33,1114144,336165,6981,85825,110,183327,0,0
Prisma d'Ombrofuoco,159,33,1026,336143,6982,85827,109,183329,0,0
Richiamo Eterno del Vuoto,160,33,1536,336214,6983,85824,111,183326,0,0
Stratagemma di Talbadar,161,33,192,342415,7162,85826,108,183328,0,0
Sigillo di Wilfred dell'Evocazione Superiore,162,167,2560,337020,7025,85864,183,183369,0,0
Artiglio di Endereth,163,167,320,337038,7026,85861,181,183366,0,92624
Reliquia della Sinergia Demoniaca,164,167,65546,337057,7027,85862,180,183367,0,0
Pilastri del Portale Oscuro,165,167,1048612,337065,7028,85863,182,183368,0,0
Agonia Perpetua di Azj'aqir,166,37,1050656,337106,7029,85858,176,183363,0,0
Assalto Oscuro di Sacrolash,167,37,384,337111,7030,85859,177,183364,0,0
Ira Malefica,168,37,1032,337122,7031,85138,178,183362,0,0
Ira della Consunzione,169,37,65792,337128,7032,85860,179,183365,0,0
Potenziale Implosivo,170,39,1090,337135,7033,85868,189,183373,0,0
Evocazione del Terrore dell'Inquisitore Tetro,171,39,516,337141,7034,85867,186,183372,0,0
Forze dell'Incubo Cornuto,172,39,2056,337146,7035,85866,187,183371,0,0
Nucleo Ardente della Pena del Ragno,173,39,1536,337159,7036,85865,191,183370,0,0
"Odr, Scialle degli Ymirjar",174,38,192,337163,7037,85872,188,183377,0,0
Braci degli Azj'aqir,175,38,65664,337166,7038,85869,185,183374,0,0
Follia degli Azj'aqir,176,38,1026,337169,7039,85871,184,183376,0,0
Braci della Divisa del Diabolico,177,38,1114144,337272,7040,85870,190,183375,0,0
Saltatore,178,168,320,335214,6955,85139,128,183378,0,0
Riverbero Sismico,179,168,266,335758,6971,85874,131,183380,0,0
Specchio Deformato,180,168,36,335253,6958,85873,130,183379,0,92625
Anello con Sigillo dei Re Tormentati,181,168,2560,335266,6959,85875,129,183381,0,0
Colpo Duraturo,182,40,66,335458,6962,85877,134,183383,0,0
Signore della Battaglia,183,40,516,335274,6960,85876,135,183382,0,0
Sfruttatore,184,40,2056,335451,6961,85878,133,183384,0,0
Squilibrato,185,40,3584,335282,6970,85879,132,183385,0,0
Cadenza di Fujieda,186,41,192,335555,6963,85880,136,183386,0,0
Portatore di Morte,187,41,65664,335567,6964,85881,138,183387,0,0
Difesa Sprezzante,188,41,1090,335582,6965,85882,139,183388,0,0
Volontà del Berserker,189,41,65568,335594,6966,85883,137,183389,0,0
Spaccatuono,190,42,1280,335229,6956,85886,143,183392,0,0
Muro,191,42,65544,335239,6957,85885,142,183391,0,0
Volontà Incrollabile,192,42,2080,335629,6967,85887,141,183393,0,0
Rappresaglia,193,42,384,335718,6969,85884,140,183390,0,0
Eletto Pazzo,196,30,320,337594,7054,85134,80,183298,0,92620
Eco di Eonar,199,2,2624,338477,7100,85130,192,183242,0,0
Giudizio dell'Arbiter,200,2,3584,339344,7101,85746,193,183243,0,0
Sagacia di Norgannon,201,2,65920,339340,7102,85748,194,183245,0,0
Proclamazione di Sephuz,202,2,1048620,339348,7103,85749,195,183246,0,0
Esca di Fantaplasma Stabile,203,2,66052,339351,7104,85750,196,183247,0,0
Terzo Occhio del Carceriere,204,2,78,339058,7105,85751,197,183248,0,0
Sacrificio della Vitalità,205,2,1050666,338743,7106,85752,198,183249,0,0
Rantolo della Fauce,206,2,1408,340197,7159,85747,199,183244,0,0
Trasferimento Dilagante,210,43,96,353882,7466,91087,1,186565,3,0
Sentenza Finale,211,43,65546,353822,7467,91088,2,186566,1,0
Fame Insaziabile,212,43,384,353699,7468,91096,3,186567,2,0
Frenesia dell'Abominio,213,43,1792,353447,7458,91097,4,186568,4,0
Gloria,214,168,96,353577,7469,91102,5,186570,4,0
Impeto Peccaminoso,215,168,14,354131,7470,91112,6,186572,2,0
Furia della Natura,216,168,67072,354161,7471,91123,8,186576,3,0
Sciame di Locuste,217,48,544,354123,7472,92922,1,186577,4,0
Eco Armonica,218,162,65602,354186,7473,91139,9,186591,1,0
Indulgenza Peccaminosa,220,48,1088,354109,7474,91168,2,186609,2,0
Profondità della Morte,221,162,776,354294,7475,91173,12,186621,4,0
Delizia Peccaminosa,222,162,384,354333,7476,91185,13,186635,2,0
Affinità tra Simili,223,48,12,354115,7477,91206,3,186673,1,0
Massacro Tossico,224,165,416,354473,7478,91217,16,186676,3,0
Spiriti Celestiali,226,48,384,354118,7571,91256,4,186687,3,0
Elementi Scheggiati,228,13,68,354647,7570,92160,17,186689,4,0
Obbedienza,229,165,65538,354703,7572,91284,18,186710,2,0
Aculeo della Morte,230,165,1536,354731,7573,91293,19,186712,4,0
Lucidità Risonante,231,165,72,354837,7577,91356,20,186775,1,0
Risonanza Divina,234,30,96,355098,7679,91124,1,187106,1,0
Martellaccio Obbligato,235,30,2058,355099,7680,91706,2,187107,4,0
Sguardo dell'Agonia,236,8,130,355886,7681,91707,21,187105,2,0
Massacro Fiammeggiante,237,8,65800,355890,7698,91710,22,187109,3,0
Fede Cieca,238,8,65568,355893,7699,91711,23,187111,1,0
Giuramento Demoniaco,239,8,576,355996,7700,91748,24,187118,4,0
Braci Radiose,240,30,67072,355447,7701,91791,3,187127,2,0
Stagioni Abbondanti,241,30,384,355100,7702,91884,4,187132,3,0
Patto di Bwonsamdi,242,166,1090,356391,7703,92111,1,187161,3,0
Parola d'Ombra: Manipolazione,243,166,516,356392,7704,92114,2,187162,2,0
Birra Copiosa,244,164,44,356592,7707,92155,24,187217,4,0
Semi della Crescita Sfrenata,246,13,1026,356218,7708,92161,18,187223,3,0
Condotto Elementale,247,13,544,356250,7709,92162,19,187224,2,0
Detrito d'Anima Stagnante,248,167,1114656,356254,7710,92163,17,187225,1,0
Scheggia dell'Annientamento,249,167,192,356344,7711,92164,18,187226,4,0
Borsa d'Anime Decadente,250,167,1280,356362,7712,92165,19,187227,3,0
Esplosione Perpetua Contenuta,251,167,14,356259,7713,92166,19,187228,2,0
Patto degli Inseguitori d'Anime,252,163,1088,356262,7714,92167,19,187229,1,0
Borsa di Munizioni,253,163,514,356264,7715,92168,19,187230,4,0
Frammenti delle Corna Antiche,254,163,36,356375,7716,92169,19,187231,3,0
Sacchetto di Frammenti Taglienti,255,163,384,356618,7717,92171,19,187232,2,0
Chiamata alle Armi,256,164,384,356684,7718,92183,25,187237,1,0
Armonia di Silfaglia,257,164,1088,356705,7721,92245,26,187258,3,0
Vortice del Vespro Furioso,258,13,384,356789,7722,92250,18,187259,1,0
Insegnamenti Sinistri,259,164,2560,356818,7726,92260,28,187277,2,0
Cuore dei Silfi,260,162,1049632,356877,7727,92279,30,187280,3,0
Armonia delle Sfere,261,166,136,356395,7728,92370,3,187163,1,0
Ordine Pallido,262,166,2304,356390,7729,92414,4,187160,4,0
Vigore Elisio,263,168,384,357996,7730,92634,9,187511,1,0
Unità,264,43,69614,364758,8119,95736,9,190584,0,95777
Unità,267,8,69614,364824,8120,95790,9,190587,0,95777
Unità,268,48,69614,364814,8121,95791,9,190588,0,95777
Unità,269,163,69614,364743,8122,95792,9,190589,0,95777
Unità,270,162,1118190,364852,8123,95793,9,190590,0,95777
Unità,271,164,69614,364857,8124,95794,9,190591,0,95777
Unità,272,30,69614,364642,8125,95795,9,190592,0,95777
Unità,273,166,1118190,364911,8126,95796,9,190593,0,95777
Unità,274,165,69614,364922,8127,95797,9,190594,0,95777
Unità,275,13,69614,364738,8128,95798,9,190595,0,95777
Unità,276,167,1118190,364939,8129,95799,9,190596,0,95777
Unità,277,168,69614,364929,8130,95800,9,190598,0,95777
Unità,279,170,69614,387431,8934,101270,9,199552,0,95777
