Name_lang,ID,MapID,Flags,ExpansionLevel,RequiredWorldStateID,CriteriaCount[0],CriteriaCount[1],CriteriaCount[2],FirstRewardQuestID[0],FirstRewardQuestID[1],FirstRewardQuestID[2],FirstRewardQuestID[3],FirstRewardQuestID[4],FirstRewardQuestID[5],RewardQuestID[0],RewardQuestID[1],RewardQuestID[2],RewardQuestID[3],RewardQuestID[4],RewardQuestID[5]
Seggio del Triumvirato,239,1753,70,0,21804,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Atal'dazar,244,1763,4,7,21805,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Covo della Libertà,245,1754,4,7,21806,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Tol Dagor,246,1771,0,7,21812,2160,1728,1296,0,0,0,0,0,0,0,0,0,0,0,0
Vena Madre,247,1594,0,7,21814,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Maniero dei Crestabianca,248,1862,0,7,21809,2220,1776,1332,0,0,0,0,0,0,0,0,0,0,0,0
Requie dei Re,249,1762,0,7,21813,2520,2016,1512,0,0,0,0,0,0,0,0,0,0,0,0
Tempio di Sethraliss,250,1877,0,7,21808,2160,1728,1296,0,0,0,0,0,0,0,0,0,0,0,0
Grottamarcia,251,1841,0,7,21807,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Santuario della Tempesta,252,1864,0,7,21810,2520,2016,1512,0,0,0,0,0,0,0,0,0,0,0,0
Assedio di Boralus,353,1822,0,7,21811,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Operazione: Meccagon - Discarica,369,2097,4,7,21815,2280,1824,1368,0,0,0,0,0,0,0,0,0,0,0,0
Operazione: Meccagon - Officina,370,2097,0,7,21816,1920,1536,1118,0,0,0,0,0,0,0,0,0,0,0,0
Nebbie di Tirna Falcis,375,2290,0,8,21820,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Scia Necrotica,376,2286,0,8,21818,1860,1488,1116,0,0,0,0,0,0,0,0,0,0,0,0
L'Aldilà,377,2291,0,8,21824,2580,2064,1548,0,0,0,0,0,0,0,0,0,0,0,0
Sale della Redenzione,378,2287,0,8,21821,1920,1536,1152,0,0,0,0,0,0,0,0,0,0,0,0
Piagafunesta,379,2289,0,8,21819,2280,1824,1368,0,0,0,0,0,0,0,0,0,0,0,0
Profondità Sanguigne,380,2284,0,8,21825,2460,1968,1476,0,0,0,0,0,0,0,0,0,0,0,0
Guglie dell'Ascensione,381,2285,0,8,21822,2340,1872,1404,0,0,0,0,0,0,0,0,0,0,0,0
Teatro del Dolore,382,2293,0,8,21823,2040,1632,1224,0,0,0,0,0,0,0,0,0,0,0,0
Tazavesh: Strade delle Meraviglie,391,2441,0,8,21826,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Tazavesh: Azzardo di So'leah,392,2441,0,8,21827,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Pozze della Vita di Rubino,399,2521,0,9,22268,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Offensiva dei Nokhud,400,2516,0,9,22270,2400,1920,1440,0,0,0,0,0,0,0,0,0,0,0,0
Cripta Azzurra,401,2515,0,9,22271,2250,1800,1350,0,0,0,0,0,0,0,0,0,0,0,0
Accademia di Algeth'ar,402,2526,0,9,22274,1920,1536,1152,0,0,0,0,0,0,0,0,0,0,0,0
Uldaman: Eredità di Tyr,403,2451,0,9,22267,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Neltharus,404,2519,0,9,22269,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Conca dei Felcepelle,405,2520,0,9,22272,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Sale dell'Infusione,406,2527,0,9,22273,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Pinnacolo del Vortice,438,657,0,9,23327,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Trono delle Maree,456,643,0,9,24627,2040,1632,1224,0,0,0,0,0,0,0,0,0,0,0,0
Alba degli Infiniti: Caduta di Galakrond,463,2579,0,8,24972,2040,1632,1224,0,0,0,0,0,0,0,0,0,0,0,0
Alba degli Infiniti: Ascesa di Murozond,464,2579,0,9,24973,2160,1728,1296,0,0,0,0,0,0,0,0,0,0,0,0
Prioria della Fiamma Sacra,499,2649,0,10,25990,1950,1560,1170,0,0,0,0,0,0,0,0,0,0,0,0
Corveria,500,2648,0,10,25992,1740,1392,1044,0,0,0,0,0,0,0,0,0,0,0,0
Volta di Pietra,501,2652,0,10,25996,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Città dei Fili,502,2669,0,10,25997,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
"Ara-Kara, Città degli Echi",503,2660,0,10,25993,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Faglia di Fiammoscura,504,2651,0,10,25991,1860,1488,1116,0,0,0,0,0,0,0,0,0,0,0,0
Alba Infranta,505,2662,0,10,25994,1860,1488,1116,0,0,0,0,0,0,0,0,0,0,0,0
Idromelificio Cinereo,506,2661,0,10,25995,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Grim Batol,507,670,2,3,26055,2040,1632,1224,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Operazione: Paratoia,525,2773,2,10,27048,1980,1584,1188,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Nucleo di Pietra,541,725,0,3,28387,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Ecosfera Al'dani,542,2830,0,10,28353,1860,1488,1116,0,0,0,0,0,0,0,0,0,0,0,0
