ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
134,Figli del Mare,Aumenta la velocità di nuoto e la quantità di tempo che si può passare sott'acqua.,Nuoti più velocemente e puoi trascorrere più tempo sott'acqua,2447781,3,32
135,Solo un Graffio,Aumenta la versatilità e cura una parte dei danni subiti.,Hai più versatilità e ti curi di una parte dei danni subiti,2447780,4,32
144,Originatore di Luce Organica,Evochi dei duplicati per distrarre i nemici.,Evochi duplicati per confondere i nemici,3192686,0,37
145,Assetto Artigiano,Puoi diventare una stazione d'artigianato personale.,Diventi una stazione d'artigianato personale,3192687,2,37
146,Analisi di Combattimento,Aumenta gradualmente la potenza man mano che si analizza il nemico in combattimento.,La tua forza aumenta man mano che combatti contro un nemico,3192685,1,37
147,Mignolo Universale,Puoi aprire lucchetti e serrature.,Puoi aprire lucchetti e serrature,3192689,3,37
148,Salvavita d'Emergenza,"Quando si subiscono ingenti danni, si rigenera salute automaticamente.",Ti curi automaticamente quando sei gravemente ferito,3192688,4,37
149,Borsa di Trucchi / Rovistamento,Lanci un trucco su un nemico per danneggiarlo o su un alleato per curarlo. Puoi collezionare diversi trucchi in giro per il mondo.,Lanci un trucco su un nemico per danneggiarlo o su un alleato per curarlo,3193416,0,35
150,Campo / Ritorno al Campo,Crea un campo dove riposarsi e a cui è possibile tornare in seguito.,Scegli un posto nel mondo per farne la tua base,3193418,1,35
151,Fiuto per i Guai,Riduce i danni subiti dal primo attacco inferto da un nemico.,Subisci meno danni la prima volta che vieni colpito,3193419,2,35
152,Bisacce di Pelle di Alpaca,Lo zaino ha 8 scomparti aggiuntivi.,Il tuo zaino ha 8 scomparti aggiuntivi,3193421,3,35
153,Resistenza al Fuoco,Riduce i danni da fuoco subiti.,Resistenza ai danni da fuoco,3193417,4,35
248,Liberazione,"Permette di dissolversi in puro Animum, aumentando drasticamente la velocità di movimento, rallentando quella di caduta e spingendo in avanti.

Riduce il raggio di individuazione dei nemici per tutta la durata.",,298642,0,15
249,Rintocco Divino,"Lancia istantaneamente una versione potenziata di Folgore Sacra, Scudo del Vendicatore o Giudizio che colpisce tutti i bersagli vicini.",,133706,1,15
250,Amalgamazione,"Permette di fondersi con un nemico o un alleato, diventando inselezionabile dai nemici, ma impossibilitato ad attaccare o lanciare incantesimi.

Se il livello del nemico è pari o inferiore al proprio, se ne ottiene il controllo per tutta la durata.",,237147,0,16
251,Taglio del Patto,"Si presta un giuramento col sangue, rimuovendo immediatamente la maggior parte degli effetti dannosi subiti e permettendo alle abilità di fornire cure o infliggere danni aggiuntivi pari alla salute consumata da quest'abilità.",,133523,0,16
252,Forma del Patronus,"Permette di trasformarsi in una Volpe Spiritica, aumentando la velocità di movimento e facendo in modo di essere ignorati dai nemici.",,797544,0,17
253,Invocazione della Selvalieve,"Crea una Selvalieve sull'area bersaglio, che rigenera salute a te e a un alleato ferito ogni 3 s.

Giudizio ha una probabilità di non attivare il tempo di recupero quando viene lanciato su un nemico all'interno della Selvalieve.",,135931,0,17
254,Porta delle Ombre,"Permette di piegare le ombre, apparendo in una posizione bersaglio.",,134430,0,18
255,Tramonto Cinereo,"Richiama la Luce, prosciugando la salute dei nemici vicini per rigenerare la propria.

Se viene prosciugato almeno un nemico, l'abilità successiva sarà un colpo critico.",,461857,0,18
490,Fondersi nelle Ombre,Puoi confonderti tra le ombre.,Puoi confonderti tra le ombre,132089,0,4
491,Rapidità,Rende più difficili da colpire.,Sei più difficile da colpire,132279,1,4
492,Spirito di Fuoco Fatuo,Fornisce la Forma di Fuoco Fatuo quando si è morti per consentire spostamenti più rapidi.,Ti muovi più velocemente quando sei morto,136116,2,4
493,Resistenza alla Natura,Resistenza ai danni da natura.,Resistenza ai danni da natura,136094,3,4
494,Elusività,Aumenta la velocità di movimento quando si è in modalità furtiva.,Ti muovi più velocemente quando sei furtivo,132280,4,4
495,Tocco di Elune,Aumenta la velocità d'attacco di notte e la probabilità di critico di giorno.,Attacchi più velocemente di notte e hai maggiore probabilità di critico di giorno,135900,5,4
496,Artista della Fuga,Puoi sfuggire agli effetti di alterazione della velocità.,Puoi sfuggire agli effetti di alterazione della velocità,132309,0,7
497,Apertura Mentale,Aumenta la quantità massima possibile della risorsa di classe.,Quantità massima possibile della risorsa di classe aumentata,132864,1,7
498,Resistenza all'Arcano,Resistenza ai danni da arcano.,Resistenza ai danni da arcano,136116,2,7
499,Specializzazione: Ingegneria,Aumenta la competenza in Ingegneria.,Competenza in Ingegneria aumentata,134063,3,7
500,Dita Veloci,Aumenta la velocità d'attacco.,Attacchi più velocemente,135641,4,7
501,Specializzazione: Oreficeria,Aumenta la competenza in Oreficeria.,Competenza in Oreficeria aumentata,135998,0,11
502,Dono dei Naaru,Puoi fornire cure periodiche a te stesso o agli altri.,Fornisci cure periodiche a te stesso o agli altri,135923,1,11
503,Presenza Eroica,"Aumentano Agilità, Intelletto e Forza.","Agilità, Intelletto e Forza aumentate",133123,2,11
504,Resistenza all'Ombra,Resistenza ai danni da ombra.,Resistenza ai danni da ombra,136152,3,11
505,Scatto Oscuro,Puoi muoverti più rapidamente.,Ti muovi più velocemente a intervalli regolari,366937,0,22
506,Malevolenza,Aumenta la probabilità di critico.,Probabilità di critico aumentata,132203,1,22
507,Aberrazione,Resistenza ai danni da natura e da ombra.,Resistenza ai danni da natura e da ombra,136121,2,22
508,Specializzazione: Scuoiatura,Aumenta la competenza in Scuoiatura e la velocità di raccolta delle pelli.,Competenza in Scuoiatura e velocità di raccolta delle pelli aumentate,132140,3,22
509,Palmo Stordente,Puoi addormentare i nemici con un colpo del palmo.,Fai addormentare i nemici con un colpo del palmo,572035,0,24
510,Pace Interiore,Aumenta il bonus all'esperienza fornito dal riposo.,Ricevi il doppio dell'esperienza bonus fornita dal riposo,572034,1,24
511,Metabolismo Efficiente,Aumenta i benefici forniti dal consumo di cibo.,Benefici forniti dal consumo di cibo aumentati,571692,2,24
512,Specializzazione: Cucina,Aumenta la competenza in Cucina.,Competenza in Cucina aumentata,571693,3,24
513,Adiposità,Riduce i danni da caduta grazie all'effetto rimbalzo.,Subisci danni da caduta ridotti,572033,4,24
514,Furia Sanguinaria,"Puoi infuriarti, aumentando i danni inflitti.",Ti infuri per aumentare i danni inflitti,135726,0,2
515,Audacia,Resistenza agli effetti di stordimento.,Resistenza agli effetti di stordimento,133125,1,2
516,Comando,Aumenta i danni inflitti dai famigli e dai servitori.,Danni inflitti dai famigli e dai servitori aumentati,132366,2,2
517,Zoccolo di Guerra,Puoi stordire i nemici nelle vicinanze.,Stordisci i nemici nelle vicinanze,132368,0,6
518,Vigore,Aumenta la Tempra.,Tempra aumentata,136112,1,6
519,Specializzazione: Erbalismo,Aumenta la competenza in Erbalismo e la velocità di raccolta delle erbe.,Competenza in Erbalismo e velocità di raccolta delle erbe aumentate,133938,2,6
520,Resistenza alla Natura,Resistenza ai danni da natura.,Resistenza ai danni da natura,136094,3,6
521,Forza Muscolare,Aumenta gli effetti dei colpi critici.,Effetti dei colpi critici aumentati,134174,4,6
522,Berserker,Aumenta la velocità d'attacco e di lancio d'incantesimi.,"Entri in berserk, aumentando la velocità d'attacco e di lancio d'incantesimi",135727,0,8
523,Rigenerazione,Aumenta la rigenerazione.,Rigenerazione aumentata,136077,1,8
524,Cacciatore di Bestie,Aumenta l'esperienza guadagnata dall'uccisione delle bestie.,Esperienza guadagnata dall'uccisione delle bestie aumentata,134357,2,8
525,Passo Vudù,Riduce la durata degli effetti di limitazione al movimento.,Durata degli effetti di limitazione al movimento ridotta,134231,3,8
526,Specializzazione: Incantamento,Aumenta la competenza in Incantamento.,Competenza in Incantamento aumentata,132876,0,10
527,Torrente Arcano,"Puoi rigenerare le risorse, come il mana o l'energia.","Rigeneri le risorse, come il mana o l'energia",136222,1,10
528,Torrente Arcano,Dissolve gli effetti benefici dai nemici vicini.,Dissolvi gli effetti dai nemici vicini,136222,2,10
529,Resistenza all'Arcano,Resistenza ai danni da arcano.,Resistenza ai danni da arcano,136120,3,10
530,Salto Propulsivo,Puoi fare un salto propulsivo in avanti.,Fai un salto propulsivo in avanti,370769,0,9
531,Raffica di Razzi,Puoi lanciare razzi verso i nemici.,Lanci razzi verso i nemici,133032,1,9
532,Ottimi Affari,Puoi ottenere sconti dai venditori.,Hai degli sconti dai venditori,369760,2,9
533,Richiamo Hobgoblin,Puoi evocare una banca personale.,Evochi una banca personale,370211,3,9
534,Il Tempo è Denaro,Aumenta la Celerità.,Celerità aumentata,369214,4,9
535,Specializzazione: Alchimia,Aumenta la competenza in Alchimia e le cure fornite dalle pozioni di cura.,Competenza in Alchimia e cure fornite dalle pozioni di cura aumentate,370670,5,9
606,Volteggio/Planata,Usa le ali per planare nell'aria e volteggiare da posti alti.,Usa le ali per planare nell'aria e volteggiare da posti alti,4622485,0,52
607,Decollo Accelerato,Usa il Volo Dinamico per potenziare il tuo Volteggio e librarti in cielo più spesso,Usa il Volo Dinamico per potenziare il tuo Volteggio e librarti in cielo più spesso,4622483,1,52
608,Battito d'Ali,Respinge i nemici con le ali.,Respinge i nemici con le ali,4622486,2,52
609,Risveglio,Maestria aumentata.,Maestria aumentata,4622481,3,52
610,Occhio Attento,Trova reagenti rari aggiuntivi durante la raccolta.,Trova reagenti rari aggiuntivi durante la raccolta,4630415,4,52
611,Volteggio/Planata,Usa le ali per planare nell'aria e volteggiare da posti alti.,Usa le ali per planare nell'aria e volteggiare da posti alti,4622485,0,70
612,Decollo Accelerato,Usa il Volo Dinamico per potenziare il tuo Volteggio e librarti in cielo più spesso,Usa il Volo Dinamico per potenziare il tuo Volteggio e librarti in cielo più spesso,4622483,1,70
613,Battito d'Ali,Respinge i nemici con le ali.,Respinge i nemici con le ali,4622488,2,70
614,Risveglio,Maestria aumentata.,Maestria aumentata,4622481,3,70
615,Occhio Attento,Trova reagenti rari aggiuntivi durante la raccolta.,Trova reagenti rari aggiuntivi durante la raccolta,4630415,4,70
616,Impeto di Azerite,Infliggi danni da fuoco ai nemici e curi gli alleati.,Infligge danni da fuoco ai nemici e cura gli alleati.,5788297,0,84
617,Ingestione di Minerali,Mangia gemme per diventare Ben Nutrito a tempo indefinito.,Mangia gemme per diventare Ben Nutrito,5788301,1,84
618,Iperproduttività,"Aumenta la Precisione, conferendo una probabilità di raccogliere materiali aggiuntivi.",Probabilità di raccogliere materiali aggiuntivi,5788298,2,84
619,Struttura Forgiata dai Titani,Aumenta l'armatura.,Aumenta l'armatura,5788302,3,84
620,Meraviglia della Scoperta,Aumenta l'esperienza guadagnata dall'esplorazione.,Aumenta l'esperienza guadagnata dall'esplorazione,5788303,4,84
621,Impeto di Azerite,Infliggi danni da fuoco ai nemici e curi gli alleati.,Infliggi danni da fuoco ai nemici e curi gli alleati.,5788297,0,85
622,Ingestione di Minerali,Mangia gemme per diventare Ben Nutrito a tempo indefinito.,Mangia gemme per diventare Ben Nutrito,5788301,1,85
623,Iperproduttività,"Aumenta la Precisione, conferendo una probabilità di raccogliere materiali aggiuntivi.",Probabilità di raccogliere materiali aggiuntivi,5788298,2,85
624,Struttura Forgiata dai Titani,Aumenta l'armatura.,Aumenta l'armatura,5788302,3,85
625,Meraviglia della Scoperta,Aumenta l'esperienza guadagnata dall'esplorazione.,Aumenta l'esperienza guadagnata dall'esplorazione,5788303,4,85
634,Contemplazione Tranquilla,Attiva per rigenerare salute e mana quando si è fuori dal combattimento.,Rigenera salute e mana fuori dal combattimento.,1499566,5,84
635,Contemplazione Tranquilla,Attiva per rigenerare salute e mana quando si è fuori dal combattimento.,Rigenera salute e mana fuori dal combattimento.,1499566,5,85
