Name_lang,ID,Field_9_0_1_33978_001,PlayerConditionID,ReagentType,Field_10_0_2_46091_005
Tagliagemme Inciso,276,0,0,1,0
Lenti Decorative,277,0,0,1,0
Pietra Marmorizzata,278,0,0,1,0
Prisma Invertito,279,0,0,1,0
Polvere di Gemma e Stoffa per Lucidatura,280,2,0,2,0
Aggiungi abbellimento,281,0,0,0,1
Amplifica statistica secondaria,282,2,0,0,0
Personalizza statistiche secondarie,283,2,0,0,0
Infondi di potere,284,2,0,0,1
Armature di Cuoio,286,2,0,2,2
Armature di Maglia,287,2,0,2,2
Codice Letale,288,0,0,1,0
Codice Rapido,289,0,0,1,0
Codice Magistrale,290,0,0,1,0
Codice Versatile,291,0,0,1,0
Pelle Rinforzata di Carapace,293,0,0,1,0
Pelle Infusa di Cristalli,294,0,0,1,0
Pelle Irrequieta,295,0,0,1,0
Pelle Coperta di Spore,296,0,0,1,0
Pelle Infusa di Faglia,297,0,0,1,0
Pelle di Furiafonda,298,0,0,1,0
Fascia per Arma Toccata dalla Tempesta,299,0,0,1,0
Legatura d'Armatura di Chitina,300,0,0,1,0
Polvere di Tempesta,301,0,0,1,0
Frammento Luccicante,302,0,0,1,0
Cristallo Rifulgente,303,0,0,1,0
Manciata di Bulloni di Bismuto,304,0,0,1,0
Bobina Bizzarra,305,0,0,1,0
Ingranaggio Girante,306,0,0,1,0
Interruttore di Sicurezza,307,0,0,1,0
Circuito del Caos,308,0,0,1,0
Potenziatore di Entropia,309,0,0,1,0
Seleziona Componente di Sicurezza,311,2,0,0,0
Aggiungi abbellimento,312,2,0,0,1
Lega del Nucleo,313,0,0,1,0
Lega Caricata,314,0,0,1,0
Lega Santificata,315,0,0,1,0
Lega di Grinfiaferro,316,0,0,1,0
Accessori della Forgia,317,2,0,2,2
Ingrediente Segreto,318,0,0,2,2
Legnoverde Codificato,319,0,0,1,0
Cifrario Sterminato,320,0,0,1,0
Inchiostro Scuro,321,0,0,1,0
Pigmento di Gocciaricca,322,0,0,1,0
Inchiostro Assolato,323,0,0,1,0
Pigmento Assolato,324,0,0,1,0
Rocchetto di Fildivespro,327,0,0,1,0
Rocchetto di Filodalba,328,0,0,1,0
Rocchetto di Tessifilo,329,0,0,1,0
Rotolo di Stoffavespro,330,0,0,1,0
Rotolo di Stoffadalba,331,0,0,1,0
Rotolo di Tessistoffa,332,0,0,1,0
Filo per Ricami,333,2,0,2,2
Aggiungi abbellimento,334,2,0,0,1
Aggiungi abbellimento,340,2,0,0,1
Aggiungi abbellimento,341,0,0,0,1
Potenzia,342,0,0,0,1
Personalizza statistiche di raccolta,344,0,0,0,0
Personalizza statistiche di creazione,345,0,0,0,0
Autenticità dell'Artigiano,346,2,0,2,0
Parti di Ricambio,347,2,0,2,0
Pozione del Ghepardo Rinato,348,0,0,1,0
Pozione di Cura Algari,349,0,0,1,0
Delizia dell'Abitante delle Caverne,350,0,0,1,0
Pozione Temprata,351,0,0,1,0
Personalizza statistiche di creazione,352,2,0,0,0
Personalizza statistiche di raccolta,353,2,0,0,0
Autenticità dell'Artigiano,354,0,0,2,0
Pigmento di Orbinide,355,0,0,1,0
Pigmento di Bocciolo,356,0,0,1,0
Rotolo di Tessistoffa Raffinata,357,0,0,1,0
Reagenti Creati,358,2,0,2,2
Forniture per Progettazione,359,2,0,2,2
Reagenti Radiosi,360,0,0,2,0
Pozione Misteriosa,362,0,0,2,0
Incavo,363,0,0,3,3
Incavo,364,0,0,3,3
Personalizza statistiche secondarie,365,0,0,0,0
Infondi di potere,366,0,0,0,1
Reagenti Radiosi,367,2,0,2,0
Potenzia,368,0,0,0,1
Accessori della Forgia,369,2,0,2,2
Filo per Ricami,370,2,0,2,2
Forniture per Progettazione,371,2,0,2,2
Reagenti Radiosi,372,0,0,2,0
Reagenti Radiosi,374,0,0,2,0
Filo per Ricami,375,2,0,2,2
Parti di Ricambio,376,2,0,2,0
Filo per Ricami,377,2,0,2,2
Incantamenti ed equipaggiamento,378,0,0,2,2
Consumabili e reagenti,379,0,0,2,2
Incavo,380,0,0,3,3
Incavo,381,0,0,3,3
Accessori della Forgia,382,0,0,2,2
Residuo di Sangue Nero,383,0,0,1,0
Oltre l'Immaginabile,384,0,0,0,1
