ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,Flags,AreaID,CovenantID
73,Sotterranei dell'Ala Nera,"Si credeva che Nefarian e i suoi perversi tentativi di creare una nuova razza di draghi fossero finiti con la sua morte nella Fortezza dell'Ala Nera. Invece, notizie recenti affermano che suo padre, Alamorte, lo ha resuscitato per consentirgli di continuare i suoi esperimenti nei Sotterranei dell'Ala Nera. Si pensa che i macabri esperimenti condotti nelle sue viscere siano di un livello di perfidia tale da superare di gran lunga i suoi precedenti crimini contro la natura.",669,522335,522351,460860,526403,0,5729,0
74,Trono dei Quattro Venti,"Il Trono dei Quattro Venti, covo personale di Al'Akir il Signore del Vento, fluttua alto nelle vastità di Celaria. Ora che le barriere del Piano Elementale sono state infrante, Al'Akir è libero di viaggiare a suo piacimento tra i venti di Azeroth. Ha radunato le sue violente tempeste per annientare la vita a Uldum e assumere il controllo delle misteriose Sale della Creazione.",754,522343,522359,460874,526411,0,5684,0
75,Forte di Baradin,"Dopo la Seconda Guerra, il forte in rovina di Baradin, sull'isola remota di Tol Barad, fu convertito in una prigione per una delle più pericolose forze su Azeroth. Con la devastazione portata dal Cataclisma, l'integrità della prigione è però stata compromessa. Mentre l'Orda e l'Alleanza combattono per la supremazia sull'isola, la liberazione dei suoi orrori dimenticati potrebbe essere vicina.",757,522333,522349,464826,526401,2,0,0
76,Zul'gurub,"Zul'gurub era la capitale dei Troll Gurubashi, una tribù che un tempo controllava le vaste giungle meridionali. Qui Jin'do il Malefico evocò il selvaggio Hakkar lo Scortica Anime su Azeroth. Furono i suoi tentativi nefasti che portarono in seguito a una nuova alleanza tra le tribù Gurubashi e Zandalari, impegnate a costruire un unico grande impero dei Troll.",859,522348,522364,136369,526416,0,0,0
77,Zul'aman,"Echi di una vendetta irrealizzata indugiano sull'antica capitale della Tribù Amani, Zul'aman. Nonostante i Troll Amani avessero risposto alla chiamata alle armi del loro signore, Zul'jin non riuscì a restituire l'antica gloria al suo impero. Dove Zul'jin ha fallito, la Tribù Zandalari è decisa a raggiungere il successo. Senza controllo, le tribù riunite sono pronte a rivendicare le loro terre e godersi una spietata vendetta.",568,522347,522363,136367,526415,0,3508,0
78,Terre del Fuoco,"Le Terre del Fuoco sono un dominio incandescente creato dai Titani come dimora per Ragnaros e i suoi servi. Dopo il ritorno di Alamorte su Azeroth, l'esercito di Ragnaros ha invaso le pendici del Monte Hyjal, prima di essere respinto dai prodi difensori della sacra montagna. Ora Ragnaros sta richiamando tutti i suoi seguaci per difendere le Terre del Fuoco dagli eroi di Azeroth.",720,522337,522353,529270,526405,0,0,0
184,Fine dei Tempi,Questa dimensione temporale alternativa dipinge il desolante futuro che attende Azeroth nel caso in cui Alamorte non venga fermato. Nozdormu ha scoperto una potente anomalia che permea questo particolare periodo e che blocca l'accesso al passato e di conseguenza alla speranza di recuperare l'Anima del Demone. L'oscura creatura proveniente dai confini del tempo vive tra gli echi contorti del passato.,938,571739,571754,575262,571758,1,0,0
185,Pozzo dell'Eternità,"Diecimila anni fa, la capitale elfica di Zin-Azshari era una splendente cittadina. Situata sulle sponde del Pozzo dell'Eternità, fu il luogo in cui gli Alti Nobili aprirono per la prima volta un portale verso la Distorsione Fatua, spalancando così le porte all'invasione di Azeroth da parte della Legione Infuocata. Sotto il comando della regina degli Elfi della Notte Azshara, convogliarono le loro energie nel portale, preparandolo per il terrificante arrivo di Sargeras.",939,571741,571756,575266,571760,0,0,0
186,Ora del Crepuscolo,"Dopo aver recuperato l'Anima del Drago dal passato, gli Eroi di Azeroth si preparano ora al confronto finale con Alamorte. Nelle distese ghiacciate di Nordania, l'imponente Tempio della Lega dei Draghi è sotto assedio dalle forze del Crepuscolo di Alamorte. Per salvare Azeroth, Thrall deve arrivare al tempio sano e salvo con l'Anima del Drago tra le mani.",940,571740,571755,575264,571759,0,0,0
187,Anima del Drago,"L'Anima del Drago forgiata da Alamorte durante la Guerra degli Antichi conteneva il potere combinato degli stormi dei draghi, fino a quando non venne definitivamente distrutta. Grazie alle Caverne del Tempo, Thrall e gli altri stormi sono riusciti a recuperare il potente manufatto prima della sua distruzione. Ora hanno radunato le loro forze al Tempio della Lega dei Draghi nel disperato tentativo di sconfiggere Alamorte utilizzando l'incredibile potere dell'Anima del Drago.",967,571738,571753,575261,571757,0,0,0
226,Baratro di Fiamma Furente,"Il Baratro di Fiamma Furente si estende nelle profondità della città di Orgrimmar. I Trogg e i malefici cultisti delle Lame Ardenti infestavano un tempo queste caverne, ma ora una nuova minaccia è sorta: lo Sciamano Oscuro. Nonostante Malogrido abbia chiamato a raccolta numerosi Sciamani per scatenare le forze elementali contro l'Alleanza, gli abitanti del Baratro hanno scelto il tradimento, e ora minacciano di scatenare un'armata ardente che potrebbe portare alla totale distruzione della città.",389,608172,608211,136350,608250,0,0,0
227,Abissi di Fondocupo,"Si pensava che gli Abissi di Fondocupo, un tempo dedicati alla dea Elune, fossero stati distrutti durante la Grande Separazione. Migliaia di anni dopo, i membri del Martello del Crepuscolo furono attratti verso il tempio da sussurri e oscure premonizioni e, dopo aver sacrificato innumerevoli innocenti, furono ricompensati con una nuova missione: proteggere una delle creature più preziose degli Dei Antichi fino a quando sarà finalmente in grado di scatenare i suoi oscuri poteri sul mondo.",48,608156,608195,136325,608234,0,0,0
228,Sotterranei di Roccianera,"I ribollenti Sotterranei di Roccianera sono la dimora dei Nani Ferroscuro e del loro imperatore, Dagran Thaurissan. Come i suoi antenati, anch'egli è sotto il dominio di Ragnaros, un'entità spietata comparsa nel mondo molti secoli fa. La presenza degli elementali ha attirato l'attenzione dei cultisti del Martello del Crepuscolo che, con l'aiuto dei servi di Ragnaros, hanno spinto i Nani a compiere atti sempre più brutali, che rischiano di condannare per sempre Azeroth a un terribile destino.",230,608157,608196,136326,608235,0,0,0
229,Bastioni di Roccianera Inferiori,"Questa imponente fortezza, scavata nel cuore ardente della Montagna Roccianera, ha rappresentato l'immensa forza del clan Ferroscuro per secoli. Recentemente, il drago nero Nefarian e la sua stirpe hanno assediato i bastioni superiori e hanno dato inizio a una brutale guerra contro i Nani. Le armate draconiche si sono dunque unite a Rend Manonera e la sua falsa Orda, dando così vita a un'alleanza che è disposta a tutto per potenziare i propri ranghi e porre fine all'esistenza dei Ferroscuro.",229,608158,608197,136327,608236,0,0,0
230,Maglio Infausto - Giardini della Capitale,"L'antica città di Eldre'Thalas, costruita migliaia di anni or sono per custodire gli arcani segreti dei Kaldorei, giace ora in rovina, avvolta da forze maligne. Alcune sette hanno combattuto per il controllo delle energie corrotte di Maglio Infausto, ma ora hanno raggiunto una fragile tregua, concentrando i loro sforzi nel tentativo di riuscire a sfruttare il potere nascosto dei loro stessi territori, piuttosto che sprecarli per continuare una battaglia senza fine.",429,608161,608200,136333,608239,1,0,0
231,Gnomeregan,"La mirabile città di Gnomeregan, costruita nelle profondità delle montagne di Dun Morogh, era il simbolo dell'intelligenza e dell'industrializzazione degli Gnomi. Quando la capitale fu invasa dai Trogg, il Gran Meccanista degli Gnomi fu tradito dal suo consigliere Sicco Termospin. Come conseguenza, Gnomeregan fu irradiata e molti dei suoi abitanti vennero uccisi, costringendo i pochi superstiti a fuggire nella speranza di tornare un giorno per reclamare la propria patria.",90,608163,608202,136336,608241,0,0,0
232,Maraudon,"Secondo le leggende, fu l'unione tra Zaetar, figlio di Cenarius, e la principessa elementale della terra Theradras che generò la barbarica razza dei centauri, ma poco dopo la loro creazione, essi si ribellarono e uccisero il loro stesso padre. Si dice che Theradras, in preda al dolore, decise di intrappolare lo spirito del suo amante nelle viscere di Maraudon, corrompendo l'intera regione. Ora, temibili spiriti di centauri e servi elementali infestano ogni angolo di queste contorte caverne.",349,608170,608209,136345,608248,0,0,0
233,Sotterranei di Lamaspina,"Le leggende dicono che il sangue del corpo di Agamaggan generò imponenti masse di rovi spinosi nel luogo in cui cadde. Recentemente, gli esploratori hanno riportato strani movimenti di non morti nella regione, segno di una possibile incombente invasione di Kalimdor.",129,608173,608212,136352,608251,0,0,0
234,Gallerie di Lamaspina,"Le leggende dicono che il sangue del corpo di Agamaggan generò imponenti masse di rovi spinosi nel luogo in cui cadde. Molti Verrospino del clan Lamaspina, in segno di riverenza per la sacralità del luogo, hanno trovato dimora nel più grande di questi ammassi spinosi, che venerano come luogo dell'eterno riposo di Agamaggan.",47,608174,608213,136353,608252,0,0,0
236,Stratholme - Porta Principale,"Stratholme, che fu per molto tempo il gioiello dell'intera Lordaeron settentrionale, è ora ricordata per la sua straziante caduta in rovina. Fu in questo luogo che il Principe Arthas voltò le spalle al nobile Paladino Uther l'Araldo della Luce, massacrando gli innocenti cittadini che credeva fossero infetti dalla terribile piaga della non morte. Da quel momento, la maledetta Stratholme è diventata il simbolo della morte, del tradimento e della disperazione.",329,608177,608216,136359,608255,1,0,0
237,Tempio di Atal'Hakkar,"Migliaia di anni fa, l'Impero Gurubashi cadde in una guerra civile scatenata da una potente setta di sacerdoti, gli Atal'ai, che volevano evocare su Azeroth l'incarnazione del loro dio del sangue, Hakkar lo Scortica Anime. Dopo essere stati esiliati dai Gurubashi nella Palude del Dolore, essi costruirono il Tempio di Atal'Hakkar, che fu poi affondato da Ysera ed è ora sorvegliato da guardiani per impedire che altri rituali d'evocazione vengano compiuti.",109,608178,608217,136360,608256,0,0,0
238,Segrete di Roccavento,"Le Segrete di Roccavento sono prigioni di massima sicurezza costruite sotto i canali di Roccavento. Il Custode Cuorsaldo ha ricevuto l'incaricato di vegliare sulle segrete, dimora di pericolosi criminali che si sono recentemente ribellati gettando l'intero complesso nel caos più completo.",34,608184,608223,136358,608262,0,0,0
239,Uldaman,"Uldaman è un'antica tesoreria dei Titani sepolta nelle profondità della terra. Si dice che i Titani vi rinchiusero uno dei loro esperimenti falliti per poi concentrarsi sul loro nuovo progetto, la genesi dei Nani. Le voci riguardanti un fantomatico tesoro contenente un'enorme fonte di conoscenza ha attirato numerosi cacciatori di tesori, un'impresa resa difficile dalla presenza di difensori di pietra, Trogg selvaggi, Nani Ferroscuro e molti altri pericoli che si aggirano tra i suoi corridoi.",70,608186,608225,136363,608264,0,0,0
240,Caverna dei Lamenti,"Molti anni fa, il rinomato Druido Naralex e i suoi seguaci si avventurarono nell'oscura Caverna dei Lamenti, il cui nome deriva dal tipico suono generato dai getti di vapore che fuoriescono dalle fessure nelle rocce. Naralex voleva utilizzare le fonti sotterranee per riportare le Savane al loro antico splendore, ma quando entrò in comunione con il Sogno di Smeraldo, vide invece la sua visione di rinascita trasformarsi in un terrificante incubo, che ha maledetto la caverna sin da quel momento.",43,608190,608229,136364,608313,0,0,0
241,Zul'farrak,"Zul'farrak fu un tempo il gioiello di Tanaris, protetta dai membri della tribù Sabbiafurente. Essi furono costretti ad abbandonare molti dei loro territori nel corso della storia, ma ora si dice che gli abitanti di Zul'farrak stiano creando una terrificante armata di Troll non morti per riconquistare la loro antica gloria. Voci parlano anche di un'antica creatura nascosta nel cuore della città così terribile che, se risvegliata, farebbe piovere morte e distruzione su tutta Tanaris.",209,608191,608230,136368,608267,1,0,0
246,Scholomance,"Chiunque sia alla ricerca dei poteri della non morte conosce bene Scholomance, la famigerata scuola di negromanzia situata nelle oscure e inquietanti cripte di Caer Darrow. Nonostante i recenti cambiamenti nel corpo docente, l'istituto è rimasto sotto la salda direzione del Maestro Oscuro Gandling, un sadico e subdolo esperto nella magia nera.",1007,608176,608215,136355,608254,1,0,0
247,Cripte degli Auchenai,"I primi esuli su Draenor trovarono nella morte una triste e sfortunata conseguenza della vita, e decisero dunque di seppellire i defunti lontano dalla loro civiltà, nell'immensa necropoli sotterranea di Auchindoun, situata nelle profondità della Foresta di Terok.",558,608154,608193,136323,608232,0,0,0
248,Bastioni del Fuoco Infernale,"Nel cuore desolato della Penisola Infernale nelle Terre Esterne sorge la Cittadella del Fuoco Infernale, un bastione quasi del tutto inespugnabile che ha svolto la funzione di base operativa dell'Orda durante la Prima e la Seconda Guerra.",543,608168,608207,136338,608246,0,0,0
249,Terrazza dei Magisteri,"Dopo la sua sconfitta al Forte Tempesta, Kael'thas Solealto decise di rendere pubblica la sua alleanza con la Legione Infuocata. Nel tentativo di evocare il Signore dei Demoni Kil'jaeden, Kael'thas è tornato sull'Isola di Quel'Danas per concludere i preparativi per l'arrivo del suo maestro.",585,608169,608208,136344,608247,1,0,0
250,Tombe del Mana,"I primi esuli su Draenor trovarono nella morte una triste e sfortunata conseguenza della vita, e decisero dunque di seppellire i defunti lontano dalla loro civiltà, nell'immensa necropoli sotterranea di Auchindoun, situata nelle profondità della Foresta di Terok.",557,608154,608193,136323,608232,1,0,0
251,Fuga da Durnholde,"Nelle profondità delle Caverne del Tempo il drago Nozdormu si è destato. Sin da quando il mondo era giovane, lo Stormo di Bronzo ha vegliato su questo ventoso labirinto, cercando di assicurare che il delicato equilibrio tra le linee temporali dell'universo rimanga intatto.",560,608159,608198,136330,608237,0,0,0
252,Sale dei Sethekk,"I primi esuli su Draenor trovarono nella morte una triste e sfortunata conseguenza della vita, e decisero dunque di seppellire i defunti lontano dalla loro civiltà, nell'immensa necropoli sotterranea di Auchindoun, situata nelle profondità della Foresta di Terok.",556,608154,608193,136323,608232,0,0,0
253,Labirinto delle Ombre,"I primi esuli su Draenor trovarono nella morte una triste e sfortunata conseguenza della vita, e decisero dunque di seppellire i defunti lontano dalla loro civiltà, nell'immensa necropoli sotterranea di Auchindoun, situata nelle profondità della Foresta di Terok.",555,608154,608193,136323,608232,0,0,0
254,Arcatraz,"Il poderoso Forte Tempesta fu creato dai misteriosi Naaru, entità senzienti di pura energia e nemici giurati della Legione Infuocata. Oltre a fungere da base operativa per i Naaru, la stessa struttura possiede le tecnologie necessarie per viaggiare tra dimensioni alternative, potendosi quindi spostare da un luogo all'altro in un battito di ciglio.",552,608179,608218,136362,608257,0,0,0
255,Palude Nera,"Nelle profondità delle Caverne del Tempo, il drago Nozdormu si è destato. Sin da quando il mondo era giovane, lo Stormo di Bronzo ha vegliato su questo ventoso labirinto nel tentativo di preservare il delicato equilibrio tra le linee temporali dell'universo.",269,608159,608198,136330,608237,0,0,0
256,Forgia del Sangue,"Nel cuore desolato della Penisola Infernale nelle Terre Esterne sorge la Cittadella del Fuoco Infernale, un bastione quasi del tutto inespugnabile che ha svolto la funzione di base operativa dell'Orda durante la Prima e la Seconda Guerra.",542,608168,608207,136338,608246,1,0,0
257,Botanica,"Il poderoso Forte Tempesta fu creato dai misteriosi Naaru, entità senzienti di pura energia e nemici giurati della Legione Infuocata. Oltre a fungere da base operativa per i Naaru, la stessa struttura possiede le tecnologie necessarie per viaggiare tra dimensioni alternative, potendosi quindi spostare da un luogo all'altro in un battito di ciglio.",553,608179,608218,136362,608257,1,0,0
258,Mecanar,"Il poderoso Forte Tempesta fu creato dai misteriosi Naaru, entità senzienti di pura energia e nemici giurati della Legione Infuocata. Oltre a fungere da base operativa per i Naaru, la stessa struttura possiede le tecnologie necessarie per viaggiare tra dimensioni alternative, potendosi quindi spostare da un luogo all'altro in un battito di ciglio.",554,608179,608218,136362,608257,0,0,0
259,Sale della Devastazione,"Nel cuore desolato della Penisola Infernale nelle Terre Esterne sorge la Cittadella del Fuoco Infernale, un bastione quasi del tutto inespugnabile che ha svolto la funzione di base operativa dell'Orda durante la Prima e la Seconda Guerra.",540,608168,608207,136338,608246,1,0,0
260,Fosse degli Schiavi,"Il Bacino degli Spiraguzza è il nome di un complesso sotto il dominio dei Naga che si nasconde nelle profondità dei laghi delle Paludi di Zangar. Esso è abbastanza grande da contenere intere armate, ma il suo vero scopo non è di carattere esclusivamente militare.",547,608160,608199,136331,608238,0,0,0
261,Antro dei Vapori,"Il Bacino degli Spiraguzza è il nome di un complesso sotto il dominio dei Naga che si nasconde nelle profondità dei laghi delle Paludi di Zangar. Esso è abbastanza grande da contenere intere armate, ma il suo vero scopo non è di carattere esclusivamente militare.",545,608160,608199,136331,608238,0,0,0
262,Torbiera Sotterranea,"Il Bacino degli Spiraguzza è il nome di un complesso sotto il dominio dei Naga che si nasconde nelle profondità dei laghi delle Paludi di Zangar. Esso è abbastanza grande da contenere intere armate, ma il suo vero scopo non è di carattere esclusivamente militare.",546,608160,608199,136331,608238,1,0,0
271,"Ahn'kahet, il Regno Antico","L'impero di Azjol-Nerub era al culmine della sua grandezza quando il Re dei Lich arrivò a Nordania. Nonostante la feroce resistenza incontrata, le forze del Flagello riuscirono a sopraffare le difese del reame sotterraneo e a sterminare i suoi abitanti, i Nerubiani. Questo vasto dominio, ormai devastato da anni di guerra e abbandono, è ora sede di due fronti opposti.",619,608153,608192,237592,608231,0,0,0
272,Azjol-Nerub,"L'impero di Azjol-Nerub era al culmine della sua grandezza quando il Re dei Lich arrivò a Nordania. Nonostante la feroce resistenza incontrata, le forze del Flagello riuscirono a sopraffare le difese del reame sotterraneo e a sterminare i suoi abitanti, i Nerubiani. Questo vasto dominio, ormai devastato da anni di guerra e abbandono, è ora sede di due fronti opposti.",601,608155,608194,237593,608233,1,0,0
273,Forte di Drak'Tharon,"Il Forte di Drak'Tharon era un tempo uno straordinario avamposto posto ai confini dell'impero dei Troll Drakkari, Zul'drak, ma una recente invasione del Flagello ha consegnato la fortezza nelle mani del Re dei Lich. I difensori del forte rimasti uccisi fanno ora parte delle armate del Re dei Lich e stanno avanzando incessantemente nel cuore del territorio dei Drakkari.",600,608162,608201,237595,608240,0,0,0
274,Gundrak,"I Troll di Zul'drak, nel disperato tentativo di salvare il loro regno dal collasso totale, hanno chiesto aiuto ai loro antichi dei. Queste entità sono ora la fonte di un inesauribile potere, e il loro sangue ha fornito i mezzi necessari per respingere i servitori del Re dei Lich che avevano già conquistato parte del loro territorio. Alcuni eroi si sono recentemente avventurati nelle regioni assediate per colpire i selvaggi Drakkari e i loro profeti ormai fuori controllo.",604,608164,608203,237596,608242,1,0,0
275,Sale del Fulmine,"Quando lasciarono Azeroth, i Titani diedero a dei leali servitori l'incarico di proteggere Ulduar, una misteriosa città nascosta tra le montagne delle Cime Tempestose. Il più alto in grado tra loro era Loken, ma l'immenso potere conferitogli corruppe la sua anima e lasciò cadere l'intera regione nel caos più assoluto.",602,608165,608204,237598,608243,1,0,0
276,Sale dei Riflessi,"Per molti anni, campioni di tutte le razze di Azeroth hanno sfidato con coraggio il Re dei Lich, andando incontro soltanto a una morte lenta e dolorosa e a un triste destino come schiavi tra le file dei non morti. Tirion Fordring della Crociata d'Argento ha ora unito le sue forze a quelle di Darion Mograine dei Cavalieri della Spada d'Ebano, nel tentativo di scagliare un assalto diretto contro la Rocca della Corona di Ghiaccio con un'armata unificata che ha preso il nome di Verdetto Cinereo.",668,608166,608205,336389,608244,0,0,0
277,Sale della Pietra,"Quando lasciarono Azeroth, i Titani diedero a dei leali servitori l'incarico di proteggere Ulduar, una misteriosa città nascosta tra le montagne delle Cime Tempestose. Il più alto in grado tra loro era Loken, ma l'immenso potere conferitogli corruppe la sua anima e lasciò cadere l'intera regione nel caos più assoluto.",599,608167,608206,237599,608245,0,0,0
278,Fossa di Saron,"Per molti anni, campioni di tutte le razze di Azeroth hanno sfidato con coraggio il Re dei Lich, andando incontro soltanto a una morte lenta e dolorosa e a un triste destino come schiavi tra le file dei non morti. Tirion Fordring della Crociata d'Argento ha ora unito le sue forze a quelle di Darion Mograine dei Cavalieri della Spada d'Ebano, nel tentativo di scagliare un assalto diretto contro la Rocca della Corona di Ghiaccio con un'armata unificata che ha preso il nome di Verdetto Cinereo.",658,608171,608210,336391,608249,0,0,0
279,Epurazione di Stratholme,"Nelle profondità delle Caverne del Tempo, il drago Nozdormu si è risvegliato. Sin da quando il mondo era giovane, lo Stormo dei Draghi di Bronzo ha vegliato su questo contorto labirinto, controllando le cangianti linee temporali per preservare il delicato equilibrio del tempo.",595,608180,608219,237601,608258,0,0,0
280,Forgia delle Anime,"Per molti anni, campioni di tutte le razze di Azeroth hanno sfidato con coraggio il Re dei Lich, andando incontro soltanto a una morte lenta e dolorosa e a un triste destino come schiavi tra le file dei non morti. Tirion Fordring della Crociata d'Argento ha ora unito le sue forze a quelle di Darion Mograine dei Cavalieri della Spada d'Ebano, nel tentativo di scagliare un assalto diretto contro la Rocca della Corona di Ghiaccio con un'armata unificata che ha preso il nome di Verdetto Cinereo.",632,608181,608220,336392,608259,1,0,0
281,Nexus,"Con lo scopo di ristabilire il suo dominio sulla magia, Malygos, l'aspetto dei Draghi Blu, ha dato inizio a una brutale campagna per distruggere il legame instauratosi tra i mortali e le fonti di energia arcana che attraversano le viscere di Azeroth. A questo fine, il suo Stormo Blu sta cercando di deviare le linee di faglia del mondo verso il Nexus, la tana dello stesso Malygos.",576,608182,608221,237602,608260,1,0,0
282,Oculus,"Con lo scopo di ristabilire il suo dominio sulla magia, Malygos, l'aspetto dei Draghi Blu, ha dato inizio a una brutale campagna per distruggere il legame instauratosi tra i mortali e le fonti di energia arcana che attraversano le viscere di Azeroth. A questo fine, il suo Stormo Blu sta cercando di deviare le linee di faglia del mondo verso il Nexus, la tana dello stesso Malygos.",578,608183,608222,237603,608261,0,0,0
283,Fortezza Violacea,"Tra le torri ornate e le strade incantate di Dalaran, un'oscura presenza si aggira tra le mura della Fortezza Violacea, costruita originariamente per fungere da prigione per le più pericolose entità criminali esistenti sotto il vigile sguardo del Kirin Tor. Purtroppo, un recente e inaspettato assalto ha messo a dura prova l'integrità della struttura, mettendo a rischio la sicurezza di chiunque vivesse al di fuori dei suoi confini.",608,608189,608228,237604,608312,0,0,0
284,Ordalia dei Campioni,"Le nubi ricoprono i cieli della Corona di Ghiaccio e gli eroi si radunano sotto i loro vessilli in attesa dell'incombente tempesta. Si dice che la speranza sia l'ultima a morire, e forse è proprio questa speranza che motiva gli uomini e donne della Crociata d'Argento: la promessa che un giorno la Luce dominerà di nuovo questi tempi bui, che il bene trionferà finalmente sul male e che eroi benedetti si faranno avanti per porre fine al regno oscuro del Re dei Lich.",650,608185,608224,311220,608263,0,0,0
285,Forte Utgarde,"Si pensava che il Forte Utgarde, il simbolo di un'antica civiltà situato tra i rilievi centrali dei Fiordi Echeggianti, fosse abbandonato da tempo. Eppure, recentemente qualcosa ha ridestato gli abitanti assopiti della fortezza, i Vrykul.",574,608187,608226,237605,608265,1,0,0
286,Pinnacolo di Utgarde,"Si pensava che il Forte Utgarde, il simbolo di un'antica civiltà situato tra i rilievi centrali dei Fiordi Echeggianti, fosse abbandonato da tempo. Eppure, recentemente qualcosa ha ridestato gli abitanti assopiti della fortezza, i Vrykul.",575,608188,608227,237606,608266,0,0,0
302,Birrificio Triplo Malto,"Quando Chen Triplo Malto è giunto nella Valle dei Quattro Venti, si è recato allo storico birrificio della sua famiglia nella speranza di ricongiungersi con i suoi familiari. Quello che ha trovato è un'antica costruzione in preda al caos più totale. Per colpa dell'incompetente Zio Gao, un'orda di ripugnanti Leproratti e selvaggi Hozen si è infiltrata nel birrificio, dando inizio a una distruttiva festa che ben presto consumerà tutte le riserve di birra della regione.",961,632268,632275,632362,632282,1,0,0
