Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
Varie,,165,16,0,0,1200,0,0,0
Cianfrusaglie,,166,16,52,0,10,165,0,0
Reagente,,167,16,144,0,20,165,0,0
Festività,,168,16,146,0,30,165,0,0
Altro,,169,16,147,0,40,165,0,0
Cavalcature,,170,16,152,0,50,165,0,0
Equipaggiamenti per cavalcature,,171,16,326,0,60,165,0,0
Equipaggiamento delle Professioni,LivOg,172,145,0,0,950,0,0,1
Runografia,LivOg,173,145,341,0,10,172,0,1
Sartoria,LivOg,174,145,335,0,20,172,0,1
Conciatura,LivOg,175,145,330,0,30,172,0,1
Oreficeria,LivOg,176,145,340,0,40,172,0,1
Alchimia,LivOg,177,145,331,0,50,172,0,1
Forgiatura,LivOg,178,145,329,0,60,172,0,1
Ingegneria,LivOg,179,145,336,0,70,172,0,1
Incantamento,LivOg,180,145,337,0,80,172,0,1
Cucina,LivOg,181,145,333,0,120,172,0,1
Pesca,LivOg,182,145,338,0,130,172,0,1
Attrezzi,LivOg,183,145,341,29,10,173,0,1
Accessori,LivOg,184,145,341,30,20,173,0,1
Attrezzi,LivOg,185,145,340,29,10,176,0,1
Accessori,LivOg,186,145,340,30,20,176,0,1
Accessori,LivOg,187,145,335,30,20,174,0,1
Attrezzi,LivOg,188,145,335,29,10,174,0,1
Attrezzi,LivOg,189,145,330,29,10,175,0,1
Accessori,LivOg,190,145,330,30,20,175,0,1
Attrezzi,LivOg,191,145,331,29,10,177,0,1
Accessori,LivOg,192,145,331,30,20,177,0,1
Attrezzi,LivOg,193,145,329,29,10,178,0,1
Accessori,LivOg,194,145,329,30,20,178,0,1
Attrezzi,LivOg,195,145,336,29,10,179,0,1
Accessori,LivOg,196,145,336,30,20,179,0,1
Attrezzi,LivOg,197,145,337,29,10,180,0,1
Accessori,LivOg,198,145,337,30,20,180,0,1
Attrezzi,LivOg,199,145,333,29,10,181,0,1
Accessori,LivOg,200,145,333,30,20,181,0,1
Attrezzi,LivOg,201,145,338,29,10,182,0,1
Accessori,LivOg,202,145,338,30,20,182,0,1
Estrazione,LivOg,203,145,334,0,90,172,0,1
Erbalismo,LivOg,204,145,332,0,100,172,0,1
Scuoiatura,LivOg,205,145,339,0,110,172,0,1
Accessori,LivOg,206,145,334,30,20,203,0,1
Attrezzi,LivOg,207,145,334,29,10,203,0,1
Accessori,LivOg,208,145,332,30,20,204,0,1
Attrezzi,LivOg,209,145,332,29,10,204,0,1
Accessori,LivOg,210,145,339,30,20,205,0,1
Attrezzi,LivOg,211,145,339,29,10,205,0,1
Collo,LivOg,212,9,188,0,45,99,0,0
Borsa dei Reagenti,Scomparti,215,2,344,0,15,76,0,2
Reagenti di Finitura,,217,8,343,0,110,136,0,0
Decorazioni degli Alloggi,,218,147,356,0,0,0,0,0
Mobilia,,219,147,356,0,0,218,0,0
Finiture,,220,0,0,0,1,218,0,0
Ornamentali,,221,0,0,0,0,220,0,0
Strutturali,,222,0,0,0,0,218,0,0
Illuminazioni,,223,0,0,0,0,218,0,0
Funzionali,,224,0,0,0,0,218,0,0
Natura,,225,0,0,0,0,218,0,0
Varie,,226,0,0,0,0,218,0,0
Sedute,,227,0,0,0,0,219,0,0
Tavoli e Scrivanie,,228,0,0,0,0,219,0,0
Magazzino,,229,0,0,0,0,219,0,0
Letti,,230,0,0,0,0,219,0,0
Mobilia Varia,,231,0,0,0,0,219,0,0
Cibo e Bevande,,232,0,0,0,0,220,0,0
Finiture Varie,,233,0,0,0,0,220,0,0
Porte,,234,0,0,0,0,222,0,0
Finestre,,235,0,0,0,0,222,0,0
Muri e Colonne,,236,0,0,0,0,222,0,0
Strutture Grandi,,237,0,0,0,0,222,0,0
Strutturali Varie,,238,0,0,0,0,222,0,0
Luci Grandi,,239,0,0,0,0,223,0,0
Luci da Parete,,240,0,0,0,0,223,0,0
Luci da Soffitto,,241,0,0,0,0,223,0,0
Luci Piccole,,242,0,0,0,0,223,0,0
Luci Varie,,243,0,0,0,0,223,0,0
Utilità,,244,0,0,0,0,224,0,0
Espositori,,245,0,0,0,0,224,0,0
Funzionali Varie,,246,0,0,0,0,224,0,0
Fogliame Grande,,247,0,0,0,0,225,0,0
Fogliame Piccolo,Competenza,248,0,0,0,0,225,0,4
Cespugli,,249,0,0,0,0,225,0,0
Copertura del Terreno,,250,0,0,0,0,225,0,0
Natura Varia,,251,0,0,0,0,225,0,0
