Name_lang,Description_lang,Objective_lang,ID,BattlemasterListID,LFGDungeonsID,RewardsQuestID
Rissa: Sei di Sei - Tempio di Kotmogu,Campi di battaglia 6v6,"- 6 giocatori per squadra
- Nuove modalità di gioco",15,884,0,0
Rissa: Sei di Sei - Occhio del Ciclone,Campi di battaglia 6v6,"- 6 giocatori per squadra
- Nuove modalità di gioco",16,882,0,0
Rissa: Cucina Impossibile,Gara di raccolta,"- Raccogli gli ingredienti presso la fattoria e riportali al tuo cuoco
- La prima fazione che raccoglie abbastanza ingredienti vince!
- Sconfiggi il Pestatore della fazione avversaria per ottenerne la fedeltà",17,887,0,0
Rissa: Tutti Esauriti,Sfida diretta a squadre,"- Sfida diretta a squadre
- 3 giocatori per squadra
- I primi due morti per squadra vengono istantaneamente resuscitati",18,0,0,0
Spiaggia Ribollente,Raccogli Azerite,"Sono state scoperte abbondanti quantità d'Azerite al largo della costa di Feralas, in un'isola inesplorata ora nota come Spiaggia Ribollente.",19,894,0,0
Rissa: Ashran classica,Campo di battaglia infinito epico,"- La battaglia di Ashran non ha mai fine!
- Uccidi il capo della fazione avversaria e domina gli eventi per ottenere ricompense
- Recupera i Frammenti di Manufatto dalle creature e consegnali per garantire benefici alla tua fazione",120,1021,0,0
Rissa PvP: Picchiaduro,Dominio,"- Conquista gli obiettivi
- Uccidi i nemici
- Vinci",121,0,1966,0
Lungoinverno,Difendi o assalta Lungoinverno,"- Se stai difendendo, proteggi la Fortezza
- Se stai assaltando, distruggi l'ultimo muro della Fortezza",122,1030,0,0
Rissa: Isola Infestata,Isola 10 v 10,Ci servirà una barca più grande...,123,0,2025,0
Vendetta di Korrak,Evento Anniversario di WoW,"- Vivi la Valle d'Alterac d'altri tempi
- Sconfiggi Korrak la Furia del Sangue e respingi l'invasione dei Troll!
- Completa missioni e obiettivi per ottenere le ricompense",124,1033,0,63953
Scavi di Ventotetro,Conquista gli obiettivi,"- Cattura e mantieni il controllo degli obiettivi
- Ottieni 1.500 risorse",125,1039,0,0
Rissa: Vendetta di Korrak,Valle d'Alterac Classica,"- Vivi la Valle d'Alterac d'altri tempi
- Sconfiggi Korrak la Furia del Sangue e respingi l'invasione dei Troll!
- Completa missioni e obiettivi per ottenere le ricompense",126,1033,0,0
Mischia Solitaria,Incontri nell'arena tra squadre mischiate,"- 6 giocatori giocano 6 turni in un'arena 3v3.
- Le squadre vengono mischiate alla fine di ogni turno.
- Possono mettersi in coda solo singoli personaggi",130,1065,0,0
Mischia Solitaria: Arena dell'Enigma,Incontri nell'arena tra squadre mischiate,"- 6 giocatori giocano 6 turni in un'arena 3v3.
- Le squadre vengono mischiate alla fine di ogni turno.
- Possono mettersi in coda solo singoli personaggi",132,0,0,0
Rissa: Detonazione Ventotetro,Trova e Distruggi,"- Raccogli la bomba al Mercato
- Scorta la bomba alle basi
-Piazzala e difendila",133,1075,0,0
Rissa: Blitz nel Campo di Battaglia,Blitz nel Campo di Battaglia,"- Coda in solitaria, eccetto i guaritori che possono mettersi in coda come duo
- Combatti insieme ai membri di entrambe le fazioni
- Velocità su cavalcatura aumentata
- Modalità di gioco più veloci",136,1101,0,0
Rissa: Blitz nel Campo di Battaglia - Forra dei Cantaguerra,Blitz nel Campo di Battaglia,,137,1102,0,0
Rissa: Blitz nel Campo di Battaglia - Picchi Gemelli,Blitz nel Campo di Battaglia,,138,1103,0,0
Rissa: Blitz nel Campo di Battaglia - Battaglia per Gilneas,Blitz nel Campo di Battaglia,,139,1104,0,0
Rissa: Blitz nel Campo di Battaglia - Miniere di Cupargento,Blitz nel Campo di Battaglia,,140,1105,0,0
Rissa: Blitz nel Campo di Battaglia - Tempio di Kotmogu,Blitz nel Campo di Battaglia,,141,1106,0,0
Rissa: Blitz nel Campo di Battaglia - Scavi di Ventotetro,Blitz nel Campo di Battaglia,,142,1109,0,0
Rissa: Blitz nel Campo di Battaglia - Bacino d'Arathi,Blitz nel Campo di Battaglia,,143,1108,0,0
Rissa: Blitz nel Campo di Battaglia - Occhio del Ciclone,Blitz nel Campo di Battaglia,,144,1107,0,0
Rissa: Nel vivo della battaglia,Arena 3v3,"- Arena 3v3
- Infliggere danni a personaggi nemici con poca salute aumenta i danni inflitti dalla squadra
- I guaritori ricevono una Borraccia che può essere usata in combattimento per rigenerare mana",145,1111,0,0
Rissa: Blitz nel Campo di Battaglia - Gola Cavafonda,Blitz nel Campo di Battaglia,,147,1118,0,0
Gola Cavafonda,Gola Cavafonda,"- Cattura e controlla i carrelli minerari
- Cattura la gemma centrale
- Ottieni 1.500 risorse",148,1110,0,0
