ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
126,L'oscurità incombente,"Ora che il piano di Denathrius è stato smascherato, devi decidere come reagire.",5284,0,85641,89059,0,0,26,0,94,105475,0
130,Shadowlands,,0,0,5703,5703,0,0,0,1,0,0,0
131,Fili del Fato,,0,0,87258,89064,0,0,26,0,99,105475,0
133,Tutorial delle Congreghe,,0,0,5703,5703,0,0,0,0,0,0,0
134,Tutorial delle Congreghe,,0,0,5703,5703,0,0,0,0,0,0,0
135,Tutorial delle Congreghe,,0,0,5703,5703,0,0,0,0,0,0,0
136,Tutorial delle Congreghe,,0,0,5703,5703,0,0,0,0,0,0,0
137,Tutorial delle Congreghe,,0,0,5703,5703,0,0,0,0,0,0,0
138,Catene del Dominio,Campagna che presenta i nuovi contenuti della 9.1.,5362,0,92542,92543,92550,0,26,0,93,105475,0
140,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
141,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
142,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
143,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
144,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
145,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
146,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
147,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
148,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
149,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
150,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
151,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
153,9.0 Campagna della Congrega Cap. 2 - Torgast,Sblocca la ricerca di Baine e i prerequisiti per l'Incisore di Rune,0,0,5703,5703,0,0,0,0,0,0,0
154,Salto Progressi della Storia di Torgast,,0,0,5703,5703,0,0,0,0,0,0,0
155,9.0 Campagna della Congrega Cap. 3 - Scrutare l'Oscurità,Completa l'esposizione di Anduin e i filmati,0,0,5703,5703,0,0,0,0,0,0,0
156,Shadowlands,,0,0,5703,5703,0,0,0,1,0,0,0
157,Introduzione alla Scatola dalle Molte Cose,,0,0,5703,5703,0,0,0,0,90,0,0
158,Segreti dei Primi,Campagna che presenta i nuovi contenuti della 9.2.,5408,0,94855,0,94857,0,31,0,91,105475,0
159,"Svegliati, Dracthyr","Zona iniziale dell'Evocatore Dracthyr, Zona 0, Alleanza",5467,0,99583,96647,99952,0,46,0,108,0,0
160,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
161,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
162,Inizio Introduzione,,0,0,5703,5703,0,0,0,0,0,0,0
163,Inizio Introduzione,,0,0,5703,5703,0,0,0,0,0,0,0
164,Salta al capitolo 6,,0,0,5703,5703,0,0,0,0,0,0,0
165,La Spedizione delle Scaglie di Drago,Intro (From Org/Storm) to Camp in Lowlands,5468,0,21439,21439,0,0,50,0,108,21439,0
166,Pianure di Ohn'ahra,Missioni aumento di livello Pianure,5469,0,21439,21439,0,0,48,0,106,104511,0
167,Salta al capitolo 5,,0,0,5703,5703,0,0,0,0,0,0,0
168,Salta al capitolo 7,,0,0,5703,5703,0,0,0,0,0,0,0
169,Sponde del Risveglio,Missioni aumento di livello Bassopiani,5471,0,21439,21439,0,0,49,0,107,104511,0
173,"Svegliati, Dracthyr","Zona iniziale dell'Evocatore Dracthyr, Zona 0, Orda",5467,0,99584,96645,99954,0,46,0,108,0,0
174,Vastità Azzurra,Level-up for zone 3,5466,0,21439,21439,0,0,47,0,105,21439,0
189,Thaldraszus,Level-up for zone 4,5470,0,21439,21439,0,0,51,0,104,104511,0
190,La Sognatrice,Livello massimo Zona 2 Draghi Verdi,5469,0,21439,21439,0,0,48,0,0,0,34450
191,Salta l'introduzione alle professioni,,0,0,5703,5703,0,0,0,0,0,0,0
192,Lo Scopo d'Argento,CAMPAGNA DI TYR capitoli 1-4 livello massimo Zona 4 Forte di Tyr,5470,0,122671,122671,122676,0,51,0,1089,0,34450
193,Valdrakken,,5470,0,21439,21439,0,0,51,0,0,0,0
194,Tuskarr di Iskaara,Fama massima Zona 1 Tuskarr di Iskaara,5471,0,21439,21439,0,0,49,0,103,0,34450
197,Spedizione delle Scaglie di Drago,Campagna della Fama della Spedizione delle Scaglie di Drago,5468,0,21439,21439,0,0,50,0,103,0,21439
198,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
199,La Pietra del Giuramento Madre,10.0 - Raid Opening Quests,5470,0,21439,103947,0,0,51,0,0,0,0
200,Cittadella d'Ossidiana,,0,0,5703,5703,0,0,0,0,0,0,0
201,Dragonflight,Campagna principale,5468,0,131377,131377,104950,0,50,2,1099,0,0
203,Braci di Neltharion,10.0.7/10.1 Narrative Campaign,5522,0,122679,122679,123577,0,53,0,1070,0,34450
206,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
207,Vastità Azzurra,Campagna nascosta,5466,0,5703,5703,5703,5703,47,0,0,5703,0
208,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
209,Stormo dei Draghi Blu,,5468,0,21439,21439,0,0,50,0,102,0,21439
210,Cripte di Zskera,,0,0,108197,0,0,0,50,0,0,34450,0
212,Isola dell'Esilio,Campagna che presenta l'Esperienza Nuovo Giocatore nell'Isola dell'Esilio.,5531,0,108830,108830,108834,0,55,0,5,0,0
213,Isola dell'Esilio,Campagna che presenta l'Esperienza Nuovo Giocatore nell'Isola dell'Esilio.,5531,0,108835,108835,108834,0,55,0,5,0,0
214,Battle for Azeroth,"Come campione dell'Alleanza, è tuo dovere aiutare lo sforzo bellico contro l'Orda e i suoi nuovi alleati.",261,0,109122,924,109672,0,8,2,89,0,0
215,Battle for Azeroth,"Come campione dell'Alleanza, è tuo dovere aiutare lo sforzo bellico contro l'Orda e i suoi nuovi alleati.",261,0,86702,86702,108940,0,8,0,89,0,0
216,Campagna di Guerra,"Come campione dell'Alleanza, è tuo dovere aiutare lo sforzo bellico contro l'Orda e i suoi nuovi alleati.",261,0,109193,109193,109793,0,8,0,88,0,49081
217,Nazjatar,"Come campione dell'Alleanza, è tuo dovere aiutare lo sforzo bellico contro l'Orda e i suoi nuovi alleati.",261,0,109210,109210,109183,0,8,0,87,0,49081
218,Meccagon,"Come campione dell'Alleanza, è tuo dovere aiutare lo sforzo bellico contro l'Orda e i suoi nuovi alleati.",261,0,109180,109180,109182,0,8,0,86,0,49081
219,Visioni di N'zoth,"Come campione dell'Alleanza, è tuo dovere aiutare lo sforzo bellico contro l'Orda e i suoi nuovi alleati.",261,0,109211,109211,109789,0,8,0,85,0,49081
221,Battle for Azeroth,"Come campione dell'Alleanza, è tuo dovere aiutare lo sforzo bellico contro l'Orda e i suoi nuovi alleati.",262,0,109810,109810,109672,0,10,2,89,0,0
222,Meccagon,,262,0,109812,109812,109182,0,10,0,86,0,49081
223,Nazjatar,,262,0,109814,109814,109183,0,10,0,87,0,49081
224,Visioni di N'zoth,,262,0,109820,109820,109789,0,10,0,85,0,49081
225,Campagna di Guerra,,262,0,109821,109821,109822,0,10,0,88,0,49081
226,Battle for Azeroth,,262,0,109832,109832,109833,0,10,0,89,0,0
227,Pietre dello Stormo,,5468,0,0,34450,0,0,50,0,102,0,34450
228,Scintilla d'Ombrofuoco,,5522,0,0,34450,0,0,53,0,102,0,34450
229,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
230,Campagna di Prova,,5470,0,0,0,0,0,51,0,104,104511,0
231,Guardiani del Sogno,,5542,0,122691,122691,123578,0,57,0,1060,0,34450
233,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
234,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
235,Visioni di Azeroth,Missioni introduttive dell'espansione,5570,0,119581,119581,0,0,60,0,1104,0,0
236,Isola di Dorn,Zone 1 Level-Up Questing,5578,0,119583,119583,0,0,63,0,1103,0,119582
237,Profondità Risonanti,Zone 2 Level-Up Questing,5579,0,119585,119585,120831,0,61,0,1102,0,119582
238,Gli Arathi dei Precipizi Sacri,Zone 3 Level-Up Questing,5580,0,119594,119594,0,0,62,0,1101,0,119582
239,Azj-Kahet,Zone 5 Level-Up Questing,5581,0,119596,119596,118153,0,64,0,1100,0,119582
240,The War Within,Missioni di livello massimo,5570,0,135146,135146,0,0,60,0,1110,0,34450
241,Stare al passo!,,0,0,5703,5703,0,0,0,0,0,0,0
242,Caccia all'Aralda,,5570,0,121891,121891,0,0,60,0,1100,34450,34450
246,Sbarco,,262,0,119806,119806,119684,0,59,0,58,0,49081
247,Mists of Pandaria,"Dopo la sconfitta di Alamorte, lo scontro tra l'Orda e l'Alleanza si è riacceso. Come $gcampione:campionessa; dell'Orda, devi unirti alla battaglia.",5568,0,119683,119683,119712,0,59,0,59,0,0
248,Mists of Pandaria,"Dopo la sconfitta di Alamorte, lo scontro tra l'Orda e l'Alleanza si è riacceso. Come $gcampione:campionessa; dell'Alleanza, devi unirti alla battaglia.",5568,0,119829,119829,119830,0,59,0,59,0,0
249,Sbarco,,261,0,119896,119896,119900,0,59,0,58,0,49081
250,Il Re del Tuono,,261,0,119947,119947,119948,0,59,0,57,0,49081
251,Il Re del Tuono,,262,0,119956,119956,119957,0,59,0,57,0,49081
252,Intensificazione,,263,0,119959,119959,119962,0,59,0,56,0,49081
253,Assedio di Orgrimmar,,261,0,119963,119963,119964,0,59,0,56,0,49081
254,Assedio di Orgrimmar,,262,0,119965,119965,119964,0,59,0,56,0,49081
256,Dragonflight,Titolo gruppo principale nelle zone di progressione,5468,0,122644,122644,122645,0,50,0,1099,0,0
257,Stormo dei Draghi Blu,,5468,0,122672,122672,122675,0,50,0,1080,0,34450
258,Stormo dei Draghi Verdi,Green Dragons Ch 1+2,5468,0,122673,122673,122674,0,50,0,1090,0,34450
260,Ombre persistenti,11.1 Prologo della campagna,5644,0,126297,126297,0,0,67,1,1120,0,34450
261,Salto dell'introduzione dell'espansione,,0,0,5703,5703,0,0,0,0,0,0,0
262,(DNT) Campaign,,0,0,0,0,0,0,0,0,0,0,0
263,(DNT) Legendary,,0,0,0,0,0,0,0,0,0,0,0
264,Cavafonda,Cavaffonda,5644,0,126435,126435,0,0,66,0,1140,0,0
265,Il fato del Kirin Tor,Serie di missioni del Kirin Tor,5570,0,126299,126299,0,0,60,1,1130,0,34450
276,Isola delle Sirene,,0,0,5703,5703,0,0,0,0,0,0,0
313,Isola delle Sirene,,0,0,5703,5703,0,0,0,0,0,0,0
314,Isola delle Sirene,,0,0,5703,5703,0,0,0,0,0,0,0
