Field_11_0_0_54935_000_lang,ID,Field_11_0_0_54935_002,GossipXUIDisplayInfoID
"|cnWHITE_FONT_COLOR:Descenso dos Haranir|r|nRefaça a jornada dos haranir, seguindo o canto de Azeroth até Harandar.",140,144783,80
|cnWHITE_FONT_COLOR:Focalizadores sob pressão|r|nA Lâmina Crepuscular se infiltrou nos túneis sob Suramar e está desvirtuando os meridianos.,141,144938,83
|cnWHITE_FONT_COLOR:Manutenção de Meridianos|r|nDesembaralhe os fluxos invisíveis de poder arcano que correm debaixo de Suramar.,142,144939,83
"|cnWHITE_FONT_COLOR:Potência Ôgrica|r|nA Lâmina Crepuscular libertou um poder que não consegue controlar, e agora energias arcanas correm rompantes pelos túneis sob Suramar.",143,144940,83
|cnWHITE_FONT_COLOR:Larica de Mariposa-de-aln|r|nAlimente as Mariposas-de-aln famintas com Profusão Verde de Floraluz para combater seu crescimento descontrolado.,149,144931,80
|cnWHITE_FONT_COLOR:Especial de Esporossauro|r|nEsporossauros imensos estão espalhando esporos de Floraluz explosivos pelo golfo e precisam ser detidos.,150,144932,80
"|cnWHITE_FONT_COLOR:Suprimentos Sombrios|r|n""Libere"" suprimentos que a Lâmina Crepuscular acumulou antes que eles possam se rearmar e recuperar as forças.",151,144933,78
|cnWHITE_FONT_COLOR:Luzir de Espelho|r|nGabby Clarão tem um plano para banir as sombras que infestam a área usando luz do sol refletida.,152,144934,78
|cnWHITE_FONT_COLOR:Um Caminho Corrompido|r|nQuebrajura Ger'lok só vê um caminho adiante: corromper tudo com o Caos e deixar que ele assuma o controle.,156,34450,85
"|cnWHITE_FONT_COLOR:Um Ataque do Mar|r|nSelen'vjar vê nestes tempos turbulentos a ocasião ideal para o seu povo se erguer. E, usando o poder dos seus antigos aliados, pode ser que ela consiga fazer isso.",157,34450,86
"|cnWHITE_FONT_COLOR:Val|r|nForças renegadas do caos estabeleceram um bastião de poder sombrio num mundo remoto e congelado.|r|n
Aventure-se pelos ermos tempestuosos de Val e ponha um fim aos planos nefastos deles.",173,34450,93
"|cnWHITE_FONT_COLOR:Naigtal|r|nOs etéreos Hal’hadar estabeleceram uma base de Manaforja num misterioso mundo tomado por cogumelos.
|r|nAventure-se pelos pântanos ricos em mana de Naigtal e ponha um fim às operações sorrateiras deles.",174,34450,94
