Name_lang,ID,Field_9_0_1_33978_001,PlayerConditionID,ReagentType,Field_10_0_2_46091_005
Nozdorite (DNT),137,0,0,1,0
Illimited Diamond (DNT),138,0,0,1,0
Frameless Lens (DNT),140,0,0,1,0
Glossy Stone (DNT),142,0,0,1,0
Shimmering Clasp (DNT),143,0,0,1,0
Projection Prism (DNT),145,0,0,1,0
Resilient Leather (DNT),146,0,0,1,0
Adamant Scales (DNT),147,0,0,1,0
Dense Hide (DNT),148,0,0,1,0
Lustrous Scaled Hide (DNT),149,0,0,1,0
Stonecrust Hide (DNT),150,0,0,1,0
Mireslush Hide (DNT),151,0,0,1,0
Infurious Hide (DNT),153,0,0,1,0
Earthshine Scales (DNT),155,0,0,1,0
Frostbite Scales (DNT),156,0,0,1,0
Infurious Scales (DNT),157,0,0,1,0
Silken Gemdust (DNT),158,0,0,1,0
Elemental Harmony (DNT),159,0,0,1,0
Vibrant Spellthread (DNT),169,0,0,1,0
Frozen Spellthread (DNT),170,0,0,1,0
Temporal Spellthread (DNT),171,0,0,1,0
Wildercloth Bolt (DNT),172,0,0,1,0
Azureweave Bolt (DNT),173,0,0,1,0
Chronocloth Bolt (DNT),174,0,0,1,0
Vibrant Wildercloth Bolt (DNT),175,0,0,1,0
Infurious Wildercloth Bolt (DNT),176,0,0,1,0
Spool of Wilderthread (DNT),177,0,0,1,0
Adicionar Ornamento,178,0,0,0,1
Adicionar Ornamento,179,0,0,0,1
Adicionar Ornamento,180,0,0,0,1
Linha de Bordado,181,2,0,2,2
Flanela de Polimento,182,2,0,2,2
Adicionar Ornamento,183,0,0,0,1
Óleo Encadeado,184,2,0,2,2
Agente de Cura,185,2,0,2,2
Fiery Spirit (DNT),186,0,0,1,0
Potencializar com Matriz de Treinamento,189,0,0,0,1
,190,0,0,2,2
Últimos toques,192,0,0,2,2
Ingrediente secreto,193,0,0,2,2
Handful of Serevite Bolts (DNT),194,0,0,1,0
Shock-Spring Coil (DNT),195,0,0,1,0
Everburning Blasting Powder (DNT),196,0,0,1,0
Greased-Up Gears (DNT),197,0,0,1,0
Arclight Capacitor (DNT),198,0,0,1,0
Reinforced Machine Chassis (DNT),199,0,0,1,0
Assorted Safety Fuses (DNT),200,0,0,1,0
Primal Deconstruction Charge (DNT),201,0,0,1,0
Signo de Negraluna,202,2,0,0,0
Refreshing Healing Potion (DNT),203,0,0,1,0
Aerated Mana Potion (DNT),204,0,0,1,0
Potion of Gusts (DNT),205,0,0,1,0
Creature Combustion Canister (DNT),206,0,0,1,0
Draconium Gun Shoes (DNT),207,0,0,1,0
Gravitational Displacer (DNT),208,0,0,1,0
Blazing Ink (DNT),209,0,0,1,0
Cosmic Ink (DNT),210,0,0,1,0
Flourishing Ink (DNT),211,0,0,1,0
Burnished Ink (DNT),212,0,0,1,0
Serene Ink (DNT),213,0,0,1,0
Serene Pigment (DNT),214,0,0,1,0
Flourishing Pigment (DNT),215,0,0,1,0
Blazing Pigment (DNT),216,0,0,1,0
Shimmering Pigment (DNT),217,0,0,1,0
Chilled Rune (DNT),218,0,0,1,0
Runed Writhebark (DNT),219,0,0,1,0
Potion of the Hushed Zephyr (DNT),220,0,0,1,0
Areia Bisotante,221,2,0,2,2
Personalizar Atributo de Criação,222,0,0,0,0
Componentes de Segurança,223,2,0,0,0
Amplificar Atributos Secundários,224,2,0,0,0
Amplificar Atributos Secundários,225,0,0,0,0
Adicionar Ornamento,226,2,0,0,1
Personalizar Atributos Secundários,227,0,0,0,0
Peças Sobressalentes,230,2,0,2,2
Personalizar Atributo de Coleta,231,0,0,0,0
Personalizar Atributo de Criação,232,0,0,0,0
Adicionar Ornamento,233,2,0,0,1
Flanela de Polimento,234,0,0,2,2
Percepção Ilustre Inferior,235,0,0,2,2
Essência Forjada em Aço,236,0,0,0,0
Essência de Vero-aço,237,0,0,0,0
Raspagraxa Travarroda,238,0,0,0,0
Gatilho de Ferro Verdadeiro,239,0,0,0,0
Essência Polida,240,0,0,0,0
Essência de Tramandinga,241,0,0,0,0
Cristal de Arma,242,0,0,0,0
Personalizar Atributos Secundários,243,2,0,0,0
Conceder Níveis de Item de JxJ,244,0,0,0,1
Conceder Níveis de Item de JxJ,245,0,0,0,1
Conceder Níveis de Item de JxJ,246,0,0,0,1
Centelha,247,4,0,0,1
Shadowed Alloy (DNT),248,0,0,1,0
Areia Bisotante,249,0,0,2,2
Wildercloth Bandage (DNT),250,0,0,1,0
Engaste,251,0,0,3,3
Engaste,252,0,0,3,3
Potion of Withering Vitality (DNT),253,0,0,1,0
Heráldica do Competidor,255,4,0,0,1
Centelha,256,4,0,0,1
Micoflorescência,257,0,0,1,0
Gotisca,258,0,0,1,0
Orbinídea,259,0,0,1,0
Flor da Bênção,260,0,0,1,0
Lança de Arathor,261,0,0,1,0
Bismuto,262,0,0,1,0
Aqirita,263,0,0,1,0
Minério de Garraférrea,264,0,0,1,0
Ampola Dourada,267,0,0,1,0
Horticultura Harmoniosa,268,0,0,1,0
Couro Carregado pela Tempestade,269,0,0,1,0
Quitina Lúgubre,270,0,0,1,0
Pelego Trovejante,271,0,0,1,0
Carapaça Sem Sol,272,0,0,1,0
Gemas Esmagadas,275,0,0,1,0
Lapidador de Gemas Entalhado,276,0,0,1,0
Lente Decorativa,277,0,0,1,0
Pedra Marmorizada,278,0,0,1,0
Prisma Invertido,279,0,0,1,0
Pó de Gema e Flanela de Polimento,280,2,0,2,0
Adicionar Ornamento,281,0,0,0,1
Amplificar Atributos Secundários,282,2,0,0,0
Personalizar Atributos Secundários,283,2,0,0,0
Imbuir em Poder,284,2,0,0,1
Armadura de Couro,286,2,0,2,2
Armadura de Malha,287,2,0,2,2
Cifra Mortal,288,0,0,1,0
Cifra Veloz,289,0,0,1,0
Cifra Primorosa,290,0,0,1,0
Cifra Versátil,291,0,0,1,0
Pelego Reforçado com Carapaça,293,0,0,1,0
Pelego Cristalfuso,294,0,0,1,0
Pelego Estrebuchante,295,0,0,1,0
Pelego Coberto de Esporos,296,0,0,1,0
Pelego Infuso de Meridiano,297,0,0,1,0
Pelego Fundafúria,298,0,0,1,0
Invólucro de Arma Tocado pela Tempestade,299,0,0,1,0
Elo de Armadura Quitinosa,300,0,0,1,0
Pó da Tempestade,301,0,0,1,0
Estilhaço Rebrilhante,302,0,0,1,0
Cristal Refulgente,303,0,0,1,0
Punhado de Parafusos de Bismuto,304,0,0,1,0
Fiação Extravagante,305,0,0,1,0
Engrenagem Girante,306,0,0,1,0
Chave de Segurança,307,0,0,1,0
Circuito do Caos,308,0,0,1,0
Amplificador de Entropia,309,0,0,1,0
Selecionar Componente de Segurança,311,2,0,0,0
Adicionar Ornamento,312,2,0,0,1
Liga de Núcleo,313,0,0,1,0
Liga Carregada,314,0,0,1,0
Liga Santificada,315,0,0,1,0
Liga de Garraférrea,316,0,0,1,0
Acessórios de Forja,317,2,0,2,2
Ingrediente Secreto,318,0,0,2,2
Lenhaverde Codificada,319,0,0,1,0
Cifra Irrestrita,320,0,0,1,0
Tinta de Zibelina,321,0,0,1,0
Corante de Gotisca,322,0,0,1,0
Tinta Banhada de Sol,323,0,0,1,0
Corante Banhado de Sol,324,0,0,1,0
Carretel de Fio Crepuscular,327,0,0,1,0
Carretel de Fio Alvorecente,328,0,0,1,0
Carretel de Fio da Tecelã,329,0,0,1,0
Rolo de Trama do Ocaso,330,0,0,1,0
Rolo de Trama da Aurora,331,0,0,1,0
Rolo de Trama da Tecelã,332,0,0,1,0
Linha de Bordado,333,2,0,2,2
Adicionar Ornamento,334,2,0,0,1
Adicionar Ornamento,340,2,0,0,1
Adicionar Ornamento,341,0,0,0,1
Potencializar,342,0,0,0,1
Personalizar Atributo de Coleta,344,0,0,0,0
Personalizar Atributo de Criação,345,0,0,0,0
Autenticidade do Artífice,346,2,0,2,0
Peças Sobressalentes,347,2,0,2,0
Poção do Guepardo Renascido,348,0,0,1,0
Poção de Cura Algari,349,0,0,1,0
Alegria do Explorador de Cavernas,350,0,0,1,0
Poção Temperada,351,0,0,1,0
Personalizar Atributo de Criação,352,2,0,0,0
Personalizar Atributo de Coleta,353,2,0,0,0
Autenticidade do Artífice,354,0,0,2,0
Corante de Orbinídea,355,0,0,1,0
Corante de Flor,356,0,0,1,0
Rolo de Trama da Tecelã Requintada,357,0,0,1,0
Reagentes Criados,358,2,0,2,2
Suprimentos de Desenho,359,2,0,2,2
Reagentes Radiantes,360,0,0,2,0
Mistura Misteriosa,362,0,0,2,0
Engaste,363,0,0,3,3
Engaste,364,0,0,3,3
Personalizar Atributos Secundários,365,0,0,0,0
Imbuir em Poder,366,0,0,0,1
Reagentes Radiantes,367,2,0,2,0
Potencializar,368,0,0,0,1
Acessórios de Forja,369,2,0,2,2
Linha de Bordado,370,2,0,2,2
Suprimentos de Desenho,371,2,0,2,2
Reagentes Radiantes,372,0,0,2,0
Reagentes Radiantes,374,0,0,2,0
Linha de Bordado,375,2,0,2,2
Peças Sobressalentes,376,2,0,2,0
Linha de Bordado,377,2,0,2,2
Encantamentos e Equipamentos,378,0,0,2,2
Consumíveis e Reagentes,379,0,0,2,2
Engaste,380,0,0,3,3
Engaste,381,0,0,3,3
Acessórios de Forja,382,0,0,2,2
