Name_lang,EntryOffset[0],EntryOffset[1],EntryOffset[2],ID,Size,HouseExteriorWmoDataID,ParentComponentID,ModelFileDataID,Flags,Field_12_0_0_63534_007,Type,Field_12_0_0_63534_009,GameObjectID,Field_11_2_7_64044_011,ItemID
Pináculo em Camadas - Carmesim,0,0,0,607,1,56,0,6892591,2,5,15,1,0,37,267693
Pináculo Elegante - Carmesim,0,0,0,608,1,56,0,6892589,2,5,15,1,0,37,267694
Chaminé Extravagante,0,0,0,609,1,56,0,6892587,2,5,16,1,0,37,267695
Chaminé com Sino,0,0,0,610,1,56,0,6892586,2,5,16,1,0,37,267696
Chaminé com Bordas Robusta,0,0,0,611,1,56,0,6892588,2,5,16,1,0,37,267697
Chaminé Régia,0,0,0,612,1,56,0,6892584,2,5,16,1,0,37,267698
Chaminé com Bordas,0,0,0,613,1,56,0,6892585,2,5,16,1,0,37,267699
Luzerna Abobadada - Carmesim,0,0,0,614,1,56,0,6892581,2,5,14,1,0,37,267700
Luzerna Régia - Carmesim,0,0,0,615,1,56,0,6892583,2,5,14,1,0,37,267701
Janela Régia - Carmesim,0,0,0,616,1,56,0,6892579,2,5,12,1,0,37,267702
Janela Abobadada - Carmesim,0,0,0,617,1,56,0,6892580,2,5,12,1,0,37,267703
Entrada Simples,16.8511,0,1.427,618,1,56,0,6892573,3,5,11,1,613907,37,267704
Entrada Grandiosa - Carmesim,16.7481,0.0001,1.427,619,1,56,0,6892575,2,5,11,1,613909,37,267705
Entrada Elegante - Carmesim,16.8511,0,1.427,620,1,56,0,6892574,2,5,11,1,613908,37,267706
Telhado Abobadado,0,0,0,621,2,56,0,6892567,3,5,10,1,0,0,267707
Entalhado,0,0,0,622,2,56,0,6892558,3,5,9,1,0,0,267708
Telhado Facetado,0,0,0,623,4,56,0,6892571,2,5,10,1,0,0,267709
Artesão,0,0,0,624,4,56,0,6892563,2,5,9,1,0,0,267710
Arcos,0,0,0,625,4,56,0,6892562,2,5,9,1,0,0,267711
Telhado em Camadas,0,0,0,626,4,56,0,6892572,2,5,10,1,0,0,267712
Telhado em Camadas,0,0,0,627,3,56,0,6892566,2,5,10,1,0,0,267713
Telhado Abobadado,0,0,0,628,3,56,0,6892564,3,5,10,1,0,0,267714
Telhado Facetado,0,0,0,629,2,56,0,6892568,2,5,10,1,0,0,267715
Artesão,0,0,0,630,3,56,0,6892557,2,5,9,1,0,0,267716
Arcos,0,0,0,631,2,56,0,6892559,2,5,9,1,0,0,267717
Entalhado,0,0,0,632,3,56,0,6892555,3,5,9,1,0,0,267718
Entalhado,0,0,0,633,4,56,0,6892561,3,5,9,1,0,0,267719
Telhado Abobadado,0,0,0,634,4,56,0,6892570,3,5,10,1,0,0,267720
Arcos,0,0,0,635,3,56,0,6892556,2,5,9,1,0,0,267721
Telhado Facetado,0,0,0,636,3,56,0,6892565,2,5,10,1,0,0,267722
Artesão,0,0,0,637,2,56,0,6892560,2,5,9,1,0,0,267723
Janela Filigranada,0,0,0,638,1,56,0,6892576,2,5,12,1,0,0,267724
Janela com Cachepot,0,0,0,639,1,56,0,6892577,2,5,12,1,0,0,267725
Janela com Bordas,0,0,0,640,1,56,0,6892578,2,5,12,1,0,0,267726
Luzerna Elegante - Carmesim,0,0,0,641,1,56,0,6892582,2,5,14,1,0,37,267727
Pináculo Simples - Carmesim,0,0,0,642,1,56,0,6892498,2,5,15,1,0,37,267728
Pináculo Facetado - Carmesim,0,0,0,643,1,56,0,6892592,2,5,15,1,0,37,267729
Pináculo Robusto - Carmesim,0,0,0,644,1,56,0,6892590,2,5,15,1,0,37,267730
Telhado em Camadas,0,0,0,645,2,56,0,6892569,2,5,10,1,0,0,267731
Entrada Coberta - Carmesim,-3.7703,0.1048,1.383,975,1,87,0,7118913,2,2,11,1,602706,37,0
Entrada com Ponte Levadiça - Carmesim,-4.4534,0.3277,2.4228,976,1,87,0,7118912,3,2,11,1,602705,37,0
Entrada de Sucata - Carmesim,-2.9469,0.4999,2.1383,977,1,87,0,7118914,2,2,11,1,602707,37,0
Janela Arqueada,0,0,0,978,1,87,0,7118916,2,2,12,1,0,0,0
Janela Redonda,0,0,0,979,1,87,0,7118917,2,2,12,1,0,0,0
Janela Coberta,0,0,0,980,1,87,0,7118918,2,2,12,1,0,0,0
Janela com Veneziana,0,0,0,981,1,87,0,7118919,2,2,12,1,0,0,0
Janela Angulosa,0,0,0,982,1,87,0,7118915,3,2,12,1,0,0,0
Janela Redonda,0,0,0,984,1,87,0,7118922,2,2,14,1,0,0,0
Chaminé Raiada,0,0,0,986,1,87,0,7338373,2,2,16,1,0,0,0
Chaminé de Fornalha,0,0,0,987,1,87,0,7118925,2,2,16,1,0,0,0
Chaminé Simples,0,0,0,988,1,87,0,7118924,2,2,16,1,0,0,0
Chaminé de Pedra - Carmesim,0,0,0,989,1,87,0,7118923,3,2,16,1,0,0,0
Chaminé com Fenda,0,0,0,990,1,87,0,7338375,2,2,16,1,0,0,0
Pedra Lisa,0,0,0,999,4,87,0,6648679,2,2,9,1,0,0,0
Madeira Reavida,0,0,0,1000,4,87,0,6648678,3,2,9,1,0,0,0
Pedra Lisa,0,0,0,1003,2,87,0,6648685,2,2,9,1,0,0,0
Madeira Reavida,0,0,0,1004,2,87,0,6648684,3,2,9,1,0,0,0
Madeira Reavida,0,0,0,1006,3,87,0,6648681,3,2,9,1,0,0,0
Pedra Surrada,0,0,0,1009,4,87,0,7118902,2,2,9,1,0,0,0
Pedra Surrada,0,0,0,1011,2,87,0,7118901,2,2,9,1,0,0,0
Pedra Surrada,0,0,0,1012,3,87,0,7118900,2,2,9,1,0,0,0
Pedra Lisa,0,0,0,1207,3,87,0,6648682,2,2,9,0,0,0,0
Janela Quadrada,0,0,0,1379,1,9,0,7118946,2,1,12,0,0,0,0
Entrada Simples - Oceano,-3.0023,0.0171,2.0121,1380,1,9,0,7450804,3,1,11,0,586576,8,0
Entrada Simples - Mostarda,-3.0023,0.0171,2.0121,1381,1,9,1380,7450818,2,1,11,0,586576,44,0
Entrada Simples - Violeta,-3.0023,0.0171,2.0121,1382,1,9,1380,7450815,2,1,11,0,586576,36,0
Entrada Simples - Carmesim,-3.0023,0.0171,2.0121,1383,1,9,1380,7450812,2,1,11,0,586576,37,0
Entrada Simples - Noz-moscada,-3.0023,0.0171,2.0121,1384,1,9,1380,7450809,2,1,11,0,586576,9,0
Entrada Simples - Floresta,-3.0023,0.0171,2.0121,1385,1,9,1380,7450805,2,1,11,0,586576,21,0
Torre Régia - Oceano,0,0,0,1386,1,9,0,7450803,2,1,15,0,0,8,0
Torre Régia - Mostarda,0,0,0,1387,1,9,1386,7450862,2,1,15,0,0,44,0
Torre Régia - Violeta,0,0,0,1388,1,9,1386,7450857,2,1,15,0,0,36,0
Torre Régia - Carmesim,0,0,0,1389,1,9,1386,7450852,2,1,15,0,0,37,0
Torre Régia - Noz-moscada,0,0,0,1390,1,9,1386,7450847,2,1,15,0,0,9,0
Torre Régia - Floresta,0,0,0,1391,1,9,1386,7450842,2,1,15,0,0,21,0
Torre Quadrada - Oceano,0,0,0,1392,1,9,0,7450802,2,1,15,0,0,8,0
Torre Quadrada - Mostarda,0,0,0,1393,1,9,1392,7450860,2,1,15,0,0,44,0
Torre Quadrada - Violeta,0,0,0,1394,1,9,1392,7450855,2,1,15,0,0,36,0
Torre Quadrada - Carmesim,0,0,0,1395,1,9,1392,7450850,2,1,15,0,0,37,0
Torre Quadrada - Noz-moscada,0,0,0,1396,1,9,1392,7450845,2,1,15,0,0,9,0
Torre Quadrada - Floresta,0,0,0,1397,1,9,1392,7450840,2,1,15,0,0,21,0
Torre de Vigia - Oceano,0,0,0,1398,1,9,0,7450801,2,1,15,0,0,8,0
Torre de Vigia - Mostarda,0,0,0,1399,1,9,1398,7450861,2,1,15,0,0,44,0
Torre de Vigia - Violeta,0,0,0,1400,1,9,1398,7450856,2,1,15,0,0,36,0
Torre de Vigia - Carmesim,0,0,0,1401,1,9,1398,7450851,2,1,15,0,0,37,0
Torre de Vigia - Noz-moscada,0,0,0,1402,1,9,1398,7450846,2,1,15,0,0,9,0
Torre de Vigia - Floresta,0,0,0,1403,1,9,1398,7450841,2,1,15,0,0,21,0
Torre Grande - Oceano,0,0,0,1404,1,9,0,7450800,3,1,15,0,0,8,0
Torre Grande - Mostarda,0,0,0,1405,1,9,1404,7450858,2,1,15,0,0,44,0
Torre Grande - Violeta,0,0,0,1406,1,9,1404,7450853,2,1,15,0,0,36,0
Torre Grande - Carmesim,0,0,0,1407,1,9,1404,7450848,2,1,15,0,0,37,0
Torre Grande - Noz-moscada,0,0,0,1408,1,9,1404,7450843,2,1,15,0,0,9,0
Torre Grande - Floresta,0,0,0,1409,1,9,1404,7450838,2,1,15,0,0,21,0
Luzerna Quadrada - Oceano,0,0,0,1410,1,9,0,7450799,2,1,14,0,0,8,0
Luzerna Quadrada - Mostarda,0,0,0,1411,1,9,1410,7450837,2,1,14,0,0,44,0
Luzerna Quadrada - Violeta,0,0,0,1412,1,9,1410,7450833,2,1,14,0,0,36,0
Luzerna Quadrada - Carmesim,0,0,0,1413,1,9,1410,7450829,2,1,14,0,0,37,0
Luzerna Quadrada - Noz-moscada,0,0,0,1414,1,9,1410,7450826,2,1,14,0,0,9,0
Luzerna Quadrada - Floresta,0,0,0,1415,1,9,1410,7450823,2,1,14,0,0,21,0
Chaminé Simples,0,0,0,1416,1,9,0,7118950,3,1,16,0,0,0,0
Janela com Veneziana,0,0,0,1417,1,9,0,7448532,2,1,12,0,0,0,0
Janela Simples,0,0,0,1418,1,9,0,7118944,3,1,12,0,0,0,0
Entrada Quadrada - Oceano,-3.0145,0.0317,1.9748,1419,1,9,0,7450798,2,1,11,0,602702,8,0
Entrada Quadrada - Mostarda,-3.0145,0.0317,1.9748,1420,1,9,1419,7450819,2,1,11,0,602702,44,0
Entrada Quadrada - Violeta,-3.0145,0.0317,1.9748,1421,1,9,1419,7450816,2,1,11,0,602702,36,0
Entrada Quadrada - Carmesim,-3.0145,0.0317,1.9748,1422,1,9,1419,7450813,2,1,11,0,602702,37,0
Entrada Quadrada - Noz-moscada,-3.0145,0.0317,1.9748,1423,1,9,1419,7450810,2,1,11,0,602702,9,0
Entrada Quadrada - Floresta,-3.0145,0.0317,1.9748,1424,1,9,1419,7450806,2,1,11,0,602702,21,0
Entrada Inclinada - Oceano,-3.0059,0.0387,2.0029,1425,1,9,0,7450797,2,1,11,0,602700,8,0
Luzerna Inclinada - Mostarda,-3.0059,0.0387,2.0029,1426,1,9,1425,7450836,2,1,14,0,0,44,0
Luzerna Inclinada - Violeta,-3.0059,0.0387,2.0029,1427,1,9,1425,7450832,2,1,14,0,0,36,0
Luzerna Inclinada - Carmesim,-3.0059,0.0387,2.0029,1428,1,9,1425,7450828,2,1,14,0,0,37,0
Luzerna Inclinada - Noz-moscada,-3.0059,0.0387,2.0029,1429,1,9,1425,7450825,2,1,14,0,0,9,0
Luzerna Inclinada - Floresta,-3.0059,0.0387,2.0029,1430,1,9,1425,7450822,2,1,14,0,0,21,0
Entrada Inclinada - Mostarda,-3.0059,0.0387,2.0029,1431,1,9,1425,7450820,2,1,11,0,602700,44,0
Entrada Inclinada - Violeta,-3.0059,0.0387,2.0029,1432,1,9,1425,7450817,2,1,11,0,602700,36,0
Entrada Inclinada - Carmesim,-3.0059,0.0387,2.0029,1433,1,9,1425,7450814,2,1,11,0,602700,37,0
Entrada Inclinada - Noz-moscada,-3.0059,0.0387,2.0029,1434,1,9,1425,7450811,2,1,11,0,602700,9,0
Entrada Inclinada - Floresta,-3.0059,0.0387,2.0029,1435,1,9,1425,7450808,2,1,11,0,602700,21,0
Janela Larga,0,0,0,1436,1,9,0,7448531,2,1,12,0,0,0,0
Janela Redonda,0,0,0,1437,1,9,0,7118945,2,1,12,0,0,0,0
Torre dos Magos - Oceano,0,0,0,1438,1,9,0,7450796,2,1,15,0,0,8,0
Torre dos Magos - Mostarda,0,0,0,1439,1,9,1438,7450859,2,1,15,0,0,44,0
Torre dos Magos - Violeta,0,0,0,1440,1,9,1438,7450854,2,1,15,0,0,36,0
Torre dos Magos - Carmesim,0,0,0,1441,1,9,1438,7450849,2,1,15,0,0,37,0
Torre dos Magos - Noz-moscada,0,0,0,1442,1,9,1438,7450844,2,1,15,0,0,9,0
Torre dos Magos - Floresta,0,0,0,1443,1,9,1438,7450839,2,1,15,0,0,21,0
Chaminé de Tijolos Alta,0,0,0,1444,1,9,0,7118954,2,1,16,0,0,0,0
Chaminé Coberta,0,0,0,1445,1,9,0,7118953,2,1,16,0,0,0,0
Luzerna Simples - Oceano,0,0,0,1446,1,9,0,7450795,3,1,14,0,0,8,0
Luzerna Simples - Mostarda,0,0,0,1447,1,9,1446,7450835,2,1,14,0,0,44,0
Luzerna Simples - Violeta,0,0,0,1448,1,9,1446,7450830,2,1,14,0,0,36,0
Luzerna Simples - Carmesim,0,0,0,1449,1,9,1446,7450827,2,1,14,0,0,37,0
Luzerna Simples - Noz-moscada,0,0,0,1450,1,9,1446,7450824,2,1,14,0,0,9,0
Luzerna Simples - Floresta,0,0,0,1451,1,9,1446,7450821,2,1,14,0,0,21,0
Chaminé Reforçada,0,0,0,1452,1,9,0,7118952,2,1,16,0,0,0,0
Chaminé de Tijolos Larga,0,0,0,1453,1,9,0,7118951,2,1,16,0,0,0,0
Luzerna Inclinada - Oceano,0,0,0,1454,1,9,0,7450794,2,1,14,0,0,8,0
Telhado Quadrado,0,0,0,1455,4,9,0,7420575,2,1,10,0,0,8,0
Telhado Quadrado,0,0,0,1456,4,9,1455,7420574,2,1,10,0,0,44,0
Telhado Quadrado,0,0,0,1457,4,9,1455,7420578,2,1,10,0,0,36,0
Telhado Quadrado,0,0,0,1458,4,9,1455,7420579,2,1,10,0,0,37,0
Telhado Quadrado,0,0,0,1459,4,9,1455,7420576,2,1,10,0,0,9,0
Telhado Quadrado,0,0,0,1460,4,9,1455,7420577,2,1,10,0,0,21,0
Telhado Inclinado,0,0,0,1461,4,9,0,7420568,2,1,10,0,0,8,0
Telhado Inclinado,0,0,0,1462,4,9,1461,7420573,2,1,10,0,0,44,0
Telhado Inclinado,0,0,0,1463,4,9,1461,7420571,2,1,10,0,0,36,0
Telhado Inclinado,0,0,0,1464,4,9,1461,7420572,2,1,10,0,0,37,0
Telhado Inclinado,0,0,0,1465,4,9,1461,7420569,2,1,10,0,0,9,0
Telhado Inclinado,0,0,0,1466,4,9,1461,7420570,2,1,10,0,0,21,0
Telhado Simples,0,0,0,1467,4,9,0,7420563,3,1,10,0,0,8,0
Telhado Simples,0,0,0,1468,4,9,1467,7420562,2,1,10,0,0,44,0
Telhado Simples,0,0,0,1469,4,9,1467,7420566,2,1,10,0,0,36,0
Telhado Simples,0,0,0,1470,4,9,1467,7420567,2,1,10,0,0,37,0
Telhado Simples,0,0,0,1471,4,9,1467,7420564,2,1,10,0,0,9,0
Telhado Simples,0,0,0,1472,4,9,1467,7420565,2,1,10,0,0,21,0
Telhado Quadrado,0,0,0,1473,3,9,0,7420586,2,1,10,0,0,8,0
Telhado Quadrado,0,0,0,1474,3,9,1473,7420599,2,1,10,0,0,44,0
Telhado Quadrado,0,0,0,1475,3,9,1473,7420595,2,1,10,0,0,36,0
Telhado Quadrado,0,0,0,1476,3,9,1473,7420598,2,1,10,0,0,37,0
Telhado Quadrado,0,0,0,1477,3,9,1473,7420589,2,1,10,0,0,9,0
Telhado Quadrado,0,0,0,1478,3,9,1473,7420592,2,1,10,0,0,21,0
Telhado Inclinado,0,0,0,1479,3,9,0,7420585,2,1,10,0,0,8,0
Telhado Inclinado,0,0,0,1480,3,9,1479,7420600,2,1,10,0,0,44,0
Telhado Inclinado,0,0,0,1481,3,9,1479,7420594,2,1,10,0,0,36,0
Telhado Inclinado,0,0,0,1482,3,9,1479,7420597,2,1,10,0,0,37,0
Telhado Inclinado,0,0,0,1483,3,9,1479,7420588,2,1,10,0,0,9,0
Telhado Inclinado,0,0,0,1484,3,9,1479,7420591,2,1,10,0,0,21,0
Telhado Simples,0,0,0,1485,3,9,0,7420584,3,1,10,0,0,8,0
Telhado Simples,0,0,0,1486,3,9,1485,7420601,2,1,10,0,0,44,0
Telhado Simples,0,0,0,1487,3,9,1485,7420593,2,1,10,0,0,36,0
Telhado Simples,0,0,0,1488,3,9,1485,7420596,2,1,10,0,0,37,0
Telhado Simples,0,0,0,1489,3,9,1485,7420587,2,1,10,0,0,9,0
Telhado Simples,0,0,0,1490,3,9,1485,7420590,2,1,10,0,0,21,0
Telhado Quadrado,0,0,0,1491,2,9,0,7420604,2,1,10,0,0,8,0
Telhado Quadrado,0,0,0,1492,2,9,1491,7420617,2,1,10,0,0,44,0
Telhado Quadrado,0,0,0,1493,2,9,1491,7420611,2,1,10,0,0,36,0
Telhado Quadrado,0,0,0,1494,2,9,1491,7420616,2,1,10,0,0,37,0
Telhado Quadrado,0,0,0,1495,2,9,1491,7420605,2,1,10,0,0,9,0
Telhado Quadrado,0,0,0,1496,2,9,1491,7420610,2,1,10,0,0,21,0
Telhado Inclinado,0,0,0,1497,2,9,0,7420603,2,1,10,0,0,8,0
Telhado Inclinado,0,0,0,1498,2,9,1497,7420618,2,1,10,0,0,44,0
Telhado Inclinado,0,0,0,1499,2,9,1497,7420612,2,1,10,0,0,36,0
Telhado Inclinado,0,0,0,1500,2,9,1497,7420615,2,1,10,0,0,37,0
Telhado Inclinado,0,0,0,1501,2,9,1497,7420606,2,1,10,0,0,9,0
Telhado Inclinado,0,0,0,1502,2,9,1497,7420609,2,1,10,0,0,21,0
Telhado Simples,0,0,0,1503,2,9,0,7420602,3,1,10,0,0,8,0
Telhado Simples,0,0,0,1504,2,9,1503,7420619,2,1,10,0,0,44,0
Telhado Simples,0,0,0,1505,2,9,1503,7420613,2,1,10,0,0,36,0
Telhado Simples,0,0,0,1506,2,9,1503,7420614,2,1,10,0,0,37,0
Telhado Simples,0,0,0,1507,2,9,1503,7420607,2,1,10,0,0,9,0
Telhado Simples,0,0,0,1508,2,9,1503,7420608,2,1,10,0,0,21,0
Janela Angulosa - Noz-moscada,0,0,0,2434,1,87,0,7462697,2,2,14,0,0,9,0
Janela Angulosa - Ferrugem,0,0,0,2435,1,87,0,7462696,2,2,14,0,0,32,0
Janela Angulosa - Oceano,0,0,0,2436,1,87,0,7462695,2,2,14,0,0,8,0
Janela Angulosa - Mostarda,0,0,0,2437,1,87,0,7462694,2,2,14,0,0,44,0
Janela Arqueada - Noz-moscada,0,0,0,2438,1,87,0,7462693,2,2,14,0,0,9,0
Janela Arqueada - Ferrugem,0,0,0,2439,1,87,0,7462692,2,2,14,0,0,32,0
Janela Arqueada - Oceano,0,0,0,2440,1,87,0,7462691,2,2,14,0,0,8,0
Janela Arqueada - Mostarda,0,0,0,2441,1,87,0,7462690,2,2,14,0,0,44,0
Janela Angulosa - Floresta,0,0,0,2442,1,87,0,7462689,2,2,14,0,0,21,0
Janela Arqueada - Floresta,0,0,0,2443,1,87,0,7462688,2,2,14,0,0,21,0
Fortificação de Janela de Madeira - Noz-moscada,0,0,0,2444,1,87,0,7462687,2,2,15,0,0,9,0
Fortificação de Janela de Pedra - Noz-moscada,0,0,0,2445,1,87,0,7462686,2,2,15,0,0,9,0
Fortificação Coberta - Noz-moscada,0,0,0,2446,1,87,0,7462685,2,2,15,0,0,9,0
Fortificação de Escotilha - Noz-moscada,0,0,0,2447,1,87,0,7462684,2,2,15,0,0,9,0
Fortificação com Fenda - Noz-moscada,0,0,0,2448,1,87,0,7462683,2,2,15,0,0,9,0
Fortificação de Janela de Madeira - Ferrugem,0,0,0,2449,1,87,0,7462682,2,2,15,0,0,32,0
Fortificação de Janela de Pedra - Ferrugem,0,0,0,2450,1,87,0,7462681,2,2,15,0,0,32,0
Fortificação Coberta - Ferrugem,0,0,0,2451,1,87,0,7462680,2,2,15,0,0,32,0
Fortificação de Escotilha - Ferrugem,0,0,0,2452,1,87,0,7462679,2,2,15,0,0,32,0
Fortificação com Fenda - Ferrugem,0,0,0,2453,1,87,0,7462678,2,2,15,0,0,32,0
Fortificação de Janela de Madeira - Oceano,0,0,0,2454,1,87,0,7462677,2,2,15,0,0,8,0
Fortificação de Janela de Pedra - Oceano,0,0,0,2455,1,87,0,7462676,2,2,15,0,0,8,0
Fortificação Coberta - Oceano,0,0,0,2456,1,87,0,7462675,2,2,15,0,0,8,0
Fortificação de Escotilha - Oceano,0,0,0,2457,1,87,0,7462674,2,2,15,0,0,8,0
Fortificação com Fenda - Oceano,0,0,0,2458,1,87,0,7462673,2,2,15,0,0,8,0
Fortificação de Janela de Madeira - Mostarda,0,0,0,2459,1,87,0,7462672,2,2,15,0,0,44,0
Fortificação de Janela de Pedra - Mostarda,0,0,0,2460,1,87,0,7462671,2,2,15,0,0,44,0
Fortificação Coberta - Mostarda,0,0,0,2461,1,87,0,7462670,2,2,15,0,0,44,0
Fortificação de Escotilha - Mostarda,0,0,0,2462,1,87,0,7462669,2,2,15,0,0,44,0
Fortificação com Fenda - Mostarda,0,0,0,2463,1,87,0,7462668,2,2,15,0,0,44,0
Fortificação de Janela de Madeira - Floresta,0,0,0,2464,1,87,0,7462667,2,2,15,0,0,21,0
Fortificação de Janela de Pedra - Floresta,0,0,0,2465,1,87,0,7462666,2,2,15,0,0,21,0
Fortificação Coberta - Floresta,0,0,0,2466,1,87,0,7462665,2,2,15,0,0,21,0
Fortificação de Escotilha - Floresta,0,0,0,2467,1,87,0,7462664,2,2,15,0,0,21,0
Fortificação com Fenda - Floresta,0,0,0,2468,1,87,0,7462663,2,2,15,0,0,21,0
Telhado de Placas,0,0,0,2470,2,87,3805,7460533,2,2,10,0,0,9,0
Telhado de Placas,0,0,0,2471,2,87,3805,7460522,2,2,10,0,0,32,0
Telhado de Placas,0,0,0,2472,2,87,3805,7460513,2,2,10,0,0,8,0
Telhado de Placas,0,0,0,2473,2,87,3805,7460504,2,2,10,0,0,44,0
Telhado de Placas,0,0,0,2474,2,87,3805,7460495,2,2,10,0,0,21,0
Telhado com Fenda,0,0,0,2476,2,87,3811,7460531,2,2,10,0,0,9,0
Telhado com Fenda,0,0,0,2477,2,87,3811,7460520,2,2,10,0,0,32,0
Telhado com Fenda,0,0,0,2478,2,87,3811,7460511,2,2,10,0,0,8,0
Telhado com Fenda,0,0,0,2479,2,87,3811,7460502,2,2,10,0,0,44,0
Telhado com Fenda,0,0,0,2480,2,87,3811,7460493,2,2,10,0,0,21,0
Telhado de Pelego,0,0,0,2482,2,87,3817,7460532,2,2,10,0,0,9,0
Telhado de Pelego,0,0,0,2483,2,87,3817,7460521,2,2,10,0,0,32,0
Telhado de Pelego,0,0,0,2484,2,87,3817,7460512,2,2,10,0,0,8,0
Telhado de Pelego,0,0,0,2485,2,87,3817,7460503,2,2,10,0,0,44,0
Telhado de Pelego,0,0,0,2486,2,87,3817,7460494,2,2,10,0,0,21,0
Telhado de Placas,0,0,0,2488,4,87,3823,7460525,2,2,10,0,0,9,0
Telhado de Placas,0,0,0,2489,4,87,3823,7460516,2,2,10,0,0,32,0
Telhado de Placas,0,0,0,2490,4,87,3823,7460507,2,2,10,0,0,8,0
Telhado de Placas,0,0,0,2491,4,87,3823,7460498,2,2,10,0,0,44,0
Telhado de Placas,0,0,0,2492,4,87,3823,7460489,2,2,10,0,0,21,0
Telhado de Placas,0,0,0,2494,3,87,3829,7460529,2,2,10,0,0,9,0
Telhado de Placas,0,0,0,2495,3,87,3829,7460519,2,2,10,0,0,32,0
