Name_lang,ID,SecondaryID,Flags,ChrRacesID,Sex,ChrModelID,OrderIndex,ChrCustomizationCategoryID,OptionType,BarberShopCostModifier,ChrCustomizationID,Requirement,SecondaryOrderIndex,AddedInPatch
Chifres,137,135,0,11,1,22,5,2,0,0,23,0,5,90001
Cor da Pele,138,136,18,12,0,23,1,2,0,0,1,0,1,90001
Rosto,139,137,0,12,0,23,2,2,0,0,2,0,2,90001
Estilo do Cabelo,140,138,0,12,0,23,3,4,0,0,3,0,3,90001
Cor do Cabelo,141,139,2,12,0,23,4,4,0,0,4,0,4,90001
Estilo do Cabelo,142,140,0,12,1,24,1,4,0,0,3,0,1,90001
Cor do Cabelo,143,141,2,12,1,24,2,4,0,0,4,0,2,90001
Cor da Pele,144,142,18,13,0,25,1,2,0,0,1,0,1,90001
Estilo do Cabelo,145,143,0,13,0,25,2,4,0,0,3,0,2,90001
Cor do Cabelo,146,144,2,13,0,25,3,4,0,0,4,0,3,90001
Cor da Pele,147,145,18,13,1,26,1,2,0,0,1,0,1,90001
Estilo do Cabelo,148,146,0,13,1,26,2,4,0,0,3,0,2,90001
Cor do Cabelo,149,147,2,13,1,26,3,4,0,0,4,0,3,90001
Cor da Pele,150,148,18,14,0,27,1,2,0,0,1,0,1,90001
Rosto,151,149,0,14,0,27,2,2,0,0,2,0,2,90001
Estilo do Cabelo,152,150,0,14,0,27,3,4,0,0,3,0,3,90001
Cor do Cabelo,153,151,2,14,0,27,4,4,0,0,4,0,4,90001
Estilo do Cabelo,154,152,0,14,1,28,1,4,0,0,3,0,1,90001
Cor do Cabelo,155,153,2,14,1,28,2,4,0,0,4,0,2,90001
Cor da Pele,156,154,18,15,0,29,1,2,0,0,1,0,1,90001
Rosto,157,155,0,15,0,29,2,2,0,0,2,0,2,90001
Estilo do Cabelo,158,156,0,15,0,29,3,4,0,0,3,0,3,90001
Cor do Cabelo,159,157,2,15,0,29,4,4,0,0,4,0,4,90001
Estilo do Cabelo,160,158,0,15,1,30,1,4,0,0,3,0,1,90001
Cor do Cabelo,161,159,2,15,1,30,2,4,0,0,4,0,2,90001
Cor da Pele,162,160,18,16,0,31,1,2,0,0,1,0,1,90001
Rosto,163,161,0,16,0,31,2,2,0,0,2,0,2,90001
Estilo do Cabelo,164,162,0,16,0,31,3,4,0,0,3,0,3,90001
Cor do Cabelo,165,163,2,16,0,31,4,4,0,0,4,0,4,90001
Pelos Faciais,166,164,0,16,0,31,5,4,0,0,5,0,5,90001
Estilo do Cabelo,167,165,0,16,1,32,1,4,0,0,3,0,1,90001
Cor do Cabelo,168,166,2,16,1,32,2,4,0,0,4,0,2,90001
Cor da Pele,169,167,18,17,0,33,1,2,0,0,1,0,1,90001
Rosto,170,168,0,17,0,33,2,2,0,0,2,0,2,90001
Estilo do Cabelo,171,169,0,17,0,33,3,4,0,0,3,0,3,90001
Cor do Cabelo,172,170,2,17,0,33,4,4,0,0,4,0,4,90001
Pelos Faciais,173,171,0,17,0,33,5,4,0,0,5,0,5,90001
Estilo do Cabelo,174,172,0,17,1,34,1,4,0,0,3,0,1,90001
Cor do Cabelo,175,173,2,17,1,34,2,4,0,0,4,0,2,90001
Cor da Pele,176,174,18,18,0,35,1,2,0,0,1,0,1,90001
Rosto,177,175,0,18,0,35,2,2,0,0,2,0,2,90001
Estilo do Cabelo,178,176,0,18,0,35,3,4,0,0,3,0,3,90001
Cor do Cabelo,179,177,2,18,0,35,4,4,0,0,4,0,4,90001
Pelos Faciais,180,178,0,18,0,35,5,4,0,0,5,0,5,90001
Estilo do Cabelo,181,179,0,18,1,36,1,4,0,0,3,0,1,90001
Cor do Cabelo,182,180,2,18,1,36,2,4,0,0,4,0,2,90001
Cor da Pele,183,181,18,19,0,37,1,2,0,0,1,0,1,90001
Rosto,184,182,0,19,0,37,2,2,0,0,2,0,2,90001
Estilo do Cabelo,185,183,0,19,0,37,3,4,0,0,3,0,3,90001
Cor do Cabelo,186,184,2,19,0,37,4,4,0,0,4,0,4,90001
Pelos Faciais,187,185,0,19,0,37,5,4,0,0,5,0,5,90001
Estilo do Cabelo,188,186,0,19,1,38,1,4,0,0,3,0,1,90001
Cor do Cabelo,189,187,2,19,1,38,2,4,0,0,4,0,2,90001
Cor da Pele,190,188,18,20,0,39,1,2,0,0,1,0,1,90001
Estilo do Cabelo,191,189,0,20,0,39,2,4,0,0,3,0,2,90001
Cor do Cabelo,192,190,2,20,0,39,3,4,0,0,4,0,3,90001
Pelos Faciais,193,191,0,20,0,39,4,4,0,0,5,0,4,90001
Estilo do Cabelo,194,192,0,20,1,40,2,4,0,0,3,0,2,90001
Cor do Cabelo,195,193,2,20,1,40,3,4,0,0,4,0,3,90001
Cor da Pele,196,194,16,21,0,41,1,2,0,0,1,0,1,90001
Rosto,197,195,0,21,0,41,2,2,0,0,2,0,2,90001
Estilo do Cabelo,198,196,0,21,0,41,3,4,0,0,3,0,3,90001
Cor do Cabelo,199,197,2,21,0,41,4,4,0,0,4,0,4,90001
Pelos Faciais,200,198,0,21,0,41,5,4,0,0,5,0,5,90001
Estilo do Cabelo,201,199,0,21,1,42,1,4,0,0,3,0,1,90001
Cor do Cabelo,202,200,2,21,1,42,2,4,0,0,4,0,2,90001
Cor do Pelo,203,201,66,22,0,43,2,20,0,0,1,0,1,90001
Rosto,204,202,128,22,0,43,1,20,0,0,2,0,2,90001
Estilo do Cabelo,205,203,0,22,0,43,3,20,0,0,3,0,3,90001
Pelos Faciais,207,205,0,22,0,43,4,20,0,0,5,0,4,90001
Cor do Pelo,208,206,66,22,1,44,2,20,0,0,1,0,1,90001
Rosto,209,207,128,22,1,44,1,20,0,0,2,0,2,90001
Estilo do Cabelo,210,208,0,22,1,44,3,20,0,0,3,0,3,90001
Orelhas,212,210,8,22,1,44,5,20,0,0,22,0,5,90001
Cor da Pele,213,211,18,23,0,45,2,2,0,0,1,0,2,90001
Rosto,214,212,0,23,0,45,1,2,0,0,2,0,1,90001
Estilo do Cabelo,215,213,0,23,0,45,3,2,0,0,3,0,3,90001
Cor do Cabelo,216,214,2,23,0,45,4,2,0,0,4,0,4,90001
Pelos Faciais,217,215,0,23,0,45,5,2,0,0,5,0,5,90001
Cor da Pele,218,216,18,23,1,46,2,2,0,0,1,0,2,90001
Rosto,219,217,0,23,1,46,1,2,0,0,2,0,1,90001
Estilo do Cabelo,220,218,0,23,1,46,3,2,0,0,3,0,3,90001
Cor do Cabelo,221,219,2,23,1,46,4,2,0,0,4,0,4,90001
Estilo do Cabelo,230,227,8,24,1,48,3,14,0,0,3,0,3,90001
Cor do Cabelo,231,228,2,24,1,48,4,14,0,0,4,0,4,90001
Brincos,232,229,8,24,1,48,6,14,0,0,26,0,7,90001
Cor da Pele,233,230,16,27,0,53,2,2,0,0,1,0,1,90001
Rosto,234,231,0,27,0,53,1,2,0,0,2,0,2,90001
Estilo do Cabelo,235,232,0,27,0,53,3,2,0,0,3,0,3,90001
Cor do Cabelo,236,233,2,27,0,53,4,2,0,0,4,0,4,90001
Brincos,237,234,8,27,0,53,5,3,0,0,44,0,22,90001
Cor da Pele,239,236,16,27,1,54,2,2,0,0,1,0,1,90001
Rosto,240,237,0,27,1,54,1,2,0,0,2,0,2,90001
Estilo do Cabelo,241,238,0,27,1,54,3,2,0,0,3,0,3,90001
Cor do Cabelo,242,239,2,27,1,54,4,2,0,0,4,0,4,90001
Brincos,243,240,8,27,1,54,5,3,0,0,43,0,22,90001
Estilo do Chifre,247,244,0,28,0,55,3,3,0,0,39,0,19,90001
Marcas no Chifre,248,245,2,28,0,55,4,3,1,0,40,0,21,90001
Estilo do Chifre,254,250,0,28,1,56,5,3,0,0,39,0,20,90001
Marcas no Chifre,255,251,2,28,1,56,6,3,1,0,40,0,22,90001
Cabelo,256,252,0,28,1,56,3,2,0,0,38,0,4,90001
Cor da Pele,259,254,80,29,0,57,2,2,0,0,1,0,1,90001
Rosto,260,255,128,29,0,57,1,2,0,0,2,0,2,90001
Estilo do Cabelo,261,256,0,29,0,57,3,2,0,0,3,0,3,90001
Cor do Cabelo,262,257,2,29,0,57,4,2,0,0,4,0,4,90001
Pelos Faciais,263,258,0,29,0,57,5,2,0,0,5,0,5,90001
Cor da Pele,264,259,80,29,1,58,2,2,0,0,1,0,1,90001
Rosto,265,260,128,29,1,58,1,2,0,0,2,0,2,90001
Estilo do Cabelo,266,261,0,29,1,58,3,2,0,0,3,0,3,90001
Cor do Cabelo,267,262,2,29,1,58,4,2,0,0,4,0,4,90001
Brincos,268,263,8,29,1,58,6,2,0,0,41,0,7,90001
Cor da Pele,269,264,16,30,0,59,2,2,0,0,1,0,1,90001
Rosto,270,265,0,30,0,59,1,2,0,0,2,0,2,90001
Estilo do Cabelo,271,266,0,30,0,59,3,2,0,0,3,0,3,90001
Cor do Cabelo,272,267,2,30,0,59,4,2,0,0,4,0,4,90001
Pelos Faciais,273,268,0,30,0,59,5,2,0,0,5,0,5,90001
Runa,275,270,8,30,0,59,8,2,0,0,25,0,6,90001
Cor da Pele,276,271,16,30,1,60,2,2,0,0,1,0,1,90001
Rosto,277,272,0,30,1,60,1,2,0,0,2,0,2,90001
Estilo do Cabelo,278,273,0,30,1,60,3,2,0,0,3,0,3,90001
Cor do Cabelo,279,274,2,30,1,60,4,2,0,0,4,0,4,90001
Chifres,280,275,0,30,1,60,5,2,0,0,24,0,5,90001
Runa,282,277,8,30,1,60,7,3,0,0,25,0,21,90001
Cor da Pele,283,278,16,31,0,61,2,2,0,0,1,0,1,90001
Rosto,284,279,0,31,0,61,1,2,0,0,2,0,2,90001
Estilo do Cabelo,285,280,0,31,0,61,3,2,0,0,3,0,3,90001
Cor do Cabelo,286,281,2,31,0,61,4,2,0,0,4,0,4,90001
Presas,288,283,0,31,0,61,6,2,0,0,29,0,10,90001
Piercings,289,284,8,31,0,61,7,3,0,0,30,0,20,90001
Cor da Pele,290,285,16,31,1,62,2,2,0,0,1,0,1,90001
Rosto,291,286,0,31,1,62,1,2,0,0,2,0,2,90001
Estilo do Cabelo,292,287,0,31,1,62,3,2,0,0,3,0,3,90001
Cor do Cabelo,293,288,2,31,1,62,4,2,0,0,4,0,4,90001
Alargador,294,289,8,31,1,62,11,3,0,0,30,0,11,90001
Presas,296,291,0,31,1,62,5,2,0,0,29,0,8,90001
Brincos,297,292,8,31,1,62,10,3,1,0,31,0,10,90001
Cor da Pele,298,293,16,32,0,63,2,2,0,0,1,0,1,90001
Rosto,299,294,0,32,0,63,1,2,0,0,2,0,2,90001
Estilo do Cabelo,300,295,0,32,0,63,3,2,0,0,3,0,3,90001
Cor do Cabelo,301,296,2,32,0,63,4,2,0,0,4,0,4,90001
Barba,302,297,8,32,0,63,6,2,0,0,5,0,6,90001
Cor da Pele,303,298,16,32,1,64,2,2,0,0,1,0,1,90001
Rosto,304,299,0,32,1,64,1,2,0,0,2,0,2,90001
Estilo do Cabelo,305,300,0,32,1,64,3,2,0,0,3,0,3,90001
Cor do Cabelo,306,301,2,32,1,64,4,2,0,0,4,0,4,90001
Brincos,308,303,8,32,1,64,6,23,0,0,155,0,7,90001
Colar,309,304,8,32,1,64,7,23,0,0,156,0,8,90001
Cor da Pele,310,305,18,33,0,65,1,2,0,0,1,0,1,90001
Rosto,311,306,0,33,0,65,2,2,0,0,2,0,2,90001
Estilo do Cabelo,312,307,0,33,0,65,3,4,0,0,3,0,3,90001
Cor do Cabelo,313,308,2,33,0,65,4,4,0,0,4,0,4,90001
Pelos Faciais,314,309,0,33,0,65,5,4,0,0,5,0,5,90001
Cor da Pele,315,310,18,33,1,66,1,2,0,0,1,0,1,90001
Cor do Cabelo,316,311,2,33,1,66,2,4,0,0,4,0,2,90001
Pelos Faciais,317,312,0,33,1,66,3,4,0,0,5,0,3,90001
Cor da Pele,318,313,16,34,0,67,2,16,0,0,1,0,1,90001
Rosto,319,314,0,34,0,67,1,16,0,0,2,0,2,90001
Estilo do Cabelo,320,315,0,34,0,67,3,16,0,0,3,0,3,90001
Cor do Cabelo,321,316,2,34,0,67,4,16,0,0,4,0,4,90001
Pelos Faciais,322,317,0,34,0,67,5,16,0,0,5,0,5,90001
Tatuagem,324,319,8,34,0,67,6,16,0,0,47,0,6,90001
Cor da Pele,325,320,16,34,1,68,2,2,0,0,1,0,1,90001
Rosto,326,321,0,34,1,68,1,2,0,0,2,0,2,90001
Estilo do Cabelo,327,322,0,34,1,68,3,2,0,0,3,0,3,90001
Cor do Cabelo,328,323,2,34,1,68,4,2,0,0,4,0,4,90001
Cor do Pelo,331,326,16,35,0,69,2,2,0,0,162,0,1,90001
Orelhas,336,329,8,35,0,69,4,2,0,0,161,0,4,90001
Focinho,338,331,8,35,0,69,6,2,0,0,160,0,6,90001
Cor do Pelo,339,332,16,35,1,70,2,2,0,0,162,0,1,90001
Orelhas,344,335,8,35,1,70,4,2,0,0,161,0,4,90001
Focinho,346,337,8,35,1,70,6,2,0,0,160,0,6,90001
Cor da Pele,347,338,16,36,0,71,2,15,0,0,50,0,1,90001
Estilo do Cabelo,350,340,0,36,0,71,3,15,0,0,3,0,3,90001
Cor do Cabelo,351,341,2,36,0,71,4,15,0,0,4,0,4,90001
Barba,352,342,0,36,0,71,5,15,0,0,5,0,5,90001
Curvado,353,343,40,36,0,71,30,1,1,0,49,0,30,90001
Cor da Pele,354,344,16,36,1,72,2,15,0,0,50,0,1,90001
Estilo do Cabelo,357,346,0,36,1,72,3,15,0,0,3,0,3,90001
Cor do Cabelo,358,347,2,36,1,72,4,15,0,0,4,0,4,90001
Cor da Pele,360,349,80,37,0,73,2,2,0,0,1,0,1,90001
Rosto,361,350,128,37,0,73,1,2,0,0,2,0,2,90001
Estilo do Cabelo,362,351,0,37,0,73,3,2,0,0,3,0,3,90001
Cor do Cabelo,363,352,2,37,0,73,4,2,0,0,4,0,4,90001
Pelos Faciais,364,353,0,37,0,73,5,2,0,0,5,0,5,90001
Braço Mecânico,366,355,0,37,0,73,10,1,0,0,157,0,10,90001
Perna Mecânica,367,356,0,37,0,73,11,1,1,0,158,0,11,90001
Cor da Pele,368,357,80,37,1,74,2,2,0,0,1,0,1,90001
Rosto,369,358,128,37,1,74,1,2,0,0,2,0,2,90001
Estilo do Cabelo,370,359,0,37,1,74,3,2,0,0,3,0,3,90001
Cor do Cabelo,371,360,2,37,1,74,4,2,0,0,4,0,4,90001
Braço Mecânico,374,362,0,37,1,74,10,1,0,0,157,0,10,90001
Perna Mecânica,375,363,0,37,1,74,11,1,1,0,158,0,11,90001
Tatuagem,376,45,41,4,0,7,31,5,0,0,6,0,31,90001
Tatuagem,377,54,41,4,1,8,23,5,0,0,6,0,23,90001
Rosto,378,69,128,6,0,11,1,18,0,0,177,0,2,90001
Rosto,379,74,128,6,1,12,1,18,0,0,177,0,2,90001
Tatuagem,380,113,9,10,0,19,11,5,0,0,34,0,11,90001
Tatuagem,381,122,9,10,1,20,23,5,0,0,34,0,23,90001
Piercings,382,220,8,23,1,46,5,3,0,0,180,0,5,90001
Cor da Pele,383,221,16,24,0,47,2,14,0,0,171,0,1,90001
Rosto,384,222,0,24,0,47,1,14,0,0,179,0,2,90001
Estilo do Cabelo,385,223,0,24,0,47,3,14,0,0,173,0,3,90001
Barba,386,224,0,24,0,47,5,14,0,0,172,0,5,90001
Cor da Pele,387,225,16,24,1,48,2,14,0,0,171,0,1,90001
Rosto,388,226,0,24,1,48,1,14,0,0,179,0,2,90001
Tatuagem no Corpo,389,235,9,27,0,53,6,1,0,0,42,0,30,90001
Tatuagem no Corpo,390,241,9,27,1,54,6,1,0,0,42,0,30,90001
Cor da Pele,391,242,16,28,0,55,2,2,0,0,169,0,1,90001
Rosto,392,243,0,28,0,55,1,2,0,0,178,0,2,90001
Barba,393,246,0,28,0,55,5,2,0,0,170,0,6,90001
Cor da Pintura Corporal,394,247,11,28,0,55,9,1,0,0,37,0,31,90001
Cor da Pele,395,248,16,28,1,56,2,2,0,0,169,0,1,90001
Rosto,396,249,0,28,1,56,1,2,0,0,178,0,2,90001
Cor da Pintura Corporal,397,253,11,28,1,56,10,1,0,0,37,0,31,90001
Tatuagem,398,269,9,30,0,59,6,1,0,0,36,0,30,90001
Tatuagem,399,276,9,30,1,60,6,1,0,0,36,0,30,90001
Tatuagem,400,282,9,31,0,61,5,5,0,0,32,0,5,90001
Tatuagem,401,290,9,31,1,62,20,5,0,0,32,0,20,90001
Piercings,403,318,8,34,0,67,7,16,0,0,52,0,7,90001
Piercings,404,324,8,34,1,68,6,2,0,0,167,0,6,90001
Tatuagens,405,325,8,34,1,68,5,2,0,0,48,0,5,90001
Rosto,406,327,0,35,0,69,1,2,0,0,176,0,2,90001
Estilo do Cabelo,407,328,0,35,0,69,3,2,0,0,174,0,3,90001
Padrão,408,330,9,35,0,69,20,1,0,0,153,0,20,90001
Rosto,409,333,0,35,1,70,1,2,0,0,176,0,2,90001
Estilo do Cabelo,410,334,0,35,1,70,3,2,0,0,174,0,3,90001
Padrão,411,336,9,35,1,70,5,1,0,0,153,0,5,90001
Rosto,412,339,0,36,0,71,1,15,0,0,175,0,2,90001
Rosto,413,345,0,36,1,72,1,15,0,0,175,0,2,90001
Brincos,414,348,8,36,1,72,6,34,0,0,166,0,20,90001
Modificação,415,354,0,37,0,73,6,2,0,0,159,0,6,90001
Modificação,416,361,0,37,1,74,5,2,0,0,159,0,5,90001
Cor dos Olhos,463,364,2,1,0,1,11,3,0,0,2,0,11,90001
Cor dos Olhos,464,365,2,1,1,2,5,2,0,0,2,0,8,90001
Piercings,501,366,8,1,1,2,6,3,0,0,10,0,11,90001
Colar,510,367,8,1,1,2,7,3,0,0,10,0,12,90001
Maquiagem,516,368,40,1,1,2,8,3,0,0,2,0,10,90001
Forma do Rosto,525,369,0,1,0,1,8,2,0,0,2,0,3,90001
Forma do Rosto,526,370,0,1,1,2,9,2,0,0,2,0,7,90001
Cor dos Olhos,534,371,2,5,0,9,8,13,0,0,5,0,8,90001
Cor dos Olhos,535,372,2,5,1,10,8,13,0,0,5,0,8,90001
Cor dos Olhos,544,373,2,3,0,5,7,16,0,0,2,0,7,90001
Cor dos Olhos,545,374,2,3,1,6,6,2,0,0,2,0,5,90001
Cor dos Olhos,548,375,2,7,0,13,8,2,0,0,2,0,8,90001
Cor dos Olhos,549,376,2,7,1,14,5,2,0,0,2,0,5,90001
