ID,Name_lang,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,PetFoodMask,PetTalentType,CategoryEnumID,IconFileID,SkillLine[0],SkillLine[1]
100,Diablillo vil,0,0,0.6,1,0,-1,41,0,188,0
101,Señor del vacío,0,0,0.9,1,0,-1,41,0,204,0
102,Shivarra,0,0,0.65,1,0,-1,41,0,205,0
103,Observador,0,0,0.225,1,0,-1,41,0,189,0
104,Guardia de cólera,0,0,0.85,1,0,-1,41,0,761,0
108,Infernal,0,0,0.3,1,0,-1,41,0,206,0
116,Elemental de fuego,1,1,1.01,60,0,-1,48,135790,962,0
117,Elemental de tierra,1,1,1.01,60,0,-1,48,136024,963,0
125,Ave acuática,0.2,1,0.7,50,138,1,49,877479,984,270
126,Zancudo acuático,0.3,1,0.5,50,48,2,50,643423,985,270
127,Roedor,0.6,1,1,50,16,2,51,644001,983,270
128,Sabueso pétreo,0.7,1,1.1,50,195,1,5,625905,986,270
129,Bruscuerno,0.5,1,0.8,50,255,2,52,877477,987,270
130,Basilisco,0.4,1,0.6,50,3,2,53,877476,988,270
138,Cuernoatroz,0.4,1,0.6,50,48,1,54,877480,1305,270
145,Elemental tormenta,1,1,1.01,60,0,-1,48,236154,1748,0
147,Guarda terrorífico,0.64,1,1,60,0,-1,41,0,1981,0
148,Abisal,0,0,1,1,0,-1,41,0,1982,0
150,Bestia del río,0.6,1,0.8,50,56,1,33,1044490,1819,270
151,Venado,0.5,1,0.8,50,60,1,34,1044501,1993,270
154,Mecánico,0.7,1,1,60,256,2,37,132247,2189,270
155,Abominación,0.6,1,0.8,80,0,-1,35,136118,2216,0
156,Pielescama,0.5,1,0.8,50,60,0,38,646378,2280,270
157,Buey,0.5,1,0.8,50,60,1,39,616693,2279,270
160,Crinpluma,0.5,1,0.8,50,255,1,54,929300,2361,270
288,Lagarto,0.5,1,1,50,243,1,0,2027936,2703,270
290,Pterrordáctilo,0.2,1,0.3,50,227,2,0,1624590,2705,270
291,Saltarín,0.3,1,0.6,50,243,1,0,804969,2706,270
292,Caparáceo,0.5,1,0.75,50,65,1,0,2011146,2707,270
296,Bestia de sangre,0.45,1,0.65,50,195,1,14,1687702,2719,270
298,Camello,0.5,1,0.8,50,56,2,52,454771,2807,270
299,Trotador,0.5,1,0.8,50,48,0,38,2143073,2806,270
300,Mamut,0.5,1,0.8,50,60,1,6,132254,2805,270
302,Íncubo,0,0,1,1,0,-1,41,0,205,0
303,Dragonante inferior,0.5,1,0.8,50,195,0,6,797547,2850,270
