ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
19,Calabozos míticos|n|cFFFFD200Combina:|r Ánima de vida concentrada|n|cFFFFD200Botín:|r Jefes finales de calabozos,,5,3,295263,295252,299338,299337
20,"Calabozos Míticos+|n|cFFFFD200Temporada:|r 3 o posterior|n|cFFFFD200Logro:|r ""Maestro de piedra angular de Battle for Azeroth""|n|cFFFFD200Vendedor:|r Taumaturgo Vashreen|n|cFFFFD200Ubicación:|r Mercado Vientos Alisios en Boralus","Calabozos Míticos+|n|cFFFFD200Temporada:|r 3 o posterior|n|cFFFFD200Logro:|r ""Maestro de piedra angular de Battle for Azeroth""|n|cFFFFD200Vendedor:|r Taumaturgo Vashreen|n|cFFFFD200Ubicación:|r Gran Bazar en Dazar'alor",5,4,295264,295253,299338,299337
21,Calabozos míticos|n|cFFFFD200Combina:|r Ánima de vida concentrada|n|cFFFFD200Botín:|r Jefes finales de calabozos,,7,1,294926,294964,294926,294964
22,Calabozos míticos|n|cFFFFD200Combina:|r Ánima de vida concentrada|n|cFFFFD200Botín:|r Jefes finales de calabozos,,7,2,295307,294970,300002,300004
23,"Calabozos Míticos+|n|cFFFFD200Temporada:|r 3 o posterior|n|cFFFFD200Logro:|r ""Maestro de piedra angular de Battle for Azeroth""|n|cFFFFD200Vendedor:|r Taumaturgo Vashreen|n|cFFFFD200Ubicación:|r Mercado Vientos Alisios en Boralus","Calabozos Míticos+|n|cFFFFD200Temporada:|r 3 o posterior|n|cFFFFD200Logro:|r ""Maestro de piedra angular de Battle for Azeroth""|n|cFFFFD200Vendedor:|r Taumaturgo Vashreen|n|cFFFFD200Ubicación:|r Gran Bazar en Dazar'alor",7,4,295306,294972,300003,300005
24,Calabozos míticos|n|cFFFFD200Combina:|r Ánima de vida concentrada|n|cFFFFD200Botín:|r Jefes finales de calabozos,,7,3,294945,294969,300003,300005
29,Mecalópolis|n|cFFFFD200Reputación:|r Resistencia de Pernoxidado - Amistoso|n|cFFFFD200Vendedor:|r Vendebot real robado|n|cFFFFD200Ubicación:|r Pernoxidado|n|cFFFFD200Costo:|r 1 oscilador galvánico y 2 Cajones de piezas de R.E.P.U.E.S.T.O.,,6,1,295337,295293,295337,295293
30,Mecalópolis|n|cFFFFD200Reputación:|r Resistencia de Pernoxidado - Honorable|n|cFFFFD200Vendedor:|r Vendebot real robado|n|cFFFFD200Ubicación:|r Pernoxidado|n|cFFFFD200Costo:|r 5 osciladores galvánicos y 10 Cajones de piezas de R.E.P.U.E.S.T.O.,,6,2,295364,295363,299345,299343
31,Mecalópolis|n|cFFFFD200Reputación:|r Resistencia de Pernoxidado - Venerado|n|cFFFFD200Vendedor:|r Vendebot real robado|n|cFFFFD200Ubicación:|r Pernoxidado|n|cFFFFD200Costo:|r 8 osciladores galvánicos y 20 Cajones de piezas de R.E.P.U.E.S.T.O.,,6,3,295352,295351,299347,299346
32,Mecalópolis|n|cFFFFD200Reputación:|r Suministros de Pernoxidado|n|cFFFFD200Vendedor:|r Vendebot real robado|n|cFFFFD200Ubicación:|r Pernoxidado,,6,4,295358,295333,299347,299346
45,"Dragones Aspectos|n|cFFFFD200Misión:|r ""Escucha siempre a MADRE""|n|cFFFFD200Personaje con misión:|r Magni Barbabronce|n|cFFFFD200Ubicación:|r Cámara del Corazón",,12,1,295373,295365,295373,295365
46,"Dragones Aspectos|n|cFFFFD200Nivel de Corazón:|r 54|n|cFFFFD200Misión:|r ""Sueños en la oscuridad""|n|cFFFFD200Personaje con misión:|r Kalec|n|cFFFFD200Ubicación:|r Cámara del Corazón",,12,2,295377,295372,299349,299348
47,"Dragones Aspectos|n|cFFFFD200Nivel de Corazón:|r 60|n|cFFFFD200Misión:|r ""Investigación de las Tierras Altas""|n|cFFFFD200Personaje con misión:|r Kalec|n|cFFFFD200Ubicación:|r Cámara del Corazón",,12,3,295379,295369,299353,299350
48,"Dragones Aspectos|n|cFFFFD200Nivel de Corazón:|r 70|n|cFFFFD200Misión:|r ""Aporte azul""|n|cFFFFD200Personaje con misión:|r Kalec|n|cFFFFD200Ubicación:|r Cámara del Corazón",,12,4,295380,295381,299353,299350
49,Mecalópolis|n|cFFFFD200Reputación:|r Resistencia de Pernoxidado - Amistoso|n|cFFFFD200Vendedor:|r Vendebot real robado|n|cFFFFD200Ubicación:|r Pernoxidado|n|cFFFFD200Costo:|r 1 oscilador galvánico y 2 Cajones de piezas de R.E.P.U.E.S.T.O.,,13,1,295746,295750,295746,295750
50,Mecalópolis|n|cFFFFD200Reputación:|r Resistencia de Pernoxidado - Honorable|n|cFFFFD200Vendedor:|r Vendebot real robado|n|cFFFFD200Ubicación:|r Pernoxidado|n|cFFFFD200Costo:|r 5 osciladores galvánicos y 10 Cajones de piezas de R.E.P.U.E.S.T.O.,,13,2,295747,295844,300015,300018
51,Mecalópolis|n|cFFFFD200Reputación:|r Resistencia de Pernoxidado - Venerado|n|cFFFFD200Vendedor:|r Vendebot real robado|n|cFFFFD200Ubicación:|r Pernoxidado|n|cFFFFD200Costo:|r 8 osciladores galvánicos y 20 Cajones de piezas de R.E.P.U.E.S.T.O.,,13,3,295748,295846,300016,300020
52,Mecalópolis|n|cFFFFD200Reputación:|r Suministros de Pernoxidado|n|cFFFFD200Vendedor:|r Vendebot real robado|n|cFFFFD200Ubicación:|r Pernoxidado,,13,4,295749,295845,300016,300020
53,"Banda El Palacio Eterno|n|cFFFFD200Combina:|r Relicario acuoso|n|cFFFFD200Botín:|r Radiancia de Azshara, La corte de la reina o Reina Azshara",,14,1,295840,295834,295840,295834
54,"Banda El Palacio Eterno|n|cFFFFD200Combina:|r Relicario acuoso|n|cFFFFD200Botín:|r Radiancia de Azshara, La corte de la reina o Reina Azshara",,14,2,295841,295836,299355,299354
55,"Banda El Palacio Eterno|n|cFFFFD200Combina:|r Relicario acuoso|n|cFFFFD200Botín:|r Radiancia de Azshara, La corte de la reina o Reina Azshara",,14,3,295843,295837,299358,299357
56,Banda El Palacio Eterno|n|cFFFFD200Botín:|r Reina Azshara - Mítico,,14,4,295892,295839,299358,299357
57,"Modo de guerra|n|cFFFFD200Misión:|r ""Ahogando a la Horda""|n|cFFFFD200Personaje con misión:|r Crafticus Dominomente|n|cFFFFD200Ubicación:|r Mezzamere","Modo de guerra|n|cFFFFD200Misión:|r ""Ahogando a la Alianza""|n|cFFFFD200Personaje con misión:|r Dazzerian|n|cFFFFD200Ubicación:|r Nuevogar",15,1,302731,302916,302731,302916
58,"Modo de guerra|n|cFFFFD200Logro:|r ""Combate en dos frentes""|n|cFFFFD200Vendedor:|r Crafticus Dominomente|n|cFFFFD200Ubicación:|r Mezzamere|n|cFFFFD200Costo:|r 20 Menciones de batalla de Nazjatar","Modo de guerra|n|cFFFFD200Logro:|r ""Combate en dos frentes""|n|cFFFFD200Vendedor:|r Dazzerian|n|cFFFFD200Ubicación:|r Nuevogar|n|cFFFFD200Cost:|r 20 Menciones de batalla de Nazjatar",15,2,302778,302957,302982,302984
59,Modo de guerra|n|cFFFFD200Recoge:|r Distinción de llamamiento a las armas|n|cFFFFD200Misión:|r Llamamiento a las armas semanal|n|cFFFFD200Vendedor:|r Crafticus Dominomente|n|cFFFFD200Ubicación:|r Mezzamere|n|cFFFFD200Costo:|r 10 Distinciones de llamamiento a las armas y 50 Menciones de batalla de Nazjatar,Modo de guerra|n|cFFFFD200Recoge:|r Distinción de llamamiento a las armas|n|cFFFFD200Misión:|r Llamamiento a las armas semanal|n|cFFFFD200Vendedor:|r Dazzerian|n|cFFFFD200Ubicación:|r Nuevogar|n|cFFFFD200Cost:|r 10 Distinciones de llamamiento a las armas y 50 Menciones de batalla de Nazjatar,15,3,302780,302961,302983,302985
60,"Modo de guerra|n|cFFFFD200Logro:|r ""Suministros para asesinos""|n|cFFFFD200Vendedor:|r Crafticus Dominomente|n|cFFFFD200Ubicación:|r Mezzamere","Modo de guerra|n|cFFFFD200Logro:|r ""Suministros para asesinos""|n|cFFFFD200Vendedor:|r Dazzerian|n|cFFFFD200Ubicación:|r Nuevogar",15,4,302910,302962,302983,302985
61,Visiones horribles de N'Zoth|n|cFFFFD200Botín:|r|nCofres malditos de Thrall o Alleria|n|cFFFFD200Ubicación:|r Cámara del Corazón,,16,1,296036,293030,296036,293030
62,Visiones horribles de N'Zoth|n|cFFFFD200Botín:|r|nCofres corruptos de las áreas perdidas|n|cFFFFD200Ubicación:|r Cámara del Corazón,,16,2,296038,296031,310425,310422
63,Visiones horribles de N'Zoth|n|cFFFFD200Combina:|r Chispa de fuerza inquebrantable |n|cFFFFD200Botín:|r|nCofres corruptos de las áreas corruptas y perdidas|n|cFFFFD200Ubicación:|r Cámara del Corazón,,16,3,296104,296032,310442,310426
64,Nazjatar|n|cFFFFD200Reputación:|r Ankoanos - Amistoso|n|cFFFFD200Vendedor:|r Portavoz Utia|n|cFFFFD200Ubicación:|r Mezzamere|n|cFFFFD200Costo:|r 10 Perlas de maná prismáticas,Nazjatar|n|cFFFFD200Reputación:|r Desencadenados - Amistoso|n|cFFFFD200Vendedor:|r Atolia Perlamar|n|cFFFFD200Ubicación:|r Nuevogar|n|cFFFFD200Costo:|r 10 Perlas de maná prismáticas,17,1,296072,296050,296072,296050
65,Nazjatar|n|cFFFFD200Reputación:|r Ankoanos - Honorable|n|cFFFFD200Vendedor:|r Portavoz Utia|n|cFFFFD200Ubicación:|r Mezzamere|n|cFFFFD200Costo:|r 25 Perlas de maná prismáticas,Nazjatar|n|cFFFFD200Reputación:|r Desencadenados - Honorable|n|cFFFFD200Vendedor:|r Atolia Perlamar|n|cFFFFD200Ubicación:|r Nuevogar|n|cFFFFD200Costo:|r 25 Perlas de maná prismáticas,17,2,296074,296067,299875,299878
66,Nazjatar|n|cFFFFD200Reputación:|r Ankoanos - Venerado|n|cFFFFD200Vendedor:|r Portavoz Utia|n|cFFFFD200Ubicación:|r Mezzamere|n|cFFFFD200Costo:|r 50 Perlas de maná prismáticas,Nazjatar|n|cFFFFD200Reputación:|r Desencadenados - Venerado|n|cFFFFD200Vendedor:|r Atolia Perlamar|n|cFFFFD200Ubicación:|r Nuevogar|n|cFFFFD200Costo:|r 50 Perlas de maná prismáticas,17,3,296075,296062,299876,299879
67,"Campos de batalla|n|cFFFFD200Misión:|r ""Asedio de los campos de batalla""|n|cFFFFD200PNJ de entrega:|r Mariscal Gabriel|n|cFFFFD200Ubicación:|r Muelles Aspafresno, Boralus","Campos de batalla|n|cFFFFD200Misión:|r ""Asedio de los campos de batalla""|n|cFFFFD200PNJ de entrega:|r Xander Silberman|n|cFFFFD200Ubicación:|r Mugambala",18,1,296094,296081,296094,296081
68,"Campos de batalla|n|cFFFFD200Logro:|r ""Camorrista del campo de batalla""|n|cFFFFD200Vendedor:|r Mariscal Gabriel|n|cFFFFD200Ubicación:|r Muelles Aspafresno, Boralus|n|cFFFFD200Costo:|r 25 Marcas de Honor","Campos de batalla|n|cFFFFD200Logro:|r ""Camorrista del campo de batalla""|n|cFFFFD200Vendedor:|r Xander Silberman|n|cFFFFD200Ubicación:|r Mugambala|n|cFFFFD200Costo:|r 25 Marcas de Honor",18,2,296102,296091,299882,299885
69,"Campos de batalla|n|cFFFFD200Logro:|r ""Estratega del campo de batalla""|n|cFFFFD200Vendedor:|r Mariscal Gabriel|n|cFFFFD200Ubicación:|r Muelles Aspafresno, Boralus|n|cFFFFD200Costo:|r 25 Marcas de Honor","Campos de batalla|n|cFFFFD200Logro:|r ""Estratega del campo de batalla""|n|cFFFFD200Vendedor:|r Xander Silberman|n|cFFFFD200Ubicación:|r Mugambala|n|cFFFFD200Costo:|r 25 Marcas de Honor",18,3,296103,296089,299883,299887
70,Mecalópolis|n|cFFFFD200Reputación:|r Resistencia de Pernoxidado - Amistoso|n|cFFFFD200Vendedor:|r Vendebot real robado|n|cFFFFD200Ubicación:|r Pernoxidado|n|cFFFFD200Costo:|r 1 oscilador galvánico y 2 Cajones de piezas de R.E.P.U.E.S.T.O.,,19,1,296197,296136,296197,296136
71,Mecalópolis|n|cFFFFD200Reputación:|r Resistencia de Pernoxidado - Honorable|n|cFFFFD200Vendedor:|r Vendebot real robado|n|cFFFFD200Ubicación:|r Pernoxidado|n|cFFFFD200Costo:|r 5 osciladores galvánicos y 10 Cajones de piezas de R.E.P.U.E.S.T.O.,,19,2,296200,296192,299932,299935
72,Mecalópolis|n|cFFFFD200Reputación:|r Resistencia de Pernoxidado - Venerado|n|cFFFFD200Vendedor:|r Vendebot real robado|n|cFFFFD200Ubicación:|r Pernoxidado|n|cFFFFD200Costo:|r 8 osciladores galvánicos y 20 Cajones de piezas de R.E.P.U.E.S.T.O.,,19,3,296201,296193,299933,299936
73,Calabozos míticos|n|cFFFFD200Combina:|r Ánima de vida concentrada|n|cFFFFD200Botín:|r Jefes finales de calabozos,,20,1,293032,296207,293032,296207
74,Calabozos míticos|n|cFFFFD200Combina:|r Ánima de vida concentrada|n|cFFFFD200Botín:|r Jefes finales de calabozos,,20,2,296220,296213,299943,299939
75,Calabozos míticos|n|cFFFFD200Combina:|r Ánima de vida concentrada|n|cFFFFD200Botín:|r Jefes finales de calabozos,,20,3,296221,296214,299944,299940
76,"Banda El Palacio Eterno|n|cFFFFD200Combina:|r Relicario acuoso|n|cFFFFD200Botín:|r Radiancia de Azshara, La corte de la reina o Reina Azshara",,21,1,296230,303448,296230,303448
77,"Banda El Palacio Eterno|n|cFFFFD200Combina:|r Relicario acuoso|n|cFFFFD200Botín:|r Radiancia de Azshara, La corte de la reina o Reina Azshara",,21,2,303472,303463,299958,303474
78,"Banda El Palacio Eterno|n|cFFFFD200Combina:|r Relicario acuoso|n|cFFFFD200Botín:|r Radiancia de Azshara, La corte de la reina o Reina Azshara",,21,3,296232,303460,299959,303476
79,Operación: Mecalópolis|n|cFFFFD200Botín:|r Rey Mecalo,,22,1,296325,296320,296325,296320
80,Operación: Mecalópolis|n|cFFFFD200Chatarrería:|r Plano del diferencial perfectamente sincronizado|n|cFFFFD200Botín:|r Rey Mecalo,,22,2,296326,296321,299368,299367
81,Operación: Mecalópolis|n|cFFFFD200Combina:|r Piñones de progresión|n|cFFFFD200Botín:|r Rey Mecalo,,22,3,303342,296322,299370,299369
82,"Operación: Mecalópolis (Mítico)|n|cFFFFD200Logro:|r ""Corte energético""|n|cFFFFD200Conversación:|r Príncipe Erazmin|n|cFFFFD200Ubicación:|r Pernoxidado",,22,4,296328,296324,299370,299369
83,"Campos de batalla|n|cFFFFD200Misión:|r ""Asedio de los campos de batalla""|n|cFFFFD200PNJ de entrega:|r Mariscal Gabriel|n|cFFFFD200Ubicación:|r Muelles Aspafresno, Boralus","Campos de batalla|n|cFFFFD200Misión:|r ""Asedio de los campos de batalla""|n|cFFFFD200PNJ de entrega:|r Xander Silberman|n|cFFFFD200Ubicación:|r Mugambala",23,1,297108,297147,297108,297147
84,"Campos de batalla|n|cFFFFD200Logro:|r ""Camorrista del campo de batalla""|n|cFFFFD200Vendedor:|r Mariscal Gabriel|n|cFFFFD200Ubicación:|r Muelles Aspafresno, Boralus|n|cFFFFD200Costo:|r 25 Marcas de Honor","Campos de batalla|n|cFFFFD200Logro:|r ""Camorrista del campo de batalla""|n|cFFFFD200Vendedor:|r Xander Silberman|n|cFFFFD200Ubicación:|r Mugambala|n|cFFFFD200Costo:|r 25 Marcas de Honor",23,2,297120,297177,298273,298274
85,"Campos de batalla|n|cFFFFD200Logro:|r ""Estratega del campo de batalla""|n|cFFFFD200Vendedor:|r Mariscal Gabriel|n|cFFFFD200Ubicación:|r Muelles Aspafresno, Boralus|n|cFFFFD200Costo:|r 25 Marcas de Honor","Campos de batalla|n|cFFFFD200Logro:|r ""Estratega del campo de batalla""|n|cFFFFD200Vendedor:|r Xander Silberman|n|cFFFFD200Ubicación:|r Mugambala|n|cFFFFD200Costo:|r 25 Marcas de Honor",23,3,297122,297178,298277,298275
89,"Valle de la Flor Eterna |n|cFFFFD200La primera misión de la serie es:|r|n""Nada es fácil"" |n|cFFFFD200La última misión de la serie es:|r|n""Esperanza renovada""|n|cFFFFD200Personaje con misión:|r Magni Barbabronce|n|cFFFFD200Ubicación:|r Cámara del Corazón",,24,1,297375,297411,297375,297411
90,Valle de la Flor Eterna |n|cFFFFD200Combina:|r Aliento de espíritu eterno |n|cFFFFD200Misión:|r|n Primera “Visión de la oscuridad” de la semana - Diaria |n|cFFFFD200Personaje con misión:|r Agente garfaoscura |n|cFFFFD200Ubicación:|r|nCerca de los portales de Visiones de la oscuridad en Uldum o Valle de la Flor Eterna,,24,2,297546,297542,298309,298302
91,Valle de la Flor Eterna|n|cFFFFD200Reputación:|r Rajani - Venerado|n|cFFFFD200Vendedor:|r Zhang Ku|n|cFFFFD200Ubicación:|r El Santuario Silente|n|cFFFFD200Costo:|r 50 Recuerdos corrompidos,,24,3,297547,297544,298312,298304
96,Nazjatar|n|cFFFFD200Reputación:|r Ankoanos - Amistoso|n|cFFFFD200Vendedor:|r Portavoz Utia|n|cFFFFD200Ubicación:|r Mezzamere|n|cFFFFD200Costo:|r 10 Perlas de maná prismáticas,Nazjatar|n|cFFFFD200Reputación:|r Desencadenados - Amistoso|n|cFFFFD200Vendedor:|r Atolia Perlamar|n|cFFFFD200Ubicación:|r Nuevogar|n|cFFFFD200Costo:|r 10 Perlas de maná prismáticas,25,1,298168,298193,298168,298193
97,Nazjatar|n|cFFFFD200Reputación:|r Ankoanos - Honorable|n|cFFFFD200Vendedor:|r Portavoz Utia|n|cFFFFD200Ubicación:|r Mezzamere|n|cFFFFD200Costo:|r 25 Perlas de maná prismáticas,Nazjatar|n|cFFFFD200Reputación:|r Desencadenados - Honorable|n|cFFFFD200Vendedor:|r Atolia Perlamar|n|cFFFFD200Ubicación:|r Nuevogar|n|cFFFFD200Costo:|r 25 Perlas de maná prismáticas,25,2,298169,298351,299273,299274
98,Nazjatar|n|cFFFFD200Reputación:|r Ankoanos - Venerado|n|cFFFFD200Vendedor:|r Portavoz Utia|n|cFFFFD200Ubicación:|r Mezzamere|n|cFFFFD200Costo:|r 50 Perlas de maná prismáticas,Nazjatar|n|cFFFFD200Reputación:|r Desencadenados - Venerado|n|cFFFFD200Vendedor:|r Atolia Perlamar|n|cFFFFD200Ubicación:|r Nuevogar|n|cFFFFD200Costo:|r 50 Perlas de maná prismáticas,25,3,298174,298352,299275,299277
99,"Campos de batalla|n|cFFFFD200Logro:|r ""Maestro del campo de batalla""|n|cFFFFD200Vendedor:|r Mariscal Gabriel|n|cFFFFD200Ubicación:|r Muelles Aspafresno, Boralus","Campos de batalla|n|cFFFFD200Logro:|r ""Maestro del campo de batalla""|n|cFFFFD200Vendedor:|r Xander Silberman|n|cFFFFD200Ubicación:|r Mugambala",23,4,298182,298183,298277,298275
100,Valle de la Flor Eterna |n|cFFFFD200Reputación:|r Suministros rajani|n|cFFFFD200Vendedor:|r Zhang Ku |n|cFFFFD200Ubicación:|r El Santuario Silente,,24,4,298184,298185,298312,298304
101,Nazjatar|n|cFFFFD200Reputación:|r Suministros de los Ankoanos|n|cFFFFD200Vendedor:|r Portavoz Utia|n|cFFFFD200Ubicación:|r Mezzamere,Nazjatar|n|cFFFFD200Reputación:|r Suministros de los Desencadenados|n|cFFFFD200Vendedora:|r Atolia Perlamar|n|cFFFFD200Ubicación:|r Nuevogar,25,4,298186,298353,299275,299277
102,"Nazjatar|n|cFFFFD200Misión:|r ""Un breve respiro""|n|cFFFFD200Personaje con misión:|r Lady Jaina Valiente|n|cFFFFD200Ubicación:|r Mezzamere","Nazjatar|n|cFFFFD200Misión:|r ""Hacia Nazjatar""|n|cFFFFD200Personaje con misión:|r Lor'themar Theron|n|cFFFFD200Ubicación:|r Nuevogar",27,1,298357,298268,298357,298268
103,"Nazjatar|n|cFFFFD200Misión:|r ""Amigos necesitados""|n|cFFFFD200Personaje con misión:|r Lady Jaina Valiente|n|cFFFFD200Ubicación:|r Mezzamere","Nazjatar|n|cFFFFD200Misión:|r ""Un problema menos""|n|cFFFFD200Personaje con misión:|r Lor'themar The'ron|n|cFFFFD200Ubicación:|r Nuevogar",27,2,298376,298337,299372,299371
104,"Nazjatar|n|cFFFFD200Logro:|r ""Entrenamiento náutico de batalla""|n|cFFFFD200Vendedor:|r Portavoz Utia|n|cFFFFD200Ubicación:|r Mezzamere|n|cFFFFD200Costo:|r 50 Perlas de maná prismáticas","Nazjatar|n|cFFFFD200Logro:|r ""Entrenamiento náutico de batalla""|n|cFFFFD200Vendedor:|r Atolia Perlamar|n|cFFFFD200Ubicación:|r Nuevogar|n|cFFFFD200Costo:|r 50 Perlas de maná prismáticas",27,3,298377,298339,299374,299373
105,"Nazjatar|n|cFFFFD200Logro:|r ""Guardianes de la galaxia submarina""|n|cFFFFD200Vendedor:|r Portavoz Utia|n|cFFFFD200Ubicación:|r Mezzamere","Nazjatar|n|cFFFFD200Logro:|r ""Guardianes de la galaxia submarina""|n|cFFFFD200Vendedora:|r Atolia Perlamar|n|cFFFFD200Ubicación:|r Nuevogar",27,4,298405,298404,299374,299373
106,Nazjatar|n|cFFFFD200Reputación:|r Ankoanos - Amistoso|n|cFFFFD200Vendedor:|r Portavoz Utia|n|cFFFFD200Ubicación:|r Mezzamere|n|cFFFFD200Costo:|r 10 Perlas de maná prismáticas,Nazjatar|n|cFFFFD200Reputación:|r Desencadenados - Amistoso|n|cFFFFD200Vendedor:|r Atolia Perlamar|n|cFFFFD200Ubicación:|r Nuevogar|n|cFFFFD200Costo:|r 10 Perlas de maná prismáticas,28,1,298452,298407,298452,298407
107,Nazjatar|n|cFFFFD200Reputación:|r Ankoanos - Honorable|n|cFFFFD200Vendedor:|r Portavoz Utia|n|cFFFFD200Ubicación:|r Mezzamere|n|cFFFFD200Costo:|r 25 Perlas de maná prismáticas,Nazjatar|n|cFFFFD200Reputación:|r Desencadenados - Honorable|n|cFFFFD200Vendedor:|r Atolia Perlamar|n|cFFFFD200Ubicación:|r Nuevogar|n|cFFFFD200Costo:|r 25 Perlas de maná prismáticas,28,2,298455,298448,299376,299375
