Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
DKK,%s kr.,%s kr.,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",42,208,16,836
ILS,%s ILS,%s ILS,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",43,376,16,836
NOK,%s kr,%s kr,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",44,578,16,836
PLN,%s zł,%s zł,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",45,985,16,836
QAR,%s QAR,%s QAR,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",46,634,16,836
RSD,%s din,%s din,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",47,941,16,836
SAR,%s SAR,%s SAR,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",48,682,16,836
SEK,%s kr,%s kr,"Нажимая кнопку ""Оплатить"", вы принимаете |HurlIndex:16|h|cff71d5ffусловия продажи|r|h, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.",49,752,16,836
CRC,%s CRC,%s CRC,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",50,188,16,833
IDR,%s Rp,%s Rp,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",51,360,16,833
INR,%s INR,%s INR,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",52,356,16,833
MYR,%s RM,%s RM,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",53,458,16,833
THB,%s THB,%s THB,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",54,764,16,833
UYU,%s $U,%s $U ,"Подтверждение: нажимая расположенную ниже кнопку ""Приобрести"", вы подтверждаете то, что прочитали и согласились с |HurlIndex:14|h|cff71d5ffусловиями продажи|r|h и |HurlIndex:15|h|cff71d5ffполитикой конфиденциальности|r|h и подтверждаете эту покупку.",55,858,16,833
