ID,Name_lang,OrderIndex
280,Тазавеш: улицы чудес,20
281,Тазавеш: гамбит Со'леи,20
282,Гробница Предвечных,0
283,Испытание Тюремщика,0
284,Драконьи острова,0
302,Академия Алгет'ар,10
303,Лощина Бурошкуров,10
304,Чертоги Насыщения,10
305,Нелтарий,10
306,Рубиновые Омуты Жизни,10
307,Лазурное хранилище,10
308,Наступление клана Нокхуд,10
309,Ульдаман: наследие Тира,10
310,Хранилище Воплощений,0
313,"Аберрий, Затененное Горнило",0
315,Рассвет Бесконечности,20
316,Рассвет Бесконечности: падение Галакронда,20
317,Рассвет Бесконечности: подъем Дорнозму,20
318,Рассвет Бесконечности: падение Галакронда,20
319,"Амирдрассил, Надежда Сна",0
322,Расселина Темного Пламени,10
323,"Ара-Кара, Город Отголосков",10
324,Приорат Священного Пламени,10
325,Гнездовье,10
326,"""Сияющий Рассвет""",10
327,Искроварня,10
328,Каменный Свод,10
329,Город Нитей,10
331,Грибные гадости,0
332,Покой Кригвала,0
333,Шахты Землескребов,0
334,Логово Зеквира,13
335,Водокачка,0
336,Яма Ужаса,0
337,Святыня Сумерек,0
338,Пещера микомантов,0
339,Воронка,0
340,Снующий пролом,0
341,Подоплот,0
342,Глубины Так-Ретана,0
343,Сплетенная Спираль,0
344,Деревня Зеленой Скалы,0
346,Унга-Ингу,0
347,Арена Истребления,0
348,Фестиваль Хмельнолуния,0
351,Атака на Зан'весс,0
352,Кинжал во тьме,0
353,Немного терпения,0
354,Крепость Покорителей,0
355,Львиный лагерь,0
362,Неруб'арский дворец,0
363,Каз Алгар,0
371,Операция: шлюз,10
372,Глубины Черной горы,0
373,Место раскопок 9,0
374,Переулочный шлюз,0
375,Разрушительное соревнование Бур-босса,0
377,Освобождение Нижней Шахты,0
378,Манагорн Омега,0
381,"Заповедник ""Аль'дани""",10
394,Штурм архивов,0
395,Убежище рассекателя Бездны,0
