Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Храмовник,"Храмовники не остановятся ни перед чем, чтобы свершить правосудие. Они призывают молоты Света и наносят сокрушительные удары, усиливая физический урон светлой магией.",48,26681,790
Кузнец Света,"Кузнецы Света достигли таких высот в своем искусстве, что научились призывать его материальные воплощения, чтобы усиливать оружие, укреплять защиту и защищать союзников.",49,26680,790
Вестник солнца,"Вестники солнца образуют с ним глубокую связь, испепеляя солнечной энергией врагов и прижигая раны союзников. Воззвав к Свету и став его воплощением, они являют мощь светила в палящих лучах огромной силы.",50,26702,790
Ловкач,"Подлые трюки и молниеносные удары – фирменный стиль ловкача. Он отвлекает врага ""Перенаправлением"" или затейливым взмахом меча, а затем подсекает зазевавшуюся жертву ударом кинжала.",51,27018,852
Служитель судьбы,"Служители судьбы с удовольствием вершат ее волю, спутывая планы врагов. Повинуясь броску своевольной судьбоносной монеты, они приводят в исполнение предрешенный и заслуженный приговор.",52,27433,852
Ловчий смерти,"Ловчие смерти – беспощадные убийцы, обрывающие жизнь жертвы быстрыми ударами из тени.",53,27432,852
Тотемист,"Шаманы-тотемисты превращают свои тотемы в мощнейшее оружие, усиливая их и обучаясь создавать новые. Они в совершенстве овладели зачарованием, чтобы не сбавлять натиск и в ближнем бою.",54,26703,786
Вестник шторма,"Вестники шторма взывают к грозной стихии, повелевая молниями. Призовите яростную бурю и сейте хаос среди врагов, пробуждая силу природы и уничтожая все на своем пути.",55,26683,786
Предсказатель,"Воззовите к магии духов, чтобы усилить заклинания и призвать предков на помощь себе и союзникам.",56,27019,786
Пожинатель душ,"Мало кто осознает, какая сила заключена в душах, но многие знают, как охотно демоны пожирают души павших. Заключая сделку с демонами из Круговерти Пустоты, пожинатели душ позволяют им вселиться в себя и обретают невообразимое могущество в обмен на души поверженных врагов.",57,27530,720
Призыватель огня,"Призывателей огня страшатся больше, чем любой другой секты сатиров на Азероте. Переплетая наимерзейшую темную магию и хаос огня Скверны, чернокнижники-призыватели платят за силу собственной отравленной душой.",58,27746,720
Демонопоклонник,"После победы над Легионом многие демоны остались без хозяина. Демонопоклонникам впервые удалось укротить самых могучих из них, чтобы обратить против своих врагов разрушительную энергию Круговерти Пустоты.",59,26935,720
Истребитель,"Безжалостный воитель, преследующий выбранную жертву до конца и ошеломляющий врагов могучим стальным шквалом.",60,26704,850
Горный тан,"Горные таны славятся свирепостью в бою и не мыслят жизни без поединка с очередным достойным соперником. Закаляя оружие мощью земли и яростью бурь, они ошеломляют врагов неистовым натиском.",61,26684,850
Колосс,"Ветеран бессчетных битв, с невозмутимостью скалы выдерживающий самые убийственные атаки. Опираясь на боевой опыт, он наносит точно выверенные удары, разящие врагов.",62,26765,850
Проводник Небожителей,"Проводники Небожителей посвящают себя учениям Августейших Небожителей Пандарии и становятся воплощениями их мудрости и силы. Проводники, достигшие особого уровня мастерства, могут даже ненадолго воспользоваться силой всех Небожителей сразу.",64,27069,1000
Шадо-Пан,"Шадо-Пан познают мудрость предшественников и защищают друзей и близких, вставая на пути врагов. Они копят силы и дожидаются лучшего момента, а затем поражают врагов сокрушительными шквалами ударов.",65,27070,1000
Мастер гармонии,"Мастера гармонии стремятся к идеальной физической форме, закаляя свое тело и становясь воплощением чистой мощи. Достигнув совершенства, они начинают чувствовать потоки энергии ци и природных циклов силы.",66,27745,1000
Вестник шторма,"Вестники шторма взывают к грозной стихии, повелевая молниями. Призовите яростную бурю и сейте хаос среди врагов, пробуждая силу природы и уничтожая все на своем пути.",70,26683,1033
Тотемист,"Шаманы-тотемисты превращают свои тотемы в мощнейшее оружие, усиливая их и обучаясь создавать новые. Они в совершенстве овладели зачарованием, чтобы не сбавлять натиск и в ближнем бою.",71,26703,1033
Предсказатель,"Воззовите к магии духов, чтобы усилить заклинания и призвать предков на помощь себе и союзникам.",72,27019,1033
Вестник шторма,"Вестники шторма взывают к грозной стихии, повелевая молниями. Призовите яростную бурю и сейте хаос среди врагов, пробуждая силу природы и уничтожая все на своем пути.",73,26683,1034
Тотемист,"Шаманы-тотемисты превращают свои тотемы в мощнейшее оружие, усиливая их и обучаясь создавать новые. Они в совершенстве овладели зачарованием, чтобы не сбавлять натиск и в ближнем бою.",74,26703,1034
Предсказатель,"Воззовите к магии духов, чтобы усилить заклинания и призвать предков на помощь себе и союзникам.",75,27019,1034
PH,Урон!,79,24179,1054
PH,Защита!,80,24199,1054
Танк,"Бранн сражается на передовой, полагаясь на помощь союзников, сложную технику, добытую в ходе исследований, а также на свой старый добрый дробовик.",81,24199,874
Танк,"Бранн сражается на передовой, полагаясь на помощь союзников, сложную технику, добытую в ходе исследований, а также на свой старый добрый дробовик.",82,24199,1060
Лекарь,Бранн исцеляет раненых игроков с помощью медицинских припасов и найденных реликвий.,83,24186,1060
Боец,"Бранн разделывается с врагами на расстоянии с помощью ""Надежного средства"".",84,24179,1060
Лекарь,Бранн исцеляет раненых игроков с помощью медицинских припасов и найденных реликвий.,98,24186,1151
Танк,"Бранн сражается на передовой, полагаясь на помощь союзников, сложную технику, добытую в ходе исследований, а также на свой старый добрый дробовик.",99,24199,1151
Боец,"Бранн разделывается с врагами на расстоянии с помощью ""Надежного средства"".",100,24179,1151
