Name_lang,ID,Parent,Ui_order
Сценарии Pandaria,15302,15301,3
Гарнизон на Дреноре,15303,15301,5
Оплот класса в Legion,15304,15301,6
Battle for Azeroth,15305,201,8
Островные экспедиции,15307,15301,7
Военная кампания,15308,15301,8
Battle for Azeroth,15409,14807,8
Особый контент,15411,15234,9
Ашран,15414,95,6
Игровые события,15416,15234,8
Сердце Азерот,15417,15301,9
Shadowlands,15422,96,10
Видения Н'Зота,15426,15301,10
Подземелья Shadowlands,15428,168,15
Подземелья Shadowlands,15429,15079,15
Shadowlands,15430,14807,9
Shadowlands,15436,97,10
Рейды Shadowlands,15438,168,16
Shadowlands,15439,201,9
Торгаст,15440,15301,11
Обители ковенантов,15441,15301,12
Рейды Shadowlands,15442,15079,16
Персонаж,15446,15234,1
Задания,15447,15234,2
Путешествия во времени,15454,155,11
Dragonflight,15455,96,11
Высший пилотаж,15462,15301,13
Драконьи острова,15465,97,11
Dragonflight,15466,201,10
Подземелья Dragonflight,15467,168,17
Рейды Dragonflight,15468,168,18
Dragonflight,15469,14807,10
Подземелья Dragonflight,15470,15079,17
Рейды Dragonflight,15471,15079,18
Облики островных драконов,15478,15246,4
Алхимия,15489,169,1
Кузнечное дело,15490,169,2
Наложение чар,15491,169,3
Инженерное дело,15492,169,4
Начертание,15493,169,5
Ювелирное дело,15494,169,6
Кожевничество,15495,169,7
Портняжное дело,15496,169,8
Горное дело,15497,169,10
Снятие шкур,15498,169,11
Травничество,15499,169,9
War Within,15506,96,12
The War Within,15520,14807,11
War Within,15521,97,12
Вылазки,15522,-1,4
The War Within,15523,15522,1
Подземелья War Within,15524,168,19
Золотоносная падь,15525,95,15
Рейды War Within,15526,168,20
Подземелья War Within,15528,15079,19
Рейды War Within,15529,15079,20
War Within,15530,201,11
Вылазки,15531,81,2
Празднование годовщины,15532,155,12
Вылазки,15533,1,8
The War Within,15534,15533,1
Remix: Пандария,15536,15234,10
