ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
112,Друид - Сила зверя,Друид - Сила зверя,Друид - Сила зверя,5942,0,0,0
113,Друид - Страж,Друид - Страж,Друид - Страж,5943,0,0,0
114,Друид - Исцеление,Друид - Исцеление,Друид - Исцеление,5944,0,0,0
115,Охотник - Повелитель зверей,Охотник - Повелитель зверей,Охотница - Повелительница зверей,5945,0,0,0
116,Охотник - Стрельба,Охотник - Стрельба,Охотница - Стрельба,5946,0,0,0
117,Охотник - Выживание,Охотник - Выживание,Охотница - Выживание,5947,0,0,0
118,Маг - Тайная магия,Маг - Тайная магия,Маг - Тайная магия,5948,0,0,0
119,Маг - Огонь,Маг - Огонь,Маг - Огонь,5949,0,0,0
120,Маг - Лед,Маг - Лед,Маг - Лед,5950,0,0,0
121,Паладин - Свет,Паладин - Свет,Паладин - Свет,5954,0,0,0
122,Паладин - Защита,Паладин - Защита,Паладин - Защита,5955,0,0,0
123,Паладин - Воздаяние,Паладин - Воздаяние,Паладин - Воздаяние,5956,0,0,0
124,Жрец - Послушание,Жрец - Послушание,Жрица - Послушание,5957,0,0,0
125,Жрец - Свет,Жрец - Свет,Жрица - Свет,5958,0,0,0
126,Жрец - Тьма,Жрец - Тьма,Жрица - Тьма,5959,0,0,0
127,Разбойник - Ликвидация,Разбойник - Ликвидация,Разбойница - Ликвидация,5960,0,0,0
128,Разбойник – Головорез,Разбойник – Головорез,Разбойница – Головорез,5961,0,0,0
129,Разбойник - Скрытность,Разбойник - Скрытность,Разбойница - Скрытность,5962,0,0,0
130,Шаман - Стихии,Шаман - Стихии,Шаманка - Стихии,5963,0,0,0
131,Шаман - Совершенствование,Шаман - Совершенствование,Шаманка - Совершенствование,5964,0,0,0
132,Шаман - Исцеление,Шаман - Исцеление,Шаманка - Исцеление,5965,0,0,0
133,Чернокнижник - Колдовство,Чернокнижник - Колдовство,Чернокнижница - Колдовство,5966,0,0,0
134,Чернокнижник - Демонология,Чернокнижник - Демонология,Чернокнижница - Демонология,5967,0,0,0
135,Чернокнижник - Разрушение,Чернокнижник - Разрушение,Чернокнижница - Разрушение,5968,0,0,0
136,Воин - Оружие,Воин - Оружие,Воин - Оружие,5969,0,0,0
137,Воин - Неистовство,Воин - Неистовство,Воин - Неистовство,5970,0,0,0
138,Воин - Защита,Воин - Защита,Воин - Защита,5971,0,0,0
139,Перерожденные,Перерожденные,Перерожденные,3484,0,1,3
140,Изгой,Изгой,Изгой,6163,0,0,0
141,Дворецкий,Дворецкий,Дворецкий,6219,0,0,0
142,Гость,Гость,Гость,6219,0,1,1
143,Боец,Боец,Буян,6219,0,0,0
144,Громила из клана Змеиных Колец,Громила из клана Змеиных Колец,Громила из клана Змеиных Колец,5940,0,1,3
145,Воины из племени Зловещего Тотема,Воины из племени Зловещего Тотема,Воины из племени Зловещего Тотема,3484,0,1,3
146,avagner - test,,,6159,0,0,1
147,Стражи Кирин-Тора,Элементали,Стражи Кирин-Тора,3482,0,2,3
148,Ледяные рыцари Черного Клинка,Элементали,Ледяные рыцари Черного Клинка,3487,0,2,3
149,Бойцы ударного подразделения,Элементали,Бойцы ударного подразделения,3478,0,2,3
150,Хранители Рощи Снов,Элементали,Хранители Рощи Снов,3485,0,2,3
151,Шиварра,Элементали,Шиварра,5940,0,2,3
152,Защитники Служителей Земли,Элементали,Защитники Служителей Земли,3484,0,2,3
153,Мастера безмятежности,Элементали,Мастера безмятежности,3480,0,2,3
154,Громилы Скверны,Элементали,Громилы Скверны,3483,0,2,3
155,Прячущие лицо жрецы,Элементали,Прячущие лицо жрицы,3479,0,2,3
156,Воители ордена Серебряной Длани,Элементали,Воители ордена Серебряной Длани,3486,0,2,3
157,Убийцы из поместья Черного Ворона,Элементали,Убийцы из поместья Черного Ворона,3481,0,2,3
158,Ночнорожденные-охотники,,,3477,0,2,1
160,Крокул - горный охотник,,,6817,0,2,3
161,Очищенный от Бездны крокул,,,6816,0,2,3
162,Солдат Армии Света,,,6818,0,2,3
164,Техник,,Техник,3581,0,0,0
165,Стрелок,,Стрелок,5946,278,1,3
166,Агент,,Агент,3481,0,0,0
167,Разведчик,,Разведчица,3481,0,0,0
168,Часовой,,,5947,277,1,3
169,Агент,,Агент,5962,279,1,3
170,Лазутчик,,Лазутчица,3481,280,0,0
171,Техник,,,3581,282,1,3
172,Боевой специалист,,,5947,281,0,0
173,Миротворец,,Миротворец,5956,283,1,3
174,Следопыт,,Следопыт,5960,0,1,3
175,Шаман стихий,Шаман стихий,,5963,0,0,1
176,Специалист,,,5960,290,1,1
177,Шаман,,,5963,291,1,3
178,Грозный страж,,,3487,0,0,1
179,Колдунья,,,5949,0,1,3
180,Сапер,,Сапер,3581,0,1,3
181,Монах,,,5953,0,1,3
182,Чародей,,,5948,0,0,0
183,Инженер,,Инженер,8390,0,0,0
184,Разбойник (скрытность),Разбойник (скрытность),Разбойница (скрытность),5962,0,0,0
185,Охотник (выживание),Охотник (выживание),Охотница (выживание),5947,0,0,0
186,Темный охотник,,Темная охотница,5946,0,0,0
187,Верховный тан Заоблачного пика,,,5964,0,0,0
188,Одинокий волк,,,5947,281,0,0
189,Магистр,,Магистр,5959,0,0,0
190,Агент-техник,,Агент-техник,8390,0,0,0
191,Пилот,,,3581,0,0,3
192,Генерал армии Часовых,,,5946,0,0,0
193,Дивизия Альянса,,,7709,0,4,7
194,Дивизия Орды,,,7710,0,4,7
295,Капитан,,,7709,0,0,0
296,Капитан,,,7710,0,0,0
297,Клинок Туманов,,,6557,0,0,0
298,Командир,,,6557,0,0,0
299,Безумный герцог,,,6557,0,0,0
300,Блуждающий кулак,,,6036,0,0,0
301,Выпивательница душ,,,6557,0,0,0
302,Копатель могил,,,6557,0,0,0
303,Темный монах,,,6557,0,0,0
304,Метатель камней грехов,,,6557,0,0,0
305,Бесчестная целительница,,,6557,0,0,0
306,Обделенный,,,6557,0,0,0
307,Сияющее копье,,,6557,0,0,0
308,Стойкий кулак,,,6557,0,0,0
309,Бодрый врачеватель,,,6557,0,0,0
310,Ночной Клинок,,,6557,0,3,1
311,Заклинатель душ,,,6557,0,3,1
312,Фалангит,,,6557,0,3,1
313,Алебардщик,,,6557,0,3,1
314,Штурмовик,,,6557,0,3,1
315,Воспеватель чумы,,,6557,0,3,1
316,Хранитель рощи,,,6557,0,3,1
317,Зверолов,,,6557,0,3,1
318,Веселая убийца,,,6557,0,0,0
319,Привратник,,,6557,0,0,0
320,Изготовительница зеркал,,,6557,0,0,0
321,Дворецкий,,,6557,0,0,0
322,Эксперт по ремонту,,,6557,0,0,0
323,Боец,,,2117,0,0,0
325,Хранитель рощи,,,6557,0,3,9
326,Зверолов,,,6557,0,3,9
327,Ночной Клинок,,,6557,0,3,9
328,Заклинатель душ,,,6557,0,3,9
329,Фалангит,,,6557,0,3,9
330,Алебардщик,,,6557,0,3,9
331,Штурмовик,,,6557,0,3,9
332,Воспеватель чумы,,,6557,0,3,9
333,Секутор,,,6558,0,1,0
334,Поганище,,,6558,0,1,0
335,Динамо,,,6558,0,1,0
336,Мастер секретов,,,6558,0,1,0
337,Слизнюк,,,6558,0,1,0
338,Скелет,,,6558,0,1,0
339,Поганище,,,6558,0,1,0
340,Лич,,,6558,0,1,0
341,Гладиатор,,,6558,0,1,0
342,Сборщик,,,6558,0,1,0
343,Скелет,,,6558,0,1,0
344,Теневой клинок,,,6558,0,1,0
345,Изобретатель чумы,,,6558,0,1,0
346,Костоплав,,,6558,0,1,0
347,Дщерь Бойни,,,6558,0,1,0
348,Благочестивый меч,,,6557,0,0,0
349,Дающая рука,,,6557,0,0,0
350,Верное долгу творение,,,6557,0,0,0
351,Укротительница ларионов,,,6557,0,0,0
352,Специалист по анимапардам,,,6557,0,0,0
353,Прилежная помощница,,,6557,0,0,0
354,Претендентка,,,6557,0,0,0
355,Послушник,,,6557,0,0,0
356,Спутник Миканикоса,,,6557,0,0,0
357,Десница Отваги,,,6557,0,0,0
358,Ослепитель,,,6557,0,0,0
359,Трикстер,,,6557,0,0,0
360,Кроткий хранитель,,,6557,0,0,0
361,Хладное копье,,,6557,0,0,0
362,Ваятель звездного света,,,6557,0,0,0
363,Родня невидимых,,,6557,0,0,0
364,Защитница Тирна Ваала,,,6557,0,0,0
365,Старший мастер Тирна Ваала,,,6557,0,0,0
366,Клык духа,,,6557,0,0,0
367,Рога ночи,,,6557,0,0,0
368,Глаза леса,,,6557,0,0,0
369,Ветвь рассвета,,,6557,0,0,0
370,Смотритель,,,6557,0,0,0
371,Капитан-егерь,,,6557,0,0,0
372,Хранительница рощи,,,6557,0,0,0
373,Перерожденная,,,6557,0,0,0
374,Претендент,,,6557,0,0,0
375,Верховный автоматург,,,6557,0,0,0
376,Варвар,,,2117,0,0,0
377,Стекольных дел мастер,,,6557,0,0,0
378,Лич,,,6558,0,1,0
379,Кузнец,,,6558,0,1,0
380,Полезный спутник,,,6558,0,1,0
381,Азартный гладиатор,,,6558,0,1,0
382,Несокрушимая,,,6558,0,1,0
383,Оружейница,,,6557,0,0,0
384,Интендант,,,6557,0,0,0
385,Посланница,,,6557,0,0,0
386,Спора,,,6557,0,0,0
387,Ткачиха,,,6557,0,0,0
388,Вестник,,,6557,0,0,0
389,Мистик,,,6557,0,0,0
390,Духовный проводник,,,6557,0,0,0
391,Заступник,,,6557,0,0,0
392,Крылатая целительница,,,6557,0,0,0
393,Фермер,,,6557,0,0,0
394,Артист,,,6557,0,0,0
395,Аристократ,,,6557,0,0,0
396,Регенератор,,,6557,0,0,0
397,Массажист,,,6557,0,0,0
398,Невозмутимый слуга,,,6557,0,0,0
400,Археолог,Охотник (выживание),,5946,0,0,0
