Name_lang,ID,Field_9_0_1_33978_001,PlayerConditionID,ReagentType,Field_10_0_2_46091_005,Field_11_2_0_61476_006
Phial of Tepid Versatility (DNT),106,0,0,1,0,0
Phial of Elemental Chaos (DNT),107,0,0,1,0,0
Potion of Frozen Focus (DNT),108,0,0,1,0,0
Повышает ранг предмета,110,0,92156,0,0,0
Наполняет силой,111,2,0,0,1,0
Добавляет украшение,112,0,0,0,1,0
Serevite Ore (DNT),114,0,0,1,0,0
Усиливает матрицей тренировки,116,0,0,0,1,0
Khaz'gorite Ore (DNT),117,0,0,1,0,0
Добавляет украшение,123,0,0,0,1,0
Жидкость для закалки,124,2,0,2,2,0
Позволяет указать второстепенные характеристики,125,2,0,0,0,0
Наполняет силой,126,0,0,0,1,0
Queen's Ruby (DNT),128,0,0,1,0,0
Mystic Sapphire (DNT),129,0,0,1,0,0
Vibrant Emerald (DNT),130,0,0,1,0,0
Sundered Onyx (DNT),131,0,0,1,0,0
Eternity Amber (DNT),132,0,0,1,0,0
Alexstraszite (DNT),133,0,0,1,0,0
Malygite (DNT),134,0,0,1,0,0
Ysemerald (DNT),135,0,0,1,0,0
Neltharite (DNT),136,0,0,1,0,0
Nozdorite (DNT),137,0,0,1,0,0
Illimited Diamond (DNT),138,0,0,1,0,0
Frameless Lens (DNT),140,0,0,1,0,0
Glossy Stone (DNT),142,0,0,1,0,0
Shimmering Clasp (DNT),143,0,0,1,0,0
Projection Prism (DNT),145,0,0,1,0,0
Resilient Leather (DNT),146,0,0,1,0,0
Adamant Scales (DNT),147,0,0,1,0,0
Dense Hide (DNT),148,0,0,1,0,0
Lustrous Scaled Hide (DNT),149,0,0,1,0,0
Stonecrust Hide (DNT),150,0,0,1,0,0
Mireslush Hide (DNT),151,0,0,1,0,0
Infurious Hide (DNT),153,0,0,1,0,0
Earthshine Scales (DNT),155,0,0,1,0,0
Frostbite Scales (DNT),156,0,0,1,0,0
Infurious Scales (DNT),157,0,0,1,0,0
Silken Gemdust (DNT),158,0,0,1,0,0
Elemental Harmony (DNT),159,0,0,1,0,0
Vibrant Spellthread (DNT),169,0,0,1,0,0
Frozen Spellthread (DNT),170,0,0,1,0,0
Temporal Spellthread (DNT),171,0,0,1,0,0
Wildercloth Bolt (DNT),172,0,0,1,0,0
Azureweave Bolt (DNT),173,0,0,1,0,0
Chronocloth Bolt (DNT),174,0,0,1,0,0
Vibrant Wildercloth Bolt (DNT),175,0,0,1,0,0
Infurious Wildercloth Bolt (DNT),176,0,0,1,0,0
Spool of Wilderthread (DNT),177,0,0,1,0,0
Добавляет украшение,178,0,0,0,1,0
Добавляет украшение,179,0,0,0,1,0
Добавляет украшение,180,0,0,0,1,0
Вышивальная нить,181,2,0,2,2,0
Полировальное сукно,182,2,0,2,2,0
Добавляет украшение,183,0,0,0,1,0
Цепное масло,184,2,0,2,2,0
Дубитель,185,2,0,2,2,0
Fiery Spirit (DNT),186,0,0,1,0,0
Усиливает матрицей тренировки,189,0,0,0,1,0
,190,0,0,2,2,0
Последние штрихи,192,0,0,2,2,0
Секретный ингредиент,193,0,0,2,2,0
Handful of Serevite Bolts (DNT),194,0,0,1,0,0
Shock-Spring Coil (DNT),195,0,0,1,0,0
Everburning Blasting Powder (DNT),196,0,0,1,0,0
Greased-Up Gears (DNT),197,0,0,1,0,0
Arclight Capacitor (DNT),198,0,0,1,0,0
Reinforced Machine Chassis (DNT),199,0,0,1,0,0
Assorted Safety Fuses (DNT),200,0,0,1,0,0
Primal Deconstruction Charge (DNT),201,0,0,1,0,0
Символ Новолуния,202,2,0,0,0,0
Refreshing Healing Potion (DNT),203,0,0,1,0,0
Aerated Mana Potion (DNT),204,0,0,1,0,0
Potion of Gusts (DNT),205,0,0,1,0,0
Creature Combustion Canister (DNT),206,0,0,1,0,0
Draconium Gun Shoes (DNT),207,0,0,1,0,0
Gravitational Displacer (DNT),208,0,0,1,0,0
Blazing Ink (DNT),209,0,0,1,0,0
Cosmic Ink (DNT),210,0,0,1,0,0
Flourishing Ink (DNT),211,0,0,1,0,0
Burnished Ink (DNT),212,0,0,1,0,0
Serene Ink (DNT),213,0,0,1,0,0
Serene Pigment (DNT),214,0,0,1,0,0
Flourishing Pigment (DNT),215,0,0,1,0,0
Blazing Pigment (DNT),216,0,0,1,0,0
Shimmering Pigment (DNT),217,0,0,1,0,0
Chilled Rune (DNT),218,0,0,1,0,0
Runed Writhebark (DNT),219,0,0,1,0,0
Potion of the Hushed Zephyr (DNT),220,0,0,1,0,0
Сухой песок,221,2,0,2,2,0
Позволяет выбрать характеристику при изготовлении,222,0,0,0,0,0
Меры безопасности,223,2,0,0,0,0
Усиливает второстепенную характеристику,224,2,0,0,0,0
Усиливает второстепенную характеристику,225,0,0,0,0,0
Добавляет украшение,226,2,0,0,1,0
Позволяет указать второстепенные характеристики,227,0,0,0,0,0
Запасные части,230,2,0,2,2,0
Характеристика добычи ресурсов,231,0,0,0,0,0
Характеристика изготовления предметов,232,0,0,0,0,0
Добавляет украшение,233,2,0,0,1,0
Полировальное сукно,234,0,0,2,2,0
Малое блистательное озарение,235,0,0,2,2,0
Кованая стальная субстанция,236,0,0,0,0,0
Субстанция истинной стали,237,0,0,0,0,0
Звездочка Цепесмаза,238,0,0,0,0,0
Спусковой крючок из истинного железа,239,0,0,0,0,0
Блестящая субстанция,240,0,0,0,0,0
Субстанция волшебной ткани,241,0,0,0,0,0
Оружейный кристалл,242,0,0,0,0,0
Позволяет указать второстепенную характеристику,243,2,0,0,0,0
Дает дает предмету уровень PvP-экипировки,244,0,0,0,1,0
Дает дает предмету уровень PvP-экипировки,245,0,0,0,1,0
Дает дает предмету уровень PvP-экипировки,246,0,0,0,1,0
Искра,247,4,0,0,1,0
Shadowed Alloy (DNT),248,0,0,1,0,0
Сухой песок,249,0,0,2,2,0
Wildercloth Bandage (DNT),250,0,0,1,0,0
Гнездо,251,0,0,3,3,0
Гнездо,252,0,0,3,3,0
Potion of Withering Vitality (DNT),253,0,0,1,0,0
Геральдика участника соревнований,255,4,0,0,1,0
Искра,256,4,0,0,1,0
Микоцвет,257,0,0,1,0,0
Блесница,258,0,0,1,0,0
Кольчатка,259,0,0,1,0,0
Благоцвет,260,0,0,1,0,0
Копье Аратора,261,0,0,1,0,0
Висмут,262,0,0,1,0,0
Акирит,263,0,0,1,0,0
Когтесталь,264,0,0,1,0,0
Позолоченный фиал,267,0,0,1,0,0
Гармоничное садоводство,268,0,0,1,0,0
Заряженная бурей кожа,269,0,0,1,0,0
Сумрачный хитин,270,0,0,1,0,0
Громовая шкура,271,0,0,1,0,0
Бессолнечный панцирь,272,0,0,1,0,0
Дробленые самоцветы,275,0,0,1,0,0
Гравированный огранщик,276,0,0,1,0,0
Декоративная линза,277,0,0,1,0,0
Мрамор,278,0,0,1,0,0
Обратная призма,279,0,0,1,0,0
Самоцветная пыль и полировальное сукно,280,2,0,2,0,0
Добавляет украшение,281,0,0,0,1,0
Усиливает второстепенную характеристику,282,2,0,0,0,0
Позволяет указать второстепенные характеристики,283,2,0,0,0,0
Наполняет силой,284,2,0,0,1,0
Кожаные доспехи,286,2,0,2,2,0
Кольчужные доспехи,287,2,0,2,2,0
Смертельный шифр,288,0,0,1,0,0
Скоростной шифр,289,0,0,1,0,0
Мастерский шифр,290,0,0,1,0,0
Универсальный шифр,291,0,0,1,0,0
Укрепленная панцирем шкура,293,0,0,1,0,0
Кристаллическая шкура,294,0,0,1,0,0
Извивающаяся шкура,295,0,0,1,0,0
Покрытая спорами шкура,296,0,0,1,0,0
Силовая шкура,297,0,0,1,0,0
Насыщенная гневом шкура,298,0,0,1,0,0
Омытая бурей обмотка для оружия,299,0,0,1,0,0
Хитиновая окантовка доспеха,300,0,0,1,0,0
Штормовая пыль,301,0,0,1,0,0
Сияющий осколок,302,0,0,1,0,0
Сверкающий кристалл,303,0,0,1,0,0
Пригоршня висмутовых болтов,304,0,0,1,0,0
Причудливые провода,305,0,0,1,0,0
Вращающаяся шестеренка,306,0,0,1,0,0
Защитное реле,307,0,0,1,0,0
Схема хаоса,308,0,0,1,0,0
Усилитель энтропии,309,0,0,1,0,0
Выбор элемента безопасности,311,2,0,0,0,0
Добавляет украшение,312,2,0,0,1,0
Основной сплав,313,0,0,1,0,0
Заряженный сплав,314,0,0,1,0,0
Освященный сплав,315,0,0,1,0,0
Сплав когтестали,316,0,0,1,0,0
Аксессуары ковки,317,2,0,2,2,0
Секретный ингредиент,318,0,0,2,2,0
Зашифрованное зеленое дерево,319,0,0,1,0,0
Безграничный шифр,320,0,0,1,0,0
Собольи чернила,321,0,0,1,0,0
Краситель из блесницы,322,0,0,1,0,0
Солнечные чернила,323,0,0,1,0,0
Солнечный краситель,324,0,0,1,0,0
Катушка закатной нити,327,0,0,1,0,0
Катушка рассветной нити,328,0,0,1,0,0
Катушка паутинной нити,329,0,0,1,0,0
Рулон закатного полотна,330,0,0,1,0,0
Рулон рассветного полотна,331,0,0,1,0,0
Рулон паутинной ткани,332,0,0,1,0,0
Вышивальная нить,333,2,0,2,2,0
Добавляет украшение,334,2,0,0,1,0
Добавляет украшение,340,2,0,0,1,0
Добавляет украшение,341,0,0,0,1,0
Усиление,342,0,0,0,1,0
Позволяет выбрать характеристику добычи ресурсов,344,0,0,0,0,0
Позволяет выбрать характеристику ремесленника,345,0,0,0,0,0
Почерк ремесленника,346,2,0,2,0,0
Запасные части,347,2,0,2,0,0
Зелье возрожденного гепарда,348,0,0,1,0,0
Алгарийское лечебное зелье,349,0,0,1,0,0
Упоение обитателя пещер,350,0,0,1,0,0
Охлажденное зелье,351,0,0,1,0,0
Позволяет выбрать характеристику ремесленника,352,2,0,0,0,0
Позволяет выбрать характеристику добычи ресурсов,353,2,0,0,0,0
Почерк ремесленника,354,0,0,2,0,0
Краситель из кольчатки,355,0,0,1,0,0
Цветочный краситель,356,0,0,1,0,0
Рулон исключительной паутинной ткани,357,0,0,1,0,0
Изготовленные реагенты,358,2,0,2,2,0
Товары для чертежников,359,2,0,2,2,0
Сияющие реагенты,360,0,0,2,0,0
Странное зелье,362,0,0,2,0,0
Гнездо,363,0,0,3,3,0
Гнездо,364,0,0,3,3,0
Позволяет указать второстепенные характеристики,365,0,0,0,0,0
Наполняет силой,366,0,0,0,1,0
Сияющие реагенты,367,2,0,2,0,0
Усиление,368,0,0,0,1,0
Аксессуары для ковки,369,2,0,2,2,0
Вышивальная нить,370,2,0,2,2,0
Товары для чертежников,371,2,0,2,2,0
Сияющие реагенты,372,0,0,2,0,0
Сияющие реагенты,374,0,0,2,0,0
Вышивальная нить,375,2,0,2,2,0
Запасные части,376,2,0,2,0,0
Вышивальная нить,377,2,0,2,2,0
Чары и снаряжение,378,0,0,2,2,0
Расходуемые предметы и реагенты,379,0,0,2,2,0
Гнездо,380,0,0,3,3,0
Гнездо,381,0,0,3,3,0
Аксессуары для ковки,382,0,0,2,2,0
Осадок черной крови,383,0,0,1,0,0
Запредельное усиление,384,0,0,0,1,142200
