Name_lang,Description_lang,ID,StoreFrontID,AccountStoreCategoryID,OrderIndex,Price,CurrencyTypesID,Field_11_0_7_57361_008,RefundDuration,Field_11_0_7_57361_010,Field_11_0_7_57361_011,SpellID,TransmogSetID,CreatureDisplayInfoID,UiModelSceneID,Icon,Field_12_0_0_63534_017,Field_12_0_0_63534_018,Field_12_0_0_63534_019
Сабля из черной стали,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Сабля из черной стали"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Клинок для бесшабашных схваток под палящим солнцем"".",11,1,4,20,250,3139,0,14400,1,0,439391,3470,0,0,0,0,0,0
Кровавый железный мясоруб,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Кровавый железный мясоруб"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Окровавленный топор для кровожадного пирата!""",12,1,4,30,250,3139,0,14400,1,0,439392,3471,0,0,0,0,0,0
Окаменевший клеймор,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Окаменевший клеймор"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Меч – это все равно что кинжал, только крупнее"".",13,1,4,40,250,3139,0,14400,1,0,439390,3469,0,0,0,0,0,0
Лопата юнги,"|cFF00ccffОблик The War Within|r|n|n|cFF1eff00Облик ""Пиратской бури""|rОткрывает внешний вид оружия ""Лопата юнги"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Теперь можно докапываться до всех и всего"".",14,1,4,50,1000,3139,0,14400,5,0,0,4154,0,0,0,0,0,0
Весло юнги,"|cFF00ccffОблик The War Within|r|n|n|cFF1eff00Облик ""Пиратской бури""|rОткрывает внешний вид оружия ""Весло юнги"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Всего лишь весло. Не повезло"".",15,1,4,60,1000,3139,0,14400,5,0,0,4155,0,0,0,0,0,0
Горлорез владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Горлорез владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Необходимый инструмент в арсенале повелителя пиратов"".",16,1,4,70,1000,3139,0,14400,1,0,439386,3466,0,0,0,0,0,0
Изысканная рапира владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Изысканная рапира владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""И входит, и выходит"".",17,1,4,80,1000,3139,0,14400,1,0,439383,3464,0,0,0,0,0,0
Серебряная сабля владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Серебряная сабля владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Красиво сверкает на солнце, когда вы поднимаете клинок к небу"".",18,1,4,90,1000,3139,0,14400,1,0,439384,3465,0,0,0,0,0,0
Позолоченная печать владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Позолоченная печать владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Подними посох владыки грабежа к небу и веди команду на разбой!""",19,1,4,100,1000,3139,0,14400,1,0,439382,3463,0,0,0,0,0,0
Штормовой горлорез владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Штормовой горлорез владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.",20,1,4,110,1500,3139,0,14400,5,0,0,4157,0,0,0,0,0,0
Штормовая рапира владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Штормовая рапира владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.",21,1,4,120,1500,3139,0,14400,5,0,0,4158,0,0,0,0,0,0
Штормовая сабля владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Штормовая сабля владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.",22,1,4,130,1500,3139,0,14400,5,0,0,4159,0,0,0,0,0,0
Штормовая печать владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Штормовая печать владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.",23,1,4,140,1500,3139,0,14400,5,0,0,4160,0,0,0,0,0,0
Медная пушка,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Медная пушка"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""С хорошей пушкой грабить куда проще"".",24,1,3,10,250,3139,0,14400,1,0,439393,3472,0,0,0,0,0,0
Чудесный многострел,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Чудесный многострел"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Только не целься себе в лицо"".",25,1,3,20,500,3139,0,14400,1,0,439394,3473,0,0,0,0,0,0
Мушкетон владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Мушкетон владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Пахнет золотом и порохом"".",26,1,3,30,1000,3139,0,14400,1,0,439388,3467,0,0,0,0,0,0
Штормовой мушкетон владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Штормовой мушкетон владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.",27,1,3,40,1500,3139,0,14400,5,0,0,4161,0,0,0,0,0,0
Теплая шерстяная шапка,"|cFF00ccffОблик The War Within|r|n|nОткрывает внешний вид снаряжения ""Теплая шерстяная шапка"".|n|n""Даже самым загорелым пиратам иногда бывает холодно"".",28,1,7,10,250,3139,0,14400,1,0,439445,3484,0,0,0,0,0,0
Шляпа штормового капитана,"|cFF00ccffОблик The War Within|r|n|nОткрывает внешний вид снаряжения ""Шляпа штормового капитана"".|n|n""Отличная шляпа для превозмогающего бури капитана!""",29,1,7,20,250,3139,0,14400,1,0,439446,3483,0,0,0,0,0,0
Залихватская шапка первого помощника,"|cFF00ccffОблик The War Within|r|n|nОткрывает внешний вид снаряжения ""Залихватская шапка первого помощника"".|n|n""Под этой шапкой можно припрятать еще немного награбленного"".",30,1,7,30,1000,3139,0,14400,5,0,0,4162,0,0,0,0,0,0
Залихватский головной убор первого помощника,"|cFF00ccffОблик The War Within|r|n|nОткрывает внешний вид снаряжения ""Залихватский головной убор первого помощника"".|n|n""Пусть твой залихватский вид произведет впечатление на соперников"".",31,1,7,40,1000,3139,0,14400,5,0,0,4163,0,0,0,0,0,0
Адмиральская треуголка владыки грабежа,"|cFF00ccffОблик The War Within|r
|cFF1eff00Облик ""Пиратской бури""|r

Открывает внешний вид снаряжения ""Адмиральская треуголка владыки грабежа"". Часть крепкого наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.

""Шикарный головной убор с перьями, сидит как влитой"".",32,1,8,10,250,3139,0,14400,1,0,439355,3454,0,0,0,0,0,0
Штормовая треуголка владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Штормовая треуголка владыки грабежа"". Часть штормового наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.",33,1,9,10,1000,3139,0,14400,5,0,0,4164,0,0,0,0,0,0
Старая глазная повязка владыки грабежа,"|cFF00ccffОблик The War Within|r|n|nОткрывает внешний вид снаряжения ""Старая глазная повязка владыки грабежа"".|n|n""Можете надеть ее по центру, чтобы видеть все вровень"".",34,1,7,70,2000,3139,0,14400,5,0,0,4165,0,0,0,0,0,0
Старая шляпа владыки грабежа,"|cFF00ccffОблик The War Within|r|n|nОткрывает внешний вид снаряжения ""Старая шляпа владыки грабежа"".|n|n""Снимаем шляпу перед владыкой грабежа, а он снимает свою"".",35,1,7,80,2000,3139,0,14400,5,0,0,4166,0,0,0,0,0,0
Монокль владыки грабежа,"|cFF00ccffОблик The War Within|r|n|nОткрывает внешний вид снаряжения ""Монокль владыки грабежа"".|n|n""Очень помогает смотреть одним глазом"".",36,1,7,90,500,3139,0,14400,1,0,443376,3623,0,0,0,0,0,0
Украшенный наплеч владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Украшенный наплеч владыки грабежа"". Часть крепкого наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.",37,1,8,20,250,3139,0,14400,1,0,439380,3462,0,0,0,0,0,0
Штормовой наплеч владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Штормовой наплеч владыки грабежа"". Часть штормового наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.",38,1,9,20,1000,3139,0,14400,5,0,0,4167,0,0,0,0,0,0
Пелерина суровой погоды,"|cFF00ccffОблик The War Within|r|n|nОткрывает внешний вид снаряжения ""Пелерина суровой погоды"".|n|n""Название означает не то, что эта пелерина пережила натиск стихий, а то, что она защищает от него. Не прыгай в ней за борт"".",39,1,13,10,250,3139,0,14400,1,0,439456,3476,0,977,0,0,0,0
Плащ тихоступа,"|cFF00ccffОблик The War Within|r|n|nОткрывает внешний вид снаряжения ""Плащ тихоступа"".|n|n""Некоторые расхитители предпочитают действовать в тени"".",40,1,13,20,250,3139,0,14400,1,0,439455,3477,0,977,0,0,0,0
Ткани владыки грабежа,"|cFF00ccffОблик The War Within|r|n|nОткрывает внешний вид снаряжения ""Ткани владыки грабежа"".|n|n""Конечно же, в сочетании красного и золотого цветов"".",41,1,13,30,500,3139,0,14400,1,0,439379,3461,0,977,0,0,0,0
Штормовые ткани владыки грабежа,"|cFF00ccffОблик The War Within|r|n|nОткрывает внешний вид снаряжения ""Штормовые ткани владыки грабежа"".",42,1,13,40,1000,3139,0,14400,5,0,0,4168,0,977,0,0,0,0
Пряденая хлопковая рубашка,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Пряденая хлопковая рубашка"".|n|nЧасть ветхого наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.",43,1,5,10,250,3139,0,14400,1,0,439453,3478,0,0,0,0,0,0
Изящный багровый дублет,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Изящный багровый дублет"". Часть броского наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.",44,1,6,10,250,3139,0,14400,1,0,439454,3485,0,0,0,0,0,0
Камзол владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Камзол владыки грабежа"". Часть крепкого наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.|n|n""В камзоле каждый выглядит эффектно"".",45,1,8,30,250,3139,0,14400,1,0,439370,3455,0,0,0,0,0,0
Штормовой камзол владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Штормовой камзол владыки грабежа"". Часть штормового наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.",46,1,9,30,1000,3139,0,14400,5,0,0,4169,0,0,0,0,0,0
Гербовая накидка владыки грабежа,"|cFF00ccffОблик The War Within|r|nОткрывает внешний вид снаряжения ""Гербовая накидка владыки грабежа"".|n|n""У вас – сердце настоящего буканьера. Вы порадовали капитана Бочконога, доказали свою преданность команде и заслужили эту накидку. Носите ее с гордостью"".",47,1,10,10,5000,3139,0,14400,1,0,443375,3624,0,0,0,0,0,0
Манжеты владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Манжеты владыки грабежа"". Часть крепкого наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.|n|n""Золотые манжеты, достойные самых выдающихся пиратов"".",48,1,8,70,250,3139,0,14400,1,0,439375,3458,0,0,0,0,0,0
Штормовые манжеты владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Штормовые манжеты владыки грабежа"". Часть штормового наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.",49,1,9,70,250,3139,0,14400,5,0,0,4170,0,0,0,0,0,0
Перчатки юнги,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Перчатки юнги"". Часть ветхого наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.|n|n""Кожаные перчатки, в которых удобно собирать добычу"".",50,1,5,30,250,3139,0,14400,1,0,439457,3474,0,0,0,0,0,0
Полуперчатки афериста,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Полуперчатки афериста"". Часть броского наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.|n|n""Для негодяев с ловкими пальцами"".",51,1,6,30,250,3139,0,14400,1,0,439458,3475,0,0,0,0,0,0
Хвататели владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Хвататели владыки грабежа"". Часть крепкого наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.|n|n""Очень мягкие и шелковистые"".",52,1,8,50,250,3139,0,14400,1,0,439377,3459,0,0,0,0,0,0
Штормовые хвататели владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Штормовые хвататели владыки грабежа"". Часть штормового наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.",53,1,9,50,250,3139,0,14400,5,0,0,4171,0,0,0,0,0,0
Золотой кушак владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Золотой кушак владыки грабежа"". Часть крепкого наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.|n|n""Большая золотая пряжка в виде черепа отлично дополнит твой наряд"".",54,1,8,60,250,3139,0,14400,1,0,439373,3457,0,0,0,0,0,0
Штормовой кушак владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Штормовой кушак владыки грабежа"". Часть штормового наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.",55,1,9,60,250,3139,0,14400,5,0,0,4172,0,0,0,0,0,0
Плетеные штаны,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Плетеные штаны"". Часть броского наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.|n|n""Подарок от капитана, изготовленный специально для тебя!""",56,1,6,20,250,3139,0,14400,1,0,439452,3480,0,0,0,0,0,0
Стеганые брюки,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Стеганые брюки"". Часть ветхого наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.|n|n""Новые штаны для мягкой посадки"".",57,1,5,20,250,3139,0,14400,1,0,439451,3479,0,0,0,0,0,0
Элегантные штаны владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Элегантные штаны владыки грабежа"". Часть крепкого наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.|n|n""Теперь можешь хвастаться, что у тебя самые модные штаны"".",58,1,8,40,250,3139,0,14400,1,0,439378,3460,0,0,0,0,0,0
Штормовые штаны владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Штормовые штаны владыки грабежа"". Часть штормового наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.",59,1,9,40,500,3139,0,14400,5,0,0,4173,0,0,0,0,0,0
Кожаные тихоступы,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Кожаные тихоступы"". Часть броского наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.|n|n""Порой скрытность – лучшее оружие"".",60,1,6,40,250,3139,0,14400,1,0,439450,3482,0,0,0,0,0,0
Устойчивые сапоги,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Устойчивые сапоги"". Часть ветхого наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.|n|n""То, что нужно, чтобы крепко стоять и на палубе, и на суше"".",61,1,5,40,250,3139,0,14400,1,0,439448,3481,0,0,0,0,0,0
Грязеступы владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Грязеступы владыки грабежа"". Часть крепкого наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.|n|n""На самом деле их лучше не пачкать"".",62,1,8,80,250,3139,0,14400,1,0,439372,3456,0,0,0,0,0,0
Штормовые грязеступы владыки грабежа,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Штормовые грязеступы владыки грабежа"". Часть штормового наряда юнги в ""Пиратской буре"". Открыв все предметы в комплекте, вы сможете выбирать этот наряд у Да'каша Мракочета.",63,1,9,80,250,3139,0,14400,5,0,0,4174,0,0,0,0,0,0
Когтекрюк,"|cFF00ccffТранспорт The War Within|r

Открывает летающий транспорт ""Когтекрюк"".

""Всего один полет, и вы у него на крючке!""",64,1,2,50,5000,3139,0,14400,4,0,0,0,123755,80,0,0,0,0
Крошечная треуголка с перьями,"|cFF00ccffДруг The War Within|r|n|cFF1eff00Друг ""Пиратской бури""|r|n|nПризванный Пепе теперь иногда будет одет, как владыка грабежа. Обратитесь к Да'кашу Мракочету, чтобы призвать этого крошку-капитана в ходе ""Пиратской бури"".",66,1,14,20,500,3139,0,0,0,0,438055,0,0,0,1044996,0,0,0
Потемневший предупредительный знак,"|cFF00ccffИгрушка The War Within|r|n|nОткрывает игрушку ""Потемневший предупредительный знак"".|n|n""Отлично подойдет для любого пиратского пристанища"".",67,1,14,10,500,3139,0,14400,0,0,439490,0,0,0,2055032,0,0,0
Мешок награбленного с 250 торговыми жетонами,|cFF00ccffНаграда The War Within|r|n|nДобавляет 250 торговых жетонов в сундук коллекционера в Штормграде или Оргриммаре.,68,1,15,10,1000,3139,0,0,0,0,437507,0,0,0,975746,0,0,0
Сундук награбленного с 500 торговыми жетонами,|cFF00ccffНаграда The War Within|r|n|nДобавляет 500 торговых жетонов в сундук коллекционера в Штормграде или Оргриммаре.,69,1,15,20,2000,3139,0,0,0,0,437507,0,0,0,4696085,0,0,0
[PH] Happy,"|cFF00ccffThe War Within Pet|r

[PH] Unlocks the Happy pet.

""He's just excited to be here.""",72,2,16,10,0,0,0,0,0,0,0,0,118654,0,0,0,0,0
[PH] Bubbles,"|cFF00ccffThe War Within Pet|r

[PH] Unlocks the Bubbles pet.

""It followed you home!""",73,2,16,20,0,0,0,0,0,0,0,0,118078,0,0,0,0,0
[PH] Test Set,[PH] Test description of an equipment set.,74,2,17,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0
