ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
126,Дикая кровь,"Уменьшает время действия вражеских ядов, болезней и проклятий.","Уменьшает время действия ядов, болезней и проклятий.",2021576,3,36
127,Регенерация,После сосредоточения быстро восполняет здоровье.,Быстро восполняет здоровье.,1850550,0,31
128,Опека лоа,"Взывает к милости лоа, чтобы получить одно из шести мощных благословений.","Взывает к милости лоа, чтобы получить одно из шести мощных благословений.",1850548,1,31
129,Золотой город,Позволяет находить больше золота в добыче.,Находит больше золота в добыче.,1850547,2,31
130,Полет терродактиля,"Призывает терродактиля, чтобы замедлить падение.","Призывает терродактиля, чтобы замедлить падение.",1850549,3,31
131,Удар с размаху,"Сильный удар, оглушающий и отбрасывающий противника.","Наносит сильный удар, оглушая и отбрасывая противника.",2447782,0,32
132,Мастер на все руки,Повышает навыки всех профессий.,Бонус ко всем профессиям.,2447783,1,32
133,Стойкость старого морехода,Повышенное сопротивление магии льда и силам природы.,Повышенное сопротивление магии льда и силам природы.,2447784,2,32
134,Дитя морей,Быстрее плавает и дольше дышит под водой.,Быстрее плавает и дольше дышит под водой.,2447781,3,32
135,Как с гуся вода,Повышает универсальность и возвращает часть полученного урона в виде исцеления.,Бонус к универсальности. Часть полученного урона возвращается в виде исцеления.,2447780,4,32
144,Излучатель органического света,"Создает копии, отвлекающие внимание противников.","Создает копии, отвлекающие внимание противников.",3192686,0,37
145,Мастер на все руки,Вы можете заниматься профессиями где угодно.,Может заниматься профессиями где угодно.,3192687,2,37
146,Боевой анализ,"Во время боя вы изучаете противников, получая постепенно увеличивающийся бонус.",Постепенно становится сильнее во время боя.,3192685,1,37
147,Чудо-отмычка,Позволяет взламывать замки.,Может взламывать замки.,3192689,3,37
148,Аварийная система безопасности,"Автоматически восполняет здоровье, когда вы серьезно ранены.",Автоматически исцеляется при серьезных ранениях.,3192688,4,37
149,Набор хитростей/Встряхнуть сумку,"Хитрость наносит урон противнику или исцеляет союзника. Ищите новые хитрости, исследуя мир.","Использует хитрые трюки, нанося урон противникам или исцеляя союзников.",3193416,0,35
150,Разбить лагерь/Вернуться в лагерь,"Разбивает уютный лагерь, в который вы можете возвращаться.",Может выбрать любое место в мире и разбить в нем лагерь.,3193418,1,35
151,Нюх на неприятности,Вы получаете меньше урона от первой атаки противника.,Получает меньше урона от первой атаки противника.,3193419,2,35
152,Седельные сумки альпаки,В вашем рюкзаке 8 дополнительных ячеек.,8 дополнительных ячеек в рюкзаке.,3193421,3,35
153,Сопротивление огню,Уменьшает получаемый урон от огня.,Повышенное сопротивление огню.,3193417,4,35
248,Облегчение бремени,"Вы превращаетесь в облако чистой анимы, существенно повышая скорость передвижения, снижая скорость падения и устремляясь вперед.

На время действия эффекта уменьшает дистанцию, на которой вас могут обнаружить противники.",,298642,0,15
249,Божественный благовест,"Мгновенно применяет усиленный ""Шок небес"", ""Щит мстителя"" или ""Правосудие"", поражая находящиеся рядом цели.",,133706,1,15
250,Слияние,"Вы вселяетесь в союзника или противника. Противники не могут выбрать вас целью, но и вы не можете атаковать или применять заклинания.

Если уровень противника равен вашему или ниже, вы можете управлять им в течение времени действия эффекта.",,237147,0,16
251,Клятва на крови,"Вы приносите клятву на крови, снимая с себя большую часть отрицательных эффектов. При этом ваши способности наносят дополнительный урон и восполняют дополнительное здоровье в объеме здоровья, затраченного на применение этой способности.",,133523,0,16
252,Облик духа-покровителя,"Вы принимаете облик призрачной лисы. Ваша скорость передвижения повышается, а противники не обращают на вас внимания.",,797544,0,17
253,Призыв рощи Света,"Вы создаете рощу Света в указанной области, восполняя здоровье себе и раненому союзнику раз в 3 сек.

""Правосудие"", применяемое к противникам в области действия ""Рощи Света"", может мгновенно восстановиться.",,135931,0,17
254,Врата теней,"Вы проходите сквозь тень, появляясь в указанной точке.",,134430,0,18
255,Пепельный закат,"Вы собираете энергию Света, вытягивая здоровье из находящихся поблизости противников и восполняя здоровье в том же объеме.

Если эта способность поражает хотя бы одного противника, ваша следующая способность гарантированно имеет критический эффект.",,461857,0,18
490,Слияние с тенью,Маскировка в тени.,Маскируется в тени.,132089,0,4
491,Расторопность,Повышенная вероятность уклонения от ударов.,Повышенная вероятность уклонения от ударов.,132279,1,4
492,Дух огонька,Бонус к скорости передвижения в облике огонька.,Бонус к скорости передвижения в облике огонька.,136116,2,4
493,Сопротивление силам природы,Повышенное сопротивление силам природы.,Повышенное сопротивление силам природы.,136094,3,4
494,Неуловимость,Бонус к скорости передвижения в состоянии незаметности.,Быстрее передвигается в состоянии незаметности.,132280,4,4
495,Прикосновение Элуны,Бонус к скорости атаки по ночам и к вероятности критического удара днем.,Бонус к скорости атаки по ночам и к вероятности критического удара днем.,135900,5,4
496,Мастер побега,Может избавляться от затрудняющих передвижение эффектов.,Может избавляться от затрудняющих передвижение эффектов.,132309,0,7
497,Пытливый ум,Запас ресурса увеличен.,Увеличенный запас ресурса.,132864,1,7
498,Сопротивление тайной магии,Повышенное сопротивление тайной магии.,Повышенное сопротивление тайной магии.,136116,2,7
499,Призвание - инженер!,Навык инженерного дела повышен.,Бонус к инженерному делу.,134063,3,7
500,Быстрые пальцы,Бонус к скорости атаки.,Бонус к скорости атаки.,135641,4,7
501,Резьба по камню,Навык ювелирного дела повышен.,Бонус к ювелирному делу.,135998,0,11
502,Дар наару,"Периодическое исцеление, которое можно применить к себе или к союзникам.",Периодически исцеляет себя или союзников.,135923,1,11
503,Боевой дух,"Повышенная ловкость, сила и интеллект.","Бонус к ловкости, силе и интеллекту.",133123,2,11
504,Сопротивление темной магии,Повышенное сопротивление темной магии.,Повышенное сопротивление темной магии.,136152,3,11
505,Легкость тьмы,Может на время повышать скорость передвижения.,Может на время повышать скорость передвижения.,366937,0,22
506,Озлобленность,Бонус к вероятности критического удара.,Бонус к вероятности критического удара.,132203,1,22
507,Аберрация,Повышенное сопротивление темной магии и силам природы.,Повышенное сопротивление темной магии и силам природы.,136121,2,22
508,Живодер,Бонус к навыку и скорости снятия шкур.,Бонус к навыку и скорости снятия шкур.,132140,3,22
509,Сотрясающая ладонь,Может усыплять противников прикосновением.,Может усыплять противников прикосновением.,572035,0,24
510,Внутренняя гармония,Внутренняя гармония увеличивает бонус к опыту после отдыха вдвое.,Двойной бонус к опыту после отдыха.,572034,1,24
511,Эпикуреизм,Бонус к эффектам сытости.,Бонус к эффектам сытости.,571692,2,24
512,Гурман,Бонус к кулинарии.,Бонус к кулинарии.,571693,3,24
513,Прыгучесть,Уменьшает урон от падения.,Получает меньше урона от падения.,572033,4,24
514,Кровавое неистовство,На время увеличивает наносимый урон.,На время увеличивает наносимый урон.,135726,0,2
515,Твердость,Повышенное сопротивление оглушению.,Повышенное сопротивление оглушению.,133125,1,2
516,Властность,Увеличивает урон питомцев.,Питомцы наносят больше урона.,132366,2,2
517,Громовая поступь,Оглушает находящихся рядом противников.,Оглушает находящихся рядом противников.,132368,0,6
518,Закалка,Бонус к выносливости.,Бонус к выносливости.,136112,1,6
519,Проращивание,Бонус к травничеству и скорости сбора трав.,Бонус к травничеству и скорости сбора трав.,133938,2,6
520,Сопротивление силам природы,Повышенное сопротивление силам природы.,Повышенное сопротивление силам природы.,136094,3,6
521,Грубая сила,Усиливает критические эффекты.,Усиленные критические эффекты.,134174,4,6
522,Берсерк,Повышает скорость атаки и применения заклинаний.,Может повысить скорость атаки и применения заклинаний.,135727,0,8
523,Регенерация,Повышает скорость регенерации.,Ускоренная регенерация.,136077,1,8
524,Убийство животных,"Получает больше опыта, убивая животных.","Получает больше опыта, убивая животных.",134357,2,8
525,Изворотливость вуду,Уменьшает время действия затрудняющих передвижение эффектов.,Время действия затрудняющих передвижение эффектов уменьшено.,134231,3,8
526,Родство с чарами,Бонус к наложению чар.,Бонус к наложению чар.,132876,0,10
527,Волшебный поток,"Может восполнять ресурсы, такие как мана и энергия.","Может восполнять ману, энергию и другие ресурсы.",136222,1,10
528,Волшебный поток,Может снимать магические эффекты с находящихся рядом противников.,Может снимать магические эффекты с находящихся рядом противников.,136222,2,10
529,Сопротивление тайной магии,Повышенное сопротивление тайной магии.,Повышенное сопротивление тайной магии.,136120,3,10
530,Реактивный прыжок,Может совершать реактивный прыжок вперед.,Может совершать реактивный прыжок вперед.,370769,0,9
531,Ракетный обстрел,Может запускать ракеты в противников.,Может запускать ракеты в противников.,133032,1,9
532,Самые выгодные цены!,Получает скидки у торговцев.,Получает скидки у торговцев.,369760,2,9
533,Подручный хобгоблин,"Может призвать подручного, дающего доступ к банку.",Может призывать персональный банк.,370211,3,9
534,Время - деньги,Повышает скорость.,Бонус к скорости.,369214,4,9
535,Занимательная химия,Бонус к алхимии и эффективности зелий.,Бонус к алхимии и эффективности зелий.,370670,5,9
606,Парение / Планирование,Планирует на крыльях по воздуху и взлетает с высоких точек.,Планирует на крыльях по воздуху и взлетает с высоких точек.,4622485,0,52
607,Скорый взлет,"Используйте навыки высшего пилотажа, чтобы уверенно парить в небе и чаще подниматься в воздух","Используйте навыки высшего пилотажа, чтобы уверенно парить в небе и чаще подниматься в воздух",4622483,1,52
608,Взмах крыльями,Отбрасывает противников ударом крыльев.,Отбрасывает противников ударом крыльев,4622486,2,52
609,Пробуждение,Бонус к искусности.,Бонус к искусности.,4622481,3,52
610,Прозорливый взгляд,Больше редких реагентов во время сбора материалов.,Больше редких реагентов во время сбора материалов.,4630415,4,52
611,Парение / Планирование,Планирует на крыльях по воздуху и взлетает с высоких точек.,Планирует на крыльях по воздуху и взлетает с высоких точек.,4622485,0,70
612,Скорый взлет,"Используйте навыки высшего пилотажа, чтобы уверенно парить в небе и чаще подниматься в воздух","Используйте навыки высшего пилотажа, чтобы уверенно парить в небе и чаще подниматься в воздух",4622483,1,70
613,Взмах крыльями,Отбрасывает противников ударом крыльев.,Отбрасывает противников ударом крыльев,4622488,2,70
614,Пробуждение,Бонус к искусности.,Бонус к искусности.,4622481,3,70
615,Прозорливый взгляд,Больше редких реагентов во время сбора материалов.,Больше редких реагентов во время сбора материалов.,4630415,4,70
616,Выброс азерита,Наносит урон от огня противникам и восстанавливает здоровье союзникам.,Наносит урон от огня противникам и восстанавливает здоровье союзникам.,5788297,0,84
617,Поглощение минералов,"Дает эффект ""Сытость"" при поедании самоцветов.",Ешьте самоцветы и оставайтесь сыты.,5788301,1,84
618,Гиперпродуктивность,"Точность повышена, что позволяет собирать дополнительные материалы.",Позволяет иногда собирать больше материалов.,5788298,2,84
619,Выкованный титанами остов,Усиливает броню.,Усиливает броню.,5788302,3,84
620,Неуемная любознательность,Дает больше опыта за исследование новых зон.,Дает больше опыта за исследование.,5788303,4,84
621,Выброс азерита,Наносит урон от огня противникам и восстанавливает здоровье союзникам.,Наносит урон от огня противникам и восстанавливает здоровье союзникам.,5788297,0,85
622,Поглощение минералов,"Дает эффект ""Сытость"" при поедании самоцветов.",Ешьте самоцветы и оставайтесь сыты.,5788301,1,85
623,Гиперпродуктивность,"Точность повышена, что позволяет собирать дополнительные материалы.",Позволяет иногда собирать больше материалов.,5788298,2,85
624,Выкованный титанами остов,Усиливает броню.,Усиливает броню.,5788302,3,85
625,Неуемная любознательность,Дает больше опыта за исследование новых зон.,Дает больше опыта за исследование.,5788303,4,85
634,Спокойное созерцание,При активации восстанавливает здоровье и ману вне боя.,Восстанавливает здоровье и ману вне боя,1499566,5,84
635,Спокойное созерцание,При активации восстанавливает здоровье и ману вне боя.,Восстанавливает здоровье и ману вне боя,1499566,5,85
