ID,OverrideName_lang,Field_9_1_0_38709_001_lang,Flags
313,Иссушительница,,1
314,Больная рубака,,1
315,Рубака-иссушительница,,1
316,Поджаренные зандаларские чили,,0
317,Чудесная метла,,1
318,Жаждущая маны друза,,1
319,Главарь банды бесов,,1
320,Вальтрукс,,0
321,Перерожденный искатель бури,,0
322,Вендертван,Расколотое Пламя,0
323,Калесгос,Призыв карты,0
324,Немного леденящий кристалл,,0
325,Слегка леденящий кристалл,,0
326,Умеренно леденящий кристалл,,0
327,Изрядно леденящий кристалл,,0
328,Застывший насыщатель,,0
329,Камнекорень Разгневанный,,0
330,Боб,,0
331,Крепкошкур,,0
332,Мистер Кусака,,0
333,Барон фон Крылокус,,0
334,Лорд Хохогонек,,0
335,Изысканный стул,,1
336,Фонарный столб,,1
338,Горящий источник тепла,,0
339,Порождение Света,,0
340,Порождение Бездны,,0
341,Ша-монстр,,0
342,,,1
343,Уничтоженный контейнер с образцом,,0
344,Побежденный драктир,,0
345,Освобожденный таурен,,1
346,Воин стихий из клана Нокхуд,,0
347,Запись о найденной реликвии,,0
348,Теневой облик,,1
349,Fallen Dragon,,0
350,Лучший костюм,Наденьте это немедленно!,0
351,Фермер Сальден,Гильдия хлеборобов,0
352,Сальма Сальден,Гильдия хлеборобов,0
353,Хронорми,,0
354,Ослабленная гниль,,0
355,Артефакт древних кентавров,,0
356,Шмякс,,0
357,Просто камень,,0
358,,Длань Короля-лича,0
359,,,1
360,Старинное сокровище ниффов,,0
361,Грубый глиняный кувшин драконов,,0
362,Огненный древень,,1
363,Обновленный древень,,1
364,Опаленный древень,,1
365,,Порча Скверны,0
366,,Предатель фракции,0
367,Миша,,0
368,Устаревший учебник геологии,,0
369,Распустившийся цветок,,1
370,Запас голубого меда,,0
371,Оскверненный герой,,0
372,Древний драконий флакон,,0
373,Арзал'кал,,0
374,Подчиняющий разум Гур'ша,,1
375,Потемневшая луковица,,1
376,Обновленный колючий барьер,,1
377,Обугленные колючки,,1
378,Опаляющие корни,,1
379,Опаляющие колючки,,1
380,"Лародар, аватара пепла",,1
381,Археолог-ассистент,,0
382,Ошеломленный элементаль,,0
383,Командир Стражей,,1
384,Стражница-новобранец,,1
385,Дарнасский маг-ученик,,1
386,Усиленный элементаль,,0
387,Лилиюна,Дитя шипов,0
388,Аргир,Дитя шипов,0
389,Астера,Дитя шипов,0
390,Опыленный пеплом зверь,,0
391,Благодарный Древний,,0
392,Мохошерст Путеземья,,0
393,Чужак,Не отсюда,0
394,Чудесный дракончик,,0
395,Void Touched Elemental [PH],,0
396,Огромный артефакт кентавров,,0
397,Сохранившиеся драконьи припасы,,0
398,Сгустившийся слизнюк,,1
399,Украденная добыча ниффов,,0
400,Сундук дракона-ученого,,0
401,Древо войны,,1
402,Древо мудрости,,1
403,Древо ветров,,1
404,Test,,1
405,Жертва превращения,,1
406,Дремлющий друид,,0
407,Ферин,,1
408,Странная почва,,1
409,Алекстраза Хранительница жизни,Аспект Жизни,0
410,Меритра,Аспект Снов,0
411,Калесгос,Аспект Магии,0
412,Абиссиан,Аспект Земли,0
413,Ноздорму,Аспект Времени,0
414,Виранот,Аспект Бурь,0
415,Разведчик Уэйшельм,,1
416,Тралл,,0
417,Ольбариг,,0
418,Хладножабр – пастух крабов,,0
420,Захваченная вышка,,1
421,Совершенно обычный кобольд,,0
422,Подпевала,Старший поддакиватель,0
423,Подхалим,Управляющий поддакиватель,0
424,Потворщик,Ведущий поддакиватель,0
425,Обезумевший во тьме боров,,1
426,Магни?,,1
427,Марионетка кукловода,,1
428,Око королевы,,0
429,Вознесенная королева Нефересс,,0
430,Подозрительный нифф,,0
431,Люфсела,Страж бури,0
432,Непокорный зверь,,1
433,Почетный горожанин,,0
434,Сабриана Печальный Взгляд,,0
435,Осененный мраком острокоготь,,0
436,Осененный мраком криворог,,0
437,Осененный мраком дикий детеныш,,0
438,Осененный мраком краб,,0
439,"""Зи-Зи""",,0
440,Фильго Ломастер,,0
441,Гнилочерн,,0
442,Кэлла Темный Локон,,0
443,Гарольд Уинстон,,0
444,Скильдмарк,,0
445,Осененный мраком краб-бегун,,0
446,Осененный мраком волнорез,,0
447,Осененный мраком глубинный охотник,,0
448,Осененный мраком мелководник,,0
449,Хаимаз,,0
450,Даларанский страж-чародей,Кирин-Тор,0
451,Визирь,,0
452,Верховный глашатай Бринте,,0
453,Зараженный выживший,,0
454,Холмовой собиратель,,0
455,Плененный зверь,,1
456,Завороженный житель,,0
457,Пойманный земельник,,0
458,Паутинный ужас,,0
459,Герой из воспоминания,,0
460,Осененный мраком подземный ползун,,0
461,Осененный мраком глинорог,,0
462,Осененный мраком плодовый жужжальщик,,0
463,Осененный мраком медведь,,0
464,Осененный мраком матриарх,,0
465,Осененный мраком тритон,,0
466,Осененная мраком саламантера,,0
467,Осененная мраком псина,,0
468,Осененный мраком мотылек,,0
469,Осененный мраком глубинный паук,,0
470,Голем из Каменного Свода,Страж оплота,0
471,Осененный мраком червегрыз,,0
472,Ужасающий бэльгат,,0
473,Осененная мраком рычащая дворняга,,0
474,Осененный мраком орел,,0
475,Осененный мраком дрессированный дичок,,0
476,Осененный мраком таящийся дичок,,0
477,Осененный мраком нетопырь,,0
478,Осененный мраком паук,,0
479,Зараженный спорами летающий роевик,,0
480,Осененная мраком быстрокрылка,,0
481,Спящий голем,,0
482,,Злой двойник,0
483,Велисия Стилстрайк,,1
484,Осененный мраком илогрыз,,0
485,Осененная мраком оса-сладкоежка,,0
486,Кислотный трутень,,1
487,Осененный мраком жук,,0
488,Осененный мраком кодьяк,,0
489,Осененный мраком медвежонок,,0
490,Ярость Беледар,,0
491,Осененный мраком краб-бегун,,0
492,Гнев Беледар,,0
493,Осененный мраком лосось,,0
494,Осененный мраком окунь,,0
495,Осененный мраком морской ястреб,,0
496,Подсолнушек,,1
497,Ауралия Стилстрайк,,1
498,Осененный мраком краб-бегун,,0
499,Горожанин из Дорнагала,,0
500,Халтурик,Свечи,0
501,Осененный мраком окунь,,0
502,Осененный мраком угорь,,0
503,Осененный мраком пещерный медведь,,0
504,Осененная мраком щука,,0
505,Осененный мраком грязекус,,0
506,Осененная мраком мать стаи,,0
507,Осененный мраком быстрокрыл,,0
508,Осененная мраком гончая Тьмы,,0
509,Осененный мраком щенок,,0
510,Осененная мраком рыба,,0
511,Осененная мраком мимарида,,0
512,Самая обыкновенная крыса,,0
513,Осененная мраком рысь,,0
514,Элис Искрагриль,,0
517,Комендант Темных Когтей,,1
518,Комендант Обсидиановых Хранителей,,1
519,Темный Коготь в стазисе,,1
521,Мистер Робот,,0
522,Конструктор XT-003,,0
524,Неисправный мотоцикл,,0
525,Лучший костюм,Модная лихорадка,0
527,Осведомленный горожанин,,0
528,Плохо осведомленный горожанин,,0
529,Освобожденный житель,,0
530,,,0
532,Технический ассистент молнии,,0
533,Технический ассистент пламени,,0
534,Технический ассистент монеты,,0
535,Технический ассистент бомбы,,0
536,Бранн Бронзобород,Алгарийская экспедиция,0
551,Намоченная мохошерсть,,0
552,Отреставрированный лязгун,,0
556,Насыщенный землегнев,,0
567,Отважный революционер,,1
568,Сокрушительница из картеля Мрачных Минеров,,1
