ID,Title_lang,InternalTitle,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
124,亞登曠野的林地,9.0 Shadowlands - Narrative Arc - Ardenweald (ZTO/KRB),你帶著要給凜冬女王的重要消息。前往亞登曠野的空中林地找她。,5301,0,84196,89060,0,85362,21,0,0,105475,0
125,暗影之境戰役,9.0 Shadowlands Campaign - TSH/ZTO/SMD,這是通用戰役任務追蹤區塊，適用於介於暗影之境兩場戰役之間的玩家。,5362,0,89137,89138,89140,0,26,0,0,105475,0
126,朦朧的黑暗,9.0 Shadowlands - Covenant Campaign - Oribos - Campaign Bridge to Covenant Choice,在戴納瑟斯的陰謀曝光後，你必須決定如何應對。,5284,0,85641,89059,0,0,26,0,0,105475,0
130,暗影之境,9.0 Shadowlands - Alt Mode Flagging (Not a Real Campaign) - GJC,,0,0,5703,5703,0,0,0,1,0,0,0
131,命運絲線,9.0 Shadowlands - Alt Mode / Time Skip Mode - GJC,,0,0,87258,89064,0,0,26,0,0,105475,0
133,誓盟導覽,9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Bastion - GJC,,0,0,5703,5703,0,0,0,0,0,0,0
134,誓盟導覽,9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Maldraxxus - GJC,,0,0,5703,5703,0,0,0,0,0,0,0
135,誓盟導覽,9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Ardenweald - Yes Play - GJC,,0,0,5703,5703,0,0,0,0,0,0,0
136,誓盟導覽,9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Ardenweald - No Play - GJC,,0,0,5703,5703,0,0,0,0,0,0,0
137,誓盟導覽,9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Revendreth - GJC,,0,0,5703,5703,0,0,0,0,0,0,0
138,統御之鏈,9.1 Shadowlands Campaign - Chains of Domination,呈現9.1新內容的戰役。,5362,0,92542,92543,92550,0,26,0,5,105475,0
140,迎頭趕上！,9.1 Shadowlands - Skip to 9.1 Outdoor Content (Not a Real Campaign) - ALL - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
141,迎頭趕上！,zzOLD9.1 Shadowlands - Skip to 9.1 Outdoor Content (Not a Real Campaign) - Bastion - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
142,迎頭趕上！,zzOLD9.1 Shadowlands - Skip to 9.1 Outdoor Content (Not a Real Campaign) - Maldraxxus - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
143,迎頭趕上！,zzOLD9.1 Shadowlands - Skip to 9.1 Outdoor Content (Not a Real Campaign) - Revendreth - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
144,迎頭趕上！,zzOLD9.1 Shadowlands - Skip to 9.1 Campaign Complete (Not a Real Campaign) - Ardenweald - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
145,迎頭趕上！,zzOLD9.1 Shadowlands - Skip to 9.1 Campaign Complete (Not a Real Campaign) - Bastion - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
146,迎頭趕上！,zzOLD9.1 Shadowlands - Skip to 9.1 Campaign Complete (Not a Real Campaign) - Maldraxxus - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
147,迎頭趕上！,zzOLD9.1 Shadowlands - Skip to 9.1 Campaign Complete (Not a Real Campaign) - Revendreth - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
148,Intro Start,9.1 PTR - Skip to 9.1 Campaign Start (Not a Real Campaign) - Ardenweald - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
149,Intro Start,9.1 PTR - Skip to 9.1 Campaign Start (Not a Real Campaign) - Bastion - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
150,Intro Start,9.1 PTR - Skip to 9.1 Campaign Start (Not a Real Campaign) - Maldraxxus - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
151,Intro Start,9.1 PTR - Skip to 9.1 Campaign Start (Not a Real Campaign) - Revendreth - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
153,9.0 誓盟戰役第2章 - 托迦司,9.0 Shadowlands - Alts - Cov 2 Torghast Flagging (Not a Real Campaign) - ZTO,解鎖找到貝恩與符刻師的前置任務,0,0,5703,5703,0,0,0,0,0,0,0
154,托迦司故事進度跳過,9.1 Shadowlands - Skip 9.0 Torghast Story Progression (Not a Real Campaign) - ALL - ZTO,,0,0,5703,5703,0,0,0,0,0,0,0
155,9.0誓盟戰役第3章 - 窺探黑暗,9.0 Shadowlands - Alts - Cov 3 Peering Into Darkness Flagging (Not a Real Campaign) - ZTO,完成安杜因的展示與過場動畫,0,0,5703,5703,0,0,0,0,0,0,0
156,暗影之境,9.1.5 Shadowlands - Level 60 Boost (Not a Real Campaign) - TRJ,,0,0,5703,5703,0,0,0,1,0,0,0
157,萬應寶盒介紹,9.1.5 Shadowlands - Alts - Flag Box of Many Things Campaign - (STM),,0,0,5703,5703,0,0,0,0,0,0,0
158,首創者的秘密,9.2 Shadowlands - Campaign - Secrets of the First Ones,呈現9.2全新內容的戰役。,5408,0,94855,0,94857,0,31,0,10,105475,0
159,甦醒吧，半龍人,10.0 The Forbidden Reach - Narrative Arc - Alliance (ZTO),半龍人喚能師新手區域，區域0，聯盟,5467,0,99583,96647,99952,0,46,0,0,0,0
160,迎頭趕上！,9.1.5 Shadowlands - Skip - Maw Intro (Not a Real Campaign) - EJL,,0,0,5703,5703,0,0,0,0,0,0,0
161,迎頭趕上！,9.2 Shadowlands - Week 1 Skip (Not a Real Campaign) - All - (LWB),,0,0,5703,5703,0,0,0,0,0,0,0
162,開場開始,9.2 ZM - PTR - Skip to 9.2 Campaign Start (Not a Real Campaign) - (LWB),,0,0,5703,5703,0,0,0,0,0,0,0
163,開場開始,9.2 ZM - PTR - Skip to Chapter 4 (Not a Real Campaign) - (LWB),,0,0,5703,5703,0,0,0,0,0,0,0
164,跳至第6章,9.2 ZM - PTR - Skip to Chapter 6 (Not a Real Campaign) - (LWB),,0,0,5703,5703,0,0,0,0,0,0,0
165,龍鱗遠征隊,10.0 Dragonflight - Narrative Arc - Intro (JDA)(EJL),(從奧格瑪/暴風城)至低地紮營開場,5468,0,102780,102780,0,0,50,0,0,105477,0
166,雍亞拉平原,10.0 Dragonflight - Narrative Arc - Ohn'ahran Plains (JLW),平原升級任務,5469,0,102798,102798,0,0,48,0,0,104511,0
167,跳至第5章,9.2 ZM - PTR - Skip to Chapter 5 (Not a Real Campaign) - (LWB),,0,0,5703,5703,0,0,0,0,0,0,0
168,跳至第7章,9.2 ZM - PTR - Skip to Chapter 7 (Not a Real Campaign) - (LWB),,0,0,5703,5703,0,0,0,0,0,0,0
169,甦醒海岸,10.0 Dragonflight - Narrative Arc - Waking Shores (JDA),低地升級任務,5471,0,102781,102781,0,0,49,0,0,104511,0
173,甦醒吧，半龍人,10.0 The Forbidden Reach - Narrative Arc - Horde (ZTO),半龍人喚能師新手區域，區域0，部落,5467,0,99584,96645,99954,0,46,0,0,0,0
174,蒼藍高地,10.0 Dragonflight - Narrative Arc - Azure Span - (STM),升級以前往區域3,5466,0,102804,0,0,0,47,0,0,104511,0
189,薩爪祖斯,10.0 Dragonflight - Narrative Arc - Thaldraszus - KRB,升級以前往區域4,5470,0,102815,102815,0,0,51,0,0,104511,0
190,夢旅者,10.0 Dragonflight - Narrative Arc - Max - Greens (RMV) (DEPRECATED),最高等級綠龍區域2,5469,0,21439,21439,0,0,48,0,0,0,34450
191,跳過專業技能教學,10.0 - Professions Onboarding Skip (Not a Real Campaign) (JoshAM),,0,0,5703,5703,0,0,0,0,0,0,0
192,沃卓肯協調者,10.0 Dragonflight - Narrative Arc - Max - Valdrakken Accord (JDA),最高等級提爾堡區域4,5470,0,104933,34450,0,0,51,0,0,0,34450
193,沃卓肯,10.0 Dragonflight - Valdrakken - Weekly Wrapper (LJS) (DEPRECATED),,5470,0,21439,21439,0,0,51,0,0,0,0
194,伊斯凱拉巨牙海民,10.0 Dragonflight - Narrative Arc - Max - Tuskarr (KNF),滿等名望的伊斯凱拉巨牙海民區域1,5471,0,104934,34450,0,0,49,0,0,0,34450
197,龍鱗遠征隊,10.0 Dragonflight - Narrative Arc - Max - Explorers Renown Campaign (SMART),龍鱗遠征隊名望劇情戰役,5468,0,104935,34450,0,0,50,0,0,0,34450
198,迎頭趕上！,9.10.0 Professions Quest - Skip Questline (Not a Real Campaign) (MA),,0,0,5703,5703,0,0,0,0,0,0,0
199,誓言母石,10.0 Dragonflight - Raid Opening - (Deprecated),10.0 - Raid Opening Quests,5470,0,21439,103947,0,0,51,0,0,0,0
200,黑曜龍堡,10.0 Waking Shores - Alts - Ch3 Skip Flagging Obsidian Citadel (Not a Real Campaign) - (MDE),,0,0,5703,5703,0,0,0,0,0,0,0
201,巨龍崛起,10.0 Max Level - Master Campaign - (STM),大師戰役,5468,0,104392,104392,104950,0,50,0,0,0,0
