ID,OverrideName_lang,Field_9_1_0_38709_001_lang,Flags
323,卡雷苟斯,卡牌召喚,0
324,稍微冰冷的水晶,,0
325,有點冰冷的水晶,,0
326,相當冰冷的水晶,,0
327,非常冰冷的水晶,,0
328,休眠灌注者,,0
329,暴怒的石根,,0
330,鮑伯,,0
331,硬鱗,,0
332,咬咬先生,,0
333,撲咬男爵,,0
334,焰笑領主,,0
335,華麗的椅子,,1
336,路燈,,1
338,點燃熱源,,0
339,聖光之子,,0
340,虛無之靈,,0
341,煞之異怪,,0
