Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
서리불꽃,"서리불꽃 마법사는 언뜻 보기에 양립할 수 없을 듯한 원소를 다룹니다. 상극을 이루는 힘에 통달함으로써 원소 공격을 강화하고, 하나로 합쳐 더욱더 강력한 위력을 발휘하기도 합니다.",41,27017,658
파수꾼,"파수꾼은 자연에서 힘을 끌어와 능력 사용 시 추가 비전 피해를 입히고, 달의 힘을 끌어내 적에게 파괴의 비를 내립니다.",42,27529,774
무리의 지도자,"무리의 지도자는 동물 동료를 비롯해 자연 그 자체와 형성한 유대를 바탕으로 전장에서 매서운 협동력을 발휘하며, 강력한 야수를 불러내 사냥감을 추적합니다.",43,27068,774
어둠 순찰자,"증오를 받아들이고 어둠 속에서 공격을 가하며, 어둠의 힘으로 강화된 괴저 주문으로 적을 괴로움에 빠뜨립니다. 이들의 능력으로 적을 쓰러뜨릴수록 암흑 마력이 더욱더 강화됩니다.",44,26679,774
기사단,"기사단은 그 어떤 것에도 굴하지 않고 악인에게 정의의 심판을 내립니다. 이들은 빛의 망치를 불러 내리며, 물리 공격과 신성 공격의 파괴적인 조합을 통해 적을 응징합니다.",48,26681,790
빛의 대장장이,빛의 대장장이는 빛을 다루는 뛰어난 실력을 바탕으로 빛을 물리적 실체가 있는 형태로 구현해 냅니다. 이를 통해 무기와 방어력을 강화하고 아군을 보호할 수 있습니다.,49,26680,790
태양의 사자,태양의 사자는 태양 및 태양 마력과 깊은 유대를 형성해 적을 불사르고 아군의 상처를 소작합니다. 빛과 완전히 연결된 상태일 때는 강력한 태양 광선을 실체화할 수도 있습니다.,50,26702,790
기만자,"기만자가 참여한 전투에서는 교묘한 속임수와 현란한 칼날이 난무합니다. 기만자는 눈속임이나 어지럽게 움직이는 검으로 상대의 주의를 분산시킨 다음, 예상치 못한 허점을 파고들어 상대를 베어버립니다.",51,27018,852
운명결속,"운명결속은 열렬히 운명의 손 역할을 수행하며 잘 짜여진 계획에 혼돈을 흩뿌립니다. 이들은 운명결속 동전을 뒤집으며 적에게 점지된 결말을, 어울리는 최후를 선사합니다.",52,27433,852
죽음추적자,죽음을 인도하는 죽음추적자는 어둠 속에서 공격을 가해 목표에게 빠른 최후를 선사합니다.,53,27432,852
토템술사,"토템술사는 토템의 모든 힘을 해방하고 강화하는 능력이 탁월하며, 새로운 토템을 손에 넣기도 합니다. 또한 이들은 주입 능력을 연마하여 근거리에서도 위협적인 힘을 발휘합니다.",54,26703,786
폭풍인도자,"폭풍인도자는 폭풍의 힘을 이용해 번개를 다루는 힘을 강화하고, 뜻대로 빚어냅니다. 이들은 강력한 폭풍을 일으켜 적을 혼돈의 도가니에 빠뜨리고, 지나간 자리에 처참한 파괴의 흔적만을 남깁니다.",55,26683,786
선견자,"이들은 영혼 마법을 이용해 주문 시전 역량을 강화하고, 선조의 영혼을 불러 자신과 아군을 돕게 합니다.",56,27019,786
영혼 수확자,"영혼의 내면에 숨겨진 힘을 다루는 자는 극소수에 불과하나, 악마라면 누구든 망자의 혼백을 갈망한다는 건 익히 알려진 사실입니다. 영혼 수확자는 뒤틀린 황천의 악마와 맹약을 맺어 숙주가 되어주며, 적의 영혼을 먹이로 내어주는 대신 막강한 힘을 받습니다.",57,27530,720
지옥소환사,"지옥소환사는 아제로스 전역의 사티르 갈래 중에서도 가장 큰 두려움을 받는 이들로, 자신의 영혼을 타락시키는 대가로 가장 부정한 암흑 마법과 혼돈의 지옥불을 엮어냅니다.",58,27746,720
악마학자,"군단의 패배로 많은 강력한 악마들이 해방되었습니다. 악마학자들은 한때 통제할 수 없다고 여겨졌던 강대한 악마를 지배하며, 뒤틀린 황천의 힘을 휘두릅니다.",59,26935,720
학살자,한 번 정한 목표가 있으면 집요하게 뒤쫓는 매서운 전사입니다. 힘과 강철의 맹공으로 적을 압도합니다.,60,26704,850
산왕,산왕은 호적수와 실력을 겨루기 위해 살아가는 흉포한 전사입니다. 이들은 대지와 폭풍의 힘을 끌어내 천둥벼락처럼 내리치는 일격으로 적을 압도합니다.,61,26684,850
거신,"숱한 전투를 헤쳐 나온 역전의 용사로, 다른 이라면 쓰러지고도 남을 공격을 가볍게 떨쳐냅니다. 나아가 전문가처럼 정확하고 막강한 일격을 가해 적을 처단합니다.",62,26765,850
천신의 대변자,"천신의 대변자는 위대한 천신회의 가르침에 헌신하며 그 지혜를 체현하고, 힘을 다룹니다. 경지에 오른 대변자는 모든 천신의 힘을 일시적으로 구사하기도 합니다.",64,27069,1000
음영파,음영파는 선조를 통해 배우고 친구와 가족을 지키기 위해 당당하게 적과 맞섭니다. 음영파는 때를 기다리며 힘을 모아 질풍과도 같은 공세를 펼쳐 적을 압도합니다.,65,27070,1000
조화의 종사,"조화의 종사는 육체적 완벽함을 추구하며, 정련된 육체를 순수한 힘으로 치환해 기의 흐름과 자연스러운 힘의 순환을 다룹니다.",66,27745,1000
폭풍인도자,"폭풍인도자는 폭풍의 힘을 이용해 번개를 다루는 힘을 강화하고, 뜻대로 빚어냅니다. 이들은 강력한 폭풍을 일으켜 적을 혼돈의 도가니에 빠뜨리고, 지나간 자리에 처참한 파괴의 흔적만을 남깁니다.",70,26683,1033
토템술사,"토템술사는 토템의 모든 힘을 해방하고 강화하는 능력이 탁월하며, 새로운 토템을 손에 넣기도 합니다. 또한 이들은 주입 능력을 연마하여 근거리에서도 위협적인 힘을 발휘합니다.",71,26703,1033
선견자,"이들은 영혼 마법을 이용해 주문 시전 역량을 강화하고, 선조의 영혼을 불러 자신과 아군을 돕게 합니다.",72,27019,1033
폭풍인도자,"폭풍인도자는 폭풍의 힘을 이용해 번개를 다루는 힘을 강화하고, 뜻대로 빚어냅니다. 이들은 강력한 폭풍을 일으켜 적을 혼돈의 도가니에 빠뜨리고, 지나간 자리에 처참한 파괴의 흔적만을 남깁니다.",73,26683,1034
토템술사,"토템술사는 토템의 모든 힘을 해방하고 강화하는 능력이 탁월하며, 새로운 토템을 손에 넣기도 합니다. 또한 이들은 주입 능력을 연마하여 근거리에서도 위협적인 힘을 발휘합니다.",74,26703,1034
선견자,"이들은 영혼 마법을 이용해 주문 시전 역량을 강화하고, 선조의 영혼을 불러 자신과 아군을 돕게 합니다.",75,27019,1034
PH,공격!,79,24179,1054
PH,보호막!,80,24199,1054
방어 담당,"브란이 동료와 수습한 첨단 장비, 믿음직한 산탄총과 함께 전투의 현장으로 돌격합니다.",81,24199,874
방어 담당,"브란이 동료와 수습한 첨단 장비, 믿음직한 산탄총과 함께 전투의 현장으로 돌격합니다.",82,24199,1060
치유 담당,브란이 의료 보급품과 수집한 유물로 부상당한 플레이어를 처치합니다.,83,24186,1060
공격 담당,브란이 아끼는 무기 든든한 동반자를 사용해 멀리서 적을 공격합니다.,84,24179,1060
치유 담당,브란이 의료 보급품과 수집한 유물로 부상당한 플레이어를 처치합니다.,98,24186,1151
방어 담당,"브란이 동료와 수습한 첨단 장비, 믿음직한 산탄총과 함께 전투의 현장으로 돌격합니다.",99,24199,1151
공격 담당,브란이 아끼는 무기 든든한 동반자를 사용해 멀리서 적을 공격합니다.,100,24179,1151
판금 사슬,육중하지만 무적에 가까움,104,0,775
로브,방호력은 약하지만 정신에 집중함,105,0,775
쇠사슬갑옷,튼튼하고 신축성이 뛰어난 방어구,106,0,775
