ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,PvpType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
884,코트모구의 사원,난투,,,0,50,70,6,6,6,1,6,0,32,0,0
885,길니아스 전투,난투,,,0,50,80,6,6,6,1,6,0,32,0,0
886,전쟁노래 협곡,난투,,,0,50,80,6,6,6,1,6,0,32,0,0
887,요리조리 대소동,,,,0,50,80,10,5,10,1,5,0,32,875925,0
890,들끓는 해안,점령,,,0,0,0,10,8,15,1,5,0,1,875925,0
893,8.0 BG Temp,점령,,,0,0,0,10,8,15,1,5,0,1,875925,0
894,들끓는 해안,자원 경쟁,,,0,40,80,10,5,10,1,5,0,24,1864730,0
897,갈고리 시장,,,,1,10,80,5,0,5,1,5,0,8,0,0
901,무작위 대규모 전장,,,,0,20,80,0,5,40,1,5,0,0,0,0
903,무감발라,,,,1,10,80,5,0,5,1,5,0,8,0,0
904,난투 - 모든 투기장,,,,1,50,80,3,3,3,1,3,0,32,525915,0
1014,전쟁노래 협곡,깃발 쟁취,,,0,10,80,10,5,10,1,5,1942,24,136365,0
1017,격전의 겨울손아귀,대규모 전장,,,0,20,80,25,10,40,1,5,0,152,136324,0
1018,아라시 분지,점령,,,0,10,80,10,8,15,1,5,1943,24,136322,0
1019,아라시 분지 인공지능 격파,,,,0,0,0,15,1,15,1,15,0,0,0,0
1020,아쉬란,대규모 전장,,,0,20,80,35,10,35,1,5,0,152,1398842,0
1021,클래식 아쉬란,끝없는 대규모 전장,,,0,20,80,25,10,25,1,5,1941,40,1398842,0
1022,아라시 분지,난투,,,0,50,80,10,8,15,1,5,0,32,136322,0
1025,로봇 전투장,,,,1,20,80,5,0,5,1,5,0,8,0,0
1029,무작위 전장,,,,0,10,60,25,5,40,1,5,0,1,525915,0
1030,격전의 겨울손아귀,대규모 전장,,,0,50,80,25,10,40,1,5,0,32,136324,0
1031,Programmer Map - Battlefield,,,,0,0,0,0,1,20,0,0,0,0,0,0
1033,콜라크의 복수,한정 기간 이벤트,,,0,20,80,25,10,40,1,40,1941,32,136324,0
1036,대규모 전장 - 아라시 격전지 (플레이어 간 전투),,,,0,0,0,40,10,40,1,5,0,1,0,0
1037,깊은바람 협곡,점령,,,0,40,80,10,8,15,1,5,0,24,875925,0
1039,깊은바람 협곡,점령,,,0,50,80,10,8,15,1,5,0,32,875925,0
1041,창공의 영지,,,,1,60,80,5,0,5,1,5,0,8,0,0
1047,무감발라,,,,0,50,80,5,0,15,1,5,0,32,0,0
1048,로봇 전투장,,,,0,50,80,5,0,15,1,5,0,32,0,0
1049,갈고리 시장,,,,0,50,80,5,0,15,1,5,0,32,0,0
1050,창공의 영지,,,,0,50,80,5,0,15,1,5,0,32,0,0
1053,무감발라,,,,1,10,80,6,6,6,0,3,0,76,0,0
1054,아샤메인의 몰락지,,,,1,10,80,6,6,6,0,3,0,76,1389175,0
1055,톨비론 투기장,,,,1,10,80,6,6,6,0,3,0,76,791652,0
1056,로봇 전투장,,,,1,10,80,6,6,6,0,3,0,76,0,0
1057,범의 봉우리,,,,1,10,80,6,6,6,0,3,0,76,875926,0
1058,로데론의 폐허,,,,1,10,80,6,6,6,0,3,0,76,460869,0
1059,나그란드 투기장,,,,1,10,80,6,6,6,0,3,0,76,460867,0
1060,갈고리 시장,,,,1,10,80,6,6,6,0,3,0,76,0,0
1061,창공의 영지,,,,1,10,80,6,6,6,0,3,0,76,0,0
1062,달라란 하수도,,,,1,10,80,6,6,6,0,3,0,76,460862,0
1063,칼날 산맥 투기장,,,,1,10,80,6,6,6,0,3,0,76,460861,0
1064,검은 떼까마귀 요새 투기장,,,,1,10,80,6,6,6,0,3,0,76,1389174,0
1065,모든 투기장,,,,1,60,80,6,6,6,0,1,0,76,525915,0
1066,말드락서스 대경기장,,,,1,20,80,5,0,5,1,5,0,8,3759934,0
1068,수수께끼 투기장,,,,1,60,60,5,0,5,1,5,0,9,0,0
1070,로데론의 폐허,,,,0,50,80,5,0,15,1,5,0,96,460869,0
1071,말드락서스 대경기장,,,,1,10,80,6,6,6,0,3,0,76,3759934,0
1075,깊은바람 대폭발,난투,,,0,50,80,10,8,15,1,5,0,32,875925,0
1076,수수께끼 도가니,,,,1,60,80,5,0,5,1,5,0,8,525915,0
1077,수수께끼 도가니,,,,1,60,80,0,0,6,0,1,0,76,0,0
1088,노쿠드 수련의 장,,,,1,61,80,5,0,5,1,5,0,8,0,0
1092,노쿠드 수련의 장,,,,1,61,80,6,6,6,1,3,0,76,0,0
1094,모든 투기장,,,,1,20,80,5,0,5,1,3,0,0,525915,0
1095,모든 투기장,,,,1,20,80,5,0,5,1,3,0,0,525915,0
1096,모든 투기장,,,,1,20,80,5,0,5,1,3,0,0,525915,0
1101,전장 대공세,,,,0,60,80,8,6,8,1,2,0,776,136324,0
1102,전쟁노래 협곡,난투,,,0,60,80,8,6,8,1,2,0,520,136365,0
1103,쌍둥이 봉우리,난투,,,0,60,80,8,6,8,1,2,0,520,525913,0
1104,길니아스 전투지,난투,,,0,60,80,8,6,8,1,2,0,520,460871,0
1105,은빛수정 광산,난투,,,0,60,80,8,6,8,1,2,0,520,791650,0
1106,코트모구의 사원,난투,,,0,60,80,8,6,8,1,2,0,520,791651,0
1107,폭풍의 눈,난투,,,0,60,80,8,6,8,1,2,0,520,460625,0
1108,아라시 분지,난투,,,0,60,80,8,6,8,1,2,0,520,136322,0
1109,깊은바람 협곡,난투,,,0,60,80,8,6,8,1,2,0,520,875925,0
1110,깊은광혈 협곡,자원 획득,,,0,19,80,10,5,10,1,5,0,24,6031736,0
1111,전장의 열기,난투,,,0,50,70,6,6,6,1,3,0,96,0,0
1112,노쿠드 수련의 장,,,,1,61,70,6,6,6,1,3,0,104,0,0
1117,살육의 우리,,,,1,61,80,5,0,5,1,5,0,8,0,0
1118,깊은광혈 협곡,난투,,,0,60,80,8,6,8,1,2,0,520,460625,0
1123,살육의 우리,,,,1,71,80,6,6,6,0,3,0,12,0,0
1134,살육의 우리,,,,1,10,80,5,0,5,1,5,0,8,460867,0
1142,살육의 우리,,,,0,50,80,5,0,15,1,5,0,96,791652,0
