ID,OverrideName_lang,OverrideTitle_lang,Flags
335,화려한 의자,,1
336,가로등불,,1
338,불 붙은 열원,,0
339,빛의 정령,,0
340,공허괴물,,0
341,샤 야수,,0
342,,,1
343,파괴된 표본 보관통,,0
344,제압된 드랙티르,,0
345,풀려난 타우렌 포로,,1
346,노쿠드 원시술사,,0
347,회수한 유물 기록,,0
348,어둠의 형상,,1
349,타락한 용,,0
350,우승 복장,멋의 대제전,0
351,농부 살딘,곡창 조합,0
352,살마 살딘,곡창 조합,0
353,크로노르미,,0
354,약화된 역병,,0
355,고대 켄타우로스 발견,,0
356,후려치기,,0
357,평범한 바위,,0
358,,리치 왕의 대리인,0
359,,,1
360,오래된 니펜 회수품,,0
361,소박한 용족 도자기,,0
362,이글거리는 나무정령,,1
363,소생한 나무정령,,1
364,그슬린 나무정령,,1
365,,지옥 마법으로 타락,0
366,,진영 배신자,0
367,미샤,,0
368,오래된 지질학 교과서,,0
369,활짝 핀 꽃송이,,1
370,푸른꿀 보관함,,0
371,지옥 마력에 타락한 용사,,0
372,고대 용의 약병,,0
373,아르잘칼,,0
374,환각술사 구르샤,,1
375,검게 물든 구근,,1
376,소생한 가시덤불 방벽,,1
377,그슬린 가시덤불,,1
378,작열하는 뿌리,,1
379,작열하는 가시덤불,,1
380,재의 화신 라로다르,,1
381,고고학자 조수,,0
382,압도당한 정령,,0
383,감시관 사령관,,1
384,감시관 수습생,,1
385,풋내기 다르나서스 마법사,,1
386,강화된 정령,,0
387,릴리우나,가시의 손길,0
388,아기르,가시의 손길,0
389,아스테라,가시의 손길,0
390,잿불꽃가루 야수,,0
391,감사해하는 고대정령,,0
392,산책골 이끼털,,0
393,침입자,부외자,0
394,요정용,,0
395,Void Touched Elemental [PH],,0
396,가공할 켄타우로스 발견품,,0
397,보존된 용족 보급품,,0
398,응결된 수액덩이,,1
399,부당 취득한 니펜 수익,,0
400,용족 학자의 보관함,,0
401,전쟁의 고대정령,,1
402,지식의 고대정령,,1
403,바람의 고대정령,,1
404,Test,,1
405,변이된 희생자,,1
406,잠든 드루이드,,0
407,페어린,,1
408,이상한 흙,,1
409,생명의 어머니 알렉스트라자,생명의 위상,0
410,메리스라,꿈의 위상,0
411,칼렉고스,마법의 위상,0
412,에비시안,대지의 위상,0
413,노즈도르무,시간의 위상,0
414,비라노스,폭풍의 위상,0
415,정찰병 웨이셸름,,1
416,스랄,,0
417,올바리그,,0
418,시원지느러미 게지기,,0
420,점유당한 기중기,,1
421,매우 평범한 코볼트,,0
422,찬성파,선임 아첨꾼,0
423,맞아요 경,사회 생활 중인 아첨꾼,0
424,공감 신사,수석 아첨꾼,0
425,어둠의 광기 돼지,,1
426,마그니?,,1
427,인형술사의 종복,,1
428,여왕의 눈,,0
429,승천자 여왕 네페레스,,0
430,수상한 니펜,,0
431,루프셀라,폭풍지기,0
432,반항하는 야수,,1
433,명예로운 시민,,0
434,사브리아나 소로우게이즈,,0
435,어둠에 물든 뾰족발톱,,0
436,어둠에 물든 굽이뿔,,0
437,어둠에 물든 야성적인 새끼 스라소니,,0
438,어둠에 물든 게,,0
439,"""지지""",,0
440,필고 스크랩바텀,,0
441,잉크롯,,0
442,캘라 그림락겟,,0
443,해럴드 윈스톤,,0
444,스키드마크,,0
445,어둠에 물든 딸깍이,,0
446,어둠에 물든 파도절단자,,0
447,어둠에 물든 심연추적자,,0
448,어둠에 물든 여울먹이꾼,,0
449,하이마즈,,0
450,달라란 주문수호병,키린 토,0
451,재상,,0
452,고위 대변자 브린테,,0
453,타락한 생존자,,0
454,언덕돌 청소부,,0
455,사로잡힌 야수,,1
456,넋을 잃은 시민,,0
457,사로잡힌 토석인,,0
458,거미줄 괴물,,0
459,기억 속의 영웅,,0
460,어둠에 물든 땅밑거미,,0
461,어둠에 물든 혈암뿔,,0
462,어둠에 물든 딸기붕붕이,,0
463,어둠에 물든 곰,,0
464,어둠에 물든 어미,,0
465,어둠에 물든 영원,,0
466,어둠에 물든 도롱뇽,,0
467,어둠에 물든 투견,,0
468,어둠에 물든 나방,,0
469,어둠에 물든 심연우물 거미,,0
470,바위금고 골렘,보루 수호자,0
471,어둠에 물든 아귀벌레,,0
472,무시무시한 어둠염소,,0
473,어둠에 물든 으르렁거리는 투견,,0
474,어둠에 물든 독수리,,0
475,어둠에 물든 길들인 투견,,0
476,어둠에 물든 잠복하는 투견,,0
477,어둠에 물든 박쥐,,0
478,어둠에 물든 거미,,0
479,포자주입 무리진드기,,0
480,어둠에 물든 금사연,,0
481,휴면 중인 골렘,,0
482,,악의 분신,0
483,바엘리시아 스틸스트라이크,,1
484,어둠에 물든 틈새뚫이,,0
485,어둠에 물든 달콤독침,,0
486,부식성 일벌레,,1
487,어둠에 물든 풍뎅이,,0
488,어둠에 물든 불곰,,0
489,어둠에 물든 새끼 불곰,,0
490,벨레다르의 분노,,0
491,어둠에 물든 총총게,,0
492,벨레다르의 천벌,,0
493,어둠에 물든 연어,,0
494,어둠에 물든 농어,,0
495,어둠에 물든 바다매,,0
496,해바라기 씨,,1
497,아우랄리아 스틸스트라이크,,1
498,어둠에 물든 딸깍이,,0
499,도르노갈 시민,,0
500,꼬질이,양초,0
501,어둠에 물든 농어,,0
502,어둠에 물든 장어,,0
503,어둠에 물든 동굴 곰,,0
504,어둠에 물든 강꼬치고기,,0
505,어둠에 물든 부정이빨,,0
506,어둠에 물든 무리어미,,0
507,어둠에 물든 날쌘날개,,0
508,어둠에 물든 암흑사냥개,,0
509,어둠에 물든 새끼 사냥개,,0
510,어둠에 물든 물고기,,0
511,어둠에 물든 요정벌레,,0
512,전적으로 평범한 쥐,,0
513,어둠에 물든 스라소니,,0
514,앨리스 그릴스파크,,0
515,무시 맥무스페이스,,1
516,세상에 둘도 없는 깜찍이,,1
517,검은 갈퀴발톱 관리인,,1
518,흑요석 수호병단 관리인,,1
519,정지장에 갇힌 검은 갈퀴발톱,,1
520,대사제,,1
521,로봇 씨,,0
522,XT-003 건설자,,0
523,선택받은 용사,,1
524,고장 난 이륜차,,0
525,우승 복장,광란의 유행,0
526,강화된 바키스로스,,0
527,소식을 접한 시민,,0
528,소식을 모르는 시민,,0
529,풀려난 시민,,0
530,,,0
531,암영 사냥꾼,포식의 군단,0
532,전격 굴림판 도우미,,0
533,불꽃 굴림판 도우미,,0
534,동전 굴림판 도우미,,0
535,폭탄 굴림판 도우미,,0
536,브란 브론즈비어드,알가르 원정대,0
537,지옥 주입 화물,,0
550,안절부절못하는 손님,,0
551,물에 젖은 이끼털,,0
552,재조립된 덜컹쇳덩이,,0
556,주입된 대지전복자,,0
557,시장 구경꾼,,0
558,시장 손님,,0
559,호기심 많은 고객,,0
560,아서스 메네실,,1
561,스트롬가드 성기사,,1
562,붉은 여명회 장군,,0
563,마그하르 척후병,,1
564,리치 왕,,1
565,타이테일러 골든블레이드,,0
566,서리에 갇힌 스라소니,,0
567,용감한 혁명가,,1
568,다크퓨즈 폭동분쇄자,,1
570,구출된 거대 독수리,,0
574,물에 젖은 뱀,,0
575,진정된 뱀,,0
576,외행성 구덩이싸움꾼,테르미나스의 총애,0
577,부상당한 아마니 훈련생,,0
578,공허에 삼켜진 엘프,,1
579,활성화된 순찰자 피조물,,0
580,차원석,,0
582,흉포한 구덩이싸움꾼,테르미나스의 총애,0
583,공허방랑자 해악수호병,테르미나스의 총애,0
584,들끓는 울트라돈,테르미나스의 총애,0
585,게걸스러운 포식자,,1
586,훈련용 허수아비,,1
587,모리움,공허의 파수병,0
588,데미아르,공허의 파수병,0
589,보렐루스,공허의 파수병,0
590,속박 풀린 집행자,,0
591,세 번 추방당한 툴아마르,,1
593,균열방랑자 델린,,0
594,균열방랑자 소란,,0
595,포식자의 심장으로 가기,,0
596,탈출의 차원문,,0
597,마나괴철로 종극점 떠나기,,0
598,부서진 공허의 피조물,,0
601,분열된 수행원,,0
602,사냥당한 잔재,,1
603,로아니트 발톱,,0
604,마우솔로아 가루,,0
605,약초 - 초소형,,0
606,로아나이트 파편,,0
607,마우솔로아 조각,,0
608,로아니트 조각,,0
609,약초 - 소형,,0
610,로아나이트 광석,,0
611,마우솔로아 수정,,0
612,로아니트 뼈,,0
613,약초 - 중형,,0
614,로아나이트 조각,,0
615,마우솔로아 정수,,0
616,로아니트 생가죽,,0
617,약초 - 대형,,0
618,로아나이트 조각,,0
619,계시의 불길,,0
620,경고 울리는 경보로봇,,0
621,배회하는 공허추적자,,0
622,순찰 중인 자동기계,,0
623,추적하는 스라소니,,0
624,눈썰미 좋은 독수리,,0
625,정찰 용매,,0
626,소환된 숲포복자,,0
627,경계하는 빛의 정령,,0
628,현신한 공허의 망령,,0
629,주둔 중인 공허방랑자,,0
630,되살아난 구울,,0
631,잔류하는 마나,,0
632,살아 움직이는 버들경비병,,0
633,창조된 공허의 돌,,0
634,부담에 지친 신입생,,0
635,저항하는 수습생,,0
636,혼란에 빠진 낙제생,,0
637,야심만만한 학생,,0
638,보주를 감상하는 하급생,,0
639,수학의 마법사,,0
640,집중이 풀린 신입생,,0
641,벼락치기 중인 마술사,,0
642,오만한 우월주의자,,0
643,으스대는 상급생,,0
644,벼려진 메아리,,0
645,신도레이 2학년생,,0
646,비전 수습생,,0
647,이중 기밀 보호관찰관,,0
648,전당 마법학자,,0
649,기숙사 수행사제,,0
650,선생님의 애완동물,,0
651,노력하는 수습생,,0
652,탈선한 사도,,0
653,Yuni Test 3,,1
654,Yuni Test 4,,0
655,빛의 알,,0
656,공허 알,,0
657,연합공작 카이베자,,0
658,벨로렌의 알,,0
659,공허로 벼려진 메아리,,0
660,갓 탈피한 지룡,,0
663,루술라,,0
664,흡수된 비단 지룡,,0
665,해방된 살라다르,,0
666,원정순찰대 무기 전문가,,1
667,원정순찰대 활 전문가,,1
668,대장장이의 수습생,,1
669,칼고르그,루시아 나이트브레이커의 하수인,0
670,방어 중인 성기사,,0
671,탈라시안 교수,,1
672,대학 학부생,,1
673,이크와 크리크,,0
674,영감을 얻은 예술가,,1
675,음흉한 도마나르,,1
676,공허의 균열,,0
677,만개하는 하늘불꽃,,0
678,스컬지군주 티라누스,,0
679,탈출한 포로,,0
680,공허 결속 성기사,,0
681,아마니 탈주자,,1
682,유령검 영혼,,0
683,렌도레이 저격수,,0
684,짓궂은 어둠,,0
685,굶주린 공허방랑자,,1
686,공허질주자,,0
687,,,1
688,탈주 집행자,,1
689,탈주 감시자,,1
690,상급 공포사냥개,,1
691,만족한 기근의 화신,,1
692,휴면 중인 제단,|cFFFF0000공허 정수 10개 필요|r,0
695,전적으로 평범한 의자,,0
696,전적으로 평범한 보관함,,0
697,전적으로 평범한 화로,,0
698,전적으로 평범한 이젤,,0
699,전적으로 평범한 하프,,0
700,전적으로 평범한 낮은 의자,,0
701,전적으로 평범한 부유 화단,,0
702,전적으로 평범한 긴 의자,,0
703,농축된 공허,휴면 상태,0
704,아킬존의 전령,제단 수호자,0
705,아킬존,승리의 로아,0
706,감염된 칼날등껍질,,1
708,브라코,고리갓,0
709,브라코,포자신도,0
710,브라코,진균수호자,0
711,브라코,진균 원정대,0
712,툭툭,진균 원정대,0
713,자이니,진균 원정대,0
714,자이니,진균수호자,0
715,자이니,포자신도,0
716,자이니,고리갓,0
717,툭툭,진균수호자,0
718,툭툭,포자신도,0
719,툭툭,고리갓,0
720,카리브도스,,0
721,저항하는 고르가구스,,0
722,피에 굶주린 카르니돈,,0
723,혈기사,,1
724,고뇌가 주입된 지룡,,0
725,마력 깃든 뼈 무더기,,0
726,밝혀진 연결체,,0
727,베란,깨어나는 어둠,0
728,공허에 찢긴 생존자,깨어나는 어둠,0
732,들러붙는 강탈자,,0
737,어둠수호병 변절자,,0
738,에테리얼 마도공학자,무역연합,0
741,잔알라이의 전령,제단 수호자,0
767,단절된 영혼 격자,제단 수호자,1
776,환영 복제,,1
