Item Level	Armor Multiplier	Weapon Multiplier	Trinket Multiplier	Jewelry Multiplier
73	1.5	1.5	1.5	1.5
74	1.5	1.5	1.5	1.5
75	1.5	1.5	1.5	1.5
76	1.5	1.5	1.5	1.5
77	1.5	1.5	1.5	1.5
78	1.5	1.5	1.5	1.5
79	1.5	1.5	1.5	1.5
80	1.5	1.5	1.5	1.5
81	1.5	1.5	1.5	1.5
82	1.5	1.5	1.5	1.5
83	1.5	1.5	1.5	1.5
84	1.5	1.5	1.5	1.5
85	1.5	1.5	1.5	1.5
86	1.5	1.5	1.5	1.5
87	1.5	1.5	1.5	1.5
88	1.5	1.5	1.5	1.5
89	1.5	1.5	1.5	1.5
90	1.5	1.5	1.5	1.5
91	1.5	1.5	1.5	1.5
92	1.5	1.5	1.5	1.5
93	1.5	1.5	1.5	1.5
94	1.5	1.5	1.5	1.5
95	1.5	1.5	1.5	1.5
96	1.5	1.5	1.5	1.5
97	1.5	1.5	1.5	1.5
98	1.5	1.5	1.5	1.5
99	1.5	1.5	1.5	1.5
100	1.5	1.5	1.5	1.5
101	1.5	1.5	1.5	1.5
102	1.5	1.5	1.5	1.5
103	1.5	1.5	1.5	1.5
104	1.5	1.5	1.5	1.5
105	1.5	1.5	1.5	1.5
106	1.5	1.5	1.5	1.5
107	1.5	1.5	1.5	1.5
108	1.5	1.5	1.5	1.5
109	1.5	1.5	1.5	1.5
110	1.5	1.5	1.5	1.5
111	1.5	1.5	1.5	1.5
112	1.5	1.5	1.5	1.5
113	1.5	1.5	1.5	1.5
114	1.5	1.5	1.5	1.5
115	1.5	1.5	1.5	1.5
116	1.5	1.5	1.5	1.5
117	1.5	1.5	1.5	1.5
118	1.5	1.5	1.5	1.5
119	1.5	1.5	1.5	1.5
120	1.5	1.5	1.5	1.5
121	1.5	1.5	1.5	1.5
122	1.5	1.5	1.5	1.5
123	1.5	1.5	1.5	1.5
124	1.5	1.5	1.5	1.5
125	1.5	1.5	1.5	1.5
126	1.5	1.5	1.5	1.5
127	1.5	1.5	1.5	1.5
128	1.5	1.5	1.5	1.5
129	1.5	1.5	1.5	1.5
130	1.5	1.5	1.5	1.5
131	1.5	1.5	1.5	1.5
132	1.5	1.5	1.5	1.5
133	1.5	1.5	1.5	1.5
134	1.5	1.5	1.5	1.5
135	1.5	1.5	1.5	1.5
136	1.5	1.5	1.5	1.5
137	1.5	1.5	1.5	1.5
138	1.5	1.5	1.5	1.5
139	1.5	1.5	1.5	1.5
140	1.5	1.5	1.5	1.5
141	1.5	1.5	1.5	1.5
142	1.5	1.5	1.5	1.5
143	1.5	1.5	1.5	1.5
144	1.5	1.5	1.5	1.5
145	1.5	1.5	1.5	1.5
146	1.5	1.5	1.5	1.5
147	1.5	1.5	1.5	1.5
148	1.5	1.5	1.5	1.5
149	1.5	1.5	1.5	1.5
150	1.5	1.5	1.5	1.5
151	1.5	1.5	1.5	1.5
152	1.5	1.5	1.5	1.5
153	1.5	1.5	1.5	1.5
154	1.5	1.5	1.5	1.5
155	1.5	1.5	1.5	1.5
156	1.5	1.5	1.5	1.5
157	1.5	1.5	1.5	1.5
158	1.5	1.5	1.5	1.5
159	1.5	1.5	1.5	1.5
160	1.5	1.5	1.5	1.5
161	1.5	1.5	1.5	1.5
162	1.5	1.5	1.5	1.5
163	1.5	1.5	1.5	1.5
164	1.5	1.5	1.5	1.5
165	1.5	1.5	1.5	1.5
166	1.5	1.5	1.5	1.5
167	1.5	1.5	1.5	1.5
168	1.5	1.5	1.5	1.5
169	1.5	1.5	1.5	1.5
170	1.5	1.5	1.5	1.5
171	1.5	1.5	1.5	1.5
172	1.5	1.5	1.5	1.5
173	1.5	1.5	1.5	1.5
174	1.5	1.5	1.5	1.5
175	1.5	1.5	1.5	1.5
176	1.5	1.5	1.5	1.5
177	1.5	1.5	1.5	1.5
178	1.5	1.5	1.5	1.5
179	1.5	1.5	1.5	1.5
180	1.5	1.5	1.5	1.5
181	1.5	1.5	1.5	1.5
182	1.5	1.5	1.5	1.5
183	1.5	1.5	1.5	1.5
184	1.5	1.5	1.5	1.5
185	1.5	1.5	1.5	1.5
186	1.5	1.5	1.5	1.5
187	1.5	1.5	1.5	1.5
188	1.5	1.5	1.5	1.5
189	1.5	1.5	1.5	1.5
190	1.5	1.5	1.5	1.5
191	1.5	1.5	1.5	1.5
192	1.5	1.5	1.5	1.5
193	1.5	1.5	1.5	1.5
194	1.5	1.5	1.5	1.5
195	1.5	1.5	1.5	1.5
196	1.5	1.5	1.5	1.5
197	1.5	1.5	1.5	1.5
198	1.5	1.5	1.5	1.5
199	1.5	1.5	1.5	1.5
200	1.5	1.5	1.5	1.5
201	1.5	1.5	1.5	1.5
202	1.5	1.5	1.5	1.5
203	1.5	1.5	1.5	1.5
204	1.5	1.5	1.5	1.5
205	1.5	1.5	1.5	1.5
206	1.5	1.5	1.5	1.5
207	1.5	1.5	1.5	1.5
208	1.5	1.5	1.5	1.5
209	1.5	1.5	1.5	1.5
210	1.5	1.5	1.5	1.5
211	1.5	1.5	1.5	1.5
212	1.5	1.5	1.5	1.5
213	1.5	1.5	1.5	1.5
214	1.5	1.5	1.5	1.5
215	1.5	1.5	1.5	1.5
216	1.5	1.5	1.5	1.5
217	1.5	1.5	1.5	1.5
218	1.5	1.5	1.5	1.5
219	1.5	1.5	1.5	1.5
220	1.5	1.5	1.5	1.5
221	1.5	1.5	1.5	1.5
222	1.5	1.5	1.5	1.5
223	1.5	1.5	1.5	1.5
224	1.5	1.5	1.5	1.5
225	1.5	1.5	1.5	1.5
226	1.5	1.5	1.5	1.5
227	1.5	1.5	1.5	1.5
228	1.5	1.5	1.5	1.5
229	1.5	1.5	1.5	1.5
230	1.5	1.5	1.5	1.5
231	1.5	1.5	1.5	1.5
232	1.5	1.5	1.5	1.5
233	1.5	1.5	1.5	1.5
234	1.5	1.5	1.5	1.5
235	1.5	1.5	1.5	1.5
236	1.5	1.5	1.5	1.5
237	1.5	1.5	1.5	1.5
238	1.5	1.5	1.5	1.5
239	1.5	1.5	1.5	1.5
240	1.5	1.5	1.5	1.5
241	1.5	1.5	1.5	1.5
242	1.5	1.5	1.5	1.5
243	1.5	1.5	1.5	1.5
244	1.5	1.5	1.5	1.5
245	1.5	1.5	1.5	1.5
246	1.5	1.5	1.5	1.5
247	1.5	1.5	1.5	1.5
248	1.5	1.5	1.5	1.5
249	1.5	1.5	1.5	1.5
250	1.5	1.5	1.5	1.5
251	1.5	1.5	1.5	1.5
252	1.5	1.5	1.5	1.5
253	1.5	1.5	1.5	1.5
254	1.5	1.5	1.5	1.5
255	1.5	1.5	1.5	1.5
256	1.5	1.5	1.5	1.5
257	1.5	1.5	1.5	1.5
258	1.5	1.5	1.5	1.5
259	1.5	1.5	1.5	1.5
260	1.5	1.5	1.5	1.5
261	1.5	1.5	1.5	1.5
262	1.5	1.5	1.5	1.5
263	1.5	1.5	1.5	1.5
264	1.5	1.5	1.5	1.5
265	1.5	1.5	1.5	1.5
266	1.5	1.5	1.5	1.5
267	1.5	1.5	1.5	1.5
268	1.5	1.5	1.5	1.5
269	1.5	1.5	1.5	1.5
270	1.5	1.5	1.5	1.5
271	1.5	1.5	1.5	1.5
272	1.5	1.5	1.5	1.5
273	1.5	1.5	1.5	1.5
274	1.5	1.5	1.5	1.5
275	1.5	1.5	1.5	1.5
276	1.5	1.5	1.5	1.5
277	1.5	1.5	1.5	1.5
278	1.5	1.5	1.5	1.5
279	1.5	1.5	1.5	1.5
280	1.5	1.5	1.5	1.5
281	1.5	1.5	1.5	1.5
282	1.5	1.5	1.5	1.5
283	1.5	1.5	1.5	1.5
284	1.5	1.5	1.5	1.5
285	1.5	1.5	1.5	1.5
286	1.5	1.5	1.5	1.5
287	1.5	1.5	1.5	1.5
288	1.498126215	1.498126215	1.498126215	1.498126215
289	1.496254771	1.496254771	1.496254771	1.496254771
290	1.494385664	1.494385664	1.494385664	1.494385664
291	1.492518893	1.492518893	1.492518893	1.492518893
292	1.490654453	1.490654453	1.490654453	1.490654453
293	1.488792343	1.488792343	1.488792343	1.488792343
294	1.486932558	1.486932558	1.486932558	1.486932558
295	1.485075097	1.485075097	1.485075097	1.485075097
296	1.483219956	1.483219956	1.483219956	1.483219956
297	1.481367132	1.481367132	1.481367132	1.481367132
298	1.479516623	1.479516623	1.479516623	1.479516623
299	1.477668426	1.477668426	1.477668426	1.477668426
300	1.475822538	1.475822538	1.475822538	1.475822538
301	1.473978955	1.473978955	1.473978955	1.473978955
302	1.472137675	1.472137675	1.472137675	1.472137675
303	1.470298696	1.470298696	1.470298696	1.470298696
304	1.468462013	1.468462013	1.468462013	1.468462013
305	1.466627625	1.466627625	1.466627625	1.466627625
306	1.464795529	1.464795529	1.464795529	1.464795529
307	1.462965721	1.462965721	1.462965721	1.462965721
308	1.461138199	1.461138199	1.461138199	1.461138199
309	1.459312959	1.459312959	1.459312959	1.459312959
310	1.45749	1.45749	1.45749	1.45749
311	1.455669318	1.455669318	1.455669318	1.455669318
312	1.453850911	1.453850911	1.453850911	1.453850911
313	1.452034775	1.452034775	1.452034775	1.452034775
314	1.450220908	1.450220908	1.450220908	1.450220908
315	1.448409306	1.448409306	1.448409306	1.448409306
316	1.446599968	1.446599968	1.446599968	1.446599968
317	1.44479289	1.44479289	1.44479289	1.44479289
318	1.442988069	1.442988069	1.442988069	1.442988069
319	1.441185503	1.441185503	1.441185503	1.441185503
320	1.439385188	1.439385188	1.439385188	1.439385188
321	1.437587123	1.437587123	1.437587123	1.437587123
322	1.435791303	1.435791303	1.435791303	1.435791303
323	1.433997727	1.433997727	1.433997727	1.433997727
324	1.432206392	1.432206392	1.432206392	1.432206392
325	1.430417294	1.430417294	1.430417294	1.430417294
326	1.428630431	1.428630431	1.428630431	1.428630431
327	1.4268458	1.4268458	1.4268458	1.4268458
328	1.425063399	1.425063399	1.425063399	1.425063399
329	1.423283224	1.423283224	1.423283224	1.423283224
330	1.421505273	1.421505273	1.421505273	1.421505273
331	1.419729542	1.419729542	1.419729542	1.419729542
332	1.417956031	1.417956031	1.417956031	1.417956031
333	1.416184734	1.416184734	1.416184734	1.416184734
334	1.41441565	1.41441565	1.41441565	1.41441565
335	1.412648776	1.412648776	1.412648776	1.412648776
336	1.41088411	1.41088411	1.41088411	1.41088411
337	1.409121647	1.409121647	1.409121647	1.409121647
338	1.407361387	1.407361387	1.407361387	1.407361387
339	1.405603325	1.405603325	1.405603325	1.405603325
340	1.40384746	1.40384746	1.40384746	1.40384746
341	1.402093787	1.402093787	1.402093787	1.402093787
342	1.400342306	1.400342306	1.400342306	1.400342306
343	1.400554078	1.400554078	1.400554078	1.413752891
344	1.400641478	1.400641478	1.400641478	1.426794286
345	1.400606794	1.400606794	1.400606794	1.439472188
346	1.400452284	1.400452284	1.400452284	1.451792215
347	1.400180172	1.400180172	1.400180172	1.463759916
348	1.399792654	1.399792654	1.399792654	1.475380766
349	1.399291894	1.399291894	1.399291894	1.486660169
350	1.398680025	1.398680025	1.398680025	1.497603459
351	1.397959151	1.397959151	1.397959151	1.508215901
352	1.397131346	1.397131346	1.397131346	1.518502689
353	1.396198657	1.396198657	1.396198657	1.528468951
354	1.3951631	1.3951631	1.3951631	1.538119748
355	1.394026663	1.394026663	1.394026663	1.547460073
356	1.392791306	1.392791306	1.392791306	1.556494856
357	1.391458961	1.391458961	1.391458961	1.565228961
358	1.390031535	1.390031535	1.390031535	1.573667187
359	1.388510905	1.388510905	1.388510905	1.581814271
360	1.386898923	1.386898923	1.386898923	1.589674889
361	1.385197414	1.385197414	1.385197414	1.597253651
362	1.383408177	1.383408177	1.383408177	1.604555111
363	1.381532986	1.381532986	1.381532986	1.61158376
364	1.379573588	1.379573588	1.379573588	1.61834403
365	1.377531708	1.377531708	1.377531708	1.624840295
366	1.375409044	1.375409044	1.375409044	1.63107687
367	1.373207269	1.373207269	1.373207269	1.637058013
368	1.370928034	1.370928034	1.370928034	1.642787926
369	1.368572965	1.368572965	1.368572965	1.648270754
370	1.366143664	1.366143664	1.366143664	1.653510587
371	1.363641711	1.363641711	1.363641711	1.658511461
372	1.361068662	1.361068662	1.361068662	1.663277357
373	1.358426051	1.358426051	1.358426051	1.667812204
374	1.35571539	1.35571539	1.35571539	1.672119878
375	1.352938169	1.352938169	1.352938169	1.676204201
376	1.350095855	1.350095855	1.350095855	1.680068947
377	1.347189894	1.347189894	1.347189894	1.683717837
378	1.344221711	1.344221711	1.344221711	1.687154542
379	1.34119271	1.34119271	1.34119271	1.690382685
380	1.338104276	1.338104276	1.338104276	1.693405837
381	1.33495777	1.33495777	1.33495777	1.696227524
382	1.331754535	1.331754535	1.331754535	1.698851223
383	1.328495895	1.328495895	1.328495895	1.701280362
384	1.325183152	1.325183152	1.325183152	1.703518326
385	1.321817591	1.321817591	1.321817591	1.705568451
386	1.318400475	1.318400475	1.318400475	1.707434029
387	1.314933052	1.314933052	1.314933052	1.709118306
388	1.311416546	1.311416546	1.311416546	1.710624485
389	1.307852168	1.307852168	1.307852168	1.711955725
390	1.304241108	1.304241108	1.304241108	1.713115141
391	1.300584538	1.300584538	1.300584538	1.714105805
392	1.296883613	1.296883613	1.296883613	1.714930748
393	1.29313947	1.29313947	1.29313947	1.715592958
394	1.289353229	1.289353229	1.289353229	1.716095384
395	1.285525993	1.285525993	1.285525993	1.71644093
396	1.281658848	1.281658848	1.281658848	1.716632465
397	1.277752864	1.277752864	1.277752864	1.716672816
398	1.273809092	1.273809092	1.273809092	1.716564769
399	1.269828571	1.269828571	1.269828571	1.716311074
400	1.265812322	1.265812322	1.265812322	1.715914442
401	1.261761348	1.261761348	1.261761348	1.715377547
402	1.25767664	1.25767664	1.25767664	1.714703022
403	1.253559172	1.253559172	1.253559172	1.713893469
404	1.249409903	1.249409903	1.249409903	1.712951449
405	1.245229777	1.245229777	1.245229777	1.711879488
406	1.241019723	1.241019723	1.241019723	1.710680079
407	1.236780655	1.236780655	1.236780655	1.709355678
408	1.232513475	1.232513475	1.232513475	1.707908705
409	1.228219067	1.228219067	1.228219067	1.706341548
410	1.223898305	1.223898305	1.223898305	1.704656561
411	1.219552046	1.219552046	1.219552046	1.702856065
412	1.215181135	1.215181135	1.215181135	1.700942347
413	1.210786402	1.210786402	1.210786402	1.698917661
414	1.206368667	1.206368667	1.206368667	1.696784231
415	1.201928733	1.201928733	1.201928733	1.694544247
416	1.197467392	1.197467392	1.197467392	1.69219987
417	1.192985422	1.192985422	1.192985422	1.689753229
418	1.188483592	1.188483592	1.188483592	1.687206422
419	1.183962653	1.183962653	1.183962653	1.684561517
420	1.179423349	1.179423349	1.179423349	1.681820554
421	1.174866408	1.174866408	1.174866408	1.67898554
422	1.170292548	1.170292548	1.170292548	1.676058458
423	1.165702474	1.165702474	1.165702474	1.673041257
424	1.161096882	1.161096882	1.161096882	1.669935862
425	1.156476453	1.156476453	1.156476453	1.666744167
426	1.151841858	1.151841858	1.151841858	1.663468041
427	1.147193759	1.147193759	1.147193759	1.660109324
428	1.142532804	1.142532804	1.142532804	1.656669831
429	1.137859631	1.137859631	1.137859631	1.653151347
430	1.133174868	1.133174868	1.133174868	1.649555634
431	1.128479132	1.128479132	1.128479132	1.645884427
432	1.123773029	1.123773029	1.123773029	1.642139436
433	1.119057156	1.119057156	1.119057156	1.638322345
434	1.114332098	1.114332098	1.114332098	1.634434814
435	1.109598431	1.109598431	1.109598431	1.630478476
436	1.104856722	1.104856722	1.104856722	1.626454944
437	1.100107527	1.100107527	1.100107527	1.622365803
438	1.095351392	1.095351392	1.095351392	1.618212617
439	1.090588855	1.090588855	1.090588855	1.613996925
440	1.085820443	1.085820443	1.085820443	1.609720244
441	1.081046675	1.081046675	1.081046675	1.605384068
442	1.076268061	1.076268061	1.076268061	1.600989867
443	1.071485102	1.071485102	1.071485102	1.596539092
444	1.066698287	1.066698287	1.066698287	1.59203317
445	1.061908102	1.061908102	1.061908102	1.587473505
446	1.057115019	1.057115019	1.057115019	1.582861484
447	1.052319505	1.052319505	1.052319505	1.578198468
448	1.047522017	1.047522017	1.047522017	1.573485801
449	1.042723003	1.042723003	1.042723003	1.568724805
450	1.037922906	1.037922906	1.037922906	1.56391678
451	1.033122157	1.033122157	1.033122157	1.55906301
452	1.028321182	1.028321182	1.028321182	1.554164756
453	1.023520399	1.023520399	1.023520399	1.549223261
454	1.018720215	1.018720215	1.018720215	1.544239748
455	1.013921033	1.013921033	1.013921033	1.539215421
456	1.009123248	1.009123248	1.009123248	1.534151467
457	1.004327246	1.004327246	1.004327246	1.529049051
458	0.999533406	0.999533406	0.999533406	1.523909325
459	0.994742102	0.994742102	0.994742102	1.518733417
460	0.989953698	0.989953698	0.989953698	1.513522441
461	0.985168553	0.985168553	0.985168553	1.508277494
462	0.980387018	0.980387018	0.980387018	1.502999653
463	0.975609438	0.975609438	0.975609438	1.497689979
464	0.970836151	0.970836151	0.970836151	1.492349518
465	0.966067488	0.966067488	0.966067488	1.486979296
466	0.961303773	0.961303773	0.961303773	1.481580325
467	0.956545326	0.956545326	0.956545326	1.4761536
468	0.951792457	0.951792457	0.951792457	1.470700101
469	0.947045474	0.947045474	0.947045474	1.46522079
470	0.942304675	0.942304675	0.942304675	1.459716616
471	0.937570355	0.937570355	0.937570355	1.454188511
472	0.9328428	0.9328428	0.9328428	1.448637392
473	0.928122293	0.928122293	0.928122293	1.443064162
474	0.923409109	0.923409109	0.923409109	1.437469708
475	0.918703519	0.918703519	0.918703519	1.431854903
476	0.914005787	0.914005787	0.914005787	1.426220606
477	0.909316172	0.909316172	0.909316172	1.420567662
478	0.904634927	0.904634927	0.904634927	1.414896901
479	0.899962302	0.899962302	0.899962302	1.409209139
480	0.895298537	0.895298537	0.895298537	1.403505179
481	0.890643872	0.890643872	0.890643872	1.397785812
482	0.885998538	0.885998538	0.885998538	1.392051814
483	0.881362762	0.881362762	0.881362762	1.386303947
484	0.876736768	0.876736768	0.876736768	1.380542963
485	0.872120771	0.872120771	0.872120771	1.3747696
486	0.867514986	0.867514986	0.867514986	1.368984581
487	0.862919618	0.862919618	0.862919618	1.36318862
488	0.858334872	0.858334872	0.858334872	1.357382418
489	0.853760945	0.853760945	0.853760945	1.351566663
490	0.849198031	0.849198031	0.849198031	1.345742031
491	0.844646319	0.844646319	0.844646319	1.339909188
492	0.840105994	0.840105994	0.840105994	1.334068786
493	0.835577236	0.835577236	0.835577236	1.328221468
494	0.831060221	0.831060221	0.831060221	1.322367865
495	0.826555121	0.826555121	0.826555121	1.316508595
496	0.822062104	0.822062104	0.822062104	1.310644267
497	0.817581332	0.817581332	0.817581332	1.30477548
498	0.813112965	0.813112965	0.813112965	1.298902819
499	0.808657158	0.808657158	0.808657158	1.293026863
500	0.804214063	0.804214063	0.804214063	1.287148176
501	0.799783828	0.799783828	0.799783828	1.281267316
502	0.795366595	0.795366595	0.795366595	1.275384828
503	0.790962504	0.790962504	0.790962504	1.269501247
504	0.786571693	0.786571693	0.786571693	1.263617101
505	0.782194292	0.782194292	0.782194292	1.257732906
506	0.777830432	0.777830432	0.777830432	1.251849169
507	0.773480237	0.773480237	0.773480237	1.245966387
508	0.76914383	0.76914383	0.76914383	1.240085049
509	0.764821329	0.764821329	0.764821329	1.234205634
510	0.760512848	0.760512848	0.760512848	1.228328612
511	0.7562185	0.7562185	0.7562185	1.222454444
512	0.751938394	0.751938394	0.751938394	1.216583584
513	0.747672633	0.747672633	0.747672633	1.210716474
514	0.743421321	0.743421321	0.743421321	1.204853551
515	0.739184555	0.739184555	0.739184555	1.198995241
516	0.734962433	0.734962433	0.734962433	1.193141963
517	0.730755047	0.730755047	0.730755047	1.187294127
518	0.726562486	0.726562486	0.726562486	1.181452137
519	0.722384838	0.722384838	0.722384838	1.175616386
520	0.718222186	0.718222186	0.718222186	1.169787261
521	0.714074612	0.714074612	0.714074612	1.163965142
522	0.709942195	0.709942195	0.709942195	1.1581504
523	0.705825008	0.705825008	0.705825008	1.152343398
524	0.701723127	0.701723127	0.701723127	1.146544493
525	0.69763662	0.69763662	0.69763662	1.140754035
526	0.693565556	0.693565556	0.693565556	1.134972366
527	0.689509999	0.689509999	0.689509999	1.12919982
528	0.685470012	0.685470012	0.685470012	1.123436727
529	0.681445655	0.681445655	0.681445655	1.117683406
530	0.677436986	0.677436986	0.677436986	1.111940172
531	0.67344406	0.67344406	0.67344406	1.106207333
532	0.669466929	0.669466929	0.669466929	1.100485191
533	0.665505644	0.665505644	0.665505644	1.094774039
534	0.661560253	0.661560253	0.661560253	1.089074167
535	0.657630803	0.657630803	0.657630803	1.083385856
536	0.6534484	0.6534484	0.6534484	1.076495735
537	0.649292596	0.649292596	0.649292596	1.069649433
538	0.645163223	0.645163223	0.645163223	1.062846672
539	0.641060111	0.641060111	0.641060111	1.056087176
540	0.636983095	0.636983095	0.636983095	1.049370669
541	0.632932007	0.632932007	0.632932007	1.042696877
542	0.628906684	0.628906684	0.628906684	1.03606553
543	0.624906961	0.624906961	0.624906961	1.029476357
544	0.620932675	0.620932675	0.620932675	1.022929089
545	0.616983665	0.616983665	0.616983665	1.016423461
546	0.61305977	0.61305977	0.61305977	1.009959207
547	0.60916083	0.60916083	0.60916083	1.003536065
548	0.605286687	0.605286687	0.605286687	0.997153772
549	0.601437182	0.601437182	0.601437182	0.99081207
550	0.59761216	0.59761216	0.59761216	0.984510699
551	0.593811464	0.593811464	0.593811464	0.978249405
552	0.590034939	0.590034939	0.590034939	0.97202793
553	0.586282433	0.586282433	0.586282433	0.965846023
554	0.582553792	0.582553792	0.582553792	0.959703432
555	0.578848864	0.578848864	0.578848864	0.953599907
556	0.575167499	0.575167499	0.575167499	0.947535198
557	0.571509546	0.571509546	0.571509546	0.941509061
558	0.567874858	0.567874858	0.567874858	0.935521248
559	0.564263285	0.564263285	0.564263285	0.929571516
560	0.560674681	0.560674681	0.560674681	0.923659624
561	0.5571089	0.5571089	0.5571089	0.91778533
562	0.553565797	0.553565797	0.553565797	0.911948395
563	0.550045227	0.550045227	0.550045227	0.906148582
564	0.546547048	0.546547048	0.546547048	0.900385655
565	0.543071116	0.543071116	0.543071116	0.894659379
566	0.53961729	0.53961729	0.53961729	0.888969521
567	0.53618543	0.53618543	0.53618543	0.883315849
568	0.532775396	0.532775396	0.532775396	0.877698134
569	0.529387049	0.529387049	0.529387049	0.872116146
570	0.526020251	0.526020251	0.526020251	0.866569658
571	0.522674865	0.522674865	0.522674865	0.861058445
572	0.521211973	0.521211973	0.521211973	0.864224105
573	0.519731259	0.519731259	0.519731259	0.867256986
574	0.51823318	0.51823318	0.51823318	0.87015928
575	0.516718186	0.516718186	0.516718186	0.872933148
576	0.515186719	0.515186719	0.515186719	0.875580722
577	0.513639215	0.513639215	0.513639215	0.878104106
578	0.512076103	0.512076103	0.512076103	0.880505377
579	0.510497806	0.510497806	0.510497806	0.882786581
580	0.50890474	0.50890474	0.50890474	0.88494974
581	0.507297314	0.507297314	0.507297314	0.886996847
582	0.505675932	0.505675932	0.505675932	0.888929869
583	0.504040992	0.504040992	0.504040992	0.890750744
584	0.502392883	0.502392883	0.502392883	0.892461389
585	0.500731991	0.500731991	0.500731991	0.894063689
586	0.499058695	0.499058695	0.499058695	0.895559508
587	0.497373368	0.497373368	0.497373368	0.896950684
588	0.495676376	0.495676376	0.495676376	0.898239027
589	0.493968082	0.493968082	0.493968082	0.899426327
590	0.49224884	0.49224884	0.49224884	0.900514346
591	0.490519	0.490519	0.490519	0.901504824
592	0.488778908	0.488778908	0.488778908	0.902399477
593	0.487028902	0.487028902	0.487028902	0.903199996
594	0.485269316	0.485269316	0.485269316	0.903908051
595	0.483500477	0.483500477	0.483500477	0.904525287
596	0.481722709	0.481722709	0.481722709	0.90505333
597	0.47993633	0.47993633	0.47993633	0.905493779
598	0.478141652	0.478141652	0.478141652	0.905848215
599	0.476338983	0.476338983	0.476338983	0.906118194
600	0.474528625	0.474528625	0.474528625	0.906305253
601	0.472710876	0.472710876	0.472710876	0.906410907
602	0.470886029	0.470886029	0.470886029	0.906436649
603	0.469054371	0.469054371	0.469054371	0.906383952
604	0.467216187	0.467216187	0.467216187	0.90625427
605	0.465371754	0.465371754	0.465371754	0.906049035
606	0.463521348	0.463521348	0.463521348	0.905769659
607	0.461665236	0.461665236	0.461665236	0.905417535
608	0.459803684	0.459803684	0.459803684	0.904994037
609	0.457936953	0.457936953	0.457936953	0.904500518
610	0.456065299	0.456065299	0.456065299	0.903938315
611	0.454188974	0.454188974	0.454188974	0.903308742
612	0.452308225	0.452308225	0.452308225	0.902613099
613	0.450423295	0.450423295	0.450423295	0.901852665
614	0.448534425	0.448534425	0.448534425	0.901028701
615	0.446641849	0.446641849	0.446641849	0.900142452
616	0.444745799	0.444745799	0.444745799	0.899195143
617	0.442846501	0.442846501	0.442846501	0.898187984
618	0.44094418	0.44094418	0.44094418	0.897122165
619	0.439039054	0.439039054	0.439039054	0.895998862
620	0.437131339	0.437131339	0.437131339	0.894819232
621	0.435221247	0.435221247	0.435221247	0.893584417
622	0.433308986	0.433308986	0.433308986	0.892295542
623	0.431394761	0.431394761	0.431394761	0.890953716
