Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Evoker	Adventurer	Item	Consumable	Gem1	Gem2	Gem3	Health	DamageReplaceStat	DamageSecondary	Mana Consumable
89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.969615	2625000	220	300	380	3485327.032	2557.760973	2557.760973	2625000
