Level	Unused 0	Defense Skill	Dodge	Parry	Block	Hit - Melee	Hit - Ranged	Hit - Spell	Crit - Melee	Crit - Ranged	Crit - Spell	Corruption	Corruption Resistance	Speed	Resilience - Crit Taken	Resilience - Player Damage	Lifesteal	Haste - Melee	Haste - Ranged	Haste - Spell	Avoidance	Sturdiness	Unused 7	Expertise	Armor Penetration	Mastery	PvP Power	Unused 27	Versatility - Damage Done	Versatility - Healing Done	Versatility - Damage Taken	Unused 12
11	0	0.364490047	3.350108357	3.350108357	1.51870853	1.670579383	1.670579383	1.670579383	3.1267678	3.1267678	3.1267678	1	1	0.759354265	0	1.51870853	4.556125589	2.948095354	2.948095354	2.948095354	2.429933648	0.303741706	0	1.670579383	0	3.1267678	1.336463506	0	3.484112691	3.484112691	6.968225382	0
12	0	0.382714549	3.517613775	3.517613775	1.594643956	1.754108352	1.754108352	1.754108352	3.28310619	3.28310619	3.28310619	1	1	0.797321978	0	1.594643956	4.783931869	3.095500122	3.095500122	3.095500122	2.55143033	0.318928791	0	1.754108352	0	3.28310619	1.403286681	0	3.658318326	3.658318326	7.316636651	0
13	0	0.400939052	3.685119192	3.685119192	1.670579383	1.837637321	1.837637321	1.837637321	3.43944458	3.43944458	3.43944458	1	1	0.835289691	0	1.670579383	5.011738148	3.242904889	3.242904889	3.242904889	2.672927012	0.334115877	0	1.837637321	0	3.43944458	1.470109857	0	3.83252396	3.83252396	7.66504792	0
14	0	0.419163554	3.85262461	3.85262461	1.746514809	1.92116629	1.92116629	1.92116629	3.59578297	3.59578297	3.59578297	1	1	0.873257405	0	1.746514809	5.239544428	3.390309657	3.390309657	3.390309657	2.794423695	0.349302962	0	1.92116629	0	3.59578297	1.536933032	0	4.006729595	4.006729595	8.013459189	0
15	0	0.437388057	4.020130028	4.020130028	1.822450236	2.004695259	2.004695259	2.004695259	3.75212136	3.75212136	3.75212136	1	1	0.911225118	0	1.822450236	5.467350707	3.537714425	3.537714425	3.537714425	2.915920377	0.364490047	0	2.004695259	0	3.75212136	1.603756207	0	4.180935229	4.180935229	8.361870458	0
16	0	0.455612559	4.187635446	4.187635446	1.898385662	2.088224228	2.088224228	2.088224228	3.90845975	3.90845975	3.90845975	1	1	0.949192831	0	1.898385662	5.695156987	3.685119192	3.685119192	3.685119192	3.03741706	0.379677132	0	2.088224228	0	3.90845975	1.670579383	0	4.355140864	4.355140864	8.710281728	0
17	0	0.473837061	4.355140864	4.355140864	1.974321089	2.171753198	2.171753198	2.171753198	4.06479814	4.06479814	4.06479814	1	1	0.987160544	0	1.974321089	5.922963266	3.83252396	3.83252396	3.83252396	3.158913742	0.394864218	0	2.171753198	0	4.06479814	1.737402558	0	4.529346498	4.529346498	9.058692997	0
18	0	0.492061564	4.522646282	4.522646282	2.050256515	2.255282167	2.255282167	2.255282167	4.221136529	4.221136529	4.221136529	1	1	1.025128258	0	2.050256515	6.150769545	3.979928728	3.979928728	3.979928728	3.280410424	0.410051303	0	2.255282167	0	4.221136529	1.804225733	0	4.703552133	4.703552133	9.407104266	0
19	0	0.510286066	4.690151699	4.690151699	2.126191942	2.338811136	2.338811136	2.338811136	4.377474919	4.377474919	4.377474919	1	1	1.063095971	0	2.126191942	6.378575825	4.127333496	4.127333496	4.127333496	3.401907107	0.425238388	0	2.338811136	0	4.377474919	1.871048909	0	4.877757767	4.877757767	9.755515535	0
20	0	0.528510568	4.857657117	4.857657117	2.202127368	2.422340105	2.422340105	2.422340105	4.533813309	4.533813309	4.533813309	1	1	1.101063684	0	2.202127368	6.606382104	4.274738263	4.274738263	4.274738263	3.523403789	0.440425474	0	2.422340105	0	4.533813309	1.937872084	0	5.051963402	5.051963402	10.1039268	0
21	0	0.550671016	5.06133868	5.06133868	2.294462569	2.523908826	2.523908826	2.523908826	4.723916102	4.723916102	4.723916102	1	1	1.147231284	0	2.294462569	6.883387706	4.453978039	4.453978039	4.453978039	3.67114011	0.458892514	0	2.523908826	0	4.723916102	2.01912706	0	5.263792227	5.263792227	10.52758445	0
22	0	0.574823447	5.283328995	5.283328995	2.395097697	2.634607467	2.634607467	2.634607467	4.931107062	4.931107062	4.931107062	1	1	1.197548848	0	2.395097697	7.185293091	4.649329515	4.649329515	4.649329515	3.832156315	0.479019539	0	2.634607467	0	4.931107062	2.107685973	0	5.494662155	5.494662155	10.98932431	0
23	0	0.601144613	5.525252629	5.525252629	2.50476922	2.755246143	2.755246143	2.755246143	5.156902454	5.156902454	5.156902454	1	1	1.25238461	0	2.50476922	7.514307661	4.862222314	4.862222314	4.862222314	4.007630753	0.500953844	0	2.755246143	0	5.156902454	2.204196914	0	5.746262735	5.746262735	11.49252547	0
24	0	0.629831234	5.788917685	5.788917685	2.624296808	2.886726488	2.886726488	2.886726488	5.402989839	5.402989839	5.402989839	1	1	1.312148404	0	2.624296808	7.872890423	5.094247563	5.094247563	5.094247563	4.198874892	0.524859362	0	2.886726488	0	5.402989839	2.309381191	0	6.020474392	6.020474392	12.04094878	0
25	0	0.661102355	6.076337448	6.076337448	2.754593144	3.030052459	3.030052459	3.030052459	5.671248285	5.671248285	5.671248285	1	1	1.377296572	0	2.754593144	8.263779433	5.347176954	5.347176954	5.347176954	4.407349031	0.550918629	0	3.030052459	0	5.671248285	2.424041967	0	6.319390946	6.319390946	12.63878189	0
26	0	0.695202014	6.389754933	6.389754933	2.896675059	3.186342564	3.186342564	3.186342564	5.963771271	5.963771271	5.963771271	1	1	1.448337529	0	2.896675059	8.690025176	5.622984341	5.622984341	5.622984341	4.634680094	0.579335012	0	3.186342564	0	5.963771271	2.549074052	0	6.645345131	6.645345131	13.29069026	0
27	0	0.732402274	6.73167072	6.73167072	3.051676141	3.356843755	3.356843755	3.356843755	6.282892672	6.282892672	6.282892672	1	1	1.52583807	0	3.051676141	9.155028423	5.923870234	5.923870234	5.923870234	4.882681826	0.610335228	0	3.356843755	0	6.282892672	2.685475004	0	7.000937549	7.000937549	14.0018751	0
28	0	0.773006656	7.104874545	7.104874545	3.220861066	3.542947173	3.542947173	3.542947173	6.631216242	6.631216242	6.631216242	1	1	1.610430533	0	3.220861066	9.662583199	6.252289599	6.252289599	6.252289599	5.153377706	0.644172213	0	3.542947173	0	6.631216242	2.834357738	0	7.389069526	7.389069526	14.77813905	0
29	0	0.817354048	7.512481197	7.512481197	3.405641866	3.746206052	3.746206052	3.746206052	7.011649117	7.011649117	7.011649117	1	1	1.702820933	0	3.405641866	10.2169256	6.610983454	6.610983454	6.610983454	5.449026985	0.681128373	0	3.746206052	0	7.011649117	2.996964842	0	7.812980445	7.812980445	15.62596089	0
30	0	0.865823143	7.957971332	7.957971332	3.607596428	3.968356071	3.968356071	3.968356071	7.42743991	7.42743991	7.42743991	1	1	1.803798214	0	3.607596428	10.82278928	7.003014772	7.003014772	7.003014772	5.772154285	0.721519286	0	3.968356071	0	7.42743991	3.174684857	0	8.276290186	8.276290186	16.55258037	0
31	0	0.918837494	8.445237917	8.445237917	3.828489558	4.211338513	4.211338513	4.211338513	7.882222056	7.882222056	7.882222056	1	1	1.914244779	0	3.828489558	11.48546867	7.431809367	7.431809367	7.431809367	6.125583292	0.765697912	0	4.211338513	0	7.882222056	3.369070811	0	8.783047434	8.783047434	17.56609487	0
32	0	0.97687127	8.978639144	8.978639144	4.070296958	4.477326654	4.477326654	4.477326654	8.380063201	8.380063201	8.380063201	1	1	2.035148479	0	4.070296958	12.21089087	7.901202447	7.901202447	7.901202447	6.512475133	0.814059392	0	4.477326654	0	8.380063201	3.581861323	0	9.33778471	9.33778471	18.67556942	0
33	0	1.040455821	9.563058766	9.563058766	4.335232587	4.768755846	4.768755846	4.768755846	8.925521515	8.925521515	8.925521515	1	1	2.167616293	0	4.335232587	13.00569776	8.415491714	8.415491714	8.415491714	6.936372139	0.867046517	0	4.768755846	0	8.925521515	3.815004677	0	9.945581116	9.945581116	19.89116223	0
34	0	1.11018717	10.20397496	10.20397496	4.625779875	5.088357862	5.088357862	5.088357862	9.523709967	9.523709967	9.523709967	1	1	2.312889937	0	4.625779875	13.87733962	8.979497968	8.979497968	8.979497968	7.4012478	0.925155975	0	5.088357862	0	9.523709967	4.07068629	0	10.61213396	10.61213396	21.22426793	0
35	0	1.186734575	10.90753904	10.90753904	4.944727397	5.439200137	5.439200137	5.439200137	10.18036977	10.18036977	10.18036977	1	1	2.472363699	0	4.944727397	14.83418219	9.598634353	9.598634353	9.598634353	7.911563836	0.988945479	0	5.439200137	0	10.18036977	4.35136011	0	11.3438406	11.3438406	22.6876812	0
36	0	1.270850322	11.6806654	11.6806654	5.295209675	5.824730643	5.824730643	5.824730643	10.90195438	10.90195438	10.90195438	1	1	2.647604838	0	5.295209675	15.88562903	10.27898556	10.27898556	10.27898556	8.47233548	1.059041935	0	5.824730643	0	10.90195438	4.659784514	0	12.14789202	12.14789202	24.29578404	0
37	0	1.363380934	12.53113465	12.53113465	5.680753892	6.248829281	6.248829281	6.248829281	11.69572568	11.69572568	11.69572568	1	1	2.840376946	0	5.680753892	17.04226168	11.02739849	11.02739849	11.02739849	9.089206227	1.136150778	0	6.248829281	0	11.69572568	4.999063425	0	13.03238004	13.03238004	26.06476008	0
38	0	1.465280025	13.46771166	13.46771166	6.105333438	6.715866781	6.715866781	6.715866781	12.56986421	12.56986421	12.56986421	1	1	3.052666719	0	6.105333438	18.31600031	11.85158626	11.85158626	11.85158626	9.7685335	1.221066688	0	6.715866781	0	12.56986421	5.372693425	0	14.00642012	14.00642012	28.01284025	0
39	0	1.577623045	14.50028111	14.50028111	6.573429352	7.230772287	7.230772287	7.230772287	13.5335957	13.5335957	13.5335957	1	1	3.286714676	0	6.573429352	19.72028806	12.76024738	12.76024738	12.76024738	10.51748696	1.31468587	0	7.230772287	0	13.5335957	5.78461783	0	15.08029235	15.08029235	30.16058471	0
40	0	1.701624216	15.64000321	15.64000321	7.090100899	7.799110989	7.799110989	7.799110989	14.59733632	14.59733632	14.59733632	1	1	3.54505045	0	7.090100899	21.2703027	13.76320282	13.76320282	13.76320282	11.34416144	1.41802018	0	7.799110989	0	14.59733632	6.239288791	0	16.26560333	16.26560333	32.53120667	0
41	0	1.838656014	16.89949266	16.89949266	7.661066725	8.427173397	8.427173397	8.427173397	15.77285982	15.77285982	15.77285982	1	1	3.830533362	0	7.661066725	22.98320017	14.87155354	14.87155354	14.87155354	12.25770676	1.532213345	0	8.427173397	0	15.77285982	6.741738718	0	17.57547237	17.57547237	35.15094474	0
42	0	1.990271589	18.29302483	18.29302483	8.292798287	9.122078116	9.122078116	9.122078116	17.07348984	17.07348984	17.07348984	1	1	4.146399143	0	8.292798287	24.87839486	16.09786185	16.09786185	16.09786185	13.26847726	1.658559657	0	9.122078116	0	17.07348984	7.297662492	0	19.02474582	19.02474582	38.04949164	0
43	0	2.158230608	19.83677319	19.83677319	8.992627534	9.891890288	9.891890288	9.891890288	18.51432165	18.51432165	18.51432165	1	1	4.496313767	0	8.992627534	26.9778826	17.45636041	17.45636041	17.45636041	14.38820405	1.798525507	0	9.891890288	0	18.51432165	7.91351223	0	20.63024412	20.63024412	41.26048824	0
44	0	2.344529074	21.54908346	21.54908346	9.768871143	10.74575826	10.74575826	10.74575826	20.11247789	20.11247789	20.11247789	1	1	4.884435572	0	9.768871143	29.30661343	18.96319344	18.96319344	18.96319344	15.63019383	1.953774229	0	10.74575826	0	20.11247789	8.596606606	0	22.41104679	22.41104679	44.82209359	0
45	0	2.551433765	23.45079007	23.45079007	10.63097402	11.69407142	11.69407142	11.69407142	21.88740407	21.88740407	21.88740407	1	1	5.315487011	0	10.63097402	31.89292206	20.63669526	20.63669526	20.63669526	17.00955843	2.126194804	0	11.69407142	0	21.88740407	9.355257139	0	24.38882167	24.38882167	48.77764335	0
46	0	2.781522062	25.56558232	25.56558232	11.58967526	12.74864278	12.74864278	12.74864278	23.86121016	23.86121016	23.86121016	1	1	5.794837629	0	11.58967526	34.76902578	22.49771244	22.49771244	22.49771244	18.54348041	2.317935052	0	12.74864278	0	23.86121016	10.19891423	0	26.58820561	26.58820561	53.17641122	0
47	0	3.037728059	27.92042811	27.92042811	12.65720025	13.92292027	13.92292027	13.92292027	26.05906623	26.05906623	26.05906623	1	1	6.328600123	0	12.65720025	37.97160074	24.56997673	24.56997673	24.56997673	20.25152039	2.531440049	0	13.92292027	0	26.05906623	11.13833622	0	29.03724523	29.03724523	58.07449046	0
48	0	3.323396006	30.54606517	30.54606517	13.84748336	15.23223169	15.23223169	15.23223169	28.50966082	28.50966082	28.50966082	1	1	6.923741679	0	13.84748336	41.54245007	26.88053735	26.88053735	26.88053735	22.15597337	2.769496672	0	15.23223169	0	28.50966082	12.18578535	0	31.76790777	31.76790777	63.53581554	0
49	0	3.642342321	33.47757104	33.47757104	15.17642634	16.69406897	16.69406897	16.69406897	31.24573297	31.24573297	31.24573297	1	1	7.588213168	0	15.17642634	45.52927901	29.46026251	29.46026251	29.46026251	24.28228214	3.035285267	0	16.69406897	0	31.24573297	13.35525518	0	34.81667388	34.81667388	69.63334776	0
50	0	3.998927634	36.75502524	36.75502524	16.66219847	18.32841832	18.32841832	18.32841832	34.30469023	34.30469023	34.30469023	1	1	8.331099237	0	16.66219847	49.98659542	32.34442221	32.34442221	32.34442221	26.65951756	3.332439695	0	18.32841832	0	34.30469023	14.66273466	0	38.22522625	38.22522625	76.45045251	0
51	0	4.398140579	40.42427941	40.42427941	18.32558575	20.15814432	20.15814432	20.15814432	37.72932745	37.72932745	37.72932745	1	1	9.162792874	0	18.32558575	54.97675724	35.57336588	35.57336588	35.57336588	29.3209372	3.66511715	0	20.15814432	0	37.72932745	16.12651546	0	42.04125059	42.04125059	84.08250118	0
52	0	4.845695365	44.53785409	44.53785409	20.19039735	22.20943709	22.20943709	22.20943709	41.56866382	41.56866382	41.56866382	1	1	10.09519868	0	20.19039735	60.57119206	39.1933116	39.1933116	39.1933116	32.30463577	4.038079471	0	22.20943709	0	41.56866382	17.76754967	0	46.31936825	46.31936825	92.6387365	0
53	0	5.348145517	49.15598418	49.15598418	22.28393965	24.51233362	24.51233362	24.51233362	45.87891857	45.87891857	45.87891857	1	1	11.14196983	0	22.28393965	66.85181896	43.25726608	43.25726608	43.25726608	35.65430345	4.456787931	0	24.51233362	0	45.87891857	19.6098669	0	51.12222354	51.12222354	102.2444471	0
54	0	5.913016647	54.34783923	54.34783923	24.63756936	27.1013263	27.1013263	27.1013263	50.72464994	50.72464994	50.72464994	1	1	12.31878468	0	24.63756936	73.91270808	47.82609852	47.82609852	47.82609852	39.42011098	4.927513872	0	27.1013263	0	50.72464994	21.68106104	0	56.5217528	56.5217528	113.0435056	0
55	0	6.548961587	60.19294934	60.19294934	27.28733995	30.01607394	30.01607394	30.01607394	56.18008605	56.18008605	56.18008605	1	1	13.64366997	0	27.28733995	81.86201984	52.96979542	52.96979542	52.96979542	43.65974391	5.457467989	0	30.01607394	0	56.18008605	24.01285915	0	62.60066731	62.60066731	125.2013346	0
56	0	7.265941902	66.78287343	66.78287343	30.27475792	33.30223372	33.30223372	33.30223372	62.33068187	62.33068187	62.33068187	1	1	15.13737896	0	30.27475792	90.82427377	58.76892862	58.76892862	58.76892862	48.43961268	6.054951585	0	33.30223372	0	62.33068187	26.64178697	0	69.45418837	69.45418837	138.9083767	0
57	0	8.075440489	74.22315336	74.22315336	33.6476687	37.01243557	37.01243557	37.01243557	69.27494313	69.27494313	69.27494313	1	1	16.82383435	0	33.6476687	100.9430061	65.31637495	65.31637495	65.31637495	53.83626993	6.729533741	0	37.01243557	0	69.27494313	29.60994846	0	77.19207949	77.19207949	154.384159	0
58	0	8.990710914	82.63560556	82.63560556	37.46129547	41.20742502	41.20742502	41.20742502	77.12656519	77.12656519	77.12656519	1	1	18.73064774	0	37.46129547	112.3838864	72.71933289	72.71933289	72.71933289	59.93807276	7.492259095	0	41.20742502	0	77.12656519	32.96594002	0	85.94102978	85.94102978	171.8820596	0
59	0	10.02707016	92.16101181	92.16101181	41.779459	45.9574049	45.9574049	45.9574049	86.01694436	86.01694436	86.01694436	1	1	20.8897295	0	41.779459	125.338377	81.10169039	81.10169039	81.10169039	66.84713441	8.355891801	0	45.9574049	0	86.01694436	36.76592392	0	95.84745228	95.84745228	191.6949046	0
60	0	11.20224278	102.9622824	102.9622824	46.6760116	51.34361276	51.34361276	51.34361276	96.09813024	96.09813024	96.09813024	1	1	23.3380058	0	46.6760116	140.0280348	90.60680851	90.60680851	90.60680851	74.68161856	9.33520232	0	51.34361276	0	96.09813024	41.07489021	0	107.0807737	107.0807737	214.1615474	0
61	0	11.83227768	108.753072	108.753072	49.30115699	54.23127269	54.23127269	54.23127269	101.5028672	101.5028672	101.5028672	1	1	24.65057849	0	49.30115699	147.903471	95.70270333	95.70270333	95.70270333	78.88185118	9.860231398	0	54.23127269	0	101.5028672	43.38501815	0	113.1031948	113.1031948	226.2063897	0
62	0	12.4977469	114.8695463	114.8695463	52.07394542	57.28133996	57.28133996	57.28133996	107.2115765	107.2115765	107.2115765	1	1	26.03697271	0	52.07394542	156.2218363	101.0852007	101.0852007	101.0852007	83.31831267	10.41478908	0	57.28133996	0	107.2115765	45.82507197	0	119.4643281	119.4643281	238.9286562	0
63	0	13.20064335	121.3300224	121.3300224	55.00268061	60.50294867	60.50294867	60.50294867	113.2413543	113.2413543	113.2413543	1	1	27.50134031	0	55.00268061	165.0080418	106.7704197	106.7704197	106.7704197	88.00428898	11.00053612	0	60.50294867	0	113.2413543	48.40235894	0	126.1832233	126.1832233	252.3664466	0
64	0	13.94307199	128.1538477	128.1538477	58.0961333	63.90574663	63.90574663	63.90574663	119.6102579	119.6102579	119.6102579	1	1	29.04806665	0	58.0961333	174.2883999	112.775386	112.775386	112.775386	92.95381328	11.61922666	0	63.90574663	0	119.6102579	51.1245973	0	133.2800016	133.2800016	266.5600033	0
65	0	14.7272562	135.3614576	135.3614576	61.3635675	67.49992425	67.49992425	67.49992425	126.3373604	126.3373604	126.3373604	1	1	30.68178375	0	61.3635675	184.0907025	119.1180827	119.1180827	119.1180827	98.18170799	12.2727135	0	67.49992425	0	126.3373604	53.9999394	0	140.7759159	140.7759159	281.5518318	0
66	0	15.55554438	142.9744368	142.9744368	64.81476825	71.29624507	71.29624507	71.29624507	133.4428077	133.4428077	133.4428077	1	1	32.40738412	0	64.81476825	194.4443047	125.8175044	125.8175044	125.8175044	103.7036292	12.96295365	0	71.29624507	0	133.4428077	57.03699606	0	148.6934143	148.6934143	297.3868286	0
67	0	16.43041702	151.0155841	151.0155841	68.46007093	75.30607802	75.30607802	75.30607802	140.9478785	140.9478785	140.9478785	1	1	34.23003546	0	68.46007093	205.3802128	132.893714	132.893714	132.893714	109.5361135	13.69201419	0	75.30607802	0	140.9478785	60.24486242	0	157.0562075	157.0562075	314.1124149	0
68	0	17.35449412	159.5089804	159.5089804	72.31039218	79.5414314	79.5414314	79.5414314	148.8750484	148.8750484	148.8750484	1	1	36.15519609	0	72.31039218	216.9311765	140.3679028	140.3679028	140.3679028	115.6966275	14.46207844	0	79.5414314	0	148.8750484	63.63314512	0	165.8893396	165.8893396	331.7786793	0
69	0	18.33054303	168.4800611	168.4800611	76.37726264	84.01498891	84.01498891	84.01498891	157.248057	157.248057	157.248057	1	1	38.18863132	0	76.37726264	229.1317879	148.2624537	148.2624537	148.2624537	122.2036202	15.27545253	0	84.01498891	0	157.248057	67.21199112	0	175.2192635	175.2192635	350.438527	0
70	0	21.60058174	198.5357076	198.5357076	90.00242393	99.00266632	99.00266632	99.00266632	185.2999937	185.2999937	185.2999937	1	1	45.00121196	1	90.00242393	270.0072718	174.7114226	174.7114226	174.7114226	144.0038783	18.00048479	1	99.00266632	1	185.2999937	79.20213305	1	206.4771359	206.4771359	412.9542717	1
71	0	24.13055629	221.7892612	221.7892612	100.5439845	110.598383	110.598383	110.598383	207.0033105	207.0033105	207.0033105	1	1	50.27199227	2	100.5439845	301.6319536	195.1745499	195.1745499	195.1745499	160.8703752	20.10879691	2	110.598383	2	207.0033105	88.47870639	2	230.6608317	230.6608317	461.3216633	2
72	0	26.95685485	247.7663942	247.7663942	112.3202285	123.5522514	123.5522514	123.5522514	231.2486346	231.2486346	231.2486346	1	1	56.16011427	3	112.3202285	336.9606856	218.0344269	218.0344269	218.0344269	179.7123657	22.46404571	3	123.5522514	3	231.2486346	98.84180112	3	257.67705	257.67705	515.3541	3
73	0	30.11418447	276.7861067	276.7861067	125.4757686	138.0233455	138.0233455	138.0233455	258.3336995	258.3336995	258.3336995	1	1	62.73788432	4	125.4757686	376.4273059	243.5717739	243.5717739	243.5717739	200.7612298	25.09515373	4	138.0233455	4	258.3336995	110.4186764	4	287.8575509	287.8575509	575.7151019	4
74	0	33.64131727	309.2047615	309.2047615	140.1721553	154.1893708	154.1893708	154.1893708	288.5911108	288.5911108	288.5911108	1	1	70.08607764	5	140.1721553	420.5164658	272.1001901	272.1001901	272.1001901	224.2754484	28.03443105	5	154.1893708	5	288.5911108	123.3514966	5	321.572952	321.572952	643.145904	5
75	0	37.58156653	345.420461	345.420461	156.5898605	172.2488466	172.2488466	172.2488466	322.3924302	322.3924302	322.3924302	1	1	78.29493027	6	156.5898605	469.7695816	303.9700056	303.9700056	303.9700056	250.5437769	31.31797211	6	172.2488466	6	322.3924302	137.7990773	6	359.2372794	359.2372794	718.4745588	6
76	0	41.98331866	385.8779349	385.8779349	174.9304944	192.4235439	192.4235439	192.4235439	360.1527393	360.1527393	360.1527393	1	1	87.46524721	7	174.9304944	524.7914833	339.5725827	339.5725827	339.5725827	279.8887911	34.98609888	7	192.4235439	7	360.1527393	153.9388351	7	401.3130523	401.3130523	802.6261047	7
77	0	46.90062732	431.0740025	431.0740025	195.4192805	214.9612085	214.9612085	214.9612085	402.3357357	402.3357357	402.3357357	1	1	97.70964024	8	195.4192805	586.2578415	379.3451222	379.3451222	379.3451222	312.6708488	39.0838561	8	214.9612085	8	402.3357357	171.9689668	8	448.3169626	448.3169626	896.6339253	8
78	0	52.39387721	481.563673	481.563673	218.3078217	240.1386039	240.1386039	240.1386039	449.4594281	449.4594281	449.4594281	1	1	109.1539108	9	218.3078217	654.9234651	423.7760322	423.7760322	423.7760322	349.2925147	43.66156434	9	240.1386039	9	449.4594281	192.1108831	9	500.8262199	500.8262199	1001.65244	9
79	0	58.53052562	537.9669611	537.9669611	243.8771901	268.2649091	268.2649091	268.2649091	502.102497	502.102497	502.102497	1	1	121.938595	10	243.8771901	731.6315702	473.4109257	473.4109257	473.4109257	390.2035041	48.77543802	10	268.2649091	10	502.102497	214.6119273	10	559.4856395	559.4856395	1118.971279	10
80	0	81.59961	750	750	339.998375	373.9982125	373.9982125	373.9982125	700	700	700	1	1	169.9991875	11	339.998375	1019.995125	660	660	660	543.9974	67.999675	11	373.9982125	11	700	299.19857	11	780	780	1560	11
81	0	81.59961	750	750	339.998375	373.9982125	373.9982125	373.9982125	700	700	700	1	1	169.9991875	11	339.998375	1019.995125	660	660	660	543.9974	67.999675	11	373.9982125	11	700	299.19857	0	780	780	1560	11
82	0	81.59961	750	750	339.998375	373.9982125	373.9982125	373.9982125	700	700	700	1	1	169.9991875	11	339.998375	1019.995125	660	660	660	543.9974	67.999675	11	373.9982125	11	700	299.19857	0	780	780	1560	11
83	0	81.59961	750	750	339.998375	373.9982125	373.9982125	373.9982125	700	700	700	1	1	169.9991875	11	339.998375	1019.995125	660	660	660	543.9974	67.999675	11	373.9982125	11	700	299.19857	0	780	780	1560	11
84	0	81.59961	750	750	339.998375	373.9982125	373.9982125	373.9982125	700	700	700	1	1	169.9991875	11	339.998375	1019.995125	660	660	660	543.9974	67.999675	11	373.9982125	11	700	299.19857	0	780	780	1560	11
85	0	81.59961	750	750	339.998375	373.9982125	373.9982125	373.9982125	700	700	700	1	1	169.9991875	11	339.998375	1019.995125	660	660	660	543.9974	67.999675	11	373.9982125	11	700	299.19857	0	780	780	1560	11
